
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,12,8,3,7,2,-2,87,67,42,1036,1034,1030,31,13,10,26,16,39,0.00,3,,307<br />
2015-1-2,16,9,3,5,-1,-5,71,53,24,1038,1035,1034,31,28,14,27,18,39,0.00,,,302<br />
2015-1-3,17,11,6,3,-1,-4,61,42,22,1036,1033,1031,31,30,26,27,19,42,0.00,,Fog,310<br />
2015-1-4,16,11,6,6,3,0,76,57,33,1032,1031,1029,31,25,14,27,19,50,0.00,,,327<br />
2015-1-5,16,10,5,10,6,2,93,77,51,1032,1029,1027,31,13,6,26,18,39,0.00,1,,300<br />
2015-1-6,14,10,5,8,4,3,93,77,49,1028,1026,1024,31,11,6,29,16,47,0.00,1,,317<br />
2015-1-7,15,10,5,8,5,3,93,76,51,1033,1030,1028,19,10,6,26,19,40,0.00,2,,323<br />
2015-1-8,13,8,4,4,3,2,87,74,43,1040,1036,1033,31,14,8,34,23,52,0.00,,,325<br />
2015-1-9,14,9,3,5,3,1,87,70,40,1042,1040,1037,27,18,11,29,23,47,0.00,,,319<br />
2015-1-10,18,12,7,12,6,3,88,69,38,1037,1031,1027,31,21,11,29,18,47,0.00,,,296<br />
2015-1-11,15,11,7,7,6,4,82,69,45,1034,1028,1025,26,14,10,35,18,45,0.00,1,,325<br />
2015-1-12,16,10,5,10,6,3,88,74,49,1035,1032,1030,31,17,10,35,23,47,0.00,1,,292<br />
2015-1-13,16,12,8,12,9,5,94,81,67,1030,1026,1022,21,11,8,29,13,,0.00,2,,270<br />
2015-1-14,17,12,8,12,7,4,94,75,39,1027,1025,1022,21,11,6,26,8,,0.00,1,,290<br />
2015-1-15,16,11,6,12,8,4,94,84,65,1025,1018,1012,26,9,5,32,11,,0.00,1,,277<br />
2015-1-16,14,11,8,11,6,-1,93,75,34,1014,1010,1008,31,10,4,34,10,,0.00,2,Rain,297<br />
2015-1-17,13,8,4,4,2,-1,81,63,38,1021,1019,1014,31,17,10,34,16,53,0.00,1,,321<br />
2015-1-18,13,8,2,7,2,-1,93,68,31,1022,1016,1010,31,14,10,34,18,34,4.06,2,Rain,288<br />
2015-1-19,8,7,6,7,6,5,100,91,84,1011,1009,1007,24,10,6,23,14,42,7.11,6,Rain,337<br />
2015-1-20,10,8,6,6,3,2,93,75,57,1011,1009,1007,31,15,10,26,18,58,0.00,3,Rain,329<br />
2015-1-21,11,8,5,2,2,1,76,67,44,1009,1007,1005,31,14,10,24,16,,0.00,1,,316<br />
2015-1-22,13,8,3,3,1,0,87,68,35,1014,1010,1006,31,13,10,27,16,42,0.00,1,,316<br />
2015-1-23,14,8,2,2,-1,-4,87,54,18,1017,1015,1014,31,17,10,29,18,37,0.00,1,,320<br />
2015-1-24,15,10,4,2,-3,-5,62,40,17,1021,1018,1016,31,30,26,37,26,58,0.00,,,317<br />
2015-1-25,17,12,7,2,-6,-14,62,30,9,1023,1020,1017,31,30,27,40,16,61,0.00,,,268<br />
2015-1-26,13,9,4,3,-2,-5,66,48,27,1027,1025,1023,31,19,10,29,16,55,0.00,1,,321<br />
2015-1-27,13,9,6,5,3,0,76,62,45,1027,1022,1019,31,17,10,24,14,53,0.00,1,,330<br />
2015-1-28,13,9,4,5,3,0,81,65,40,1023,1021,1018,31,15,10,26,14,,0.00,1,,308<br />
2015-1-29,16,10,5,9,4,2,87,65,28,1018,1007,993,31,14,10,48,16,63,0.00,1,,285<br />
2015-1-30,16,13,9,8,4,1,87,47,26,994,991,989,31,17,10,63,34,89,0.25,1,Rain,281<br />
2015-1-31,15,11,8,7,3,-2,87,60,30,997,990,985,31,17,10,37,13,55,0.25,2,,299<br />
2015-2-1,13,9,5,0,-1,-4,66,50,20,1009,1003,997,31,17,10,45,27,64,0.00,1,,307<br />
2015-2-2,12,7,3,2,-1,-3,75,58,40,1010,1008,1002,31,17,10,37,19,42,0.00,1,,311<br />
2015-2-3,9,7,4,6,3,1,93,78,56,1002,998,996,31,14,9,26,14,,1.02,4,Rain,354<br />
2015-2-4,7,4,2,5,2,-1,99,76,50,1000,998,996,31,14,2,48,23,61,4.06,4,Rain,344<br />
2015-2-5,11,8,4,-1,-6,-14,65,39,10,1005,1001,999,31,17,10,32,11,48,0.00,3,,309<br />
2015-2-6,9,4,0,-4,-8,-11,56,36,13,1013,1008,1005,31,17,10,23,18,39,0.00,1,,317<br />
2015-2-7,11,6,2,1,-2,-4,70,56,38,1022,1017,1013,31,15,10,26,18,,0.00,2,,302<br />
2015-2-8,12,8,4,1,-1,-4,66,52,28,1022,1019,1015,31,16,10,34,21,47,0.00,1,,324<br />
2015-2-9,13,8,3,4,0,-2,81,59,26,1028,1025,1020,24,14,11,29,21,45,0.00,,,299<br />
2015-2-10,14,9,3,6,2,-1,76,60,29,1027,1024,1022,31,19,10,27,18,42,0.00,1,,285<br />
2015-2-11,16,9,3,4,0,-4,76,54,19,1025,1023,1021,31,16,10,23,13,47,0.00,1,,311<br />
2015-2-12,14,9,4,8,4,1,87,73,43,1022,1021,1020,31,13,10,24,13,39,0.00,1,,304<br />
2015-2-13,15,12,8,9,7,4,88,73,45,1022,1020,1017,26,12,8,34,11,,0.00,1,,258<br />
2015-2-14,15,11,6,9,5,2,94,65,31,1017,1014,1011,31,13,7,34,14,34,0.00,1,,284<br />
2015-2-15,14,11,8,9,7,4,87,71,47,1012,1009,1007,31,16,10,19,11,29,0.00,2,,284<br />
2015-2-16,15,10,5,7,4,2,87,65,39,1018,1015,1012,31,14,10,23,11,,0.00,1,,286<br />
2015-2-17,14,12,9,8,4,3,77,57,35,1030,1024,1018,31,15,10,24,11,32,0.00,2,Rain,351<br />
2015-2-18,16,12,8,7,4,2,76,59,33,1034,1031,1029,31,17,10,24,14,42,0.00,1,,19<br />
2015-2-19,14,9,5,8,4,1,87,68,40,1034,1031,1029,26,12,8,23,14,,0.00,1,,358<br />
2015-2-20,13,9,4,8,5,2,93,77,54,1029,1023,1015,18,9,6,24,14,34,0.00,1,,283<br />
2015-2-21,13,9,6,8,6,3,93,75,48,1015,1006,1002,31,12,6,19,8,,0.25,3,Fog-Rain-Thunderstorm,294<br />
2015-2-22,16,10,4,3,-6,-12,81,34,6,1012,1007,1004,31,21,10,37,13,50,0.00,1,,316<br />
2015-2-23,19,12,6,11,5,-1,88,63,40,1011,1009,1006,31,17,10,32,13,42,0.00,1,Rain,303<br />
2015-2-24,15,11,8,8,1,-2,93,48,22,1018,1014,1008,31,17,10,42,24,64,0.00,1,,308<br />
2015-2-25,19,13,6,9,1,-5,82,45,17,1019,1017,1014,31,18,10,27,13,42,0.00,1,,313<br />
2015-2-26,17,12,6,12,8,4,94,78,47,1020,1017,1016,31,14,10,19,10,29,0.00,1,Rain,291<br />
2015-2-27,18,13,9,9,6,-5,88,66,21,1020,1015,1012,31,14,10,27,13,40,0.00,1,,289<br />
2015-2-28,13,9,4,6,2,-2,76,55,24,1022,1020,1019,31,18,10,24,16,47,0.00,2,,296<br />
2015-3-1,17,13,9,12,8,4,82,69,56,1022,1020,1018,31,15,10,29,13,,0.00,2,,268<br />
2015-3-2,23,18,13,12,11,10,82,69,42,1025,1020,1018,31,16,10,27,14,,0.00,1,,214<br />
2015-3-3,17,13,10,12,9,7,94,75,45,1027,1025,1024,31,14,10,11,5,,0.00,1,,92<br />
2015-3-4,14,10,7,11,7,-2,94,78,49,1029,1025,1023,31,13,2,23,11,,22.10,3,Rain-Hail-Thunderstorm,323<br />
2015-3-5,19,12,4,4,-4,-15,61,34,4,1029,1027,1024,31,22,10,35,18,61,0.00,1,,302<br />
2015-3-6,15,10,6,8,1,-4,82,49,21,1033,1031,1027,31,25,10,24,14,27,0.00,1,,265<br />
2015-3-7,17,11,6,10,6,2,87,67,34,1031,1028,1026,31,15,10,26,13,,0.00,1,,6<br />
2015-3-8,16,11,7,9,7,4,88,76,34,1027,1025,1024,31,13,8,19,11,35,0.00,1,,286<br />
2015-3-9,16,12,8,11,8,4,94,74,47,1026,1024,1023,29,13,10,24,11,,0.00,1,,264<br />
2015-3-10,17,13,9,11,8,4,88,75,43,1027,1025,1024,23,12,6,34,13,29,0.00,1,,260<br />
2015-3-11,16,11,7,12,9,5,97,80,55,1025,1023,1021,24,8,0,23,10,,0.00,2,Fog,249<br />
