
SAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,27,21,16,17,16,13,88,72,47,1013,1010,1007,31,16,10,32,16,,0.00,1,,217<br />
2015-1-2,28,23,18,17,14,12,88,64,38,1015,1013,1011,31,13,10,26,18,,0.00,1,,188<br />
2015-1-3,26,21,16,17,15,13,88,70,42,1016,1015,1013,31,12,7,35,13,,0.00,4,Rain,309<br />
2015-1-4,26,22,17,17,16,14,94,69,39,1016,1015,1013,31,13,10,40,19,,0.00,2,,311<br />
2015-1-5,23,21,18,19,17,15,94,83,69,1015,1014,1013,26,9,2,27,18,,2.03,6,Rain,326<br />
2015-1-6,24,21,18,18,16,14,94,69,41,1016,1014,1013,31,14,4,47,18,,0.00,4,Rain,179<br />
2015-1-7,32,24,17,18,14,10,88,60,25,1012,1011,1010,31,18,10,37,19,,0.00,2,,198<br />
2015-1-8,26,22,19,17,16,12,88,68,47,1018,1015,1012,31,12,10,45,27,61,0.00,2,,179<br />
2015-1-9,27,22,17,16,14,11,78,59,37,1018,1016,1015,31,18,10,47,29,,0.00,1,,187<br />
2015-1-10,26,21,17,17,16,15,88,71,51,1019,1016,1013,31,16,10,47,24,,0.00,3,,196<br />
2015-1-11,27,22,17,16,16,14,83,67,41,1019,1015,1012,31,18,10,40,26,,0.00,1,,190<br />
2015-1-12,28,23,18,17,16,14,88,69,39,1014,1012,1010,31,17,10,29,19,,0.00,1,,187<br />
2015-1-13,27,22,17,18,17,15,88,69,47,1016,1014,1012,31,14,10,45,21,,0.00,1,,163<br />
2015-1-14,32,26,19,18,17,15,78,58,29,1012,1010,1008,31,15,10,24,11,,0.00,1,,207<br />
2015-1-15,26,22,19,18,16,14,94,68,50,1010,1009,1007,31,13,5,45,23,63,2.03,4,Fog,316<br />
2015-1-16,23,19,15,17,11,8,94,59,31,1019,1013,1006,31,13,4,29,21,,0.00,5,Rain,212<br />
2015-1-17,24,18,12,13,11,9,82,57,31,1019,1017,1017,10,10,10,34,13,,0.00,1,,185<br />
2015-1-18,24,20,16,15,13,12,77,61,39,1020,1018,1016,31,12,10,42,23,,0.00,3,,178<br />
