date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-1-1,16,9,2,5,1,-3,93,64,34,1036,1034,1032,9,9,9,11,5,27,0.00,,,27
2015-1-2,13,7,1,6,4,1,100,78,62,1039,1037,1035,10,8,5,11,8,27,0.00,1,Fog,40
2015-1-3,14,8,3,6,3,-2,100,70,41,1039,1037,1036,,,,13,8,35,0.00,,,42
2015-1-4,14,8,3,7,4,1,100,77,59,1036,1033,1030,10,10,9,11,5,26,0.00,1,Fog,34
2015-1-5,13,7,2,8,4,1,100,86,67,1030,1029,1028,10,8,0,11,5,,0.00,1,Fog,23
2015-1-6,15,11,6,7,6,5,93,76,55,1029,1028,1026,10,10,10,13,5,24,0.00,4,,306
2015-1-7,7,4,2,6,3,2,100,99,87,1034,1031,1028,10,1,0,16,6,27,0.00,5,Fog,62
2015-1-8,11,6,0,6,3,0,100,89,66,1040,1037,1033,10,2,0,14,10,35,0.00,4,Fog,46
2015-1-9,15,9,4,5,3,1,93,65,45,1042,1040,1039,,,,21,13,35,0.00,,,52
2015-1-10,15,10,6,8,4,2,82,68,47,1039,1035,1032,,,,14,10,39,0.00,,,47
2015-1-11,19,14,9,10,7,1,93,71,47,1033,1032,1031,10,9,9,23,10,26,0.00,1,,343
2015-1-12,16,10,5,9,7,5,100,85,59,1032,1029,1027,10,5,1,14,8,32,0.00,4,Fog,39
2015-1-13,15,10,5,12,8,5,100,89,67,1028,1027,1025,10,8,0,14,5,,0.00,4,Fog-Rain,250
2015-1-14,14,12,10,12,11,9,100,95,82,1028,1026,1024,10,9,3,13,6,26,0.00,5,Fog-Rain,287
2015-1-15,15,13,10,12,10,6,100,86,71,1024,1017,1013,10,9,3,37,18,60,0.00,5,Rain,240
2015-1-16,12,10,8,7,6,2,87,75,62,1027,1021,1016,10,10,6,32,14,48,0.00,2,Rain,315
2015-1-17,12,8,5,10,6,3,100,83,62,1028,1024,1014,10,9,2,40,11,53,0.00,3,Rain,254
2015-1-18,13,11,9,12,9,4,100,95,71,1013,1011,1009,10,7,0,39,14,58,0.00,5,Fog-Rain,36
2015-1-19,12,9,7,5,3,1,81,64,47,1019,1017,1013,10,10,10,45,31,69,0.00,1,,353
2015-1-20,11,9,7,9,7,5,100,85,71,1017,1014,1012,10,9,3,29,11,53,0.00,3,Rain,325
2015-1-21,12,9,7,9,7,4,94,82,72,1020,1018,1017,10,10,5,29,16,53,0.00,2,Rain,332
