
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,6,2,-1,-10,-13,-16,51,34,19,1035,1033,1032,8,8,8,32,18,50,0.00,,,328<br />
2015-1-2,9,2,-4,-5,-9,-14,74,44,19,1032,1030,1028,7,7,7,14,5,,0.00,,,351<br />
2015-1-3,12,6,1,3,-2,-5,76,55,30,1029,1023,1018,8,7,7,21,10,,0.00,,,150<br />
2015-1-4,18,10,2,6,1,-5,93,58,22,1019,1017,1016,8,5,3,14,5,,0.00,,,135<br />
2015-1-5,20,14,9,13,7,3,100,65,37,1016,1013,1010,8,5,1,26,13,,0.00,6,Fog-Rain,195<br />
2015-1-6,13,8,3,7,2,-1,87,74,57,1026,1022,1015,10,7,3,32,26,47,0.00,6,Rain,355<br />
2015-1-7,7,3,1,-1,-3,-5,75,59,43,1031,1028,1025,10,10,10,26,18,,0.00,3,,337<br />
2015-1-8,9,4,1,-3,-6,-11,75,51,25,1034,1031,1030,8,7,6,18,11,,0.00,,,328<br />
2015-1-9,11,6,0,-1,-3,-5,81,55,35,1032,1030,1027,7,5,4,11,5,,0.00,,,259<br />
2015-1-10,15,8,2,1,-1,-4,81,58,29,1030,1028,1026,8,4,3,11,5,,0.00,,,245<br />
2015-1-11,16,9,2,4,1,-2,93,63,31,1032,1028,1026,7,4,2,26,8,47,0.00,,,17<br />
2015-1-12,9,7,5,3,1,-1,81,66,50,1036,1034,1032,10,10,10,21,16,40,0.00,2,,52<br />
2015-1-13,10,8,6,8,4,1,100,79,66,1033,1029,1025,10,9,5,21,14,35,0.00,7,Rain,48<br />
2015-1-14,9,8,7,8,7,6,100,92,87,1027,1025,1024,10,6,1,32,18,,0.00,8,Rain,347<br />
2015-1-15,9,7,5,6,4,2,93,83,66,1029,1027,1026,10,4,1,21,14,,0.00,8,Rain,311<br />
2015-1-16,8,7,5,3,2,0,87,73,62,1031,1027,1025,6,5,3,26,11,,0.00,6,,292<br />
2015-1-17,7,4,2,1,-2,-4,81,63,49,1035,1032,1031,10,7,3,26,14,,0.00,4,,19<br />
2015-1-18,10,6,1,1,-1,-3,87,64,43,1031,1027,1024,7,5,3,26,8,,0.00,,,255<br />
2015-1-19,12,7,2,1,-3,-9,87,53,24,1030,1028,1027,8,5,4,18,10,,0.00,,,3<br />
2015-1-20,11,8,5,6,2,-1,82,66,54,1028,1024,1021,,,,21,13,,0.00,,,127<br />
2015-1-21,15,10,6,7,3,-1,93,67,36,1024,1021,1018,10,5,3,32,14,55,0.00,1,Rain,253<br />
2015-1-22,7,4,3,3,0,-1,76,70,66,1026,1025,1024,6,4,3,32,19,50,0.00,5,,327<br />
2015-1-23,11,6,0,4,1,-1,93,72,50,1025,1023,1021,6,4,2,18,8,,0.00,1,,148<br />
2015-1-24,16,10,5,8,6,4,93,72,52,1023,1021,1020,8,5,3,21,11,,0.00,,,140<br />
2015-1-25,14,11,9,11,9,7,94,82,72,1023,1020,1019,8,2,1,21,14,,0.00,3,Rain,262<br />
2015-1-26,10,9,8,7,6,3,93,81,71,1025,1023,1022,10,4,2,21,13,,0.00,5,Rain,8<br />
2015-1-27,8,4,1,5,2,-1,93,80,65,1030,1028,1026,10,8,3,29,21,,0.00,6,Rain-Snow,15<br />
2015-1-28,6,3,1,1,-1,-2,100,74,61,1030,1029,1027,10,10,5,26,18,,0.00,5,Rain-Snow,22<br />
2015-1-29,5,3,2,4,2,0,93,90,70,1028,1026,1025,10,9,5,21,16,,0.00,8,Rain,20<br />
2015-1-30,6,3,2,2,-1,-5,93,74,56,1034,1031,1028,10,6,4,26,19,,0.00,7,Rain,342<br />
2015-1-31,7,3,1,-1,-4,-7,81,61,37,1037,1035,1034,10,9,7,21,18,,0.00,3,,356<br />
2015-2-1,6,3,2,3,-1,-3,93,72,61,1035,1034,1031,10,10,10,14,11,26,0.00,5,Rain,358<br />
2015-2-2,7,6,4,3,2,1,93,79,66,1033,1031,1030,10,10,6,14,10,29,0.00,7,Rain,28<br />
2015-2-3,8,7,5,4,2,1,87,76,62,1032,1030,1029,10,9,7,14,10,,0.00,8,,356<br />
2015-2-4,9,7,4,2,-1,-4,87,63,40,1031,1029,1026,10,4,2,26,14,,0.00,5,,315<br />
2015-2-5,7,3,1,-2,-5,-8,81,54,42,1033,1031,1029,10,6,3,26,16,43,0.00,4,,333<br />
2015-2-6,9,4,-1,-3,-6,-8,80,52,30,1031,1028,1025,8,7,7,18,6,,0.00,,,195<br />
2015-2-7,12,6,1,1,-3,-8,87,54,26,1026,1024,1021,7,6,4,14,5,,0.00,,,344<br />
2015-2-8,7,3,0,2,-6,-10,76,53,31,1034,1032,1026,10,9,5,32,24,50,0.00,4,,7<br />
2015-2-9,6,2,-2,-4,-7,-10,74,56,31,1036,1033,1030,10,10,10,18,13,,0.00,5,,354<br />
2015-2-10,11,4,-2,-1,-6,-12,86,53,20,1030,1024,1019,,,,18,6,,0.00,,,190<br />
2015-2-11,15,8,2,2,-1,-3,87,57,29,1019,1016,1013,7,7,6,21,8,32,0.00,,,226<br />
2015-2-12,13,9,6,3,1,-2,81,58,36,1020,1018,1016,7,4,2,21,13,32,0.00,,,332<br />
2015-2-13,13,9,6,3,2,-2,76,63,38,1022,1020,1019,,,,21,13,,0.00,,,117<br />
2015-2-14,18,12,7,10,8,3,94,72,52,1022,1019,1016,8,6,4,21,16,,0.00,2,,144<br />
2015-2-15,19,16,13,15,12,10,100,82,68,1017,1015,1012,10,7,3,21,13,,0.00,3,Rain,202<br />
2015-2-16,15,12,9,13,9,6,94,79,59,1020,1018,1016,7,5,3,32,14,,0.00,4,,319<br />
2015-2-17,14,10,7,7,1,-6,93,59,29,1024,1022,1020,8,4,2,18,10,,0.00,4,,53<br />
2015-2-18,12,7,3,2,-1,-3,81,60,41,1029,1027,1024,7,7,7,26,11,40,0.00,,,25<br />
