
PET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,23,21,20,19,19,18,94,87,78,1015,1013,1012,10,8,1,19,14,,0.00,7,,171<br />
2000-1-2,24,22,19,19,19,18,94,86,73,1014,1013,1011,10,9,7,19,14,,0.00,6,,173<br />
2000-1-3,23,21,19,18,18,18,94,86,73,1014,1013,1011,10,8,6,19,8,,0.00,7,,189<br />
2000-1-4,24,21,19,19,18,18,94,83,73,1014,1013,1012,10,9,7,18,11,,0.00,6,,184<br />
2000-1-5,23,21,19,19,18,17,94,86,78,1015,1014,1012,10,8,2,24,10,,0.00,7,,178<br />
2000-1-6,24,21,19,19,18,18,94,84,73,1015,1014,1012,10,9,8,26,13,,0.00,6,,177<br />
2000-1-7,23,21,20,19,19,18,94,85,78,1015,1013,1011,10,9,6,26,16,,0.00,6,,168<br />
2000-1-8,24,21,19,20,19,18,94,84,69,1015,1013,1011,10,10,8,24,13,,0.00,5,,178<br />
2000-1-9,24,21,18,18,18,17,94,82,69,1014,1012,1011,10,9,5,19,8,,0.00,7,,181<br />
2000-1-10,23,21,20,19,18,17,94,83,73,1014,1012,1011,10,10,10,19,10,,0.00,7,,173<br />
2000-1-11,24,22,20,19,19,18,88,83,73,1014,1012,1011,10,10,9,16,13,,0.00,7,,176<br />
2000-1-12,25,22,20,20,19,19,94,85,73,1013,1012,1010,10,10,8,19,10,,0.00,6,,187<br />
2000-1-13,24,21,19,19,19,18,100,90,73,1013,1011,1010,10,7,1,19,11,,0.00,5,Rain,183<br />
2000-1-14,22,20,19,19,19,18,94,90,83,1013,1011,1009,10,5,0,26,11,,0.00,6,Fog,186<br />
2000-1-15,25,21,18,19,18,18,100,83,69,1014,1012,1011,10,9,7,18,11,,0.00,4,,186<br />
2000-1-16,25,22,20,20,19,18,94,82,65,1014,1013,1011,10,9,6,14,10,,0.00,6,,184<br />
2000-1-17,26,23,20,20,19,17,100,81,57,1014,1012,1010,10,9,6,19,11,,0.00,3,,181<br />
2000-1-18,24,22,20,20,20,19,100,87,73,1015,1013,1012,10,9,6,27,11,,0.00,4,,181<br />
2000-1-19,24,22,20,20,19,19,100,87,73,1013,1012,1009,10,8,5,31,14,,0.00,6,,186<br />
2000-1-20,24,22,20,19,19,18,94,86,73,1013,1011,1009,10,9,7,19,11,,0.00,7,,177<br />
2000-1-21,25,22,20,19,19,18,94,82,69,1013,1012,1010,10,10,8,16,8,,0.00,5,,199<br />
2000-1-22,25,22,20,20,19,18,94,81,65,1014,1012,1010,8,8,8,23,13,,0.00,7,,173<br />
2000-1-23,24,22,20,19,18,17,94,79,65,1013,1012,1010,10,10,10,24,16,,0.00,7,,170<br />
