
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,30,27,23,21,20,19,83,61,55,1014,1013,1012,10,10,10,27,11,,0.00,3,,118<br />
2001-1-2,33,27,21,22,21,19,94,63,46,1013,1012,1011,10,10,10,19,10,,0.00,2,,110<br />
2001-1-3,34,27,20,22,21,19,100,72,46,1015,1013,1011,10,10,10,34,13,,0.00,2,,112<br />
2001-1-4,35,27,19,23,21,18,100,68,41,1015,1013,1010,10,10,10,16,8,,0.00,4,,79<br />
2001-1-5,36,29,22,24,22,18,94,71,46,1022,1012,1009,10,10,10,26,6,37,0.00,6,Rain,307<br />
2001-1-6,35,27,19,22,21,18,94,67,39,1011,1009,1006,10,10,10,16,6,,0.00,4,,310<br />
2001-1-7,35,29,24,25,22,20,94,72,47,1009,1007,1005,10,10,4,37,8,55,0.00,5,Rain-Thunderstorm,339<br />
2001-1-8,31,27,23,23,22,21,94,79,58,1007,1006,1003,10,10,10,27,6,,0.00,6,Rain,300<br />
2001-1-9,34,28,23,23,23,21,94,73,52,1010,1008,1007,10,10,10,19,5,,0.00,6,,187<br />
2001-1-10,35,29,23,25,23,21,94,77,49,1009,1007,1003,10,10,10,24,8,,0.00,6,Rain,17<br />
2001-1-11,25,22,19,22,19,14,100,81,61,1019,1012,1007,10,8,4,29,14,,0.00,7,Rain,210<br />
2001-1-12,26,20,15,17,13,11,94,62,39,1020,1018,1016,10,10,10,23,8,,0.00,4,,88<br />
2001-1-13,32,26,20,23,19,16,89,69,46,1018,1016,1013,10,10,10,14,10,,0.00,2,Rain,88<br />
2001-1-14,28,24,22,23,22,21,100,86,66,1018,1017,1015,10,10,8,14,3,,0.00,5,Rain,189<br />
