
AWST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,27,21,16,15,13,11,88,63,39,1013,1012,1011,10,10,10,32,18,39,0.00,1,,214<br />
2001-1-2,27,20,14,14,12,9,82,60,34,1016,1015,1013,,,,29,23,,0.00,,,208<br />
2001-1-3,26,20,14,14,12,9,88,61,36,1017,1016,1015,10,10,10,32,16,,0.00,1,,211<br />
2001-1-4,30,21,12,14,13,11,94,60,35,1018,1016,1013,10,10,10,29,14,,0.00,1,,195<br />
2001-1-5,36,26,15,17,13,11,88,46,25,1013,1012,1010,,,,29,14,,0.00,,,164<br />
2001-1-6,33,26,18,18,17,15,94,64,34,1013,1011,1010,,,,21,8,,0.00,,,257<br />
2001-1-7,31,24,19,21,19,17,100,80,48,1011,1010,1008,10,5,0,24,11,,0.00,6,Fog,346<br />
2001-1-8,37,28,19,19,17,15,94,58,27,1011,1009,1006,10,10,10,27,11,,0.00,1,,136<br />
2001-1-9,33,26,19,19,18,13,94,58,34,1010,1008,1006,,,,26,14,,0.00,,,208<br />
2001-1-10,33,26,19,18,15,13,68,50,34,1011,1009,1005,,,,24,16,,0.00,,,149<br />
2001-1-11,33,27,20,18,16,15,73,56,34,1008,1006,1005,,,,26,14,,0.00,,,177<br />
2001-1-12,28,23,19,19,18,15,100,75,54,1011,1008,1006,10,9,7,27,11,,0.00,3,,294<br />
2001-1-13,25,21,17,16,12,9,88,60,38,1013,1012,1011,10,10,10,27,19,,0.00,2,,212<br />
2001-1-14,26,19,13,14,11,7,94,58,30,1015,1013,1012,10,10,10,32,16,,0.00,1,,195<br />
2001-1-15,34,26,18,15,11,9,61,48,26,1015,1012,1009,7,5,4,48,32,71,0.00,,,114<br />
2001-1-16,35,27,19,18,16,13,83,53,28,1010,1009,1008,10,10,10,24,11,,0.00,6,Rain,238<br />
2001-1-17,35,29,23,19,17,13,78,56,26,1011,1009,1007,,,,27,13,,0.00,,,248<br />
2001-1-18,36,29,22,20,18,17,83,61,34,1008,1007,1005,,,,24,11,,0.00,,,279<br />
2001-1-19,28,23,19,17,14,10,83,57,42,1013,1011,1008,10,10,10,34,18,,0.00,2,,208<br />
2001-1-20,32,24,18,17,13,10,73,52,35,1015,1013,1009,10,10,10,32,23,50,0.00,1,,87<br />
2001-1-21,27,23,20,19,18,17,94,77,58,1013,1010,1009,10,9,4,27,13,,0.00,6,,131<br />
2001-1-22,27,21,15,15,13,11,82,61,37,1014,1012,1011,10,10,10,32,19,,0.00,4,,214<br />
2001-1-23,25,20,15,12,10,7,77,55,34,1013,1012,1011,10,10,10,37,21,,0.00,4,,209<br />
2001-1-24,22,18,14,12,6,2,82,48,27,1015,1013,1012,10,10,10,37,23,66,0.00,4,Rain,202<br />
2001-1-25,24,14,6,10,7,4,93,54,29,1018,1016,1014,10,10,10,34,16,,0.00,2,,195<br />
2001-1-26,28,21,14,12,9,7,72,51,30,1018,1016,1014,,,,32,14,,0.00,,,193<br />
2001-1-27,33,23,13,13,10,5,88,46,17,1018,1014,1012,,,,29,16,35,0.00,,,163<br />
2001-1-28,32,23,15,17,13,7,82,53,21,1012,1011,1010,,,,23,11,39,0.00,,,138<br />
2001-1-29,36,27,19,17,12,9,83,41,20,1013,1010,1007,10,10,10,29,16,48,0.00,1,,112<br />
