
NOVST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,0,-3,-6,-2,-5,-7,100,88,75,1016,1013,1012,10,6,3,43,23,55,0.00,7,Snow,201<br />
2002-1-2,0,-2,-3,-3,-6,-8,93,77,69,1022,1019,1013,10,8,4,43,27,58,0.00,6,Snow,210<br />
2002-1-3,1,-2,-6,1,-1,-9,100,94,80,1020,1014,1008,6,4,0,29,14,40,0.00,7,Fog-Rain-Snow,188<br />
2002-1-4,-7,-15,-23,-10,-19,-26,86,80,71,1036,1027,1015,8,6,1,26,18,35,0.00,3,,276<br />
2002-1-5,-2,-16,-24,-3,-19,-26,93,80,66,1036,1021,999,10,4,0,43,16,55,0.00,6,Snow,124<br />
2002-1-6,-3,-8,-13,-5,-14,-18,86,79,67,1018,1010,998,10,3,0,58,45,72,0.00,5,Snow,216<br />
2002-1-7,-6,-9,-12,-10,-13,-16,85,75,73,1018,1016,1015,10,10,10,40,19,32,0.00,7,Snow,203<br />
2002-1-8,-6,-9,-12,-7,-11,-14,93,86,79,1019,1013,1008,10,5,1,21,10,32,0.00,7,Snow,55<br />
2002-1-9,-8,-12,-18,-9,-12,-21,100,87,72,1009,1002,995,6,3,1,43,13,58,0.00,7,Snow,7<br />
2002-1-10,-18,-20,-23,-21,-24,-27,78,76,71,1014,1011,1005,10,6,1,35,31,40,0.00,3,Snow,213<br />
2002-1-11,-17,-21,-25,-21,-24,-28,84,76,71,1014,1013,1012,10,6,2,29,23,29,0.00,6,Snow,219<br />
2002-1-12,-14,-20,-26,-16,-23,-28,85,80,70,1016,1015,1013,8,4,1,18,8,,0.00,5,Snow,187<br />
2002-1-13,-4,-9,-14,-5,-9,-16,100,88,79,1012,1007,1001,5,3,1,43,21,47,0.00,8,Snow,205<br />
2002-1-14,-2,-6,-10,-3,-7,-12,100,88,74,1006,1002,998,10,7,0,43,31,43,0.00,5,Snow,239<br />
2002-1-15,-2,-6,-9,-4,-6,-10,93,88,86,1005,1004,1002,8,5,1,43,29,58,0.00,8,Snow,223<br />
2002-1-16,-2,-3,-4,-3,-4,-5,93,87,80,1004,1002,1002,5,3,1,47,39,61,0.00,8,Snow,227<br />
2002-1-17,-5,-13,-26,-8,-21,-29,86,76,71,1026,1015,1004,10,7,3,40,23,35,0.00,5,Snow,285<br />
2002-1-18,-6,-17,-27,-7,-19,-30,93,83,70,1027,1020,1015,10,5,1,32,16,35,0.00,7,Snow,208<br />
2002-1-19,-3,-4,-6,-5,-5,-7,93,91,80,1017,1016,1016,6,4,1,35,27,35,0.00,8,Snow,227<br />
2002-1-20,-3,-7,-10,-5,-7,-11,100,90,80,1022,1020,1018,8,5,0,26,19,,0.00,7,Fog-Snow,227<br />
2002-1-21,-5,-7,-8,-5,-7,-9,100,93,80,1022,1020,1017,6,5,2,14,10,,0.00,8,Snow,170<br />
2002-1-22,-4,-7,-9,-6,-8,-10,100,91,86,1020,1017,1016,10,5,3,18,11,,0.00,8,Snow,188<br />
