
IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,26,20,15,15,14,11,100,77,41,1022,1019,1017,10,8,2,23,11,,0.00,4,,84<br />
2002-1-2,25,22,20,19,13,12,78,53,44,1022,1020,1018,10,9,8,14,11,,0.00,6,,93<br />
2002-1-3,24,19,15,15,13,11,94,71,50,1022,1021,1018,8,4,1,14,5,,0.00,3,,90<br />
2002-1-4,25,19,14,15,14,13,100,77,50,1021,1019,1018,10,7,2,14,10,,0.00,2,,82<br />
2002-1-5,20,17,16,18,17,15,94,92,88,1018,1017,1017,8,6,5,10,6,,0.00,4,,90<br />
2002-1-6,27,22,18,19,16,15,94,62,48,1019,1017,1013,10,9,3,19,10,,0.00,3,,89<br />
2002-1-7,27,22,18,19,16,13,94,72,42,1019,1017,1015,10,7,1,19,11,,0.00,3,,103<br />
2002-1-8,31,24,18,18,17,13,94,77,43,1020,1017,1015,10,8,4,19,16,,0.00,4,,96<br />
2002-1-9,26,22,18,18,17,12,94,78,54,1021,1018,1016,10,9,6,19,11,,0.00,4,,84<br />
2002-1-10,26,21,17,17,16,14,94,78,47,1021,1019,1017,10,6,2,19,13,,0.00,3,,87<br />
2002-1-11,26,21,17,18,14,11,94,72,41,1020,1018,1015,10,7,0,14,10,,0.00,3,Fog,67<br />
2002-1-12,27,21,15,16,13,8,94,72,32,1019,1017,1015,6,6,4,19,10,,0.00,3,,74<br />
2002-1-13,26,19,12,14,11,5,100,79,26,1018,1017,1016,6,2,0,19,8,,0.00,0,Fog,83<br />
2002-1-14,25,17,11,12,8,-3,94,69,17,1017,1015,1014,8,5,1,14,8,,0.00,1,,91<br />
2002-1-15,28,20,12,11,9,5,88,60,26,1018,1015,1013,8,6,1,19,6,,0.00,2,Fog-Snow,60<br />
2002-1-16,27,23,17,12,10,7,72,47,28,1016,1014,1013,8,8,8,11,8,,0.00,3,,84<br />
2002-1-17,27,21,16,14,10,4,88,49,24,1015,1013,1012,8,7,6,14,11,,0.00,1,,100<br />
2002-1-18,27,20,14,15,13,10,100,61,34,1016,1013,1011,8,6,3,19,8,,0.00,2,,110<br />
2002-1-19,26,21,16,18,14,12,94,64,42,1017,1015,1012,10,8,3,14,8,,0.00,3,,102<br />
2002-1-20,27,22,17,19,14,11,94,68,37,1017,1015,1013,10,7,1,19,6,,0.00,3,,99<br />
2002-1-21,26,22,19,19,18,17,94,82,57,1018,1015,1014,10,7,1,11,6,,0.00,3,,102<br />
2002-1-22,28,24,20,18,16,15,88,60,48,1016,1015,1013,10,10,10,11,6,,0.00,3,,86<br />
2002-1-23,30,25,20,19,17,15,94,66,42,1018,1016,1013,10,9,5,19,11,,0.00,2,,72<br />
2002-1-24,30,23,17,17,16,14,94,76,43,1019,1017,1016,10,7,1,14,6,,0.00,3,,83<br />
2002-1-25,28,23,18,19,16,13,100,66,44,1018,1016,1014,10,7,1,19,3,,0.00,5,,8<br />
2002-1-26,29,23,17,19,14,11,100,58,33,1018,1016,1013,10,8,1,63,6,,0.00,4,Fog,319<br />
2002-1-27,28,23,19,18,17,14,94,73,42,1017,1015,1013,8,4,1,11,3,,0.00,-620,Fog,63<br />
2002-1-28,26,21,19,19,18,17,100,87,57,1018,1016,1014,8,5,2,10,2,,0.00,5,,18<br />
2002-1-29,27,22,18,18,16,12,94,76,44,1019,1017,1015,8,7,3,14,6,,0.00,5,,133<br />
2002-1-30,27,22,17,16,12,9,94,55,32,1019,1016,1014,10,9,3,23,13,,0.00,2,,93<br />
2002-1-31,27,21,16,16,16,15,94,77,51,1019,1017,1015,10,7,3,26,10,,0.00,3,,82<br />
2002-2-1,27,23,19,18,16,14,88,69,48,1020,1019,1016,10,8,4,23,13,,0.00,5,,70<br />
2002-2-2,22,20,18,17,16,15,88,79,68,1020,1018,1017,10,8,6,23,10,,0.00,6,,85<br />
2002-2-3,25,21,18,17,16,14,88,75,50,1020,1018,1015,10,8,4,19,14,,0.00,5,,92<br />
2002-2-4,27,21,16,16,15,14,94,68,45,1019,1017,1014,10,8,3,19,14,,0.00,3,,91<br />
2002-2-5,29,22,15,15,13,-13,88,60,7,1019,1017,1015,10,8,3,19,13,,0.00,2,,88<br />
2002-2-6,29,22,15,16,13,-14,94,61,8,1019,1016,1013,10,6,2,23,11,,0.00,2,,98<br />
2002-2-7,29,23,17,19,16,14,100,68,42,1018,1016,1013,10,6,1,14,5,,0.00,4,Fog,134<br />
2002-2-8,29,24,20,19,18,16,94,74,48,1018,1016,1013,10,6,1,14,5,,0.00,5,,126<br />
2002-2-9,21,20,20,16,16,15,78,75,68,1017,1016,1016,,,,14,11,,0.00,,,42<br />
2002-2-10,28,22,17,16,13,9,88,63,32,1018,1016,1013,8,7,1,14,10,,0.00,2,Fog,86<br />
2002-2-11,29,22,15,16,14,12,100,62,35,1019,1017,1015,10,7,1,19,6,,0.00,3,,104<br />
2002-2-12,26,22,20,18,16,12,88,72,42,1020,1019,1017,10,10,8,19,13,,0.00,6,,106<br />
2002-2-13,27,21,15,14,13,9,94,70,32,1021,1019,1016,8,6,2,23,13,,0.00,1,,97<br />
2002-2-14,28,21,15,16,14,11,94,65,39,1020,1018,1016,10,8,2,23,11,,0.00,3,,96<br />
2002-2-15,30,24,19,16,9,7,83,37,23,1021,1018,1016,8,7,6,27,16,,0.00,2,,101<br />
2002-2-16,30,25,20,12,8,6,60,35,23,1019,1017,1015,8,8,8,19,10,,0.00,1,,84<br />
2002-2-17,29,23,17,17,13,0,100,62,18,1020,1018,1016,10,5,1,19,6,,0.00,2,Fog,90<br />
2002-2-18,29,22,16,14,11,4,88,54,20,1022,1020,1018,8,6,1,14,10,,0.00,1,,90<br />
2002-2-19,31,23,16,16,11,6,100,52,22,1023,1021,1018,10,6,1,14,6,,0.00,1,,119<br />
2002-2-20,31,23,17,19,12,5,88,59,21,1023,1021,1017,8,4,1,14,5,,0.00,3,,64<br />
2002-2-21,30,23,16,15,10,1,94,57,15,1022,1020,1017,8,5,1,19,8,,0.00,1,,88<br />
2002-2-22,31,22,13,14,8,4,82,48,18,1024,1021,1019,8,7,2,27,10,,0.00,1,,99<br />
2002-2-23,30,22,14,12,8,5,88,41,20,1021,1020,1018,6,5,4,27,11,,0.00,0,,92<br />
2002-2-24,29,20,16,11,9,4,72,53,20,1021,1019,1016,8,7,6,11,8,,0.00,0,,85<br />
2002-2-25,29,21,13,11,7,-1,82,57,14,1019,1017,1016,8,4,2,19,6,,0.00,3,,93<br />
2002-2-26,31,22,13,12,9,7,82,47,22,1020,1016,1014,8,7,2,23,8,,0.00,0,,112<br />
2002-2-27,31,24,19,16,11,6,78,41,21,1018,1016,1014,10,9,6,23,11,,0.00,1,,87<br />
2002-2-28,30,24,19,17,8,4,83,41,20,1018,1016,1013,8,7,6,19,11,,0.00,0,,88<br />
2002-3-1,31,23,16,14,7,2,82,43,16,1018,1015,1013,8,5,2,19,6,,0.00,1,,89<br />
2002-3-2,31,23,17,15,9,4,88,42,18,1019,1016,1013,8,7,2,19,8,,0.00,3,,94<br />
2002-3-3,32,24,17,15,9,4,82,41,17,1017,1015,1012,8,6,2,21,10,,0.00,0,,94<br />
2002-3-4,32,24,18,15,12,8,73,53,22,1017,1015,1013,8,5,1,26,2,37,0.00,2,,90<br />
2002-3-5,33,28,22,11,8,7,50,33,21,1017,1015,1013,8,8,8,19,13,,0.00,,,95<br />
2002-3-6,33,26,18,15,10,5,73,45,17,1019,1016,1013,8,7,2,19,5,,0.00,0,,100<br />
2002-3-7,33,24,17,19,12,9,77,43,25,1018,1015,1013,8,7,3,14,6,,0.00,1,,129<br />
2002-3-8,31,26,20,20,15,12,78,59,33,1018,1015,1013,8,5,1,14,2,,0.00,3,,159<br />
2002-3-9,28,23,20,19,18,13,94,75,39,1019,1017,1015,8,5,3,14,11,,0.00,5,,142<br />
2002-3-10,32,24,17,15,11,6,88,47,20,1020,1018,1015,8,7,4,23,8,,0.00,0,,111<br />
2002-3-11,34,27,21,13,9,7,60,31,19,1019,1016,1014,8,8,8,23,13,,0.00,,,89<br />
2002-3-12,35,28,21,17,12,8,65,40,19,1018,1015,1013,,,,32,14,52,0.00,,,95<br />
2002-3-13,34,26,18,14,8,2,77,36,15,1019,1017,1014,10,7,2,23,10,37,0.00,2,,92<br />
2002-3-14,32,24,17,15,9,2,72,40,17,1020,1017,1014,8,7,6,14,5,,0.00,0,,87<br />
2002-3-15,31,24,18,18,14,10,94,51,29,1018,1016,1013,10,9,2,16,6,,0.00,2,,111<br />
2002-3-16,33,27,20,18,12,5,88,48,18,1017,1015,1012,10,9,6,19,6,,0.00,3,,69<br />
2002-3-17,33,26,18,18,13,6,94,55,18,1018,1015,1012,10,7,2,145,8,,0.00,4,,93<br />
2002-3-18,33,26,18,18,13,5,94,56,17,1019,1017,1014,10,7,1,24,11,,0.00,2,,92<br />
2002-3-19,32,24,18,17,9,4,94,41,17,1020,1017,1015,8,7,2,23,11,,0.00,1,,95<br />
2002-3-20,32,24,18,17,12,3,88,53,17,1019,1017,1013,8,6,3,19,6,,0.00,,,75<br />
2002-3-21,32,24,18,18,14,7,100,71,21,1017,1015,1012,10,4,0,19,6,,0.00,3,Fog,80<br />
2002-3-22,33,26,19,18,13,8,83,47,22,1016,1013,1010,10,9,6,23,8,,0.00,1,,20<br />
2002-3-23,31,28,25,19,16,13,61,44,33,1015,1012,1010,10,8,4,14,8,,0.00,5,,286<br />
2002-3-24,33,28,23,20,13,10,83,43,24,1015,1011,1009,10,8,3,14,10,,0.00,3,,3<br />
2002-3-25,34,27,21,20,16,13,94,54,28,1013,1011,1008,10,7,3,11,8,,0.00,3,,336<br />
2002-3-26,33,27,21,20,16,11,83,51,26,1014,1011,1009,10,8,4,19,8,,0.00,3,,103<br />
2002-3-27,34,27,20,20,16,12,83,58,26,1015,1013,1010,10,6,3,14,3,,0.00,2,,98<br />
2002-3-28,34,28,22,21,19,14,94,66,30,1016,1013,1010,10,8,3,27,8,,0.00,2,Thunderstorm,155<br />
2002-3-29,34,27,21,21,18,15,88,63,32,1016,1014,1012,10,8,3,26,6,,0.00,3,Rain-Thunderstorm,191<br />
2002-3-30,34,27,21,21,19,15,94,62,38,1018,1015,1012,10,8,4,16,8,,0.00,3,Rain,132<br />
2002-3-31,33,27,22,22,18,15,100,60,38,1017,1015,1012,9,7,1,19,8,,0.00,3,Fog,127<br />
2002-4-1,34,28,22,21,18,14,94,59,34,1019,1016,1014,10,8,2,14,6,,0.00,3,,221<br />
2002-4-2,35,28,22,21,18,12,88,63,26,1019,1016,1012,10,8,3,21,13,,0.00,3,,263<br />
2002-4-3,34,27,20,20,17,10,88,63,23,1016,1014,1010,10,8,6,23,11,,0.00,2,,280<br />
2002-4-4,34,28,22,21,18,11,83,65,24,1015,1012,1009,10,7,3,19,5,,0.00,1,,152<br />
2002-4-5,32,26,20,19,18,14,94,67,35,1016,1014,1011,10,9,4,23,11,,0.00,3,Rain-Thunderstorm,94<br />
2002-4-6,32,30,26,18,17,15,57,45,38,1015,1014,1013,10,10,8,14,10,,0.00,4,,118<br />
2002-4-7,32,27,23,20,13,9,83,43,24,1017,1014,1012,10,9,6,11,8,,0.00,1,,106<br />
2002-4-8,33,27,20,21,17,12,94,58,28,1017,1015,1012,10,8,3,14,6,,0.00,3,,174<br />
2002-4-9,32,27,22,20,18,13,83,59,31,1017,1014,1011,10,9,6,14,6,,0.00,3,,264<br />
2002-4-10,33,27,22,21,18,13,94,61,31,1014,1012,1009,10,8,2,19,8,,0.00,2,,116<br />
2002-4-11,31,24,21,22,19,17,94,76,55,1015,1013,1011,10,7,4,11,5,,0.00,3,,214<br />
2002-4-12,32,26,22,21,19,16,94,72,38,1017,1015,1012,10,6,3,19,5,,0.00,2,,132<br />
2002-4-13,33,27,22,21,17,10,94,56,29,1018,1015,1012,10,8,2,23,6,,0.00,3,,103<br />
2002-4-14,34,27,21,20,17,10,94,59,32,1016,1014,1011,10,9,6,23,6,,0.00,3,,89<br />
2002-4-15,33,27,21,21,17,11,94,64,27,1019,1015,1012,10,9,4,14,6,,0.00,4,,120<br />
2002-4-16,34,27,20,19,15,5,83,54,23,1017,1015,1011,10,7,4,19,5,,0.00,1,,117<br />
2002-4-17,33,27,20,20,14,10,83,50,24,1016,1014,1011,10,8,4,101,8,,0.00,1,,118<br />
2002-4-18,34,27,20,19,12,10,94,42,24,1014,1011,1000,10,8,4,23,6,,0.00,1,,104<br />
2002-4-19,34,27,20,19,13,10,68,43,23,1015,1013,1011,10,9,4,23,5,,0.00,3,,96<br />
2002-4-20,33,27,21,21,18,13,94,58,29,1017,1014,1011,10,8,4,19,5,,0.00,3,,130<br />
2002-4-21,34,28,22,21,17,11,94,55,26,1015,1013,1010,10,9,4,23,6,,0.00,3,,107<br />
2002-4-22,33,27,22,21,16,10,94,53,26,1016,1013,1009,10,9,4,14,6,,0.00,4,,275<br />
2002-4-23,34,28,22,19,17,15,78,52,32,1015,1012,1009,10,9,6,14,5,,0.00,2,,89<br />
2002-4-24,35,28,22,30,17,11,94,57,23,1015,1012,1009,10,8,4,26,10,,0.00,3,,109<br />
2002-4-25,34,28,23,21,15,11,88,47,28,1014,1012,1009,10,10,10,19,6,,0.00,2,,110<br />
2002-4-26,34,28,22,22,18,10,94,61,24,1015,1012,1009,10,7,4,19,6,,0.00,4,,125<br />
2002-4-27,35,28,22,21,16,9,88,49,21,1014,1012,1009,10,9,4,23,6,,0.00,4,,105<br />
2002-4-28,39,31,23,19,14,10,73,43,21,1014,1012,1009,10,9,8,23,13,,0.00,3,,100<br />
2002-4-29,33,27,22,21,18,9,88,63,25,1014,1012,1009,10,9,6,10,6,,0.00,3,,202<br />
2002-4-30,32,28,24,21,18,16,78,59,40,1013,1012,1011,8,6,4,14,10,,0.00,3,,306<br />
2002-5-1,30,27,23,19,14,11,78,49,31,1011,1010,1009,8,8,8,14,10,,0.00,3,,71<br />
2002-5-2,23,23,23,16,14,13,65,59,53,1010,1009,1009,8,8,8,10,8,,0.00,,,80<br />
2002-5-5,30,28,26,18,18,17,61,54,45,1011,1010,1009,10,10,10,11,10,,0.00,6,,159<br />
2002-5-6,33,,33,20,20,20,46,46,46,1009,1009,1009,10,10,10,14,14,,0.00,3,,210<br />
2002-5-9,23,,23,20,20,20,83,83,83,1016,1016,1016,8,8,8,14,14,,0.00,6,,310<br />
2002-5-21,30,29,29,17,17,16,48,46,43,1013,1012,1011,10,9,8,23,16,,0.00,3,,277<br />
2002-5-22,31,27,23,21,19,15,88,69,38,1015,1014,1012,8,7,6,19,11,,0.00,2,Rain-Thunderstorm,244<br />
2002-5-23,31,22,22,20,19,18,88,80,46,1013,1012,1012,10,10,10,14,14,,0.00,5,,233<br />
2002-5-24,32,31,31,21,21,20,52,52,52,1012,1011,1010,10,10,10,14,10,,0.00,2,,194<br />
2002-5-25,29,26,23,22,21,18,94,75,51,1014,1013,1011,10,6,2,74,18,76,0.00,4,Rain-Thunderstorm,316<br />
2002-6-2,29,28,26,20,20,19,65,61,58,1011,1011,1010,10,9,8,23,21,,0.00,1,Rain,250<br />
2002-6-3,27,26,23,21,21,20,83,74,65,1012,1011,1010,10,10,10,23,16,,0.00,2,,259<br />
2002-6-4,29,24,21,21,19,19,94,74,55,1011,1010,1009,10,9,8,204,32,,0.00,3,,278<br />
2002-6-5,31,30,29,21,19,10,62,54,29,1011,1010,1009,10,10,8,19,13,,0.00,3,,268<br />
2002-6-6,30,29,28,19,13,0,55,51,45,1010,1010,1009,10,10,10,14,11,,0.00,2,,270<br />
2002-6-7,28,24,23,21,20,19,88,72,58,1013,1013,1011,10,7,6,19,14,,0.00,3,,275<br />
2002-6-8,23,22,22,20,20,20,88,86,83,1010,1010,1009,10,9,8,11,11,,0.00,2,,270<br />
2002-6-17,25,24,24,17,17,16,65,62,61,1014,1013,1012,8,8,8,23,14,27,0.00,6,,273<br />
2002-6-18,23,22,21,19,18,18,88,84,78,1013,1011,1011,8,8,8,19,18,,0.00,6,,270<br />
2002-6-20,21,21,20,20,19,19,94,94,94,1010,1010,1009,10,10,10,23,19,,0.00,6,,265<br />
2002-6-22,28,27,26,18,17,17,58,54,51,1010,1009,1009,10,10,8,34,29,52,0.00,5,,276<br />
2002-7-1,26,23,21,19,19,19,88,76,65,1014,1014,1014,8,6,6,23,18,,0.00,6,,270<br />
2002-7-2,22,21,20,19,19,19,94,87,83,1014,1013,1012,10,10,8,19,16,,0.00,3,,262<br />
2002-7-3,25,,25,19,19,19,69,69,69,1014,1014,1014,,,,14,14,,0.00,,,260<br />
2002-7-4,29,28,27,19,18,17,61,56,48,1013,1012,1011,10,10,10,27,23,,0.00,4,,268<br />
2002-7-5,28,24,21,20,19,18,88,73,54,1015,1015,1013,10,8,6,27,18,,0.00,3,,263<br />
2002-7-6,22,21,20,20,19,19,94,91,88,1014,1013,1012,10,9,8,23,13,,0.00,2,,249<br />
2002-7-12,25,23,21,21,21,20,94,89,74,1013,1012,1011,10,8,8,23,19,,0.00,4,,268<br />
2002-7-13,21,20,20,20,19,19,94,94,94,1013,1012,1012,8,7,6,23,19,,0.00,4,,273<br />
2002-7-15,26,26,26,19,19,19,65,65,65,1014,1014,1014,10,10,10,23,23,,0.00,3,,295<br />
2002-7-24,27,,27,18,18,18,58,58,58,1015,1015,1015,10,10,10,19,19,,0.00,6,,280<br />
2002-7-25,24,,24,21,21,21,83,83,83,1014,1014,1014,10,10,10,19,19,37,0.00,1,,270<br />
2002-7-28,26,,26,18,18,18,61,61,61,1013,1013,1013,10,10,10,19,19,,0.00,6,,290<br />
2002-8-6,20,20,20,19,19,19,94,94,94,1011,1010,1010,6,6,6,19,19,,0.00,6,,270<br />
2002-9-7,23,,23,19,19,19,78,78,78,1013,1013,1013,10,10,10,23,23,40,0.00,6,,260<br />
