
CAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,26,20,14,17,14,12,94,71,44,1023,1021,1019,10,10,10,19,8,,0.00,5,,126<br />
2003-1-2,26,21,16,16,15,14,88,72,51,1022,1020,1019,10,10,10,23,10,,0.00,5,,136<br />
2003-1-3,28,22,16,16,14,12,94,67,37,1021,1020,1017,10,10,10,14,10,,0.00,6,,119<br />
2003-1-4,29,22,16,17,16,14,94,68,40,1021,1019,1016,10,10,10,21,8,,0.00,6,,138<br />
2003-1-5,27,21,16,15,13,10,88,60,34,1021,1020,1017,10,10,10,26,14,,0.00,4,,131<br />
2003-1-6,29,21,14,14,9,4,94,50,20,1022,1020,1019,10,10,10,21,10,,0.00,2,,121<br />
2003-1-7,30,22,14,16,12,8,94,54,25,1023,1020,1019,10,10,10,11,6,,0.00,2,Fog,36<br />
2003-1-8,32,24,18,16,14,11,83,57,27,1021,1019,1015,10,10,10,19,10,,0.00,6,,23<br />
2003-1-9,30,24,19,18,16,15,94,68,40,1021,1019,1015,10,10,10,19,6,,0.00,6,Rain-Thunderstorm,28<br />
2003-1-10,26,22,19,18,17,16,94,79,61,1020,1018,1016,10,10,10,21,11,,0.00,6,Rain-Thunderstorm,156<br />
2003-1-11,22,19,17,16,15,14,94,80,64,1021,1019,1018,10,10,10,21,16,,0.00,6,,154<br />
2003-1-12,25,20,16,18,16,14,88,76,54,1021,1020,1018,10,10,10,16,13,,0.00,6,Rain,112<br />
2003-1-13,29,22,15,16,12,7,100,59,25,1022,1020,1017,10,10,10,14,5,,0.00,3,,144<br />
2003-1-14,30,22,15,16,9,6,82,41,22,1020,1018,1010,10,10,10,24,11,,0.00,1,,134<br />
2003-1-15,32,24,17,17,12,9,73,50,25,1021,1019,1017,,,,19,10,,0.00,,,60<br />
2003-1-16,31,23,15,15,10,5,94,44,19,1021,1019,1016,,,,19,10,,0.00,,,86<br />
2003-1-17,32,23,16,14,11,7,77,49,21,1020,1019,1016,,,,19,8,,0.00,,,73<br />
2003-1-18,30,23,16,16,12,8,88,52,25,1023,1020,1018,10,10,10,11,8,,0.00,1,,101<br />
2003-1-19,30,23,17,15,12,8,82,56,25,1022,1020,1016,10,10,10,23,13,,0.00,1,,74<br />
2003-1-20,29,23,18,17,15,13,88,67,42,1021,1019,1016,10,10,10,21,11,,0.00,5,,13<br />
2003-1-21,29,23,17,17,16,14,88,75,40,1022,1019,1018,10,10,10,14,6,,0.00,5,,59<br />
2003-1-22,26,21,16,18,16,14,94,76,50,1022,1020,1017,10,10,10,11,6,,0.00,6,Rain,52<br />
2003-1-23,29,22,16,18,16,13,94,68,37,1021,1019,1016,10,10,10,21,6,,0.00,4,Fog,54<br />
2003-1-24,31,24,18,18,16,13,94,69,37,1020,1018,1014,10,10,10,19,8,,0.00,6,Rain-Thunderstorm,351<br />
2003-1-25,27,22,18,18,17,15,94,73,51,1019,1018,1015,10,10,8,21,14,,0.00,6,Rain-Thunderstorm,350<br />
2003-1-26,30,24,18,18,17,13,94,72,35,1021,1019,1016,10,10,10,19,5,,0.00,5,Rain-Thunderstorm,285<br />
2003-1-27,25,21,17,18,17,15,94,79,57,1022,1020,1018,10,10,5,24,10,,0.00,6,Rain,96<br />
2003-1-28,26,20,15,19,16,14,94,81,50,1022,1021,1018,10,10,10,21,13,,0.00,6,,115<br />
2003-1-29,24,21,18,19,17,16,94,84,65,1022,1020,1017,10,10,6,16,8,,0.00,6,Rain-Thunderstorm,44<br />
2003-1-30,27,23,19,18,17,15,94,75,48,1020,1019,1016,10,10,10,19,6,,0.00,6,Rain,300<br />
2003-1-31,30,24,18,19,16,12,94,65,35,1022,1019,1017,10,10,9,14,6,,0.00,6,,188<br />
2003-2-1,28,22,17,18,16,15,88,70,45,1022,1020,1018,10,10,10,24,11,,0.00,5,,63<br />
2003-2-2,29,24,19,18,17,14,88,65,42,1022,1020,1017,10,10,10,19,11,,0.00,5,Rain,64<br />
