
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,0,-6,-11,-1,-8,-16,100,78,67,1023,1017,1008,24,21,4,26,18,39,0.00,5,Snow,302<br />
2003-1-2,-7,-11,-14,-12,-15,-17,92,74,58,1030,1026,1023,24,24,24,16,11,,0.00,2,,14<br />
2003-1-3,-5,-9,-12,-9,-12,-14,86,75,59,1031,1028,1023,24,24,24,27,11,39,0.00,8,,57<br />
2003-1-4,-4,-4,-5,-7,-9,-11,86,71,63,1022,1017,1015,24,20,5,39,26,52,0.00,8,Snow,66<br />
2003-1-5,-4,-7,-10,-6,-9,-12,93,78,68,1021,1019,1015,24,19,2,11,5,,0.00,7,Snow,81<br />
2003-1-6,-3,-4,-6,-6,-7,-8,100,91,80,1017,1014,1013,24,14,4,13,5,,0.00,8,Snow,41<br />
2003-1-7,-5,-9,-12,-8,-12,-15,93,82,73,1012,1006,995,32,21,5,29,11,,0.00,5,Snow,242<br />
2003-1-8,-5,-10,-16,-9,-12,-18,93,81,53,993,987,984,32,11,1,24,8,32,0.00,5,Snow,256<br />
2003-1-9,-14,-17,-19,-19,-23,-25,85,62,47,999,992,986,32,25,24,34,16,45,0.00,2,Snow,277<br />
2003-1-10,-13,-17,-20,-18,-21,-23,85,71,56,1001,1000,999,32,23,13,27,8,,0.00,5,Snow,244<br />
2003-1-11,-16,-19,-22,-20,-22,-28,78,68,55,1007,1004,1000,32,25,13,32,16,39,0.00,3,Snow,251<br />
2003-1-12,-10,-13,-16,-13,-17,-19,85,74,67,1015,1011,1007,24,17,1,45,27,52,0.00,5,Snow,256<br />
2003-1-13,-9,-12,-15,-9,-12,-17,100,91,67,1014,1008,1002,24,8,2,26,13,,0.00,7,Snow,48<br />
2003-1-14,-10,-16,-22,-12,-22,-26,86,70,61,1017,1014,1007,24,23,6,37,19,34,0.00,3,Snow,257<br />
2003-1-15,-17,-21,-24,-22,-24,-28,72,71,65,1017,1016,1015,32,19,3,29,19,29,0.00,6,Snow,247<br />
2003-1-16,-17,-20,-23,-20,-23,-26,78,72,60,1018,1016,1014,24,14,4,29,13,35,0.00,4,Snow,262<br />
2003-1-17,-15,-18,-22,-21,-25,-30,85,60,43,1015,1013,1012,24,22,13,24,8,27,0.00,3,Snow,310<br />
2003-1-18,-17,-21,-26,-20,-26,-31,78,66,54,1021,1017,1014,24,22,16,21,13,,0.00,3,Snow,266<br />
2003-1-19,-12,-16,-20,-13,-18,-23,100,80,52,1014,1009,1005,24,15,2,10,3,,0.00,7,Snow,32<br />
2003-1-20,-8,-11,-14,-9,-12,-15,100,96,92,1004,999,995,24,7,1,27,8,,0.00,6,Snow,88<br />
2003-1-21,-14,-19,-24,-15,-24,-27,92,79,65,1007,1005,1003,32,26,16,50,35,69,0.00,2,Snow,262<br />
2003-1-22,-20,-22,-24,-24,-27,-28,77,68,60,1008,1005,1003,32,23,8,53,40,66,0.00,7,Snow,270<br />
2003-1-23,-13,-17,-21,-18,-22,-25,77,69,61,1011,1010,1008,24,22,13,35,27,34,0.00,5,Snow,258<br />
2003-1-24,-14,-17,-20,-21,-24,-26,78,59,47,1020,1016,1011,24,24,24,27,16,35,0.00,0,,279<br />
2003-1-25,-12,-17,-22,-13,-20,-27,92,75,60,1021,1018,1014,24,11,1,24,11,,0.00,7,Snow,312<br />
2003-1-26,-5,-9,-12,-5,-9,-14,100,95,85,1019,1015,1014,24,7,1,21,10,,0.00,8,Snow,234<br />
2003-1-27,-13,-19,-25,-15,-23,-30,92,67,46,1027,1023,1019,24,22,8,29,14,34,0.00,2,Snow,248<br />
