
MYT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2004-1-1,33,28,23,24,22,21,94,73,49,1013,1011,1009,10,10,10,14,8,,0.00,6,,69<br />
2004-1-2,33,29,25,25,23,21,94,72,49,1013,1011,1008,10,10,10,16,10,,0.00,6,,35<br />
2004-1-3,35,29,24,25,23,22,94,73,52,1013,1011,1008,10,10,10,19,8,,0.00,6,,38<br />
2004-1-4,33,28,24,26,24,22,94,76,52,1013,1011,1009,10,10,10,14,6,,0.00,6,,91<br />
2004-1-5,34,29,25,26,23,20,100,77,49,1014,1012,1009,10,10,5,26,6,,0.00,6,Rain-Thunderstorm,20<br />
2004-1-6,34,17,0,25,23,-7,100,80,49,1014,1011,1009,16,10,4,14,5,,0.00,6,Rain-Thunderstorm,351<br />
2004-1-7,32,28,24,25,23,22,100,81,55,1014,1012,1009,10,10,10,14,5,,0.00,6,,53<br />
2004-1-8,33,28,24,26,23,22,100,76,55,1013,1012,1009,10,10,10,16,6,,0.00,6,Thunderstorm,22<br />
2004-1-9,32,28,24,26,23,22,100,76,59,1014,1011,1008,10,10,8,19,8,,0.00,6,Rain-Thunderstorm,58<br />
2004-1-10,34,29,25,26,24,23,94,75,52,1013,1011,1008,10,10,10,23,11,,0.00,6,,52<br />
2004-1-11,34,30,26,26,23,22,89,73,49,1013,1011,1008,10,10,10,29,14,,0.00,6,,60<br />
2004-1-12,34,29,25,25,23,22,89,72,52,1012,1010,1008,10,10,10,24,11,,0.00,6,,79<br />
2004-1-13,33,28,24,25,24,21,94,75,55,1012,1010,1007,10,10,10,23,13,,0.00,6,,61<br />
2004-1-14,33,28,24,24,22,21,94,70,49,1011,1009,1007,10,10,9,19,6,,0.00,6,,79<br />
2004-1-15,34,29,25,25,23,21,89,73,49,1012,1010,1007,10,10,10,21,10,,0.00,6,,91<br />
2004-1-16,34,29,25,25,23,21,94,72,46,1012,1010,1008,10,10,10,21,10,,0.00,6,,63<br />
2004-1-17,34,30,26,26,24,21,94,75,52,1011,1009,1007,10,10,9,16,11,,0.00,6,Thunderstorm,41<br />
2004-1-18,34,29,24,25,23,21,94,74,49,1011,1009,1007,10,10,10,14,6,,0.00,6,,130<br />
2004-1-19,33,29,25,27,24,23,100,83,59,1012,1010,1007,10,10,8,14,5,,0.00,6,Rain,42<br />
2004-1-20,33,28,23,25,23,22,94,84,55,1011,1010,1007,10,10,7,19,5,,0.00,6,Rain-Thunderstorm,135<br />
2004-1-21,34,29,24,25,23,20,100,74,44,1012,1010,1007,10,10,10,13,5,,0.00,6,,108<br />
2004-1-22,33,28,24,23,21,19,79,62,43,1011,1009,1006,10,10,10,35,14,,0.00,6,,71<br />
2004-1-23,34,29,25,24,21,18,84,63,38,1011,1009,1007,10,10,10,21,13,,0.00,6,,48<br />
2004-1-24,33,29,25,24,21,16,89,64,36,1011,1009,1007,10,10,10,21,8,,0.00,6,Rain,51<br />
2004-1-25,32,29,26,21,20,19,70,59,46,1011,1009,1007,10,10,10,24,13,,0.00,6,,71<br />
2004-1-26,33,28,24,23,21,19,83,66,46,1011,1009,1007,10,10,10,14,10,,0.00,6,,61<br />
2004-1-27,32,28,24,25,22,20,94,70,49,1010,1008,1006,10,10,8,13,5,,0.00,6,Rain,342<br />
2004-1-28,30,27,24,25,23,22,100,85,66,1010,1008,1006,10,10,6,19,8,,0.00,6,Rain-Thunderstorm,341<br />
2004-1-29,28,26,24,24,23,22,100,84,74,1010,1008,1006,10,10,7,23,6,,0.00,6,Rain,29<br />
2004-1-30,30,28,25,24,23,22,94,81,62,1012,1009,1007,10,10,9,23,8,,0.00,6,Rain,48<br />
2004-1-31,33,28,24,24,23,22,94,77,55,1010,1008,1006,10,10,10,21,8,,0.00,6,,93<br />
2004-2-1,32,28,24,25,23,22,94,81,62,1010,1008,1005,10,10,5,29,6,,0.00,6,Rain-Thunderstorm,112<br />
2004-2-2,29,27,24,25,24,23,94,85,70,1012,1009,1007,10,10,10,21,5,,0.00,6,Rain,315<br />
