
AKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2004-1-1,-11,-14,-17,-12,-16,-23,100,86,61,1029,1026,1021,16,11,0,13,3,,0.00,2,Fog,166<br />
2004-1-2,-11,-14,-17,-13,-16,-19,92,86,67,1038,1033,1028,16,11,0,8,2,,0.00,3,Fog-Snow,162<br />
2004-1-3,-7,-11,-14,-12,-14,-18,92,78,47,1043,1041,1039,16,16,16,13,6,,0.00,0,,146<br />
2004-1-4,-14,-16,-17,-14,-17,-20,100,88,72,1043,1041,1040,16,11,0,11,5,,0.00,3,Fog,137<br />
2004-1-5,-12,-15,-18,-13,-17,-22,92,88,72,1041,1036,1028,16,2,0,8,2,,0.00,5,Fog-Snow,146<br />
2004-1-6,-6,-12,-18,-13,-16,-19,92,74,45,1027,1016,1003,16,10,0,50,10,64,0.00,2,Fog-Snow,30<br />
2004-1-7,-8,-11,-14,-16,-19,-23,56,49,42,1002,996,991,16,16,14,45,34,61,0.00,3,,23<br />
2004-1-8,-10,-14,-18,-16,-22,-24,66,55,48,992,991,989,16,16,10,29,19,39,0.00,6,Snow,6<br />
2004-1-9,-6,-8,-10,-7,-11,-17,96,83,54,992,990,989,16,10,1,26,13,32,1.52,7,Fog-Snow,34<br />
2004-1-10,-1,-4,-7,-2,-4,-10,100,89,50,1016,1000,989,16,9,1,29,14,40,4.57,7,Fog-Snow,198<br />
2004-1-11,-6,-7,-8,-6,-8,-10,100,87,78,1019,1019,1017,16,16,14,14,6,,0.00,8,Snow,18<br />
2004-1-12,-7,-12,-16,-9,-14,-18,100,81,56,1019,1014,1010,16,12,0,19,8,32,0.00,4,Fog,56<br />
2004-1-13,-9,-12,-14,-16,-17,-19,80,62,51,1010,1008,1005,16,16,16,14,6,,0.00,3,Fog,18<br />
2004-1-14,-11,-13,-16,-17,-20,-23,64,55,48,1007,1005,1003,16,16,16,26,16,,0.00,2,,7<br />
2004-1-15,-14,-16,-18,-22,-23,-24,69,56,42,1017,1013,1007,16,16,16,23,14,32,0.00,2,,11<br />
2004-1-16,-18,-21,-25,-23,-25,-28,95,72,56,1017,1014,1008,16,16,16,14,6,,0.00,1,Fog,65<br />
2004-1-17,-19,-23,-27,-21,-26,-30,100,83,70,1008,1005,1003,16,7,0,10,5,,0.00,3,Fog-Snow,132<br />
2004-1-18,-21,-23,-26,-23,-26,-29,92,81,70,1016,1007,1003,16,4,0,8,2,,0.00,7,Fog-Snow,116<br />
2004-1-19,-7,-16,-24,-9,-22,-28,85,68,55,1016,1010,998,16,15,8,27,14,37,0.00,5,Fog-Snow,24<br />
2004-1-20,-3,-6,-8,-6,-7,-12,100,86,72,1004,1001,997,16,16,14,26,16,,0.00,5,Snow,38<br />
2004-1-21,4,-2,-7,-1,-4,-8,92,79,70,1004,998,992,16,16,14,26,10,42,0.00,8,,109<br />
2004-1-22,3,0,-3,0,-3,-4,100,89,75,1019,1011,1004,16,11,2,24,14,39,1.27,8,Rain-Snow,183<br />
2004-1-23,-3,-6,-8,-4,-7,-11,100,95,81,1027,1025,1020,16,7,0,14,6,,0.00,7,Fog,348<br />
