
VET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2004-2-1,27,21,16,17,16,12,100,63,39,1018,1016,1013,,,,,,,0.00,3,,-1<br />
2004-2-2,29,27,26,18,16,11,61,48,35,1018,1014,1011,,,,,,,0.00,2,,-1<br />
2004-2-3,26,23,22,19,16,13,83,60,47,1018,1016,1014,,,,,,,0.00,3,,-1<br />
2004-2-4,24,20,16,21,17,14,100,83,64,1017,1016,1014,,,,,,,0.00,5,,-1<br />
2004-2-5,26,22,19,18,17,15,94,70,54,1017,1016,1015,,,,,,,0.00,4,,-1<br />
2004-2-6,27,21,17,17,13,10,94,61,34,1019,1017,1015,,,,,,,0.00,3,,-1<br />
2004-2-7,27,22,17,16,12,8,94,55,30,1018,1016,1014,,,,,,,0.00,2,,-1<br />
2004-2-8,27,22,18,17,14,11,88,59,37,1019,1017,1015,,,,,,,0.00,3,,-1<br />
2004-2-9,27,22,18,17,17,15,94,64,48,1019,1018,1017,,,,,,,0.00,3,,-1<br />
2004-2-10,26,21,16,18,16,12,94,69,47,1017,1016,1015,,,,,,,0.00,3,,-1<br />
2004-2-11,28,21,15,14,10,4,94,53,21,1018,1016,1014,10,10,10,,,,0.00,1,,-1<br />
2004-2-12,27,22,18,19,16,10,100,70,39,1020,1018,1015,,,,,,,0.00,4,,-1<br />
2004-2-13,27,22,17,20,18,17,100,75,58,1019,1017,1015,,,,,,,0.00,4,,-1<br />
2004-2-14,22,21,21,18,18,18,83,80,78,1019,1018,1018,,,,,,,0.00,1,,-1<br />
2004-2-15,28,22,18,17,16,15,94,68,45,1018,1017,1016,,,,,,,0.00,5,,-1<br />
2004-2-16,30,26,21,20,16,7,94,56,28,1019,1016,1015,,,,,,,0.00,4,,-1<br />
2004-2-17,27,23,19,21,19,16,94,77,57,1020,1018,1016,8,8,8,,,,0.00,3,,-1<br />
2004-2-18,28,22,17,19,15,13,94,59,39,1019,1017,1014,10,10,10,,,,0.00,2,,-1<br />
2004-2-19,27,23,19,20,17,13,100,71,44,1017,1016,1014,,,,,,,0.00,5,,-1<br />
2004-2-20,16,,16,15,15,15,94,94,94,1015,1015,1015,,,,,,,0.00,6,,-1<br />
2004-2-21,27,22,18,19,17,16,94,68,51,1017,1016,1013,10,10,10,,,,0.00,3,,-1<br />
2004-2-22,28,22,16,19,17,16,100,69,51,1018,1016,1014,,,,,,,0.00,4,,-1<br />
2004-2-23,28,24,21,18,17,15,83,58,45,1017,1016,1013,,,,,,,0.00,5,,-1<br />
2004-2-24,22,19,18,18,17,17,94,83,73,1017,1015,1013,,,,,,,0.00,5,,-1<br />
2004-2-25,29,23,19,20,19,18,100,74,51,1016,1013,1010,,,,,,,0.00,4,,-1<br />
2004-2-26,29,23,18,18,14,11,100,53,33,1017,1015,1012,,,,,,,0.00,3,,-1<br />
2004-2-27,30,23,19,19,15,11,94,59,31,1017,1016,1013,,,,,,,0.00,1,,-1<br />
2004-2-28,28,23,19,18,17,16,88,63,54,1017,1014,1012,,,,,,,0.00,5,,-1<br />
2004-2-29,26,23,20,20,19,14,100,73,53,1017,1016,1014,,,,,,,0.00,7,,-1<br />
2004-3-1,29,23,18,18,17,16,94,62,45,1018,1016,1013,,,,,,,0.00,3,,-1<br />
2004-3-2,27,23,22,19,18,16,78,67,51,1018,1017,1015,,,,,,,0.00,2,,-1<br />
2004-3-3,29,24,20,19,17,16,94,60,45,1018,1016,1014,,,,,,,0.00,4,,-1<br />
2004-3-4,27,24,23,20,19,19,83,70,61,1016,1015,1014,,,,,,,0.00,4,,-1<br />
2004-3-5,28,23,19,18,15,13,94,57,39,1019,1017,1015,,,,,,,0.00,3,,-1<br />
2004-3-6,26,,26,10,10,10,36,36,36,1015,1015,1015,,,,,,,0.00,1,,-1<br />
2004-3-7,27,21,16,16,13,10,100,54,34,1018,1017,1016,,,,,,,0.00,1,,-1<br />
2004-3-8,29,23,18,22,17,14,94,64,40,1017,1015,1013,,,,,,,0.00,2,,-1<br />
2004-3-9,29,26,23,22,19,17,94,64,48,1017,1015,1013,,,,,,,0.00,3,,-1<br />
2004-3-10,31,26,21,20,18,12,94,59,44,1018,1016,1014,,,,,,,0.00,2,,-1<br />
2004-3-11,30,25,20,20,19,18,100,72,48,1018,1015,1013,,,,,,,0.00,4,,-1<br />
2004-3-12,27,23,21,19,18,18,88,70,61,1017,1015,1013,,,,,,,0.00,5,,-1<br />
2004-3-13,31,26,20,21,18,16,94,63,40,1017,1015,1012,10,10,10,,,,0.00,3,,-1<br />
2004-3-14,29,24,20,21,19,17,100,71,51,1019,1016,1013,,,,,,,0.00,3,,-1<br />
2004-3-15,29,24,19,21,18,17,100,69,51,1018,1015,1012,,,,,,,0.00,3,,-1<br />
2004-3-16,29,24,20,19,17,15,94,60,42,1016,1014,1012,,,,,,,0.00,2,,-1<br />
2004-3-17,28,24,20,22,19,15,100,73,48,1016,1014,1011,10,10,10,,,,0.00,4,,-1<br />
2004-3-18,29,24,20,19,17,14,94,64,40,1016,1014,1011,,,,,,,0.00,2,,-1<br />
2004-3-19,29,21,19,19,18,16,94,73,45,1017,1016,1014,,,,,,,0.00,3,,-1<br />
2004-3-20,29,23,18,19,18,16,100,63,48,1018,1014,1011,10,10,10,,,,0.00,3,,-1<br />
2004-3-21,28,24,20,19,17,16,94,60,48,1016,1013,1011,,,,,,,0.00,3,,-1<br />
2004-3-22,29,24,20,23,21,19,100,73,61,1017,1013,1011,10,10,10,3,3,,0.00,4,,110<br />
2004-3-23,29,24,20,22,20,18,94,72,51,1016,1015,1013,,,,,,,0.00,4,,-1<br />
2004-3-24,28,23,19,21,18,16,100,67,54,1016,1015,1012,,,,,,,0.00,4,,-1<br />
2004-3-25,27,22,20,21,20,18,100,83,58,1018,1016,1014,,,,,,,0.00,3,,-1<br />
2004-3-26,29,23,19,20,19,18,100,76,51,1016,1014,1011,,,,,,,0.00,3,,-1<br />
2004-3-27,29,23,18,19,17,15,94,62,42,1014,1013,1012,,,,,,,0.00,2,,-1<br />
2004-3-28,28,23,19,18,15,13,94,54,39,1015,1013,1011,,,,,,,0.00,1,,-1<br />
2004-3-29,29,23,19,18,17,16,94,63,48,1015,1014,1013,,,,,,,0.00,3,,-1<br />
2004-3-30,28,23,19,21,19,17,94,70,57,1017,1015,1013,,,,,,,0.00,5,,-1<br />
2004-3-31,28,26,23,22,20,19,83,70,58,1017,1015,1013,10,10,10,,,,0.00,3,,-1<br />
2004-4-1,30,27,22,22,21,18,100,81,58,1016,1014,1012,,,,,,,0.00,4,Rain,-1<br />
2004-4-2,31,26,21,22,19,17,100,67,43,1016,1015,1012,10,10,10,,,,0.00,4,,-1<br />
2004-4-3,30,26,21,23,21,19,100,77,51,1017,1015,1012,,,,,,,0.00,4,,-1<br />
2004-4-4,29,26,22,25,22,21,100,82,62,1018,1015,1012,,,,,,,0.00,4,,-1<br />
2004-4-5,29,24,20,21,19,18,100,68,55,1017,1015,1011,,,,,,,0.00,3,,-1<br />
2004-4-6,32,26,20,20,19,19,94,71,46,1016,1014,1011,,,,,,,0.00,4,,-1<br />
2004-4-7,32,26,20,22,21,18,100,67,43,1015,1014,1011,,,,,,,0.00,4,,-1<br />
2004-4-8,31,24,19,21,19,18,100,66,46,1016,1013,1011,10,10,10,,,,0.00,2,,-1<br />
2004-4-9,29,24,21,20,18,15,94,59,42,1016,1014,1012,,,,,,,0.00,4,,-1<br />
2004-4-10,29,24,21,25,19,15,94,66,42,1015,1013,1010,,,,,,,0.00,2,,-1<br />
2004-4-11,27,23,20,20,19,18,94,71,61,1013,1012,1011,,,,,,,0.00,6,,-1<br />
2004-4-12,29,24,20,22,19,16,100,75,45,1015,1014,1012,,,,,,,0.00,6,,-1<br />
2004-4-13,28,23,19,20,19,18,100,70,58,1017,1014,1012,,,,,,,0.00,4,,-1<br />
2004-4-14,29,24,19,21,19,15,100,73,42,1017,1015,1012,,,,,,,0.00,3,,-1<br />
2004-4-15,29,24,20,20,18,13,100,65,44,1016,1014,1012,,,,,,,0.00,6,,-1<br />
