
AEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2004-1-1,27,23,19,17,15,1,88,59,28,1014,1013,1011,10,10,10,23,13,,0.00,2,,135<br />
2004-1-2,28,23,18,21,18,16,88,71,51,1013,1012,1010,10,10,10,26,14,47,0.00,3,Rain,141<br />
2004-1-3,28,24,22,22,21,2,94,77,22,1013,1012,1010,10,10,5,26,16,,0.00,3,Rain,136<br />
2004-1-4,28,26,23,24,21,2,94,83,20,1014,1012,1011,10,9,3,23,14,,0.00,5,Rain,114<br />
2004-1-5,29,27,24,23,22,2,94,79,22,1013,1011,1009,10,10,8,26,16,,0.00,2,Rain,38<br />
2004-1-6,30,27,24,24,23,22,94,83,66,1010,1007,1003,10,9,6,39,21,,0.00,3,Rain,3<br />
2004-1-7,31,28,25,24,23,22,89,76,66,1004,1002,999,10,10,10,47,31,52,0.00,1,,9<br />
2004-1-8,33,30,26,26,24,22,89,77,58,1005,1002,1000,10,10,10,37,27,,0.00,5,Thunderstorm,356<br />
2004-1-9,29,27,24,26,19,18,94,68,51,1013,1011,1006,10,10,10,29,19,48,0.00,6,,143<br />
2004-1-10,30,27,23,25,23,20,94,84,70,1013,1012,1011,10,9,2,29,13,,0.00,6,Rain,92<br />
2004-1-11,29,27,24,24,23,21,100,82,66,1015,1013,1012,10,9,3,27,23,,0.00,6,Rain,17<br />
2004-1-12,30,28,25,23,22,21,89,74,62,1016,1014,1013,10,10,10,24,16,,0.00,4,,55<br />
2004-1-13,30,27,24,24,21,19,89,71,55,1015,1012,1010,10,10,10,24,14,,0.00,2,,50<br />
2004-1-14,29,27,24,25,23,22,100,87,66,1012,1010,1009,10,8,1,34,18,,0.00,6,Rain,359<br />
2004-1-15,27,24,23,25,23,22,100,94,84,1014,1012,1011,10,6,1,16,10,,0.00,7,Rain,124<br />
2004-1-16,29,27,24,25,24,23,94,90,79,1011,1009,1005,10,8,3,40,19,48,0.00,6,Rain,352<br />
2004-1-17,31,27,24,26,24,23,94,85,70,1010,1006,1004,10,9,1,40,31,,0.00,5,Rain-Thunderstorm,336<br />
2004-1-18,33,27,21,24,22,20,94,74,46,1019,1014,1009,10,10,10,34,14,52,0.00,2,,132<br />
2004-1-19,27,24,23,22,17,13,89,63,50,1022,1021,1019,10,9,5,32,23,50,0.00,4,Rain,132<br />
2004-1-20,26,23,21,19,17,12,88,67,50,1021,1020,1018,10,10,4,24,16,,0.00,6,Rain,143<br />
2004-1-21,27,23,19,19,18,16,94,70,51,1018,1016,1015,10,10,10,21,11,,0.00,5,,99<br />
2004-1-22,28,23,18,20,18,15,94,70,48,1016,1014,1013,10,10,10,26,11,,0.00,1,,2<br />
2004-1-23,29,24,21,22,20,18,94,75,51,1014,1013,1011,10,10,10,26,14,,0.00,4,,22<br />
2004-1-24,29,26,23,23,22,21,94,82,62,1014,1012,1009,10,9,3,29,14,39,0.00,3,Rain-Thunderstorm,14<br />
