
EET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,2,-1,-3,1,-2,-4,100,91,86,1012,1010,1007,10,10,10,29,14,,0.00,6,Rain,206<br />
2005-1-2,3,1,0,2,-1,-3,100,90,75,1006,994,982,10,8,1,34,24,,0.00,6,Rain-Snow,169<br />
2005-1-3,3,0,-2,2,-2,-4,100,86,75,992,987,982,10,9,2,32,21,,0.00,5,Rain-Snow,217<br />
2005-1-4,0,-2,-3,-1,-3,-4,100,88,80,998,995,992,10,10,10,21,13,,0.00,6,Snow,246<br />
2005-1-5,1,-1,-2,0,-1,-3,100,96,81,998,990,984,10,6,2,32,16,,0.00,6,Rain-Snow,238<br />
2005-1-6,2,0,-1,2,0,-2,100,95,87,1000,998,997,10,9,6,19,11,,0.00,6,Rain-Snow,221<br />
2005-1-7,6,3,0,5,3,-1,100,95,87,1000,990,982,10,8,3,34,21,,0.00,6,Rain,214<br />
2005-1-8,5,3,2,4,3,0,100,93,75,991,985,971,10,5,1,42,21,64,0.00,6,Fog-Rain,209<br />
2005-1-9,4,1,-1,3,0,-3,100,91,80,994,973,961,10,9,5,42,32,64,0.00,6,Rain-Snow,247<br />
2005-1-10,7,3,-1,6,0,-4,100,91,80,1004,998,988,10,9,4,34,21,,0.00,6,Rain-Snow,206<br />
2005-1-11,6,4,3,6,3,-1,100,89,75,1006,997,989,10,9,6,23,19,,0.00,5,Rain,244<br />
2005-1-12,5,2,-1,4,2,-2,100,92,75,1008,1004,999,10,7,1,29,16,52,0.00,6,Rain,203<br />
2005-1-13,5,4,3,3,2,1,100,89,81,999,993,989,10,9,6,42,34,69,0.00,6,Rain,207<br />
2005-1-14,3,0,-3,2,-2,-6,100,88,74,1016,1004,994,10,8,3,24,19,,0.00,5,Rain-Snow,288<br />
2005-1-15,-3,-6,-7,-5,-6,-8,93,91,80,1025,1022,1017,10,10,10,21,11,,0.00,4,,281<br />
2005-1-16,3,-1,-4,2,0,-5,100,96,86,1024,1015,1010,10,6,2,24,14,,0.00,6,Rain-Snow,199<br />
2005-1-17,4,3,2,2,1,0,93,89,81,1011,1009,1007,10,10,6,29,24,,0.00,6,Rain,211<br />
2005-1-18,2,1,1,2,1,-1,100,92,81,1006,1002,999,10,5,1,26,23,,0.00,8,Rain,162<br />
2005-1-19,1,0,-1,-1,-2,-3,100,87,75,1003,1001,999,10,6,1,24,19,,0.00,6,Snow,160<br />
2005-1-20,0,-1,-1,-1,-2,-3,100,91,80,1000,991,982,10,5,1,26,21,,0.00,6,Snow,148<br />
2005-1-21,1,0,-1,0,-1,-1,100,97,93,983,979,977,10,3,1,29,19,,0.00,6,Snow,100<br />
2005-1-22,0,-1,-2,-1,-1,-2,100,96,93,996,989,983,10,7,3,11,6,,0.00,6,Fog-Snow,18<br />
2005-1-23,-1,-3,-6,-2,-3,-7,100,97,86,1008,1000,996,10,5,1,21,8,,0.00,6,Snow,41<br />
2005-1-24,-4,-6,-6,-5,-7,-8,93,91,86,1020,1013,1008,10,9,3,21,13,,0.00,7,Snow,359<br />
2005-1-25,-3,-6,-7,-4,-5,-8,93,92,86,1031,1027,1020,10,9,1,16,14,,0.00,6,Snow,34<br />
2005-1-26,-2,-4,-6,-3,-6,-8,100,87,80,1031,1026,1020,10,9,4,16,6,,0.00,6,Snow,71<br />
2005-1-27,-2,-7,-12,-3,-7,-14,93,85,74,1021,1019,1017,10,8,2,24,19,,0.00,6,Snow,111<br />
2005-1-28,-12,-13,-15,-14,-15,-17,92,85,79,1017,1015,1014,10,6,1,21,16,,0.00,6,Snow,14<br />
2005-1-29,-7,-10,-12,-9,-12,-14,93,85,73,1020,1018,1016,10,7,1,16,11,,0.00,6,Snow,101<br />
2005-1-30,-2,-6,-10,-2,-7,-12,100,93,86,1019,1012,999,10,5,2,34,18,52,0.00,7,Snow,161<br />
2005-1-31,0,-3,-6,0,-2,-7,100,95,86,998,991,989,10,7,1,39,21,58,0.00,5,Fog-Snow,209<br />
2005-2-1,-1,-3,-4,-2,-3,-5,100,97,93,1006,999,992,10,6,2,16,3,,0.00,6,Snow,49<br />
2005-2-2,-2,-4,-7,-3,-6,-8,100,91,86,1024,1014,1006,10,7,3,16,10,,0.00,6,Snow,76<br />
2005-2-3,-2,-4,-6,-3,-5,-8,93,92,86,1033,1029,1024,10,8,6,19,10,,0.00,7,Snow,136<br />
