
GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,23,19,15,16,15,13,94,80,64,1022,1020,1019,10,10,8,16,11,,0.00,3,,200<br />
2005-1-2,23,19,16,18,16,15,94,82,65,1020,1018,1016,10,7,3,16,11,,0.00,3,,208<br />
2005-1-3,26,20,14,17,15,7,100,76,30,1018,1016,1014,8,5,1,19,8,,0.00,0,Fog,145<br />
2005-1-4,27,21,15,17,11,-2,88,59,15,1020,1018,1016,8,7,5,23,11,,0.00,0,,205<br />
2005-1-5,24,19,15,19,16,13,100,88,65,1021,1019,1017,10,3,0,14,8,,0.00,3,Fog,193<br />
2005-1-6,28,22,16,17,13,6,100,64,26,1019,1016,1014,8,5,3,21,8,,0.00,0,,98<br />
2005-1-7,25,22,19,16,13,11,64,58,50,1021,1019,1016,10,10,10,23,16,,0.00,3,,243<br />
2005-1-8,23,20,18,16,14,13,83,67,57,1023,1021,1020,10,5,3,19,10,,0.00,2,,303<br />
2005-1-9,24,20,17,17,16,15,88,74,61,1022,1020,1019,6,4,1,19,6,,0.00,0,,349<br />
2005-1-10,26,21,17,16,15,12,88,70,44,1019,1016,1014,8,6,5,21,6,,0.00,0,,17<br />
2005-1-11,21,19,18,17,13,10,83,66,52,1018,1015,1012,10,9,7,40,16,,0.00,5,,258<br />
2005-1-12,21,19,17,11,9,6,68,50,43,1021,1019,1017,10,10,10,29,21,,0.00,4,,260<br />
2005-1-13,21,18,15,10,8,3,72,53,31,1022,1020,1019,10,7,3,19,13,,0.00,4,,127<br />
2005-1-14,21,18,15,9,7,5,55,48,38,1021,1019,1017,10,10,10,24,11,,0.00,1,,20<br />
2005-1-15,22,18,15,9,8,7,67,51,38,1019,1017,1016,10,10,10,19,10,,0.00,2,,323<br />
2005-1-16,22,18,14,12,11,9,77,61,49,1020,1018,1017,10,10,10,14,8,,0.00,2,,246<br />
2005-1-17,25,19,14,13,10,5,82,59,34,1021,1018,1016,10,8,7,21,8,,0.00,0,,56<br />
2005-1-18,24,19,15,13,10,6,68,53,38,1020,1017,1015,10,9,8,32,14,,0.00,5,Rain,60<br />
2005-1-19,25,21,18,16,14,13,83,68,47,1019,1016,1014,10,10,10,27,16,,0.00,6,Rain,65<br />
2005-1-20,23,21,19,18,17,16,88,79,65,1021,1017,1016,10,10,10,29,18,,0.00,6,Rain,177<br />
2005-1-21,22,20,17,18,12,9,83,62,43,1022,1020,1019,10,10,10,21,16,,0.00,3,,280<br />
2005-1-22,26,20,14,12,9,6,82,56,28,1021,1017,1013,8,8,8,23,11,,0.00,0,,80<br />
2005-1-23,22,20,19,19,16,10,94,77,56,1017,1014,1012,10,8,4,27,16,,0.00,6,Rain,202<br />
2005-1-24,21,19,17,15,12,10,73,63,56,1017,1016,1014,10,10,10,23,16,,0.00,3,,274<br />
2005-1-25,21,18,15,12,11,9,82,63,46,1019,1017,1016,10,10,10,32,18,,0.00,3,,268<br />
2005-1-26,21,18,16,12,12,10,77,60,53,1019,1017,1016,10,9,8,21,16,,0.00,3,,258<br />
2005-1-27,22,18,14,12,10,6,88,60,35,1020,1017,1016,8,8,7,23,8,,0.00,0,,5<br />
2005-1-28,21,17,14,13,11,9,82,62,49,1017,1016,1014,10,10,10,26,10,,0.00,2,,250<br />
