
HKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,12,8,5,-8,-10,-12,36,26,18,1030,1027,1023,,,,32,23,,0.00,,,24<br />
2005-1-2,14,12,10,4,-3,-10,62,38,21,1025,1022,1020,9,8,7,19,11,,0.00,,,28<br />
2005-1-3,17,13,10,8,6,3,72,59,52,1020,1019,1016,10,7,4,23,14,,0.00,6,,18<br />
2005-1-4,16,14,14,12,8,4,82,64,45,1022,1020,1019,8,6,4,24,16,,0.00,5,,336<br />
2005-1-5,20,18,15,13,11,9,77,69,56,1023,1021,1019,9,6,4,29,16,,0.00,5,,28<br />
2005-1-6,20,17,14,12,8,6,72,57,43,1022,1020,1018,8,5,4,23,13,,0.00,5,,348<br />
2005-1-7,21,18,16,14,13,11,82,71,53,1023,1021,1019,9,7,5,23,16,,0.00,2,,78<br />
2005-1-8,19,18,17,14,11,7,82,65,46,1024,1021,1019,9,7,4,19,13,,0.00,5,,47<br />
2005-1-9,17,14,13,10,7,5,68,57,48,1024,1022,1020,8,6,4,27,16,,0.00,3,,36<br />
2005-1-10,17,13,11,11,7,5,77,63,52,1024,1022,1020,6,5,4,26,16,,0.00,2,,35<br />
2005-1-11,19,17,15,12,11,8,77,67,49,1023,1021,1019,7,6,3,26,13,,0.00,2,,13<br />
2005-1-12,17,14,13,9,7,6,72,61,55,1023,1021,1018,8,7,5,32,18,,0.00,3,,8<br />
2005-1-13,14,11,9,9,7,5,100,79,63,1022,1020,1018,10,7,2,34,26,,0.00,6,Rain,5<br />
2005-1-14,14,10,6,4,1,-2,71,54,36,1025,1021,1019,10,7,6,29,24,,0.00,4,,11<br />
2005-1-15,14,11,9,2,-2,-4,51,40,29,1023,1021,1019,9,7,5,34,19,,0.00,3,,22<br />
2005-1-16,16,12,9,2,-1,-4,58,40,31,1025,1022,1020,9,7,5,24,16,,0.00,1,,58<br />
2005-1-17,18,14,11,9,7,1,82,59,42,1024,1021,1019,10,8,5,26,13,,0.00,2,,96<br />
2005-1-18,20,17,14,13,11,8,77,69,56,1021,1019,1018,10,8,5,27,19,,0.00,4,,84<br />
2005-1-19,20,18,16,14,13,11,88,74,64,1023,1020,1019,8,6,3,24,16,,0.00,5,,54<br />
2005-1-20,18,16,14,12,11,10,82,74,64,1026,1024,1022,6,6,5,26,14,,0.00,4,,94<br />
2005-1-21,20,17,14,13,11,10,82,71,52,1028,1025,1022,10,7,5,29,23,,0.00,4,Rain,93<br />
2005-1-22,20,18,16,15,14,12,94,79,68,1024,1021,1019,10,7,5,29,18,,0.00,4,,59<br />
2005-1-23,24,19,15,16,14,12,94,77,50,1020,1019,1016,10,6,0,32,11,,0.00,1,Fog,64<br />
2005-1-24,23,20,18,16,14,13,88,75,57,1019,1016,1013,10,9,6,26,19,,0.00,5,,90<br />
2005-1-25,23,21,19,17,17,16,88,80,69,1014,1012,1009,10,8,4,23,14,,0.00,5,,78<br />
2005-1-26,24,20,17,17,17,15,94,84,61,1013,1011,1009,10,7,3,37,16,,0.00,4,Rain,88<br />
2005-1-27,22,19,17,17,16,15,88,80,64,1013,1011,1009,10,8,7,37,27,45,0.00,5,,99<br />
2005-1-28,21,18,16,18,16,15,100,91,78,1012,1010,1009,10,4,1,21,13,,0.00,5,Rain,5<br />
2005-1-29,22,19,16,19,17,15,94,87,78,1013,1011,1009,10,5,1,23,13,,0.00,6,,55<br />
2005-1-30,20,17,13,18,16,12,100,95,88,1018,1015,1012,7,3,1,27,18,,0.00,6,Fog-Rain,358<br />
2005-1-31,14,13,12,12,9,7,94,78,67,1021,1019,1017,10,7,5,27,14,,0.00,6,Rain,20<br />
2005-2-1,13,11,10,8,5,2,87,63,51,1020,1018,1017,8,6,5,24,14,,0.00,6,Rain,36<br />
2005-2-2,14,12,10,12,9,7,94,82,67,1020,1019,1017,7,6,5,26,14,,0.00,6,Rain,66<br />
2005-2-3,15,13,12,14,12,10,94,89,77,1020,1017,1016,10,7,5,34,21,,0.00,6,Rain,79<br />
2005-2-4,20,18,15,18,15,14,100,88,73,1018,1016,1014,8,3,1,24,14,,0.00,5,,36<br />
2005-2-5,21,20,19,18,18,17,94,88,78,1017,1015,1014,9,7,5,27,18,,0.00,4,,91<br />
2005-2-6,22,20,19,18,18,17,94,87,73,1018,1017,1015,9,7,4,34,18,,0.00,4,,92<br />
2005-2-7,25,22,19,18,18,17,94,81,61,1021,1018,1017,10,8,4,24,14,,0.00,3,,64<br />
2005-2-8,25,21,17,19,18,17,100,85,65,1022,1019,1017,10,7,0,26,10,,0.00,2,Fog,120<br />
2005-2-9,25,22,19,17,17,16,88,77,61,1020,1019,1017,10,10,8,35,24,,0.00,5,,101<br />
2005-2-10,22,19,17,18,15,10,88,78,63,1024,1021,1019,10,8,3,34,19,,0.00,4,,18<br />
2005-2-11,19,17,14,12,10,8,77,66,56,1026,1024,1021,10,10,8,24,16,,0.00,6,,59<br />
2005-2-12,20,18,16,14,12,11,82,71,56,1024,1022,1019,10,9,7,21,14,,0.00,3,,63<br />
2005-2-13,22,19,16,14,13,12,82,73,53,1024,1020,1017,10,10,7,55,21,,0.00,4,,98<br />
2005-2-14,21,18,16,18,15,13,88,81,73,1019,1016,1013,10,10,8,61,45,69,0.00,5,Rain,102<br />
2005-2-15,24,21,19,21,19,17,94,85,78,1015,1013,1011,10,9,6,37,26,,0.00,5,Rain,134<br />
2005-2-16,26,23,22,21,21,20,94,84,69,1013,1011,1009,10,10,9,27,21,,0.00,5,Rain,174<br />
2005-2-17,25,21,17,21,18,16,100,84,74,1014,1011,1009,10,6,1,32,18,,0.00,5,Rain,281<br />
2005-2-18,17,13,11,16,11,8,100,89,77,1021,1016,1013,10,7,5,32,24,,0.00,6,Rain,359<br />
2005-2-19,13,11,10,8,4,1,82,59,50,1026,1022,1020,10,10,8,32,24,,0.00,6,,20<br />
2005-2-20,10,9,8,4,1,0,66,59,54,1027,1025,1023,10,8,6,26,18,,0.00,6,,30<br />
2005-2-21,10,9,8,7,5,4,87,77,66,1025,1023,1020,8,6,4,21,14,,0.00,6,Rain,38<br />
2005-2-22,12,10,9,11,8,6,94,87,76,1022,1020,1017,6,5,2,14,10,,0.00,6,Rain,31<br />
2005-2-23,21,16,12,18,14,10,94,87,73,1017,1013,1009,10,5,2,26,10,,0.00,6,Rain,39<br />
2005-2-24,23,19,16,20,18,16,100,90,73,1011,1009,1006,7,3,0,16,10,,0.00,6,Fog-Rain,9<br />
2005-2-25,21,19,17,19,17,15,100,93,83,1014,1011,1008,10,5,0,47,16,,0.00,6,Fog-Rain,78<br />
2005-2-26,17,16,14,15,13,12,94,85,77,1019,1016,1014,10,10,9,50,40,64,0.00,6,Rain,98<br />
2005-2-27,15,14,14,13,12,11,94,85,77,1019,1017,1016,10,9,3,45,27,,0.00,6,Rain,83<br />
2005-2-28,15,13,11,12,9,8,94,80,63,1021,1019,1018,10,9,5,26,14,,0.00,6,Rain,24<br />
2005-3-1,15,13,12,11,10,9,88,79,67,1023,1021,1018,10,9,6,29,14,,0.00,6,Rain,70<br />
2005-3-2,14,13,12,12,12,11,94,90,82,1023,1021,1019,10,6,2,27,16,,0.00,6,Rain,19<br />
2005-3-3,15,13,11,11,7,5,94,73,55,1027,1024,1022,10,9,6,27,19,,0.00,5,Rain,25<br />
2005-3-4,14,12,11,6,3,-1,71,53,36,1033,1028,1025,10,7,5,37,23,,0.00,5,Rain,37<br />
2005-3-5,16,12,9,7,4,-2,87,56,29,1034,1031,1027,10,8,5,32,14,,0.00,2,,20<br />
2005-3-6,19,16,12,8,1,-6,67,39,18,1029,1027,1025,,,,26,13,,0.00,,,103<br />
2005-3-7,20,17,13,11,9,7,77,62,49,1027,1025,1022,10,10,8,23,13,,0.00,3,,54<br />
2005-3-8,23,19,15,16,13,11,88,72,57,1023,1021,1018,10,9,5,23,13,,0.00,2,,81<br />
2005-3-9,24,21,18,18,17,16,88,77,61,1020,1017,1014,10,10,7,26,16,,0.00,4,,97<br />
2005-3-10,23,21,20,19,18,17,88,80,73,1015,1012,1010,10,9,5,19,13,,0.00,5,,73<br />
2005-3-11,25,23,21,21,21,19,94,85,73,1013,1011,1010,10,8,5,35,16,,0.00,6,Rain,112<br />
2005-3-12,23,16,9,21,14,5,94,87,71,1024,1015,1011,10,9,4,50,27,47,0.00,6,Rain,85<br />
2005-3-13,11,10,9,5,3,1,76,64,50,1027,1024,1023,10,10,10,29,18,,0.00,6,,28<br />
2005-3-14,14,12,10,8,6,2,72,62,54,1023,1020,1018,10,10,9,19,13,,0.00,6,,70<br />
2005-3-15,18,16,13,16,13,8,94,83,72,1019,1017,1015,10,8,4,37,18,,0.00,6,,86<br />
2005-3-16,24,20,17,19,17,16,94,85,69,1019,1017,1015,9,7,1,34,23,,0.00,6,,81<br />
2005-3-17,28,23,18,19,19,17,94,84,51,1018,1016,1014,9,5,1,23,13,,0.00,4,,8<br />
2005-3-18,22,20,17,19,15,12,94,75,64,1022,1019,1016,9,7,2,40,14,,0.00,5,,106<br />
2005-3-19,22,18,15,12,10,4,77,61,31,1023,1020,1018,10,8,6,42,29,39,0.00,3,,107<br />
2005-3-20,23,19,16,16,12,9,77,64,50,1020,1018,1016,10,10,10,27,18,,0.00,4,,64<br />
2005-3-21,25,22,19,18,16,13,83,75,64,1017,1014,1011,10,10,9,45,26,,0.00,6,Rain,100<br />
2005-3-22,25,22,20,21,19,17,94,85,74,1013,1011,1008,10,7,5,29,18,,0.00,5,Rain-Thunderstorm,69<br />
2005-3-23,22,19,17,20,16,13,100,80,60,1019,1015,1012,10,8,3,39,16,,0.00,6,Rain,324<br />
2005-3-24,22,19,16,12,9,7,64,55,43,1023,1021,1019,10,10,8,26,18,,0.00,5,Rain,42<br />
2005-3-25,19,18,17,12,10,7,68,59,49,1022,1020,1018,10,8,7,34,24,,0.00,5,,103<br />
2005-3-26,20,18,16,17,14,12,88,78,68,1019,1015,1013,10,9,5,47,34,66,0.00,6,Rain,92<br />
2005-3-27,25,22,19,21,19,16,94,83,74,1014,1013,1011,10,9,5,34,23,,0.00,6,Rain,94<br />
2005-3-28,28,24,21,22,21,20,100,84,66,1015,1013,1011,10,7,2,27,14,,0.00,5,,86<br />
2005-3-29,27,22,18,21,20,17,94,79,65,1014,1012,1009,10,9,1,35,16,,0.00,6,Rain,81<br />
2005-3-30,21,19,17,19,16,15,94,86,78,1013,1011,1008,10,7,5,48,35,58,0.00,6,Rain,91<br />
2005-3-31,19,18,17,17,16,15,94,86,78,1013,1012,1010,10,9,4,29,21,,0.00,6,Rain,95<br />
2005-4-1,20,19,18,18,16,15,100,87,78,1014,1013,1011,10,9,3,34,19,,0.00,6,Rain,87<br />
2005-4-2,23,20,18,18,17,16,100,83,69,1017,1015,1013,9,5,2,26,8,,0.00,6,,318<br />
