
EAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,20,14,8,5,0,-13,71,46,10,1031,1029,1027,,,,29,16,,0.00,,,102<br />
2005-1-2,16,11,6,1,-6,-20,66,42,7,1030,1028,1028,10,10,10,14,10,,0.00,1,,62<br />
2005-1-3,23,14,6,-8,-14,-24,31,16,4,1028,1027,1024,,,,29,11,,0.00,,,45<br />
2005-1-4,22,16,11,-7,-13,-20,26,13,5,1029,1027,1025,,,,26,14,,0.00,,,133<br />
2005-1-5,23,16,9,-4,-9,-16,32,20,8,1029,1028,1026,,,,29,10,,0.00,,,52<br />
2005-1-6,22,16,9,-1,-3,-7,46,30,18,1028,1027,1025,8,8,8,29,10,,0.00,0,,153<br />
2005-1-7,22,16,9,9,1,-3,63,41,25,1027,1026,1024,,,,26,14,,0.00,,,99<br />
2005-1-8,21,14,9,8,6,4,76,57,35,1028,1026,1024,10,10,10,26,13,,0.00,1,,123<br />
2005-1-9,22,17,12,6,3,1,62,40,25,1028,1025,1024,10,10,10,37,19,,0.00,1,,123<br />
2005-1-10,22,16,10,6,4,3,66,48,31,1028,1026,1024,10,10,10,29,13,,0.00,1,,112<br />
2005-1-11,22,17,12,8,6,4,63,50,33,1028,1026,1023,10,10,10,26,16,,0.00,1,,126<br />
2005-1-12,23,17,11,10,8,6,76,59,38,1028,1026,1023,10,10,10,23,16,,0.00,3,,129<br />
2005-1-13,23,18,13,10,9,7,77,62,38,1028,1026,1024,10,10,10,29,18,,0.00,4,,122<br />
2005-1-14,19,16,13,13,12,10,88,73,59,1027,1025,1023,10,10,9,19,8,,0.00,5,Rain,192<br />
2005-1-15,16,14,13,13,12,11,94,85,77,1026,1025,1024,10,9,8,11,6,,0.00,4,,117<br />
2005-1-16,18,16,13,12,11,9,94,77,56,1028,1026,1024,10,9,8,14,10,,0.00,5,Rain,114<br />
2005-1-17,22,18,14,11,10,8,82,70,41,1028,1025,1023,10,10,10,23,13,,0.00,3,,107<br />
2005-1-18,22,18,14,11,10,8,82,59,41,1028,1026,1023,10,10,10,29,16,,0.00,3,,132<br />
2005-1-19,24,19,14,11,9,5,82,60,31,1027,1025,1022,10,10,10,26,13,,0.00,4,,142<br />
2005-1-20,22,18,15,13,11,8,88,66,43,1027,1025,1023,10,10,10,29,13,,0.00,3,,130<br />
2005-1-21,23,18,13,11,8,3,88,58,29,1029,1026,1023,10,10,10,40,23,55,0.00,3,,115<br />
2005-1-22,24,20,16,6,0,-3,52,27,18,1029,1026,1023,10,10,10,26,16,,0.00,2,,121<br />
2005-1-23,23,18,13,6,3,0,51,38,25,1028,1027,1025,10,10,10,19,10,,0.00,2,,82<br />
2005-1-24,24,18,12,8,7,5,77,54,29,1029,1026,1023,10,10,10,26,14,,0.00,3,,118<br />
2005-1-25,22,17,13,11,9,7,88,65,40,1028,1026,1024,10,10,5,34,11,,0.00,3,Rain,119<br />
2005-1-26,21,16,12,11,9,8,94,66,43,1028,1026,1024,10,9,8,23,10,,0.00,4,Rain,87<br />
2005-1-27,22,17,12,11,9,8,82,68,50,1029,1027,1026,10,10,10,19,8,,0.00,3,,136<br />
2005-1-28,22,17,13,10,9,6,77,64,35,1027,1025,1024,10,10,10,29,10,,0.00,3,,133<br />
2005-1-29,21,16,11,12,9,5,94,67,35,1026,1024,1022,10,10,10,29,16,,0.00,3,,121<br />
2005-1-30,23,18,14,11,10,8,82,63,41,1027,1025,1023,10,10,9,34,16,,0.00,3,,134<br />
2005-1-31,20,16,12,10,8,6,82,66,46,1026,1025,1023,10,10,10,26,13,,0.00,2,,110<br />
2005-2-1,22,14,8,7,3,-3,76,48,22,1025,1024,1023,,,,45,16,,0.00,,,109<br />
2005-2-2,11,,11,3,3,3,58,58,58,1025,1025,1025,,,,11,11,,0.00,,,90<br />
2005-2-3,24,17,9,2,0,-5,44,31,19,1027,1025,1023,10,10,10,26,11,,0.00,1,,143<br />
2005-2-4,24,17,9,2,-1,-7,62,38,15,1027,1026,1025,10,10,10,19,8,,0.00,1,,46<br />
2005-2-5,23,17,10,-1,-4,-11,44,26,10,1026,1024,1023,,,,37,18,,0.00,,,98<br />
2005-2-6,23,16,9,0,-3,-8,41,28,13,1027,1025,1023,,,,29,13,,0.00,,,99<br />
2005-2-7,24,18,12,6,3,0,54,39,23,1027,1025,1023,10,10,10,26,18,,0.00,2,,109<br />
2005-2-8,24,18,13,4,2,-4,51,37,16,1028,1026,1024,10,10,10,26,16,,0.00,2,,117<br />
2005-2-9,24,19,15,4,2,0,42,32,22,1028,1026,1024,10,10,10,23,16,,0.00,3,,112<br />
2005-2-10,23,17,12,7,4,2,62,45,27,1030,1027,1026,10,10,10,37,16,,0.00,2,,125<br />
2005-2-11,25,19,13,7,4,2,63,38,24,1029,1026,1024,10,10,10,37,21,45,0.00,2,,116<br />
2005-2-12,24,18,13,9,7,5,72,53,31,1027,1026,1024,10,10,10,23,14,,0.00,2,,116<br />
2005-2-13,25,20,15,7,4,0,55,37,21,1027,1024,1022,10,10,10,26,16,,0.00,3,,121<br />
2005-2-14,24,19,14,10,7,2,72,51,24,1027,1025,1023,10,10,10,34,16,,0.00,4,,107<br />
2005-2-15,24,19,14,10,8,6,72,46,34,1028,1026,1023,10,10,10,45,23,,0.00,3,,114<br />
2005-2-16,25,19,14,9,6,1,72,45,26,1027,1026,1023,10,10,10,48,21,,0.00,2,,127<br />
2005-2-17,24,17,11,4,1,-3,58,36,18,1028,1026,1024,10,10,10,45,19,,0.00,1,,115<br />
2005-2-18,26,19,13,-1,-3,-5,36,24,16,1028,1026,1023,10,10,10,37,16,37,0.00,1,,103<br />
2005-2-19,26,19,13,1,-4,-8,44,23,11,1028,1027,1024,10,10,10,34,14,,0.00,1,,106<br />
2005-2-20,26,19,12,1,-3,-9,41,25,9,1029,1027,1025,10,10,10,45,14,,0.00,1,,111<br />
2005-2-21,27,20,14,5,-3,-8,48,24,10,1028,1026,1023,10,10,10,45,16,,0.00,1,,107<br />
2005-2-22,27,20,13,6,0,-5,48,30,14,1028,1026,1024,10,10,10,37,18,,0.00,2,,113<br />
