
AMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,32,28,24,25,23,22,94,86,62,1013,1011,1009,10,9,4,24,3,42,0.00,5,Rain-Thunderstorm,331<br />
2005-1-2,32,28,24,25,23,23,94,83,62,1014,1011,1008,10,10,10,23,3,,0.00,5,Rain-Thunderstorm,215<br />
2005-1-3,34,28,23,25,23,22,94,79,52,1013,1010,1007,10,10,9,16,3,,0.00,4,,190<br />
2005-1-4,35,29,24,25,23,22,94,74,47,1011,1009,1006,10,10,10,14,3,,0.00,3,,73<br />
2005-1-5,35,30,25,26,24,23,94,77,49,1011,1008,1004,10,10,10,10,2,,0.00,5,,43<br />
2005-1-6,35,30,25,24,23,22,94,73,47,1010,1007,1004,10,10,10,13,3,,0.00,4,,45<br />
2005-1-7,35,30,25,26,24,23,94,79,49,1011,1009,1006,10,10,10,13,3,,0.00,5,,198<br />
2005-1-8,31,27,24,25,23,22,94,85,70,1012,1010,1007,10,10,10,14,3,,0.00,5,,216<br />
2005-1-9,33,28,24,25,24,23,94,81,55,1012,1009,1006,10,7,0,23,2,,0.00,6,Fog,33<br />
2005-1-10,32,28,25,25,24,23,94,84,66,1012,1009,1006,10,10,8,21,3,47,0.00,5,Rain-Thunderstorm,28<br />
2005-1-11,35,29,24,25,24,23,94,77,49,1011,1008,1005,10,10,10,19,3,,0.00,5,Thunderstorm,86<br />
2005-1-12,30,27,23,26,24,22,100,89,74,1012,1010,1007,10,9,1,16,5,,0.00,5,Rain-Thunderstorm,232<br />
2005-1-13,34,29,24,25,24,23,94,84,56,1013,1009,1007,10,10,10,11,2,,0.00,6,Thunderstorm,295<br />
2005-1-14,33,29,25,26,24,24,94,83,59,1011,1008,1005,10,10,3,14,2,,0.00,5,Rain,353<br />
2005-1-15,34,30,26,26,25,24,94,85,59,1009,1007,1005,10,10,2,21,5,,0.00,6,Rain-Thunderstorm,26<br />
2005-1-16,34,30,26,26,25,24,94,81,56,1009,1007,1003,10,10,8,14,3,,0.00,5,Rain-Thunderstorm,45<br />
2005-1-17,35,29,24,26,23,22,94,82,53,1009,1007,1004,10,8,3,37,6,72,0.00,5,Rain-Thunderstorm,144<br />
2005-1-18,32,27,23,25,23,22,100,82,59,1011,1009,1006,10,8,0,21,3,,0.00,6,Fog-Rain-Thunderstorm,78<br />
2005-1-19,34,28,23,25,23,22,94,79,52,1011,1008,1004,10,9,1,14,6,37,0.00,6,Rain-Thunderstorm,357<br />
2005-1-20,28,26,24,25,24,22,94,89,79,1012,1009,1006,10,9,3,14,6,,0.00,6,Rain-Thunderstorm,32<br />
2005-1-21,32,27,23,25,23,21,94,82,62,1012,1010,1008,10,9,1,27,5,47,0.00,6,Fog-Rain-Thunderstorm,24<br />
2005-1-22,33,27,22,24,22,21,94,77,55,1014,1012,1009,10,10,10,19,5,,0.00,6,,63<br />
2005-1-23,32,27,22,24,23,20,94,83,62,1014,1012,1009,10,9,2,23,3,,0.00,6,Rain-Thunderstorm,61<br />
2005-1-24,32,27,23,24,23,22,94,80,59,1015,1011,1008,10,10,10,14,8,,0.00,5,,49<br />
2005-1-25,35,29,24,24,23,22,94,75,49,1013,1010,1007,10,10,10,14,3,,0.00,4,,3<br />
2005-1-26,34,29,25,25,24,21,94,79,55,1012,1010,1007,10,10,5,27,3,,0.00,6,Rain-Thunderstorm,38<br />
2005-1-27,33,29,25,25,24,23,94,76,55,1013,1010,1006,10,10,10,19,6,,0.00,5,,63<br />
2005-1-28,31,27,24,25,24,23,100,81,62,1013,1010,1006,10,8,0,10,2,,0.00,6,Fog-Thunderstorm,110<br />
2005-1-29,33,29,25,25,24,23,94,84,55,1010,1008,1004,10,10,9,14,2,,0.00,7,Rain-Thunderstorm,42<br />
2005-1-30,32,28,24,25,24,22,94,87,62,1010,1008,1006,10,9,3,21,3,39,0.00,6,Rain-Thunderstorm,68<br />
2005-1-31,34,28,23,24,23,22,94,80,55,1011,1008,1004,10,10,8,19,3,,0.00,6,Rain,73<br />
2005-2-1,32,28,24,25,24,23,94,82,62,1010,1007,1004,10,10,10,14,6,,0.00,6,Rain-Thunderstorm,67<br />
2005-2-2,30,27,23,25,23,22,94,89,70,1013,1009,1007,10,9,2,14,5,,0.00,7,Rain-Thunderstorm,344<br />
2005-2-3,27,24,23,24,22,22,94,88,74,1015,1011,1009,10,10,8,11,3,,0.00,6,Rain,88<br />
2005-2-4,32,27,23,24,23,22,100,82,55,1015,1012,1009,10,9,1,23,5,,0.00,5,Fog,75<br />
2005-2-5,33,28,24,25,23,22,94,80,55,1014,1011,1007,10,10,10,19,5,,0.00,4,,103<br />
