
ACST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2005-1-1,31,27,23,26,24,23,100,91,67,1007,1005,1002,31,9,0,37,16,,23.88,6,Rain,293<br />
2005-1-2,32,28,24,26,24,23,94,76,56,1007,1005,1004,31,14,5,29,23,48,0.25,6,Rain-Thunderstorm,329<br />
2005-1-3,32,28,23,26,24,22,97,80,53,1007,1006,1004,31,12,2,50,24,77,17.02,6,Rain,324<br />
2005-1-4,29,26,23,26,24,22,100,86,70,1008,1006,1003,31,9,1,39,27,,9.91,7,Rain,253<br />
2005-1-5,29,26,23,25,23,22,94,83,70,1007,1005,1003,31,14,2,53,19,,0.25,6,Rain,235<br />
2005-1-6,31,28,24,27,24,20,100,83,52,1007,1005,1004,31,13,2,27,10,,6.10,4,Rain,249<br />
2005-1-7,35,30,24,26,22,11,100,69,18,1008,1006,1003,31,19,10,19,11,,0.00,3,,218<br />
2005-1-8,34,29,25,26,24,22,94,72,42,1007,1005,1003,31,17,10,29,16,,0.00,1,,255<br />
2005-1-9,33,30,27,26,25,23,89,73,49,1007,1006,1004,31,15,10,27,18,,0.00,5,,270<br />
2005-1-10,32,30,28,27,26,24,94,78,57,1008,1006,1004,31,15,10,27,18,,25.91,5,Rain-Thunderstorm,278<br />
2005-1-11,29,26,22,26,24,21,100,90,72,1008,1007,1005,31,9,2,26,14,,27.94,6,Rain-Thunderstorm,311<br />
2005-1-12,32,28,24,26,24,24,100,79,56,1008,1007,1005,31,15,10,24,13,,0.00,2,,355<br />
2005-1-13,31,28,26,25,24,23,94,77,58,1008,1006,1004,31,15,10,19,11,,0.00,4,,320<br />
2005-1-14,31,27,24,26,25,23,100,85,59,1008,1006,1005,31,13,1,21,8,,39.12,5,Rain-Thunderstorm,233<br />
2005-1-15,32,28,23,26,25,23,100,85,55,1008,1006,1005,31,14,3,24,10,,20.07,6,Rain-Thunderstorm,275<br />
2005-1-16,32,28,24,26,24,22,94,77,57,1009,1008,1006,31,14,2,26,11,,0.76,5,Rain-Thunderstorm,235<br />
2005-1-17,33,29,26,26,25,23,94,78,49,1011,1009,1006,31,17,10,24,10,,0.00,6,Thunderstorm,91<br />
2005-1-18,34,29,24,27,25,23,100,83,49,1011,1009,1007,31,13,1,37,10,40,33.02,3,Rain-Thunderstorm,130<br />
2005-1-19,32,28,24,27,25,23,96,84,60,1011,1009,1006,31,13,1,16,8,,10.92,5,Rain-Thunderstorm,48<br />
2005-1-20,32,28,25,26,24,22,100,80,57,1011,1009,1007,31,14,10,29,10,,0.25,6,Rain-Thunderstorm,310<br />
2005-1-21,32,28,23,25,23,21,94,72,49,1011,1009,1006,31,14,4,34,16,,27.94,5,Rain-Thunderstorm,246<br />
2005-1-22,31,26,22,24,23,20,100,77,49,1011,1008,1005,31,15,3,34,21,,0.25,7,Rain-Thunderstorm,222<br />
2005-1-23,33,30,27,26,24,23,89,72,53,1010,1007,1005,31,15,10,27,16,,0.00,5,,257<br />
2005-1-24,33,30,28,26,26,25,89,77,59,1008,1006,1004,31,15,10,32,18,,5.08,4,,275<br />
2005-1-25,32,27,21,27,24,19,89,76,61,1009,1005,1003,31,13,3,60,24,69,6.10,4,Rain-Thunderstorm,309<br />
2005-1-26,33,28,24,27,26,22,94,78,62,1006,1004,1002,31,13,3,37,21,45,0.25,3,Rain-Thunderstorm,277<br />
2005-1-27,33,30,27,26,26,25,94,75,55,1006,1004,1002,31,15,10,29,18,,0.00,5,,299<br />
2005-1-28,33,31,28,26,25,24,84,71,51,1007,1005,1003,31,15,10,29,18,,0.00,4,,280<br />
2005-1-29,33,31,27,26,25,23,84,70,50,1008,1006,1003,31,15,10,29,19,,0.00,5,,270<br />
2005-1-30,34,30,26,26,24,23,84,70,51,1007,1005,1003,31,15,10,27,14,,0.00,5,,281<br />
2005-1-31,31,27,23,27,24,2,100,82,24,1008,1005,1003,31,11,3,21,11,34,1.02,5,Rain-Thunderstorm,274<br />
2005-2-1,32,28,24,26,25,23,94,77,63,1007,1005,1002,31,14,10,23,11,,0.76,6,Rain,311<br />
2005-2-2,29,26,23,26,25,23,100,89,70,1008,1006,1004,31,10,2,23,13,,20.07,6,Rain-Thunderstorm,273<br />
2005-2-3,29,27,24,24,24,23,94,81,67,1008,1006,1003,31,14,10,24,14,,6.10,6,Rain,280<br />
2005-2-4,28,26,24,25,24,23,100,92,78,1007,1006,1003,26,9,1,34,16,,33.02,6,Rain,240<br />
2005-2-5,30,27,23,25,23,22,100,90,59,1008,1007,1005,31,9,1,29,18,,23.11,8,Rain,264<br />
2005-2-6,33,28,23,25,24,21,91,73,51,1009,1007,1005,31,15,10,34,18,,0.00,5,,258<br />
2005-2-7,32,30,28,25,24,22,79,69,47,1010,1008,1007,31,16,10,35,23,,0.00,5,,262<br />
2005-2-8,32,30,28,25,24,23,79,69,54,1010,1008,1007,31,15,10,39,24,,0.00,7,Rain,267<br />
2005-2-9,33,30,28,25,24,23,79,68,48,1010,1008,1007,31,15,10,32,24,,0.00,3,,277<br />
2005-2-10,32,30,28,25,24,23,84,69,53,1011,1010,1008,31,14,10,32,23,,0.00,1,Rain,272<br />
2005-2-11,33,30,28,25,24,22,84,68,49,1012,1010,1008,31,14,10,29,19,,0.00,2,,264<br />
2005-2-12,33,29,24,26,23,20,89,71,48,1012,1009,1007,31,16,10,27,13,,0.00,3,Thunderstorm,250<br />
2005-2-13,31,28,26,26,24,22,91,79,58,1011,1009,1006,31,13,0,23,11,,12.95,5,Rain-Thunderstorm,290<br />
2005-2-14,33,29,26,26,25,22,94,77,47,1011,1009,1006,31,15,10,24,10,,0.51,4,Rain,243<br />
2005-2-15,33,29,26,26,24,22,94,71,43,1012,1010,1008,31,15,10,24,11,,1.02,4,Rain-Thunderstorm,38<br />
2005-2-16,34,29,24,25,23,20,100,71,38,1012,1010,1007,31,15,10,14,10,,0.00,2,Thunderstorm,313<br />
2005-2-17,34,29,24,27,24,19,89,75,46,1010,1008,1006,31,13,0,64,11,,27.94,2,Rain-Thunderstorm,254<br />
2005-2-18,33,27,22,26,23,19,94,78,58,1010,1008,1006,31,13,0,42,10,69,19.05,4,Rain-Thunderstorm,287<br />
2005-2-19,33,27,22,26,25,21,100,76,59,1010,1009,1007,31,16,10,27,13,,0.00,2,Thunderstorm,280<br />
2005-2-20,33,29,24,25,23,22,94,72,45,1011,1009,1007,31,15,10,23,11,,0.00,5,Rain-Thunderstorm,242<br />
2005-2-21,33,30,26,25,23,19,89,66,37,1012,1010,1008,31,15,10,32,13,,0.00,2,,332<br />
2005-2-22,33,28,24,24,22,19,89,67,42,1013,1011,1009,31,15,10,19,10,,0.25,3,,340<br />
2005-2-23,33,28,24,26,24,22,94,75,51,1013,1010,1008,31,13,2,26,10,42,23.11,3,Rain-Thunderstorm,245<br />
2005-2-24,33,28,24,27,25,22,94,78,59,1011,1009,1007,31,12,2,24,11,,2.03,3,Rain-Thunderstorm,256<br />
2005-2-25,33,29,24,26,24,22,100,72,43,1011,1010,1008,31,15,10,19,8,,0.51,2,,278<br />
2005-2-26,33,29,24,26,24,22,94,73,45,1013,1011,1008,31,16,10,29,11,,2.03,3,Rain-Thunderstorm,285<br />
2005-2-27,33,28,23,25,24,22,95,77,52,1013,1010,1007,31,13,0,50,11,53,32.00,5,Rain-Thunderstorm,37<br />
2005-2-28,33,28,22,26,24,21,100,78,46,1011,1009,1005,31,14,2,32,8,58,7.11,5,Rain-Thunderstorm,169<br />
2005-3-1,34,29,24,26,23,20,94,72,43,1013,1010,1008,31,14,4,37,10,45,0.00,5,Rain-Thunderstorm,53<br />
2005-3-2,32,28,23,26,23,23,95,84,58,1013,1011,1009,31,10,1,55,16,60,12.95,6,Rain-Thunderstorm,95<br />
2005-3-3,31,27,23,26,24,23,94,87,66,1012,1011,1009,31,14,9,19,8,,10.92,6,Rain-Thunderstorm,64<br />
