
IRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,21,10,-1,3,-6,-8,65,54,31,1028,1027,1021,8,5,2,11,2,,0.00,0,,193<br />
2006-1-2,4,1,-1,-5,-6,-8,69,59,42,1029,1027,1026,7,5,3,11,2,,0.00,,,189<br />
2006-1-3,5,2,0,-5,-7,-10,65,52,39,1028,1027,1026,8,6,5,6,2,,0.00,,,200<br />
2006-1-4,7,3,-1,-6,-7,-8,64,50,39,1030,1028,1027,8,5,3,6,0,,0.00,0,,187<br />
2006-1-5,14,7,0,-2,-4,-6,65,55,25,1028,1026,1025,8,4,3,11,3,,0.00,0,,217<br />
2006-1-6,8,4,1,-2,-3,-4,75,59,46,1025,1023,1021,7,5,2,6,0,,0.00,2,,200<br />
2006-1-7,8,4,1,-2,-4,-6,65,54,46,1023,1020,1017,8,5,3,14,2,,0.00,4,,160<br />
2006-1-8,8,6,4,4,-1,-7,81,64,42,1016,1014,1012,10,6,3,18,6,,0.00,6,Rain,271<br />
2006-1-9,7,3,1,3,2,0,93,88,76,1015,1013,1011,6,3,1,21,6,,0.00,8,Fog-Rain-Snow,238<br />
2006-1-10,5,2,0,1,-1,-21,93,79,20,1021,1019,1015,10,6,2,14,2,,0.00,6,Snow,200<br />
2006-1-11,4,2,0,1,0,-1,100,88,70,1021,1021,1019,10,4,0,14,6,,0.00,7,Fog-Rain-Snow,138<br />
2006-1-12,2,1,1,1,0,-1,100,91,81,1021,1019,1018,10,4,0,14,2,,0.00,7,Rain-Snow,164<br />
2006-1-13,4,1,-1,1,0,-2,93,85,75,1020,1019,1017,8,4,1,11,5,,0.00,6,,203<br />
2006-1-14,4,3,2,0,-1,-2,87,79,70,1018,1014,1012,5,4,1,29,6,,0.00,7,Rain,247<br />
2006-1-15,4,1,-1,-1,-3,-6,93,73,49,1015,1014,1013,10,5,2,21,6,,0.00,5,Snow,239<br />
2006-1-16,4,1,-2,-2,-4,-7,87,72,49,1016,1014,1013,10,5,1,26,14,,0.00,3,,264<br />
2006-1-17,3,0,-3,-1,-7,-10,87,64,45,1017,1015,1013,10,6,1,35,10,,0.00,0,,241<br />
2006-1-18,5,0,-5,-1,-9,-14,69,51,38,1018,1015,1013,8,5,2,21,8,,0.00,0,,259<br />
2006-1-19,4,1,-2,-5,-8,-11,60,53,42,1021,1019,1018,10,8,3,35,5,,0.00,2,,247<br />
2006-1-20,7,1,-4,-5,-7,-8,74,57,34,1020,1018,1015,10,8,4,64,10,,0.00,3,,272<br />
2006-1-21,4,2,0,1,-3,-6,93,71,49,1015,1013,1012,10,6,0,35,3,,0.00,6,Fog-Rain-Snow,231<br />
2006-1-22,3,-1,-5,-1,-5,-8,81,71,48,1021,1019,1015,10,7,4,35,19,,0.00,1,,249<br />
2006-1-23,6,3,0,-2,-4,-8,69,59,42,1021,1020,1018,5,3,1,14,3,,0.00,7,,181<br />
2006-1-24,14,9,5,6,0,-4,76,55,38,1020,1019,1018,10,7,5,18,6,,0.00,4,Rain,280<br />
2006-1-25,8,6,4,3,2,-1,93,73,57,1021,1020,1018,10,4,1,11,3,,0.00,6,Rain,181<br />
2006-1-26,45,24,3,5,4,2,100,92,9,1019,1015,1013,5,1,0,14,5,,0.00,7,Fog-Rain,172<br />
2006-1-27,10,8,5,4,-1,-81,93,71,4,1014,1013,1012,10,8,1,155,19,,0.00,6,Rain,261<br />
2006-1-28,8,4,1,0,-2,-6,87,64,43,1016,1015,1014,10,9,5,158,21,,0.00,3,,258<br />
2006-1-29,2,1,0,0,-3,-41,93,83,4,1018,1016,1015,10,4,0,224,18,,0.00,6,Snow,239<br />
2006-1-30,5,1,-2,1,-6,-10,93,62,36,1015,1014,1013,10,7,3,21,8,,0.00,3,,251<br />
2006-1-31,6,3,0,-5,-8,-11,64,45,31,1017,1016,1015,10,10,6,26,8,,0.00,3,,261<br />
2006-2-1,9,4,1,-5,-11,-16,60,34,16,1021,1018,1016,10,9,6,29,11,,0.00,5,,271<br />
2006-2-2,12,6,1,0,-6,-13,54,41,24,1024,1022,1021,10,8,7,21,8,,0.00,8,,235<br />
2006-2-3,10,8,6,4,1,-1,76,61,47,1023,1017,1014,10,8,5,11,3,,0.00,7,Rain,86<br />
2006-2-4,12,10,9,6,4,2,71,64,58,1016,1013,1012,10,10,8,18,6,,0.00,6,Rain,34<br />
2006-2-5,14,10,6,0,-4,-14,57,39,20,1021,1019,1017,10,9,6,29,14,,0.00,3,,271<br />
2006-2-6,15,10,6,-1,-5,-10,47,33,25,1021,1019,1017,7,7,6,14,5,,0.00,0,,234<br />
2006-2-7,15,11,8,3,-1,-5,51,42,29,1019,1017,1016,10,9,4,18,3,,0.00,6,Rain,151<br />
2006-2-8,17,13,10,8,4,1,77,58,36,1018,1016,1014,10,10,8,18,10,,0.00,6,Rain,98<br />
2006-2-9,13,11,9,11,8,-6,100,82,34,1015,1012,1009,10,8,1,40,10,,0.00,7,Fog-Rain,78<br />
2006-2-10,11,8,5,-2,-6,-10,50,37,25,1023,1020,1015,10,8,5,47,26,,0.00,2,,261<br />
2006-2-11,14,8,3,0,-4,-7,57,42,25,1024,1021,1019,8,6,4,14,5,,0.00,,,186<br />
2006-2-12,14,10,7,1,-2,-5,61,44,31,1019,1017,1015,10,7,5,11,2,,0.00,2,,228<br />
2006-2-13,15,11,8,3,1,-2,62,47,36,1016,1015,1013,10,8,5,11,2,,0.00,5,,196<br />
2006-2-14,14,11,9,5,3,1,76,56,41,1016,1014,1012,10,10,7,18,10,,0.00,6,Rain,273<br />
2006-2-15,15,11,8,6,4,3,87,67,51,1012,1008,1005,10,10,8,18,8,,0.00,6,Rain,360<br />
