
IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,25,18,11,13,11,9,94,68,41,1019,1016,1014,3,1,1,13,3,,0.00,0,Fog,329<br />
2006-1-2,26,21,16,15,12,10,88,58,36,1018,1014,1012,4,2,1,11,6,,0.00,3,,328<br />
2006-1-3,31,22,13,14,12,10,94,71,33,1016,1014,1012,3,1,0,10,2,,0.00,4,Fog,321<br />
2006-1-4,26,20,14,14,12,9,94,72,36,1015,1013,1010,3,1,0,14,3,,0.00,3,Fog,343<br />
2006-1-5,25,19,13,14,12,8,94,69,34,1016,1013,1010,3,1,0,16,3,,0.00,4,Fog,338<br />
2006-1-6,24,18,12,14,11,8,94,69,41,1016,1013,1012,3,1,1,13,6,,0.00,2,Fog,336<br />
2006-1-7,22,16,10,13,12,9,100,77,46,1017,1014,1011,2,1,0,13,5,,0.00,3,Fog,336<br />
2006-1-8,24,18,13,14,12,10,94,73,41,1017,1014,1012,2,1,0,13,5,,0.00,2,Fog,339<br />
2006-1-9,23,18,13,14,11,9,94,74,41,1017,1014,1012,2,1,0,16,3,,0.00,1,Fog,337<br />
2006-1-10,23,17,10,12,10,7,100,74,36,1018,1014,1012,2,1,0,13,3,,0.00,0,Fog,360<br />
2006-1-11,24,17,9,14,9,7,100,72,34,1016,1013,1011,3,1,0,13,2,,0.00,0,Fog,317<br />
2006-1-12,25,17,9,14,11,7,94,73,32,1016,1013,1011,2,1,0,8,2,,0.00,0,Fog,310<br />
2006-1-13,25,18,11,16,13,9,100,78,36,1015,1012,1009,2,1,0,8,0,,0.00,0,Fog,145<br />
2006-1-14,25,19,13,19,16,13,100,85,61,1014,1012,1010,1,1,0,10,2,,0.00,0,Fog,285<br />
2006-1-15,27,19,12,17,13,10,100,75,34,1017,1013,1011,3,1,0,11,2,,0.00,0,Fog,330<br />
2006-1-16,27,19,12,16,13,8,100,74,32,1014,1012,1010,3,1,0,11,2,,0.00,0,Fog,278<br />
2006-1-17,28,20,12,19,15,11,100,78,45,1014,1011,1010,2,1,0,8,2,,0.00,0,Fog,199<br />
2006-1-18,31,23,15,18,16,10,94,68,37,1012,1010,1008,3,1,0,14,3,,0.00,0,Fog,250<br />
2006-1-19,30,23,17,17,15,12,88,67,33,1013,1011,1009,3,2,1,14,2,,0.00,0,Fog,295<br />
2006-1-20,27,21,16,17,14,11,88,65,37,1015,1012,1011,3,1,1,14,3,,0.00,0,Fog,318<br />
2006-1-21,29,22,15,17,12,8,88,61,27,1016,1013,1011,3,2,0,13,3,,0.00,0,Fog,331<br />
2006-1-22,27,21,16,14,11,6,88,57,26,1015,1012,1011,4,2,1,16,5,,0.00,0,Fog,313<br />
2006-1-23,26,18,11,14,11,8,100,66,32,1015,1012,1011,5,2,0,10,2,,0.00,0,Fog,358<br />
2006-1-24,23,18,14,14,11,9,82,65,41,1017,1015,1012,3,2,1,14,3,,0.00,4,Fog,352<br />
2006-1-25,24,18,13,12,8,5,77,56,29,1020,1017,1015,4,2,1,11,5,,0.00,1,,342<br />
2006-1-26,24,17,10,11,8,4,88,58,29,1021,1017,1015,4,2,1,16,6,,0.00,0,Fog,316<br />
2006-1-27,25,19,13,15,12,9,88,65,44,1019,1016,1013,3,2,1,13,3,,0.00,0,Fog,317<br />
2006-1-28,26,19,13,15,13,11,94,70,42,1017,1014,1012,3,2,1,11,3,,0.00,0,Fog,338<br />
2006-1-29,27,19,12,14,12,8,94,69,32,1017,1014,1011,3,2,1,11,2,,0.00,0,Fog,326<br />
2006-1-30,27,20,13,15,12,9,94,68,34,1017,1015,1014,3,1,1,11,2,,0.00,0,Fog,357<br />
2006-1-31,27,20,13,16,14,12,100,76,39,1019,1016,1014,2,1,0,10,2,,0.00,0,Fog,340<br />
2006-2-1,28,21,14,17,15,13,100,73,42,1018,1016,1013,2,1,0,10,2,,0.00,0,Fog,320<br />
2006-2-2,28,21,15,19,17,14,94,77,48,1018,1015,1013,1,1,0,6,0,,0.00,1,Fog,150<br />
2006-2-3,30,22,15,17,15,11,94,69,37,1018,1015,1014,2,1,0,10,2,,0.00,0,Fog,294<br />
2006-2-4,28,22,17,17,13,10,94,67,34,1018,1015,1013,4,2,0,10,2,,0.00,0,Fog,307<br />
2006-2-5,29,22,15,15,11,7,88,56,25,1017,1014,1012,4,2,1,13,3,,0.00,0,Fog,298<br />
2006-2-6,29,22,15,16,14,12,94,69,39,1017,1014,1011,2,1,0,13,2,,0.00,0,Fog,319<br />
2006-2-7,28,21,15,15,14,10,94,68,34,1016,1014,1012,2,1,0,0,0,,0.00,0,Fog,-1<br />
2006-2-8,29,22,15,17,14,12,94,66,35,1018,1015,1013,4,2,0,10,0,,0.00,0,Fog,103<br />
2006-2-9,30,23,16,16,14,9,94,67,27,1019,1016,1011,3,1,0,6,0,,0.00,1,Fog,80<br />
2006-2-10,31,23,16,17,14,12,88,63,31,1017,1014,1011,2,1,1,8,0,,0.00,0,Fog,250<br />
2006-2-11,29,23,18,17,15,13,88,66,39,1016,1013,1011,3,1,1,10,3,,0.00,0,Fog,347<br />
2006-2-12,30,23,17,18,16,13,100,71,35,1015,1013,1011,4,1,0,6,0,,0.00,0,Fog,90<br />
2006-2-13,30,23,17,17,15,13,94,61,35,1013,1011,1008,4,2,0,13,3,,0.00,0,Fog,201<br />
2006-2-14,32,24,17,20,14,10,100,60,26,1011,1009,1006,4,2,0,13,3,,0.00,0,Fog,234<br />
2006-2-15,35,27,19,20,16,12,88,57,26,1011,1008,1005,4,2,1,11,5,,0.00,1,Fog,180<br />
2006-2-16,34,28,22,22,19,14,88,62,30,1009,1006,1004,5,3,1,13,8,,0.00,0,,197<br />
2006-2-17,33,27,21,20,16,10,88,57,24,1012,1009,1006,4,2,1,11,6,,0.00,0,Fog,249<br />
2006-2-18,33,27,21,22,20,16,94,70,36,1014,1011,1009,3,2,0,13,5,,0.00,1,Fog,169<br />
2006-2-19,33,27,21,22,21,17,94,74,40,1011,1010,1007,3,2,1,11,3,,0.00,2,Fog,181<br />
2006-2-20,31,27,23,23,21,19,94,74,49,1011,1009,1008,3,2,1,10,5,,0.00,2,,287<br />
2006-2-21,33,27,21,21,19,15,94,65,34,1011,1009,1006,3,2,1,11,3,,0.00,0,Fog,275<br />
2006-2-22,35,28,21,22,17,12,94,60,25,1011,1008,1006,4,2,0,11,3,,0.00,0,Fog,240<br />
2006-2-23,35,28,22,22,17,9,89,58,20,1010,1008,1006,4,2,1,13,3,,0.00,0,Fog,269<br />
2006-2-24,35,28,20,21,16,10,94,56,22,1010,1007,1005,5,2,1,13,3,,0.00,0,Fog,277<br />
2006-2-25,36,27,19,20,16,9,94,58,20,1010,1008,1005,4,2,1,11,2,,0.00,0,Fog,268<br />
2006-2-26,37,28,19,22,15,6,94,55,16,1010,1007,1004,5,2,0,11,3,,0.00,0,Fog,244<br />
2006-2-27,37,28,20,20,15,10,83,46,20,1008,1006,1003,4,2,1,10,3,,0.00,0,Fog,260<br />
2006-2-28,34,28,22,21,18,13,88,62,28,1009,1007,1005,4,2,1,10,2,,0.00,0,Fog,169<br />
2006-3-1,31,26,21,20,18,15,94,63,40,1011,1009,1007,4,2,1,8,5,,0.00,0,,128<br />
2006-3-2,31,26,21,21,16,11,94,58,33,1014,1011,1009,4,2,1,11,2,,0.00,4,Fog,353<br />
2006-3-3,30,24,19,17,15,13,83,57,35,1014,1011,1010,5,2,1,10,2,,0.00,2,Fog,343<br />
2006-3-4,32,26,19,20,18,16,88,68,43,1014,1011,1009,4,2,1,13,3,,0.00,3,Fog-Rain,177<br />
2006-3-5,30,26,21,21,19,15,94,70,45,1013,1011,1010,3,2,1,10,2,,0.00,4,,197<br />
2006-3-6,33,27,20,21,19,16,94,67,36,1014,1011,1009,4,2,0,11,2,,0.00,0,Fog,178<br />
2006-3-7,33,27,22,22,20,18,94,66,41,1014,1011,1009,4,3,1,10,5,,0.00,1,Fog,208<br />
2006-3-8,33,27,21,23,20,16,100,67,36,1015,1012,1010,5,2,0,10,2,,0.00,2,Fog,142<br />
2006-3-9,34,28,23,21,18,16,83,59,34,1016,1013,1010,5,2,1,10,2,,0.00,2,Fog,346<br />
2006-3-10,34,29,24,20,19,18,78,58,41,1013,1011,1009,4,2,1,8,3,,0.00,2,,331<br />
2006-3-11,25,22,19,19,17,16,88,70,61,1015,1011,1009,5,3,1,19,11,,0.00,5,,334<br />
2006-3-12,30,24,18,19,17,15,94,68,42,1012,1008,1005,5,3,1,10,3,,0.00,3,,305<br />
2006-3-13,30,25,20,21,18,16,88,67,48,1011,1009,1007,4,2,1,10,2,,0.00,2,Fog,350<br />
2006-3-14,32,26,21,21,18,16,94,65,38,1014,1011,1008,4,2,1,8,2,,0.00,2,Fog,187<br />
2006-3-15,34,28,23,22,18,16,88,59,38,1013,1011,1008,5,3,1,14,6,,0.00,3,,188<br />
2006-3-16,31,26,21,19,18,17,88,68,43,1011,1010,1007,3,2,1,11,2,,0.00,4,,285<br />
2006-3-17,26,26,26,18,18,18,61,61,61,1008,1008,1008,3,3,3,0,0,,0.00,1,,-1<br />
2006-3-21,34,30,26,21,18,14,74,54,35,1004,1004,1003,5,2,1,10,3,,0.00,0,,160<br />
2006-3-22,36,30,25,22,19,15,83,58,28,1006,1004,1002,6,3,2,11,8,,0.00,1,,204<br />
2006-3-23,34,28,23,24,14,8,89,48,20,1009,1005,1003,6,3,1,16,5,,0.00,0,,328<br />
2006-3-24,36,28,21,18,14,9,83,46,19,1009,1006,1003,7,3,1,8,2,,0.00,0,,275<br />
2006-3-25,38,31,24,23,17,13,79,48,22,1009,1006,1004,6,3,2,10,3,,0.00,0,,193<br />
2006-3-26,40,32,25,24,19,10,89,51,16,1008,1005,1003,6,4,2,11,6,,0.00,0,,202<br />
2006-3-27,38,32,27,24,19,11,84,56,21,1008,1006,1003,5,3,1,14,6,,0.00,1,,57<br />
2006-3-28,35,29,24,21,16,9,78,47,20,1012,1008,1005,6,3,1,14,5,,0.00,3,,352<br />
2006-3-29,35,29,24,18,14,8,61,43,19,1012,1009,1007,7,4,2,11,5,,0.00,2,,70<br />
2006-3-30,35,28,22,21,18,16,78,54,34,1012,1009,1007,5,3,1,10,3,,0.00,1,,185<br />
2006-3-31,35,30,25,25,23,20,89,74,41,1012,1008,1005,5,3,1,14,5,,0.00,2,Fog,161<br />
2006-4-1,35,30,25,26,23,18,94,73,36,1010,1007,1004,5,3,1,14,8,,0.00,1,Fog,175<br />
2006-4-2,35,30,25,25,23,21,94,74,47,1009,1007,1004,5,4,2,14,8,,0.00,2,,174<br />
2006-4-3,34,30,26,25,24,23,89,75,59,1007,1005,1003,5,4,3,19,13,,0.00,3,,181<br />
2006-4-4,35,31,27,27,25,24,89,76,56,1007,1004,1002,5,4,3,19,14,,0.00,3,,170<br />
2006-4-5,35,31,27,27,26,23,89,77,56,1007,1005,1003,5,4,3,16,11,,0.00,2,,169<br />
2006-4-6,36,31,27,26,25,24,94,75,50,1009,1006,1003,5,4,3,16,10,,0.00,1,,176<br />
2006-4-7,34,30,27,26,26,24,94,78,59,1008,1006,1003,5,4,2,19,8,,0.00,2,,178<br />
2006-4-8,35,31,28,26,24,23,89,71,49,1008,1005,1002,5,4,3,19,11,,0.00,4,Rain,169<br />
2006-4-9,34,30,27,25,24,23,89,71,52,1009,1005,1003,5,4,2,19,11,,0.00,3,,178<br />
2006-4-10,35,31,27,26,24,23,84,71,55,1008,1005,1002,5,4,4,23,11,,0.00,3,,174<br />
2006-4-11,36,31,27,26,25,24,89,73,50,1006,1003,1000,5,4,2,19,13,,0.00,2,,178<br />
2006-4-12,38,33,28,27,26,25,89,76,47,1006,1003,1000,5,4,3,16,13,,0.00,2,,170<br />
2006-4-13,36,30,25,27,24,21,84,74,50,1007,1004,1001,5,4,3,19,13,,0.00,3,Rain-Thunderstorm,176<br />
2006-4-14,35,30,25,27,25,20,89,77,59,1009,1006,1005,4,3,2,14,8,,0.00,3,,178<br />
2006-4-15,37,32,28,27,24,19,94,68,35,1010,1006,1003,5,3,3,13,8,,0.00,3,,215<br />
2006-4-16,32,28,25,26,22,18,89,66,46,1009,1005,1003,4,3,1,13,6,,0.00,4,,197<br />
2006-4-17,33,29,25,24,21,17,84,63,43,1009,1007,1005,4,2,1,13,5,,0.00,5,,217<br />
2006-4-18,28,26,23,22,21,18,89,77,65,1011,1008,1005,5,3,2,14,3,,0.00,3,Rain,127<br />
2006-4-19,33,28,23,23,21,20,94,71,46,1011,1010,1007,5,3,2,11,5,,0.00,2,Rain-Thunderstorm,289<br />
2006-4-20,34,28,23,23,21,17,94,65,36,1013,1011,1008,5,3,1,11,2,,0.00,1,,347<br />
2006-4-21,36,30,24,24,21,16,89,62,30,1010,1008,1005,5,3,1,19,5,,0.00,0,Fog,184<br />
2006-4-22,38,31,24,25,23,20,94,69,35,1008,1006,1002,4,3,2,19,10,,0.00,2,Rain-Thunderstorm,172<br />
2006-4-23,34,28,22,25,23,20,94,74,56,1008,1006,1003,6,4,1,13,6,,0.00,1,,121<br />
2006-4-24,38,30,22,26,23,18,94,73,43,1010,1005,1002,5,3,1,19,8,,0.00,2,Rain-Thunderstorm,147<br />
2006-4-25,35,29,23,26,22,19,88,67,46,1007,1004,1001,5,4,3,14,10,,0.00,2,Rain-Thunderstorm,81<br />
2006-4-26,37,31,25,26,23,19,89,66,47,1006,1004,1001,5,4,3,26,6,,0.00,2,Rain-Thunderstorm,185<br />
2006-4-27,36,30,25,25,24,20,89,69,46,1007,1005,1002,5,4,2,21,10,,0.00,3,,151<br />
2006-4-28,36,31,26,26,24,22,94,69,47,1007,1004,1001,5,4,1,10,2,,0.00,2,,127<br />
2006-4-29,37,32,28,25,23,22,84,64,42,1005,1002,999,5,4,2,14,6,,0.00,1,,320<br />
2006-4-30,38,32,27,25,23,21,79,59,37,1005,1003,1001,5,4,2,11,3,,0.00,1,,231<br />
2006-5-1,38,33,28,26,25,23,89,67,42,1008,1005,1004,5,4,3,19,11,,0.00,1,,175<br />
2006-5-2,37,32,28,26,24,21,89,67,44,1009,1006,1005,5,4,3,14,11,,0.00,1,,169<br />
2006-5-3,37,32,28,29,26,23,94,70,47,1009,1007,1004,5,4,2,19,10,,0.00,2,,171<br />
2006-5-4,38,32,27,27,26,24,100,71,47,1008,1007,1004,5,4,4,21,14,,0.00,2,,184<br />
