
WET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,17,13,9,13,11,7,100,88,68,1027,1026,1025,10,7,2,14,6,,0.00,4,Rain,119<br />
2006-1-2,16,12,8,12,9,7,94,85,68,1027,1025,1021,10,9,8,19,6,,0.00,2,,63<br />
2006-1-3,16,10,5,10,7,4,100,85,59,1025,1023,1022,10,8,5,14,6,,0.00,1,,83<br />
2006-1-4,16,10,5,10,7,4,100,84,59,1022,1019,1017,10,7,5,11,3,,0.00,1,,63<br />
2006-1-5,15,10,5,10,7,4,100,85,63,1019,1018,1017,10,7,5,14,8,,0.00,3,,169<br />
2006-1-6,15,12,9,12,9,7,94,84,63,1017,1014,1011,8,6,5,34,16,,0.00,6,Rain,201<br />
2006-1-7,10,8,6,9,7,5,100,92,82,1015,1012,1010,8,6,5,19,11,,0.00,3,Rain,162<br />
2006-1-8,16,10,5,10,7,5,100,83,59,1018,1016,1014,10,8,6,19,13,,0.00,3,,143<br />
2006-1-9,15,8,2,8,6,1,93,81,59,1022,1020,1018,8,7,5,14,10,,0.00,0,,50<br />
2006-1-10,16,10,4,11,7,4,100,87,63,1023,1022,1021,10,7,5,19,8,,0.00,3,Rain,180<br />
2006-1-11,15,10,6,10,8,5,93,83,67,1026,1023,1022,10,9,8,26,13,48,0.00,2,,80<br />
2006-1-12,17,11,6,13,8,4,94,77,63,1024,1022,1021,10,8,5,23,13,,0.00,3,Rain,168<br />
2006-1-13,14,12,11,13,11,10,100,93,82,1026,1024,1023,8,6,5,14,10,,0.00,6,Rain,176<br />
2006-1-14,15,12,10,13,11,9,94,92,88,1026,1024,1023,8,6,5,29,14,,0.00,5,Rain,212<br />
2006-1-15,16,12,9,11,9,8,100,83,63,1026,1023,1018,10,8,6,26,11,,0.00,4,Rain,192<br />
2006-1-16,12,10,8,10,9,6,100,90,77,1018,1017,1016,10,6,5,29,19,,0.00,4,Rain,176<br />
2006-1-17,17,10,3,10,7,2,93,85,52,1022,1019,1016,10,8,5,19,10,,0.00,2,Rain,44<br />
2006-1-18,14,9,5,10,7,4,93,88,72,1024,1022,1020,10,7,5,14,5,,0.00,1,,162<br />
2006-1-19,14,9,5,11,8,4,100,88,76,1021,1020,1018,8,7,5,11,5,,0.00,5,,131<br />
2006-1-20,18,11,5,13,8,4,94,85,64,1024,1021,1020,10,7,5,23,10,,0.00,1,,48<br />
