
SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,31,28,26,24,23,22,89,78,62,1012,1010,1008,10,10,10,13,5,,0.00,6,Rain,330<br />
2007-1-2,31,27,24,26,24,23,100,85,62,1012,1010,1007,10,9,1,14,3,,0.00,6,Rain,321<br />
2007-1-3,30,28,25,25,24,24,100,89,70,1012,1010,1008,10,9,6,16,2,,0.00,5,Rain-Thunderstorm,283<br />
2007-1-4,31,28,25,25,24,23,100,87,62,1011,1010,1008,10,9,3,11,2,,0.00,5,Rain-Thunderstorm,272<br />
2007-1-5,30,28,25,25,23,22,89,80,70,1011,1010,1008,10,10,10,13,5,,0.00,6,,3<br />
2007-1-6,32,28,25,26,24,23,94,81,59,1011,1009,1007,10,10,10,14,5,,0.00,5,,324<br />
2007-1-7,32,28,25,25,24,22,94,77,55,1010,1009,1007,10,10,10,23,5,,0.00,6,,267<br />
2007-1-8,32,28,25,26,25,24,100,87,70,1011,1009,1007,10,10,10,16,3,,0.00,6,Rain,69<br />
2007-1-9,26,26,25,25,25,24,100,98,89,1013,1011,1009,10,8,1,13,5,,0.00,6,Rain-Thunderstorm,23<br />
2007-1-10,30,27,24,26,25,24,100,89,74,1012,1011,1008,10,9,4,26,8,,0.00,5,Rain-Thunderstorm,26<br />
2007-1-11,27,26,24,26,25,24,100,98,94,1012,1010,1008,10,6,2,21,5,,0.00,5,Rain-Thunderstorm,335<br />
2007-1-12,26,24,24,25,24,24,100,99,94,1012,1010,1008,10,5,1,16,5,,0.00,7,Rain-Thunderstorm,283<br />
2007-1-13,26,24,24,24,24,23,100,96,83,1012,1010,1008,10,9,2,11,3,,0.00,6,Rain,345<br />
2007-1-14,25,24,24,25,24,24,100,97,94,1012,1011,1009,10,8,4,10,2,,0.00,6,Rain-Thunderstorm,347<br />
2007-1-15,29,27,24,26,24,24,100,95,74,1012,1010,1008,10,9,3,19,3,,0.00,6,Rain,348<br />
2007-1-16,30,28,25,25,24,24,94,88,70,1012,1010,1008,10,10,6,13,5,,0.00,5,Rain,7<br />
2007-1-17,32,28,24,25,24,24,100,83,62,1012,1010,1008,10,10,8,16,6,,0.00,6,,13<br />
2007-1-18,32,28,25,26,24,24,94,88,66,1013,1011,1009,10,10,4,23,5,39,0.00,5,Rain-Thunderstorm,359<br />
2007-1-19,31,28,25,27,25,24,100,88,66,1013,1010,1007,10,10,9,19,3,,0.00,6,,33<br />
2007-1-20,30,28,26,27,26,25,100,92,79,1012,1010,1008,10,10,7,23,5,,0.00,6,Rain-Thunderstorm,43<br />
2007-1-21,31,28,26,26,25,24,100,86,70,1012,1010,1008,10,10,10,24,8,,0.00,6,,25<br />
2007-1-22,31,28,25,25,24,23,94,83,62,1013,1011,1009,10,10,10,24,10,,0.00,6,,13<br />
2007-1-23,31,27,24,25,24,23,100,87,66,1014,1013,1011,10,10,7,29,8,,0.00,6,Rain,356<br />
2007-1-24,31,27,24,25,24,23,100,86,66,1013,1012,1010,10,10,8,23,10,,0.00,6,Rain,13<br />
2007-1-25,26,24,23,25,23,23,100,93,89,1015,1013,1010,10,8,3,23,8,,0.00,6,Rain,358<br />
2007-1-26,29,27,24,25,24,23,100,89,74,1014,1012,1010,10,10,4,16,6,,0.00,5,Rain,352<br />
2007-1-27,28,27,25,25,24,23,100,90,83,1015,1013,1011,10,9,6,24,10,,0.00,6,Rain,8<br />
2007-1-28,29,27,25,25,23,22,100,85,70,1015,1013,1012,10,9,7,26,14,,0.00,5,Rain,12<br />
2007-1-29,30,28,25,23,22,20,83,72,55,1015,1014,1012,10,9,8,29,18,48,0.00,6,,14<br />
2007-1-30,30,27,24,22,21,20,83,73,58,1016,1014,1012,10,10,9,27,14,,0.00,6,,16<br />
2007-1-31,30,27,24,21,21,19,83,72,58,1016,1014,1012,10,10,10,24,13,,0.00,6,,11<br />
2007-2-1,29,27,24,22,21,20,83,75,58,1015,1014,1012,10,10,10,24,11,,0.00,6,,16<br />
2007-2-2,29,27,25,24,22,21,83,74,62,1015,1013,1011,10,10,10,24,16,,0.00,6,,15<br />
2007-2-3,29,27,25,23,22,21,89,76,66,1014,1013,1011,10,10,10,24,14,,0.00,6,,18<br />
2007-2-4,30,28,25,23,22,21,89,78,66,1014,1012,1010,10,10,7,23,11,,0.00,6,,16<br />
2007-2-5,30,27,24,24,23,22,94,81,62,1014,1012,1010,10,10,10,24,11,,0.00,6,,19<br />
2007-2-6,31,28,25,24,23,23,94,81,62,1014,1012,1010,10,10,10,21,8,,0.00,6,,29<br />
2007-2-7,31,28,25,25,24,22,94,82,58,1015,1013,1010,10,10,10,23,13,,0.00,6,,26<br />
2007-2-8,31,28,25,24,23,22,94,82,58,1014,1013,1011,10,10,10,26,14,,0.00,6,,25<br />
2007-2-9,31,28,25,24,23,22,94,81,58,1015,1013,1010,10,10,10,26,14,,0.00,6,,19<br />
2007-2-10,32,28,24,24,23,22,100,81,58,1013,1012,1009,10,10,10,23,6,,0.00,6,,15<br />
2007-2-11,32,28,24,25,24,23,100,82,59,1014,1011,1010,10,10,10,23,6,,0.00,5,,17<br />
2007-2-12,32,28,25,26,24,24,94,84,66,1013,1011,1009,10,10,10,26,10,,0.00,5,,11<br />
2007-2-13,32,28,25,25,25,23,100,83,62,1012,1011,1009,10,10,10,24,11,,0.00,6,,23<br />
2007-2-14,32,28,25,25,24,23,100,83,62,1013,1012,1010,10,10,10,21,10,,0.00,6,,24<br />
2007-2-15,33,29,25,25,25,24,100,84,62,1013,1011,1008,10,10,10,24,10,,0.00,6,,27<br />
2007-2-16,33,29,26,25,24,22,94,83,59,1012,1010,1007,10,10,9,24,6,,0.00,6,,22<br />
2007-2-17,32,28,25,26,25,24,94,87,66,1012,1010,1007,10,10,6,24,6,,0.00,6,Rain-Thunderstorm,40<br />
2007-2-18,32,28,25,25,25,24,100,85,62,1011,1009,1006,10,10,6,14,3,,0.00,6,Rain,35<br />
2007-2-19,31,28,25,25,25,23,100,92,62,1012,1010,1008,10,9,1,13,2,,0.00,6,Rain-Thunderstorm,356<br />
2007-2-20,31,27,24,26,24,23,100,86,70,1011,1010,1008,10,10,10,23,3,,0.00,6,,37<br />
2007-2-21,32,28,25,25,24,23,100,81,62,1012,1010,1007,10,10,10,21,3,,0.00,6,,51<br />
2007-2-22,32,28,25,25,24,21,100,81,52,1011,1009,1006,10,9,5,23,5,,0.00,6,,41<br />
2007-2-23,32,28,25,25,24,22,100,81,58,1010,1008,1006,10,10,10,16,5,,0.00,6,,25<br />
2007-2-24,32,29,26,26,24,23,94,83,59,1010,1009,1007,10,10,10,21,6,,0.00,6,,20<br />
2007-2-25,32,29,26,25,24,23,94,82,59,1010,1008,1006,10,10,10,13,3,,0.00,6,,4<br />
2007-2-26,33,29,25,26,24,22,100,84,55,1011,1008,1007,10,10,8,24,3,,0.00,6,Rain-Thunderstorm,6<br />
2007-2-27,31,28,25,25,24,22,94,81,58,1010,1008,1007,10,10,10,23,5,,0.00,6,,25<br />
2007-2-28,28,26,24,26,24,23,100,94,84,1011,1008,1007,10,8,2,21,3,,0.00,6,Rain-Thunderstorm,338<br />
2007-3-1,25,24,23,24,23,23,100,99,94,1012,1010,1008,9,7,5,19,5,,0.00,6,Rain,295<br />
2007-3-2,31,27,24,26,24,23,100,91,66,1011,1009,1008,10,8,2,21,5,,0.00,6,Rain-Thunderstorm,12<br />
2007-3-3,31,28,25,26,24,24,100,84,66,1011,1009,1007,10,10,10,19,5,,0.00,6,Thunderstorm,19<br />
2007-3-4,30,28,25,25,24,23,94,86,70,1011,1009,1008,10,10,6,16,3,,0.00,6,Rain,22<br />
2007-3-5,32,28,25,25,24,24,94,82,62,1011,1009,1008,10,10,8,16,5,,0.00,6,,28<br />
2007-3-6,31,28,25,26,24,24,94,84,66,1011,1009,1007,10,10,5,13,5,,0.00,6,Rain-Thunderstorm,30<br />
2007-3-7,31,28,25,25,23,23,94,80,62,1009,1007,1005,10,10,10,21,8,,0.00,5,,20<br />
2007-3-8,31,28,25,25,23,23,89,80,62,1010,1008,1007,10,10,10,16,6,,0.00,6,,15<br />
2007-3-9,32,28,25,25,24,22,100,80,55,1012,1010,1008,10,10,8,21,5,,0.00,6,,16<br />
2007-3-10,32,29,26,25,24,23,89,79,59,1012,1010,1008,10,10,10,23,6,,0.00,6,,23<br />
2007-3-11,32,28,25,25,24,23,100,81,62,1012,1010,1008,10,10,10,24,6,,0.00,6,,30<br />
2007-3-12,32,29,26,25,25,24,94,80,62,1013,1011,1008,10,10,10,23,8,,0.00,6,,28<br />
2007-3-13,30,28,26,27,26,24,94,89,79,1013,1011,1009,10,10,7,24,5,,0.00,5,Rain,39<br />
2007-3-14,32,29,26,26,26,24,94,87,70,1012,1009,1007,10,9,5,19,3,,0.00,6,Rain,45<br />
2007-3-15,33,29,26,26,25,24,100,84,66,1011,1008,1005,10,10,10,16,3,,0.00,6,,56<br />
2007-3-16,31,28,26,26,26,25,100,87,70,1011,1009,1006,10,10,4,16,2,,0.00,5,Rain-Thunderstorm,73<br />
2007-3-17,33,29,26,26,24,22,94,80,59,1011,1009,1006,10,10,9,14,2,,0.00,6,Rain-Thunderstorm,239<br />
2007-3-18,32,29,26,26,25,23,94,83,66,1010,1008,1005,10,9,7,13,2,,0.00,6,Rain,204<br />
2007-3-19,31,28,26,26,25,23,94,84,70,1010,1008,1006,10,9,7,14,3,,0.00,5,Rain-Thunderstorm,46<br />
2007-3-20,32,29,26,26,24,23,89,80,62,1012,1009,1006,10,9,7,14,3,,0.00,6,Rain-Thunderstorm,294<br />
2007-3-21,30,27,24,26,24,23,100,89,70,1012,1010,1008,10,8,2,24,5,42,0.00,5,Rain-Thunderstorm,2<br />
2007-3-22,32,28,24,26,24,23,100,89,62,1013,1011,1008,10,9,1,21,2,,0.00,6,Rain-Thunderstorm,291<br />
2007-3-23,30,27,24,25,24,22,100,90,74,1013,1011,1009,10,10,4,13,2,,0.00,6,Rain-Thunderstorm,3<br />
2007-3-24,32,28,25,26,24,22,100,82,62,1012,1010,1007,10,10,9,14,2,,0.00,6,Thunderstorm,186<br />
2007-3-25,33,28,24,26,24,21,100,78,49,1012,1009,1006,10,8,3,14,3,,0.00,5,Rain-Thunderstorm,213<br />
2007-3-26,30,27,23,27,25,23,100,86,74,1011,1009,1006,10,9,3,27,2,47,0.00,6,Rain-Thunderstorm,194<br />
2007-3-27,32,28,25,27,25,24,100,85,66,1012,1010,1008,10,10,7,13,3,,0.00,6,Rain-Thunderstorm,46<br />
2007-3-28,32,28,25,27,26,25,100,88,66,1011,1009,1007,10,10,8,16,2,,0.00,5,Rain-Thunderstorm,46<br />
2007-3-29,31,27,24,26,25,24,100,91,70,1012,1010,1008,10,9,2,23,3,,0.00,6,Rain-Thunderstorm,335<br />
2007-3-30,31,27,24,26,24,24,100,87,66,1012,1010,1008,10,10,7,13,2,,0.00,5,Rain-Thunderstorm,30<br />
2007-3-31,32,29,26,26,26,25,100,88,66,1012,1010,1008,10,10,2,23,3,,0.00,6,Rain-Thunderstorm,52<br />
2007-4-1,29,27,25,25,25,24,100,91,74,1013,1010,1008,10,9,2,3,0,,0.00,5,Rain,4<br />
2007-4-2,33,29,25,26,25,23,100,85,59,1011,1009,1006,10,10,10,16,3,,0.00,6,,58<br />
2007-4-3,31,28,26,27,26,24,100,85,70,1011,1009,1006,10,10,9,13,2,,0.00,6,Thunderstorm,150<br />
2007-4-4,33,29,26,26,25,23,100,81,55,1012,1010,1008,10,10,6,21,5,,0.00,6,Thunderstorm,32<br />
2007-4-5,32,29,27,25,24,21,89,74,58,1012,1010,1008,10,10,10,23,10,,0.00,6,,33<br />
2007-4-6,33,29,26,25,24,22,89,77,55,1011,1010,1008,10,10,10,16,5,,0.00,6,,28<br />
2007-4-7,32,29,26,26,25,24,94,83,62,1012,1010,1007,10,10,10,14,2,,0.00,6,Thunderstorm,29<br />
2007-4-8,32,29,27,27,26,24,94,82,66,1012,1010,1007,10,10,10,21,5,,0.00,6,,53<br />
2007-4-9,31,28,26,26,25,24,100,87,70,1013,1011,1008,10,10,4,16,5,,0.00,6,Rain-Thunderstorm,60<br />
2007-4-10,32,29,26,26,26,25,100,85,66,1013,1011,1008,10,10,10,24,5,,0.00,6,Thunderstorm,52<br />
