
ARST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,9,7,6,7,6,3,93,87,76,991,989,986,10,10,9,24,10,,0.00,6,,161<br />
2007-1-2,11,8,6,6,4,2,93,75,62,998,995,992,10,10,10,48,26,61,0.00,4,,237<br />
2007-1-3,15,10,5,6,4,1,100,61,41,994,984,980,10,10,10,55,35,77,0.00,4,Rain,293<br />
2007-1-4,8,6,4,4,4,3,100,86,71,1009,1006,995,10,10,10,66,53,90,0.00,4,Rain,236<br />
2007-1-5,9,7,6,5,4,3,87,79,66,1010,1009,1008,10,10,10,64,50,80,0.00,6,,232<br />
2007-1-6,11,8,6,8,6,4,93,82,71,1008,1007,1006,10,10,10,55,42,64,0.00,4,,237<br />
2007-1-7,17,12,8,9,8,6,93,75,59,1008,1004,1001,10,10,10,23,10,,0.00,4,,34<br />
2007-1-8,20,15,10,11,9,7,100,67,46,995,993,992,10,10,10,26,14,,0.00,5,,323<br />
2007-1-9,13,10,8,9,6,2,100,77,58,991,988,987,10,10,10,52,14,64,0.00,4,Rain,223<br />
2007-1-10,11,8,6,5,4,3,81,68,58,997,996,994,10,10,10,35,23,,0.00,6,,248<br />
2007-1-11,16,13,8,7,4,2,87,62,48,994,985,981,10,10,10,64,32,87,0.00,4,,292<br />
2007-1-12,10,8,6,5,3,-1,87,67,50,1004,996,990,10,10,10,48,37,58,0.00,5,,229<br />
2007-1-13,10,8,5,5,3,0,93,71,54,1009,1005,1000,10,10,10,58,45,71,0.00,5,,233<br />
2007-1-14,10,8,6,6,5,3,93,80,66,1009,1005,1000,10,10,10,60,50,80,0.00,4,,239<br />
2007-1-15,14,9,5,10,4,1,88,69,47,1005,997,992,10,10,10,55,24,71,0.00,5,,278<br />
2007-1-16,9,7,4,5,4,2,100,88,62,989,988,986,10,10,7,55,40,74,0.00,5,Rain,241<br />
2007-1-17,5,4,3,4,3,2,100,95,81,998,994,992,10,10,10,60,52,74,0.00,6,Rain,241<br />
2007-1-18,8,6,3,3,2,1,93,74,62,1007,1004,1000,10,10,10,42,35,61,0.00,6,,234<br />
2007-1-19,9,8,8,8,6,3,93,81,66,1008,1007,1006,10,10,10,11,5,,0.00,7,,69<br />
2007-1-20,20,14,8,12,10,6,100,74,52,1007,1006,1005,10,10,10,10,5,,0.00,3,,79<br />
2007-1-21,17,13,10,12,11,6,100,85,71,1008,1008,1007,10,10,10,19,6,,0.00,2,,265<br />
2007-1-22,21,16,10,14,11,9,100,76,53,1007,1004,1002,10,10,10,37,13,,0.00,1,,39<br />
