
NZDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,19,14,10,12,10,8,94,74,56,1015,1013,1012,30,30,30,27,13,,0.00,2,Rain,206<br />
2007-1-2,19,14,11,11,10,9,94,71,56,1019,1017,1015,,,,35,14,,0.00,2,,202<br />
2007-1-3,19,14,11,11,9,8,82,68,49,1023,1021,1019,,,,35,16,,0.00,1,,196<br />
2007-1-4,20,16,11,13,11,5,94,72,37,1026,1024,1022,,,,27,18,,0.00,1,,203<br />
2007-1-5,21,17,14,13,12,10,88,71,56,1027,1026,1024,30,30,30,21,13,,0.00,3,,212<br />
2007-1-6,19,17,15,12,11,10,77,69,60,1025,1021,1017,30,30,30,32,19,,0.00,5,,235<br />
2007-1-7,22,18,15,15,13,10,77,70,64,1018,1016,1014,30,30,30,29,24,,0.00,4,,228<br />
2007-1-8,23,19,15,14,13,12,88,70,50,1018,1016,1014,30,30,30,27,16,,0.00,4,,49<br />
2007-1-9,20,18,17,19,17,14,100,90,77,1014,1008,1005,30,10,2,34,24,45,0.00,7,Rain,55<br />
2007-1-10,24,21,19,19,18,16,100,88,69,1012,1008,1004,30,16,3,26,19,,0.00,5,Rain,360<br />
2007-1-11,25,21,17,19,17,16,100,82,57,1014,1013,1012,30,22,10,26,11,,0.00,5,Fog,30<br />
2007-1-12,22,20,19,21,19,18,94,91,88,1014,1013,1011,30,11,1,27,14,50,0.00,6,Rain,79<br />
2007-1-13,23,21,19,20,19,18,94,87,78,1012,1010,1009,20,12,2,37,29,50,0.00,6,Rain,45<br />
2007-1-14,24,21,19,19,18,16,100,83,65,1013,1010,1008,30,17,3,24,14,,0.00,5,Rain,255<br />
2007-1-15,23,20,17,17,16,15,94,81,64,1015,1013,1011,30,30,30,29,14,,0.00,3,,201<br />
2007-1-16,22,19,17,16,15,13,88,78,68,1017,1016,1014,30,26,20,29,21,,0.00,4,Rain,221<br />
2007-1-17,21,18,16,16,14,13,88,77,64,1019,1017,1016,30,26,20,24,18,,0.00,7,,212<br />
2007-1-18,23,19,16,16,14,12,83,72,64,1024,1022,1020,30,30,30,24,10,,0.00,4,,176<br />
