
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,2,-6,-12,0,-2,-14,96,88,74,1026,1013,1003,16,11,2,24,8,,5.59,8,Rain,147<br />
2007-1-2,2,-3,-9,1,-6,-11,93,77,64,1023,1012,1002,16,12,1,37,11,58,2.29,6,Rain-Snow,297<br />
2007-1-3,6,-5,-16,-5,-11,-18,92,73,31,1026,1021,1017,16,16,16,16,2,29,5.59,0,,253<br />
2007-1-4,8,-2,-12,-3,-7,-13,92,80,39,1020,1017,1015,16,16,14,8,0,,0.00,1,,340<br />
2007-1-5,11,6,0,6,1,-2,97,85,71,1014,1010,1007,16,15,8,14,3,29,0.00,6,Rain,322<br />
2007-1-6,16,9,2,12,4,-2,100,90,59,1009,1001,995,16,6,1,29,3,72,12.95,8,Fog-Rain,308<br />
2007-1-7,4,1,-2,-2,-4,-7,96,69,45,1026,1021,1011,16,13,1,27,11,47,0.76,5,Snow,293<br />
2007-1-8,3,1,-1,2,-1,-4,100,85,64,1021,1005,994,16,11,3,35,14,48,11.43,8,Rain-Snow,171<br />
2007-1-9,1,-1,-2,-3,-6,-9,78,66,50,1006,1002,998,16,15,4,16,11,35,0.00,7,Snow,269<br />
2007-1-10,-4,-9,-14,-12,-16,-19,76,67,53,1026,1019,1011,16,8,1,24,13,40,0.00,7,Snow,296<br />
2007-1-11,-7,-11,-15,-12,-17,-19,80,65,48,1036,1031,1024,16,15,8,16,8,26,0.00,4,,289<br />
2007-1-12,3,-2,-7,0,-4,-9,89,78,65,1024,1021,1018,16,16,16,13,3,,0.00,7,,304<br />
2007-1-13,5,-3,-11,3,-3,-13,97,82,59,1029,1021,1015,16,14,4,21,5,32,0.25,5,Rain,335<br />
2007-1-14,-3,-7,-11,-4,-8,-12,93,85,74,1028,1025,1021,16,7,0,10,2,,0.00,7,Fog-Snow,338<br />
2007-1-15,-3,-6,-9,-7,-8,-11,93,88,75,1027,1015,1004,16,7,0,16,3,,0.00,7,Fog-Rain-Snow,343<br />
2007-1-16,-5,-11,-18,-7,-15,-25,93,76,57,1025,1013,1003,16,10,1,26,10,48,0.00,7,Snow,298<br />
2007-1-17,-17,-21,-26,-24,-27,-29,79,64,54,1042,1035,1026,16,15,11,21,11,37,0.00,3,,294<br />
2007-1-18,-6,-14,-22,-13,-19,-25,91,71,48,1041,1031,1019,16,16,14,14,2,,0.00,2,,170<br />
2007-1-19,-1,-8,-14,-5,-8,-16,88,79,69,1017,1002,997,16,10,2,21,6,40,0.00,7,Snow,290<br />
2007-1-20,-4,-10,-17,-8,-16,-22,85,68,57,1020,1005,997,16,6,1,29,19,58,0.00,8,Fog-Snow,296<br />
2007-1-21,-11,-15,-19,-20,-22,-23,79,64,47,1026,1024,1020,16,16,14,16,11,29,0.00,1,,287<br />
2007-1-22,-6,-12,-18,-12,-17,-21,80,64,48,1022,1015,1009,16,16,10,8,2,,0.00,8,Snow,343<br />
2007-1-23,-4,-10,-15,-11,-13,-17,92,78,55,1011,1009,1007,16,14,5,11,0,,1.27,7,Snow,319<br />
2007-1-24,-4,-13,-23,-7,-14,-26,92,76,34,1015,1011,1008,16,10,0,16,3,29,0.00,6,Fog-Snow,293<br />
