
GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-1-1,9,8,7,8,7,5,100,91,87,1026,1022,1019,10,6,2,16,6,,0.00,4,,192<br />
2008-1-2,7,3,1,6,1,-3,93,81,70,1019,1014,1008,10,9,4,32,16,,0.00,4,Rain,102<br />
2008-1-3,4,2,1,2,-1,-3,93,80,70,1007,1002,1000,10,9,3,34,23,,0.00,7,Rain-Snow,88<br />
2008-1-4,9,6,3,8,5,2,93,90,81,1003,999,991,10,6,2,27,13,,0.00,6,Rain,153<br />
2008-1-5,9,7,4,6,3,1,87,78,58,1004,998,993,10,10,10,29,19,,0.00,2,,236<br />
2008-1-6,10,6,2,8,3,0,93,83,66,1012,1008,1002,10,10,6,32,14,,0.00,3,Rain,212<br />
2008-1-7,10,8,5,6,2,0,87,68,54,1017,1010,1002,10,10,7,45,31,64,0.00,1,Rain,247<br />
2008-1-8,11,8,6,8,6,2,93,83,76,1017,1011,1002,10,9,6,35,19,53,0.00,4,Rain,203<br />
2008-1-9,10,8,5,6,3,1,87,77,54,1010,1008,1004,10,10,10,32,21,50,0.00,3,Rain,225<br />
2008-1-10,12,10,8,9,7,6,94,83,72,1008,1002,998,10,9,6,34,27,55,0.00,5,Rain,213<br />
2008-1-11,11,7,3,8,6,1,100,88,71,1000,991,987,10,9,4,27,13,47,0.00,4,Rain,168<br />
2008-1-12,9,6,2,8,3,0,93,82,66,1009,1006,995,10,10,8,26,19,,0.00,3,Rain,231<br />
2008-1-13,11,9,8,9,7,4,94,82,71,1007,1002,996,10,10,5,35,24,61,0.00,5,Rain,183<br />
2008-1-14,11,9,8,7,6,3,93,80,62,998,996,995,10,10,7,39,23,48,0.00,4,Rain,207<br />
2008-1-15,12,9,6,10,7,4,94,86,81,996,983,975,10,10,6,40,27,69,0.00,5,Rain,207<br />
2008-1-16,10,7,2,4,3,1,93,81,66,1004,994,984,10,10,7,23,13,,0.00,1,,245<br />
2008-1-17,13,7,1,9,5,1,100,86,71,1005,1000,995,10,9,5,48,16,52,0.00,3,Rain,217<br />
2008-1-18,14,11,8,12,9,4,94,85,76,1012,1009,1005,10,9,5,39,27,52,0.00,6,Rain,229<br />
2008-1-19,15,14,13,12,11,10,88,84,77,1020,1017,1012,10,10,8,35,31,58,0.00,6,Rain,235<br />
2008-1-20,15,13,12,11,11,9,88,82,77,1021,1020,1019,10,10,9,35,31,53,0.00,6,,238<br />
