
ALMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-1-1,-20,-25,-30,-22,-28,-32,92,81,76,1039,1036,1032,9,5,0,11,6,,0.00,3,Fog,188<br />
2008-1-2,-19,-24,-29,-21,-27,-32,92,81,76,1032,1027,1024,9,8,2,14,8,,0.00,1,Snow,198<br />
2008-1-3,-16,-22,-30,-18,-26,-33,92,81,76,1032,1028,1024,6,3,1,32,19,,0.00,7,Snow,38<br />
2008-1-4,-24,-31,-38,-28,-35,-41,84,73,64,1033,1032,1031,9,8,1,26,18,,0.00,1,Snow,64<br />
2008-1-5,-22,-27,-32,-25,-31,-35,84,78,69,1033,1033,1032,9,7,5,21,14,,0.00,0,,72<br />
2008-1-6,-18,-24,-31,-20,-26,-34,92,82,69,1033,1033,1032,9,6,1,14,8,,0.00,6,Snow,230<br />
2008-1-7,-12,-17,-21,-14,-18,-22,92,87,85,1034,1032,1030,9,5,2,21,8,,0.00,8,Snow,72<br />
2008-1-8,-16,-20,-24,-17,-21,-26,92,87,84,1031,1031,1029,9,8,2,18,13,,0.00,7,Snow,69<br />
2008-1-9,-14,-22,-31,-16,-22,-34,92,82,76,1033,1031,1030,10,8,1,18,13,,0.00,6,Snow,214<br />
2008-1-10,-25,-28,-32,-28,-33,-36,84,76,69,1033,1032,1031,9,7,5,6,5,,0.00,3,Snow,167<br />
2008-1-11,-20,-26,-32,-23,-30,-35,84,78,69,1034,1033,1032,9,4,2,11,6,,0.00,4,Snow,126<br />
2008-1-12,-20,-26,-31,-22,-29,-34,85,80,76,1034,1032,1031,9,6,3,14,6,,0.00,1,Snow,88<br />
2008-1-13,-15,-22,-29,-17,-27,-32,92,82,76,1031,1029,1028,9,6,0,26,11,,0.00,4,Snow,134<br />
2008-1-14,-20,-26,-31,-22,-28,-34,92,80,76,1030,1026,1022,9,5,1,21,16,,0.00,6,Snow,192<br />
2008-1-15,-23,-29,-36,-25,-34,-39,84,76,68,1024,1023,1021,9,6,1,18,11,,0.00,2,Snow,152<br />
2008-1-16,-22,-28,-35,-25,-31,-39,84,78,68,1035,1028,1024,10,8,3,29,18,,0.00,4,Snow,73<br />
2008-1-17,-24,-29,-35,-26,-33,-39,84,76,68,1046,1041,1035,9,8,5,18,11,,0.00,0,,78<br />
2008-1-18,-21,-27,-33,-23,-32,-37,84,77,69,1047,1046,1045,10,9,7,11,8,32,0.00,0,,124<br />
2008-1-19,-20,-25,-30,-23,-28,-33,84,79,76,1045,1043,1042,9,9,3,18,10,,0.00,6,Snow,197<br />
2008-1-20,-15,-19,-23,-19,-21,-25,92,81,66,1042,1039,1036,9,5,2,26,16,,0.00,7,Snow,226<br />
2008-1-21,-14,-18,-23,-17,-20,-26,85,80,72,1036,1034,1033,10,9,6,29,19,,0.00,6,Snow,225<br />
2008-1-22,-18,-22,-27,-22,-26,-29,84,81,71,1035,1033,1032,10,8,6,14,10,,0.00,3,Snow,188<br />
2008-1-23,-17,-22,-28,-22,-26,-31,85,79,66,1039,1037,1035,9,8,5,11,6,,0.00,0,,185<br />
2008-1-24,-16,-22,-29,-21,-27,-32,84,78,66,1039,1039,1038,9,8,2,11,5,,0.00,1,Snow,180<br />
2008-1-25,-18,-24,-30,-22,-28,-33,84,79,71,1039,1039,1038,10,5,0,14,3,,0.00,3,Fog,136<br />
2008-1-26,-17,-23,-30,-22,-28,-33,92,76,66,1039,1036,1032,9,9,8,14,8,,0.00,1,,142<br />
2008-1-27,-17,-24,-32,-22,-29,-35,84,76,66,1032,1028,1024,9,8,5,21,6,,0.00,1,,147<br />
2008-1-28,-18,-24,-31,-22,-29,-34,84,75,65,1024,1023,1022,9,8,5,14,10,,0.00,4,,106<br />
2008-1-29,-14,-21,-28,-20,-26,-31,84,74,56,1025,1024,1023,9,9,9,21,10,,0.00,4,,129<br />
2008-1-30,-18,-24,-31,-21,-28,-34,84,80,76,1027,1027,1025,9,9,6,14,8,,0.00,2,Snow,185<br />
2008-1-31,-17,-21,-24,-19,-23,-26,92,85,77,1027,1025,1024,9,7,5,14,11,,0.00,5,Snow,186<br />
2008-2-1,-13,-17,-21,-16,-21,-23,92,86,78,1026,1025,1024,10,7,4,18,6,,0.00,3,Snow,117<br />
2008-2-2,-11,-17,-23,-12,-19,-25,100,88,84,1027,1025,1024,9,6,0,14,8,,0.00,2,Fog,86<br />
2008-2-3,-11,-18,-25,-14,-22,-27,92,84,73,1033,1030,1027,9,6,1,18,11,,0.00,1,,93<br />
