
KST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-1-1,-3,-7,-9,-12,-13,-14,60,49,33,1024,1023,1021,14,11,10,29,23,,0.00,8,,-1<br />
2008-1-2,1,-5,-10,-11,-13,-14,65,45,22,1028,1027,1026,14,12,10,11,3,,0.00,,,-1<br />
2008-1-3,3,-2,-7,-4,-7,-11,68,57,35,1027,1025,1024,11,10,10,11,3,,0.00,8,,-1<br />
2008-1-4,3,-3,-9,-4,-7,-9,92,68,40,1029,1027,1026,11,10,8,6,2,,0.00,8,,-1<br />
2008-1-5,6,-1,-8,-3,-6,-8,87,71,38,1026,1024,1023,10,9,8,6,3,,0.00,8,,-1<br />
2008-1-6,5,1,-3,2,-2,-4,96,81,73,1024,1023,1023,10,8,6,11,5,,0.00,8,,-1<br />
2008-1-7,-1,-3,-6,-2,-4,-6,99,87,80,1023,1021,1019,6,1,0,3,2,,0.00,8,Fog,-1<br />
2008-1-8,3,-3,-9,-3,-7,-10,92,71,38,1022,1021,1020,10,4,0,11,2,,0.00,8,Fog,-1<br />
2008-1-9,-1,-4,-7,-12,-14,-20,51,33,10,1026,1024,1022,14,12,10,6,2,,0.00,8,,-1<br />
2008-1-10,0,-7,-13,-12,-16,-21,96,45,10,1029,1027,1026,16,13,10,11,3,,0.00,8,,-1<br />
2008-1-11,2,-2,-5,-9,-9,-11,52,44,32,1027,1025,1023,14,11,10,6,5,,0.00,8,,-1<br />
2008-1-12,1,-2,-7,-11,-14,-19,43,29,11,1032,1028,1024,14,10,10,18,8,,0.00,8,,-1<br />
2008-1-13,-4,-9,-13,-18,-21,-23,30,23,14,1037,1035,1034,14,11,10,21,14,,0.00,8,,-1<br />
2008-1-14,-3,-8,-13,-14,-17,-21,74,37,17,1035,1034,1033,14,11,10,11,3,,0.00,8,,-1<br />
