
JST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-1-1,-5,,-5,-10,-10,-10,68,68,68,994,994,994,10,10,10,6,6,,0.00,3,,-1<br />
2008-1-2,0,-1,-2,-6,-7,-9,74,65,51,1008,1006,1004,10,6,1,26,21,47,0.00,6,Snow,291<br />
2008-1-3,0,0,-2,-7,-7,-7,69,64,60,1012,1012,1011,10,10,10,6,5,,0.00,6,Snow,140<br />
2008-1-4,-3,-4,-5,-9,-11,-12,69,62,51,1015,1013,1012,10,4,0,45,37,64,0.00,6,Snow,295<br />
2008-1-5,-3,,-3,-13,-13,-13,47,47,47,1016,1016,1016,10,10,10,6,6,,0.00,6,,120<br />
2008-1-6,2,-6,-10,-6,-10,-14,74,68,52,1013,1013,1011,10,7,2,13,6,,0.00,6,Snow,132<br />
2008-1-7,-1,-2,-2,-6,-7,-8,74,69,60,1012,1011,1011,9,4,1,10,8,,0.00,6,Snow,81<br />
2008-1-8,1,-1,-3,-6,-8,-12,74,63,41,1009,1007,1006,10,4,0,35,18,53,0.00,6,Snow,295<br />
2008-1-9,-3,-6,-8,-8,-11,-14,74,68,54,1015,1012,1010,10,4,1,35,18,53,0.00,6,Snow,298<br />
2008-1-10,-5,-8,-10,-10,-13,-16,68,63,59,1020,1019,1018,10,4,1,24,14,,0.00,6,Snow,177<br />
2008-1-11,-3,-4,-5,-12,-13,-13,54,50,47,1022,1022,1020,10,10,10,24,13,,0.00,5,Snow,285<br />
2008-1-12,-6,-7,-7,-14,-14,-16,58,56,49,1017,1016,1016,10,5,2,32,27,52,0.00,6,Rain-Snow,289<br />
2008-1-13,-5,-7,-9,-10,-12,-17,79,68,46,1015,1011,1008,10,2,0,42,26,63,0.00,6,Snow,292<br />
2008-1-14,-1,-3,-6,-7,-8,-11,74,70,55,1023,1022,1021,10,3,1,27,19,42,0.00,6,Snow,311<br />
2008-1-15,-4,-6,-7,-12,-13,-13,63,58,50,1023,1022,1022,10,10,10,23,11,39,0.00,5,Snow,288<br />
2008-1-16,-4,-6,-9,-9,-12,-17,74,65,46,1021,1020,1019,10,4,1,27,16,42,0.00,5,Snow,342<br />
2008-1-17,-5,-11,-17,-7,-13,-21,100,71,59,1023,1021,1021,10,3,0,32,13,55,0.00,6,Snow,247<br />
2008-1-18,-5,-7,-9,-10,-12,-14,74,66,54,1026,1025,1024,10,3,1,27,18,47,0.00,6,Snow,300<br />
2008-1-19,-10,-12,-15,-14,-17,-19,73,72,67,1029,1028,1028,8,5,3,13,6,,0.00,6,Snow,90<br />
2008-1-20,-5,-6,-7,-12,-14,-16,63,55,49,1021,1019,1019,10,7,2,29,21,50,0.00,5,Snow,283<br />
2008-1-21,-6,-7,-7,-10,-11,-13,74,69,58,1023,1023,1022,6,3,0,24,18,37,0.00,6,Snow,305<br />
2008-1-22,-3,-4,-7,-10,-11,-11,74,66,59,1023,1023,1022,10,10,10,8,5,,0.00,6,Snow,77<br />
2008-1-23,-4,-4,-4,-11,-11,-11,59,59,59,1018,1018,1018,10,10,10,6,6,,0.00,6,,20<br />
2008-1-24,-2,-4,-7,-6,-7,-10,80,75,74,999,996,996,10,2,0,16,8,,0.00,7,Snow,335<br />
2008-1-25,-4,-4,-8,-12,-14,-16,54,54,53,1018,1017,1016,10,10,10,32,23,,0.00,4,,15<br />
2008-1-26,-6,-10,-14,-11,-14,-18,74,70,58,1020,1018,1017,7,2,1,21,8,,0.00,6,Snow,81<br />
2008-1-27,-1,-4,-5,-11,-12,-14,63,55,47,1015,1015,1014,10,8,4,32,21,52,0.00,4,Snow,288<br />
2008-1-28,-1,-1,-1,-10,-10,-10,51,51,51,1015,1015,1015,10,10,10,19,18,,0.00,4,,290<br />
2008-1-29,0,0,-1,-8,-8,-9,55,55,55,1010,1010,1010,10,10,10,13,11,,0.00,6,Snow,5<br />
2008-1-30,-1,-2,-4,-8,-10,-11,64,56,51,1009,1008,1007,10,7,2,23,16,,0.00,6,Snow,303<br />
2008-1-31,-5,-9,-12,-9,-11,-15,79,73,58,1012,1011,1010,10,2,0,32,10,53,0.00,5,Snow,64<br />
2008-2-1,-6,-9,-10,-12,-14,-17,63,60,53,1018,1017,1016,10,8,2,11,8,,0.00,6,Snow,89<br />
2008-2-2,-2,-7,-11,-8,-10,-15,73,61,55,1019,1018,1018,10,6,1,26,16,,0.00,6,Snow,301<br />
2008-2-3,0,-2,-4,-7,-8,-9,74,64,55,1017,1015,1014,10,6,1,24,21,,0.00,6,Snow,325<br />
2008-2-4,-12,-13,-14,-16,-17,-18,73,73,72,1015,1015,1014,10,5,1,10,8,,0.00,6,Snow,113<br />
2008-2-5,-2,-8,-14,-7,-11,-18,80,66,51,1014,1013,1012,10,5,0,29,11,53,0.00,6,Snow,338<br />
2008-2-6,-2,-8,-13,-11,-13,-17,73,61,51,1017,1015,1014,10,10,10,13,10,,0.00,5,,105<br />
2008-2-7,-2,-7,-11,-7,-9,-15,79,68,59,1014,1012,1011,10,5,1,23,8,40,0.00,6,Snow,9<br />
2008-2-8,-4,-6,-6,-8,-12,-15,74,61,46,1019,1017,1017,10,4,1,23,8,,0.00,6,Snow,3<br />
2008-2-9,-5,,-5,-10,-10,-10,68,68,68,1021,1021,1021,10,10,10,6,6,,0.00,3,,90<br />
2008-2-11,1,0,-1,-5,-6,-6,69,68,65,1021,1018,1016,8,7,4,35,27,55,0.00,6,Snow,150<br />
2008-2-12,-2,-2,-2,-6,-8,-10,74,63,55,1009,1009,1009,10,7,4,34,26,53,0.00,4,Snow,315<br />
2008-2-13,-6,-7,-8,-12,-12,-13,73,66,58,1001,999,998,5,2,0,37,26,63,0.00,6,Snow,293<br />
2008-2-14,-3,-4,-5,-8,-10,-13,74,64,54,1001,998,996,6,2,0,45,37,72,0.00,6,Snow,298<br />
2008-2-15,-2,-3,-4,-7,-8,-10,74,70,59,1007,1005,1004,9,3,0,32,24,50,0.00,6,Snow,290<br />
2008-2-16,-2,-3,-5,-6,-8,-9,74,74,69,1013,1010,1009,5,2,0,34,21,52,0.00,6,Snow,306<br />
2008-2-17,0,-2,-2,-5,-6,-6,80,73,64,1017,1015,1013,10,7,5,40,31,60,0.00,6,Snow,323<br />
2008-2-18,0,-3,-4,-8,-9,-9,69,62,55,1026,1025,1024,10,7,4,27,14,48,0.00,6,Snow,1<br />
2008-2-19,-2,-2,-4,-9,-10,-11,59,59,59,1021,1020,1019,10,10,10,11,8,,0.00,6,,75<br />
2008-2-21,0,-1,-2,-6,-7,-8,74,64,55,1019,1016,1012,10,5,0,32,27,50,0.00,6,Snow,312<br />
2008-2-22,1,-2,-3,-4,-8,-9,70,65,64,1017,1015,1011,10,6,4,35,24,58,0.00,6,Snow,150<br />
2008-2-23,-1,-2,-4,-5,-6,-8,80,76,74,1000,996,993,2,1,1,11,6,,0.00,7,Snow,8<br />
2008-2-24,-7,-7,-8,-14,-14,-15,58,58,58,1017,1016,1016,10,10,10,35,32,55,0.00,2,,335<br />
2008-2-25,-4,,-4,-14,-14,-14,46,46,46,1023,1023,1023,10,10,10,11,11,,0.00,6,,80<br />
2008-2-26,2,1,0,-3,-4,-7,75,72,60,1010,1004,1003,9,3,1,35,27,53,0.00,6,Snow,181<br />
2008-2-27,-3,-4,-6,-8,-9,-12,74,69,51,1001,999,999,10,3,0,29,21,48,0.00,6,Snow,345<br />
2008-2-28,-1,-3,-4,-8,-9,-11,69,63,51,1004,1003,1003,10,4,0,42,31,71,0.00,6,Snow,301<br />
2008-2-29,4,,4,-5,-5,-5,52,52,52,999,999,999,10,10,10,8,8,,0.00,6,,160<br />
2008-3-1,1,-1,-2,-3,-5,-8,86,75,55,1004,998,994,10,2,0,37,13,58,0.00,6,Fog-Snow,321<br />
2008-3-2,0,-3,-3,-6,-8,-11,64,60,55,1013,1012,1010,10,10,10,21,14,,0.00,6,Snow,315<br />
2008-3-6,1,-1,-2,-6,-6,-7,74,65,60,1019,1019,1018,10,10,10,19,11,,0.00,5,Snow,354<br />
2008-3-11,3,2,1,-1,-3,-5,81,72,65,1014,1011,1009,8,6,3,37,24,60,0.00,6,Rain-Snow,318<br />
2008-3-13,6,3,3,-4,-4,-6,60,54,42,1026,1024,1022,10,10,10,35,31,60,0.00,2,,147<br />
2008-3-14,5,4,2,1,-1,-1,81,74,65,1019,1018,1017,10,6,1,19,11,,0.00,6,Rain,112<br />
