
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-1-1,5,2,-1,-6,-9,-14,69,47,26,1033,1031,1029,8,7,6,32,14,,0.00,0,,315<br />
2008-1-2,5,1,-3,-6,-9,-15,74,50,24,1034,1032,1030,7,5,4,18,8,,0.00,0,,294<br />
2008-1-3,10,3,-3,-3,-7,-13,86,54,19,1031,1029,1027,7,4,3,6,0,,0.00,0,,-1<br />
2008-1-4,12,6,-1,1,-2,-6,87,63,28,1028,1026,1023,6,3,2,14,3,,0.00,0,,135<br />
2008-1-5,13,7,1,4,-1,-7,93,62,25,1026,1024,1023,4,3,1,11,5,,0.00,0,,49<br />
2008-1-6,16,10,5,8,4,-2,87,68,51,1024,1021,1018,7,4,2,29,11,,0.00,0,,148<br />
2008-1-7,14,10,7,7,2,-1,76,57,36,1023,1021,1020,4,3,2,18,6,,0.00,0,,289<br />
2008-1-8,11,8,5,6,4,3,93,79,66,1022,1020,1017,4,2,0,14,8,,0.00,2,Fog,131<br />
2008-1-9,15,10,5,6,4,2,93,78,42,1021,1019,1017,2,1,0,14,3,,0.00,3,Fog,234<br />
2008-1-10,15,11,8,14,10,5,94,88,81,1020,1017,1015,2,1,0,18,10,,0.00,5,Fog,107<br />
2008-1-11,15,12,9,14,12,8,94,93,87,1016,1014,1011,3,1,0,21,11,,0.00,8,Fog-Rain,7<br />
2008-1-12,9,7,4,7,3,0,87,80,66,1031,1025,1018,10,9,4,35,27,43,0.00,8,Rain,3<br />
2008-1-13,4,2,1,1,0,-2,87,80,75,1034,1032,1030,10,10,10,29,24,,0.00,8,Rain-Snow,1<br />
2008-1-14,4,1,-1,-1,-2,-3,86,72,65,1035,1033,1031,10,10,10,26,18,35,0.00,5,,353<br />
2008-1-15,4,3,3,1,0,-2,87,80,70,1036,1033,1032,10,8,4,26,18,,0.00,6,Rain,1<br />
2008-1-16,4,3,2,0,-2,-5,81,71,56,1039,1037,1036,10,9,5,32,18,,0.00,5,Rain,359<br />
2008-1-17,4,2,1,-1,-2,-5,81,73,60,1038,1035,1032,10,8,4,21,13,,0.00,7,Rain-Snow,353<br />
2008-1-18,6,2,-1,1,-1,-2,93,74,61,1035,1033,1030,10,8,4,18,10,,0.00,4,Rain,17<br />
2008-1-19,7,6,5,5,2,-1,87,77,61,1031,1027,1024,10,7,4,21,16,40,0.00,6,Rain,70<br />
2008-1-20,8,7,5,6,5,3,93,89,87,1024,1021,1020,10,6,4,21,16,,0.00,8,Rain,27<br />
2008-1-21,5,4,3,3,1,-2,87,76,70,1027,1025,1024,10,8,6,21,16,,0.00,6,Rain,349<br />
2008-1-22,2,1,0,-1,-2,-4,87,76,70,1029,1028,1026,10,7,5,18,14,,0.00,7,Snow,330<br />
2008-1-23,2,1,1,-3,-3,-5,75,70,60,1034,1031,1029,10,6,3,21,18,,0.00,4,,325<br />
2008-1-24,2,0,-1,-5,-6,-8,69,61,55,1037,1035,1034,10,10,10,21,18,,0.00,4,,346<br />
2008-1-25,3,1,0,-1,-4,-6,81,67,56,1035,1033,1031,10,9,7,18,13,,0.00,8,Rain-Snow,352<br />
2008-1-26,2,1,0,0,-1,-1,93,89,87,1033,1032,1030,10,4,1,18,11,,0.00,7,Rain-Snow,341<br />
2008-1-27,2,1,0,1,-1,-1,93,93,87,1032,1029,1025,5,2,1,14,10,,0.00,7,Rain-Snow,338<br />
2008-1-28,1,0,0,0,-1,-1,93,93,93,1025,1023,1021,6,3,1,11,10,,0.00,8,Rain-Snow,345<br />
2008-1-29,1,-1,-2,-1,-2,-4,100,90,80,1027,1024,1021,4,2,1,18,10,,0.00,6,Snow,306<br />
2008-1-30,0,-1,-2,-1,-3,-6,93,86,74,1031,1029,1027,10,2,1,14,11,,0.00,7,Snow,321<br />
2008-1-31,1,-1,-3,-5,-6,-7,80,68,56,1033,1032,1030,10,10,10,18,13,,0.00,3,,329<br />
2008-2-1,3,0,-2,-1,-3,-5,93,83,60,1031,1029,1026,7,3,1,18,8,,0.00,8,Snow,359<br />
2008-2-2,1,0,0,-1,-1,-1,93,92,87,1026,1024,1022,2,1,1,18,10,,0.00,8,Snow,333<br />
2008-2-3,3,-1,-4,-1,-4,-5,93,79,56,1028,1026,1025,4,2,1,21,11,,0.00,3,Rain-Snow,293<br />
2008-2-4,6,1,-3,-1,-3,-5,93,73,46,1029,1027,1026,5,2,1,11,3,,0.00,1,,350<br />
2008-2-5,4,2,0,1,-1,-3,93,83,70,1027,1026,1024,4,3,1,18,6,,0.00,5,Rain,25<br />
2008-2-6,3,1,-1,-1,-2,-4,93,80,65,1029,1028,1027,10,3,1,21,11,,0.00,4,Fog,341<br />
2008-2-7,4,1,-2,-3,-4,-5,86,73,56,1029,1028,1027,10,6,3,14,6,,0.00,2,,342<br />
2008-2-8,5,1,-2,-2,-3,-5,93,74,52,1029,1028,1027,7,4,2,14,5,,0.00,0,,307<br />
2008-2-9,3,0,-2,-3,-6,-10,80,63,38,1032,1030,1028,6,4,3,29,21,,0.00,2,,334<br />
2008-2-10,6,1,-3,-2,-4,-6,86,65,42,1031,1028,1026,10,8,5,18,6,,0.00,3,,347<br />
2008-2-11,6,3,2,-1,-2,-4,81,66,53,1029,1027,1026,10,9,6,21,11,,0.00,4,,352<br />
2008-2-12,5,1,-2,-2,-6,-12,87,59,29,1033,1031,1029,,,,32,18,43,0.00,,,349<br />
2008-2-13,4,0,-3,-6,-9,-11,69,53,33,1034,1032,1031,10,10,10,21,13,,0.00,1,,331<br />
2008-2-14,6,1,-3,-4,-8,-13,86,56,25,1032,1031,1028,8,6,4,14,3,,0.00,0,,298<br />
2008-2-15,9,3,-2,-3,-7,-10,86,51,25,1032,1030,1029,7,4,2,11,3,,0.00,0,,323<br />
2008-2-16,11,4,-1,0,-4,-8,87,56,30,1033,1031,1030,8,5,2,18,6,35,0.00,0,,115<br />
2008-2-17,11,6,1,0,-2,-6,81,56,30,1036,1034,1032,10,10,10,21,11,,0.00,1,,76<br />
2008-2-18,7,6,3,-2,-3,-3,70,57,49,1037,1035,1034,10,10,10,14,11,,0.00,5,,61<br />
2008-2-19,10,4,-1,1,-2,-5,93,67,37,1035,1033,1030,10,5,2,14,3,,0.00,1,,167<br />
2008-2-20,12,6,0,1,-3,-6,87,57,28,1032,1030,1027,8,7,6,14,3,,0.00,0,,115<br />
2008-2-21,15,10,5,4,2,-1,71,60,39,1027,1024,1021,7,5,2,18,11,,0.00,0,,152<br />
2008-2-22,18,14,10,6,6,4,76,64,40,1021,1019,1016,4,3,2,18,8,,0.00,4,,204<br />
2008-2-23,10,7,3,4,-1,-5,81,62,43,1033,1028,1022,10,6,2,32,24,,0.00,4,,22<br />
2008-2-24,8,6,3,-2,-4,-5,61,52,43,1033,1030,1027,10,10,10,21,18,35,0.00,5,,62<br />
2008-2-25,7,6,5,5,2,-2,93,76,61,1027,1023,1020,10,7,3,18,13,,0.00,8,Rain,90<br />
2008-2-26,6,3,1,3,0,-3,93,78,61,1030,1027,1022,7,4,2,29,21,35,0.00,7,Rain-Snow,325<br />
2008-2-27,10,4,-1,-1,-3,-6,87,62,32,1033,1031,1029,7,4,2,18,8,,0.00,0,,300<br />
2008-2-28,12,7,2,-1,-4,-8,75,51,24,1028,1023,1019,7,5,3,21,6,,0.00,0,,233<br />
2008-2-29,17,11,5,0,-2,-8,65,43,27,1020,1016,1013,8,6,4,32,14,,0.00,0,,260<br />
2008-3-1,16,10,4,3,-3,-7,70,44,23,1023,1020,1018,8,8,7,18,8,,0.00,0,,161<br />
2008-3-2,18,12,6,6,-2,-9,87,46,15,1023,1019,1018,6,4,2,40,16,,0.00,0,,261<br />
2008-3-3,14,8,3,0,-4,-9,70,41,21,1025,1024,1022,10,6,4,35,16,61,0.00,1,,323<br />
2008-3-4,13,7,2,-1,-6,-11,75,44,18,1028,1026,1025,8,5,3,18,5,,0.00,0,,320<br />
