
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-1-1,14,9,4,-5,-9,-13,43,28,16,1043,1037,1029,16,16,16,32,26,47,0.00,1,,359<br />
2008-1-2,10,5,-1,-7,-9,-11,52,36,23,1047,1044,1043,16,16,16,32,19,45,0.00,2,,357<br />
2008-1-3,9,3,-3,1,-3,-8,82,59,43,1044,1040,1034,16,16,16,21,11,29,0.00,4,,85<br />
2008-1-4,18,9,1,13,9,2,94,80,68,1034,1029,1024,16,15,6,26,14,39,0.00,7,,108<br />
2008-1-5,24,18,13,17,16,13,94,86,62,1024,1021,1019,16,12,2,24,8,40,0.76,5,Fog-Rain,169<br />
2008-1-6,26,22,18,19,17,15,100,86,50,1020,1018,1016,16,11,0,29,13,45,0.00,6,Fog,164<br />
2008-1-7,26,23,21,19,19,18,90,80,65,1018,1016,1014,16,16,14,34,18,48,T,8,,161<br />
2008-1-8,25,19,12,21,14,2,87,70,39,1021,1017,1014,16,16,14,34,21,48,T,7,Rain,159<br />
2008-1-9,20,13,6,14,8,2,96,65,45,1022,1017,1012,16,14,3,29,16,,T,5,,86<br />
2008-1-10,22,15,8,18,11,-2,100,72,21,1016,1013,1010,16,9,0,26,11,39,0.25,6,Fog,287<br />
2008-1-11,19,11,3,3,1,-3,73,49,26,1018,1015,1013,16,16,16,14,5,,0.00,1,,98<br />
2008-1-12,23,13,4,14,7,1,86,62,38,1019,1014,1012,16,16,16,27,8,40,0.00,2,,189<br />
2008-1-13,18,13,7,6,3,-1,82,56,27,1026,1023,1019,16,16,16,27,18,34,0.00,2,,21<br />
2008-1-14,18,11,2,4,1,-3,83,52,26,1030,1028,1026,16,16,16,19,3,29,0.00,4,,97<br />
2008-1-15,16,12,7,8,6,2,90,67,41,1026,1022,1017,16,15,10,21,3,,11.43,8,Rain,67<br />
2008-1-16,12,10,8,10,9,8,93,87,80,1016,1014,1012,16,9,5,21,13,34,21.34,8,Rain,47<br />
2008-1-17,12,9,7,10,4,0,93,67,50,1022,1020,1016,16,14,5,26,10,,0.00,8,,352<br />
2008-1-18,7,6,4,5,3,1,89,80,56,1022,1020,1017,16,12,3,29,21,40,19.30,8,Rain,27<br />
2008-1-19,12,7,2,4,1,-2,93,72,40,1031,1025,1018,16,14,8,37,27,50,24.64,5,Rain,2<br />
2008-1-20,11,4,-2,3,-1,-5,79,63,42,1035,1032,1030,16,16,16,26,11,37,0.00,2,,88<br />
2008-1-21,15,11,6,14,9,3,94,83,66,1029,1024,1021,16,11,2,27,18,39,0.51,8,Rain,101<br />
2008-1-22,22,16,9,17,14,9,94,88,71,1023,1021,1019,16,11,2,27,10,,2.54,8,,35<br />
2008-1-23,9,8,6,9,8,7,94,90,83,1023,1021,1019,16,7,0,21,14,,13.46,8,Rain,15<br />
2008-1-24,9,7,4,8,4,2,93,79,63,1028,1025,1020,16,12,5,32,21,42,9.40,8,Rain,26<br />
2008-1-25,7,6,4,4,3,-1,89,81,56,1028,1027,1025,16,11,2,27,16,,2.29,8,Rain,48<br />
2008-1-26,18,11,4,9,6,4,93,83,54,1026,1025,1023,16,14,4,13,8,,0.00,6,,321<br />
2008-1-27,17,11,4,7,6,5,100,90,64,1029,1027,1024,16,4,0,11,5,,0.00,7,Fog,83<br />
2008-1-28,22,13,4,17,12,4,100,84,65,1023,1017,1012,16,12,1,27,8,37,0.00,7,,151<br />
2008-1-29,26,17,7,19,10,-7,88,61,19,1021,1012,1009,16,16,16,45,23,58,T,7,,237<br />
2008-1-30,13,7,1,9,1,-7,82,56,34,1022,1018,1013,16,16,16,34,23,48,0.00,4,Rain,82<br />
