
COT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2009-1-1,18,11,5,13,9,5,100,82,56,1026,1024,1022,10,10,4,19,6,,0.00,4,Fog,64<br />
2009-1-2,19,14,10,12,10,8,100,81,52,1026,1025,1022,10,10,10,26,8,,0.00,4,,63<br />
2009-1-3,20,15,10,11,9,8,100,78,49,1026,1025,1022,10,10,10,23,11,,0.00,4,,74<br />
2009-1-4,20,14,8,13,9,7,100,81,46,1027,1025,1023,10,10,10,23,8,,0.00,3,Fog,66<br />
2009-1-5,19,13,8,13,9,7,100,82,46,1028,1025,1022,10,10,10,19,10,,0.00,3,Fog,32<br />
2009-1-6,18,13,9,11,9,8,94,78,56,1026,1025,1023,10,10,10,26,10,,0.00,5,,45<br />
2009-1-7,18,13,9,12,10,8,100,83,52,1026,1025,1021,10,9,5,19,6,,0.00,4,Fog,22<br />
2009-1-8,18,12,7,11,9,6,100,81,49,1027,1025,1022,10,9,4,23,8,,0.00,4,Fog,63<br />
2009-1-9,18,12,6,13,9,6,100,83,56,1027,1025,1023,10,10,10,19,6,,0.00,3,Fog,42<br />
2009-1-10,22,13,5,19,10,5,100,88,52,1028,1025,1009,10,10,6,21,8,,0.00,3,Fog,353<br />
2009-1-11,18,12,7,10,8,7,100,78,55,1027,1025,1023,10,10,10,19,10,,0.00,3,Fog,79<br />
2009-1-12,17,13,10,11,10,9,94,81,68,1027,1025,1022,10,10,10,19,10,,0.00,5,,64<br />
2009-1-13,16,13,10,11,10,9,100,85,63,1027,1025,1024,10,10,10,19,10,,0.00,4,,70<br />
2009-1-14,19,11,3,13,8,3,100,86,45,1028,1026,1023,10,8,0,23,6,,0.00,3,Fog,326<br />
2009-1-15,17,12,8,13,11,8,100,90,63,1027,1026,1024,10,10,7,23,8,,0.00,4,Fog,337<br />
2009-1-16,18,12,7,13,10,7,100,88,63,1028,1026,1024,10,9,3,45,11,,0.00,3,Fog,280<br />
2009-1-17,17,13,10,13,11,9,100,90,63,1029,1027,1025,10,9,5,23,8,,0.00,5,Fog-Rain-Thunderstorm,302<br />
2009-1-18,20,13,7,14,10,7,100,91,56,1029,1027,1025,10,6,0,27,5,,0.00,4,Fog,354<br />
2009-1-19,16,13,11,14,12,10,100,93,72,1029,1027,1024,10,9,5,26,8,,0.00,5,Rain,308<br />
2009-1-20,17,13,10,13,11,10,100,93,68,1029,1027,1025,10,8,1,29,6,,0.00,6,Rain-Thunderstorm,307<br />
2009-1-21,17,12,8,13,10,8,100,91,59,1029,1027,1025,10,9,8,14,6,,0.00,4,,55<br />
2009-1-22,18,13,9,13,11,8,100,88,52,1029,1027,1020,10,9,3,23,6,,0.00,5,Fog-Rain,340<br />
2009-1-23,17,13,10,12,11,9,100,90,68,1029,1026,1024,10,9,4,27,6,,0.00,5,Fog-Rain,304<br />
2009-1-24,17,13,10,13,11,10,100,91,68,1027,1025,1023,10,9,4,29,6,,0.00,4,Fog-Thunderstorm,286<br />
2009-1-25,18,13,8,12,9,8,100,91,59,1026,1024,1022,10,6,0,23,5,,0.00,3,Fog,310<br />
2009-1-26,18,12,6,13,9,6,100,86,52,1027,1025,1023,10,9,1,26,8,,0.00,4,Fog,300<br />
2009-1-27,19,14,9,12,10,8,100,81,49,1027,1025,1023,10,9,1,27,10,,0.00,4,Fog,52<br />
2009-1-28,18,12,7,12,9,6,100,84,52,1027,1025,1023,10,10,8,19,8,,0.00,5,,32<br />
2009-1-29,19,14,11,13,11,8,100,82,52,1027,1025,1023,10,9,5,21,6,,0.00,5,,40<br />
2009-1-30,19,14,10,13,11,7,100,89,46,1028,1026,1024,10,8,4,23,10,,0.00,5,Rain-Thunderstorm,12<br />
2009-1-31,17,13,11,13,11,10,100,92,63,1028,1026,1024,10,8,5,16,8,,0.00,7,Fog-Rain,336<br />
