
PYST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2009-1-1,37,31,25,23,21,14,83,59,39,1009,1008,1005,10,10,10,52,18,71,0.00,4,Thunderstorm,344<br />
2009-1-2,29,26,22,23,22,19,94,83,66,1009,1007,1006,10,9,2,34,11,47,0.00,7,Rain-Thunderstorm,138<br />
2009-1-3,28,24,20,20,16,11,88,66,39,1012,1011,1008,10,10,10,47,35,,0.00,6,,182<br />
2009-1-4,29,23,17,15,12,6,77,52,23,1015,1013,1011,10,10,10,34,16,37,0.00,2,,178<br />
2009-1-5,33,24,16,14,12,8,88,48,21,1013,1011,1006,10,10,10,34,13,,0.00,3,,162<br />
2009-1-6,34,26,18,19,15,12,88,52,26,1012,1009,1006,10,10,9,29,10,,0.00,3,,23<br />
2009-1-7,36,28,20,17,16,12,83,47,25,1012,1009,1006,10,10,8,34,10,,0.00,4,,20<br />
2009-1-8,37,29,22,23,18,16,79,53,30,1012,1010,1008,10,10,8,35,8,45,0.00,4,Rain-Thunderstorm,165<br />
2009-1-9,32,26,21,19,17,15,83,59,38,1015,1014,1012,10,8,4,47,27,,0.00,6,,186<br />
2009-1-10,31,26,20,19,17,15,88,59,38,1016,1014,1011,10,9,7,23,13,,0.00,4,,219<br />
2009-1-11,37,28,20,20,17,15,88,55,27,1014,1011,1007,10,10,9,23,6,,0.00,4,,251<br />
2009-1-12,38,30,22,22,21,17,100,56,30,1011,1008,1005,10,9,3,55,19,74,0.00,6,Rain-Thunderstorm,37<br />
2009-1-13,34,28,22,25,21,20,100,73,46,1009,1008,1007,10,10,8,34,21,52,0.00,5,Rain-Thunderstorm,55<br />
2009-1-14,38,30,23,23,22,19,89,68,39,1009,1007,1005,10,10,10,27,10,47,0.00,3,Rain-Thunderstorm,15<br />
2009-1-15,26,23,21,23,21,21,100,92,78,1011,1008,1005,10,9,1,37,16,,0.00,6,Rain-Thunderstorm,333<br />
2009-1-16,31,26,22,23,22,20,100,83,58,1011,1009,1005,10,9,5,14,6,,0.00,6,Rain,270<br />
2009-1-17,34,28,23,23,22,20,94,72,44,1008,1006,1003,10,10,10,26,10,,0.00,4,,23<br />
2009-1-18,27,24,22,23,22,21,100,87,78,1010,1008,1005,10,9,4,47,13,47,0.00,5,Rain-Thunderstorm,239<br />
2009-1-19,27,23,20,20,17,14,88,68,45,1014,1013,1010,10,10,10,40,32,52,0.00,5,,0<br />
2009-1-20,28,23,18,19,16,12,88,63,42,1015,1014,1013,10,10,10,34,16,,0.00,2,,179<br />
2009-1-21,32,24,17,18,16,14,88,57,37,1014,1013,1011,10,10,9,23,13,,0.00,4,,164<br />
2009-1-22,34,28,22,22,20,18,88,62,44,1014,1012,1011,10,10,9,19,13,,0.00,2,,81<br />
2009-1-23,34,28,23,22,20,18,83,61,46,1015,1012,1009,10,10,10,34,14,,0.00,4,Rain,76<br />
2009-1-24,35,29,23,22,20,19,83,60,41,1011,1009,1005,10,10,10,26,13,40,0.00,2,,43<br />
