
AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2010-1-1,20,17,13,10,7,3,82,56,37,1023,1020,1018,10,10,8,27,14,42,0.00,3,,1<br />
2010-1-2,21,16,10,5,3,2,62,47,31,1025,1024,1022,,,,13,10,,0.00,,,343<br />
2010-1-3,24,17,9,4,1,0,58,40,21,1025,1023,1021,,,,13,3,,0.00,,,188<br />
2010-1-4,24,17,9,1,-1,-4,54,32,16,1024,1022,1020,,,,19,6,,0.00,,,188<br />
2010-1-5,24,16,8,1,-3,-6,50,30,13,1022,1020,1018,,,,14,5,,0.00,,,187<br />
2010-1-6,24,17,10,2,-1,-4,47,31,16,1024,1021,1020,,,,24,6,,0.00,,,24<br />
2010-1-7,20,16,11,7,4,2,76,52,35,1025,1024,1022,8,5,4,26,13,,0.00,0,,359<br />
2010-1-8,21,14,9,3,-1,-6,66,39,16,1026,1024,1023,,,,26,13,,0.00,,,359<br />
2010-1-9,21,14,9,3,-2,-5,50,33,21,1025,1024,1022,,,,11,6,,0.00,,,350<br />
2010-1-10,22,14,8,1,-2,-3,50,33,20,1024,1023,1021,,,,16,6,,0.00,,,350<br />
2010-1-11,21,14,9,1,-2,-3,46,34,21,1026,1024,1023,,,,13,6,,0.00,,,10<br />
2010-1-12,21,14,8,2,-1,-2,53,36,21,1026,1024,1022,,,,21,6,,0.00,,,181<br />
2010-1-13,22,16,10,3,1,-2,54,34,22,1024,1022,1019,,,,27,16,,0.00,,,185<br />
2010-1-14,25,18,11,-1,-3,-4,41,28,16,1025,1022,1021,,,,16,11,,0.00,,,202<br />
2010-1-15,24,16,8,3,0,-2,53,34,18,1025,1023,1022,,,,13,3,,0.00,,,180<br />
2010-1-16,24,17,10,4,2,1,58,37,22,1027,1025,1023,,,,19,11,,0.00,,,176<br />
2010-1-17,24,17,10,2,1,0,54,35,21,1028,1026,1024,,,,23,10,,0.00,,,176<br />
2010-1-18,24,17,11,8,-1,-3,77,31,18,1025,1021,1016,7,7,7,34,16,,0.00,6,,181<br />
2010-1-19,25,19,14,3,2,-2,36,29,22,1021,1019,1017,,,,24,14,,0.00,,,177<br />
2010-1-20,25,20,15,9,5,2,45,38,32,1020,1018,1016,10,9,8,37,16,,0.00,6,Rain,181<br />
2010-1-21,26,21,16,11,8,5,59,46,38,1022,1020,1018,,,,27,11,,0.00,,,47<br />
2010-1-22,22,18,14,9,7,4,72,52,40,1025,1023,1021,,,,24,14,,0.00,,,51<br />
2010-1-23,22,17,12,9,7,5,77,53,38,1025,1023,1020,,,,19,8,,0.00,,,136<br />
2010-1-24,26,20,14,9,7,1,59,44,32,1021,1018,1015,,,,27,16,,0.00,,,182<br />
2010-1-25,27,22,17,10,7,2,59,40,23,1020,1017,1015,10,8,7,27,13,,0.00,2,,280<br />
2010-1-26,20,16,12,1,0,-1,44,35,26,1025,1023,1020,8,6,3,27,14,34,0.00,0,,45<br />
2010-1-27,18,13,9,1,1,0,58,43,30,1026,1024,1022,9,7,5,21,13,,0.00,0,,43<br />
2010-1-28,18,14,10,2,1,-1,58,42,32,1025,1022,1020,,,,19,13,,0.00,,,147<br />
2010-1-29,25,18,10,4,2,-5,50,35,25,1021,1020,1018,,,,14,11,,0.00,,,184<br />
2010-1-30,28,20,13,6,4,2,51,35,21,1024,1022,1020,8,7,5,13,8,,0.00,0,,175<br />
2010-1-31,28,20,13,7,6,4,58,39,25,1024,1021,1019,8,8,8,21,10,,0.00,0,,177<br />
2010-2-1,31,23,15,8,7,6,55,38,22,1020,1018,1015,9,7,5,13,6,,0.00,0,,198<br />
2010-2-2,29,23,18,13,8,4,73,38,21,1019,1016,1013,7,3,0,32,13,,0.00,0,,173<br />
