
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2010-1-1,-11,-17,-22,-14,-21,-26,85,75,71,1030,1019,1011,24,23,19,27,18,32,0.00,6,,191<br />
2010-1-2,-9,-12,-15,-12,-17,-18,85,76,72,1031,1022,1011,24,24,24,32,11,32,0.00,6,Snow,32<br />
2010-1-3,-6,-11,-16,-8,-14,-18,92,79,63,1035,1031,1028,24,16,1,37,16,47,0.00,6,Fog-Snow,215<br />
2010-1-4,-8,-11,-13,-11,-14,-15,85,81,73,1035,1032,1030,24,12,2,11,8,,0.00,7,Snow,124<br />
2010-1-5,-13,-14,-16,-15,-17,-18,85,82,78,1040,1033,1029,24,7,2,21,10,,0.00,8,Snow,14<br />
2010-1-6,-13,-18,-23,-18,-23,-27,85,74,62,1045,1042,1040,32,23,8,13,6,,0.00,1,,221<br />
2010-1-7,-8,-18,-26,-14,-22,-30,92,75,62,1040,1033,1025,24,23,16,16,10,,0.00,3,,202<br />
2010-1-8,8,-2,-11,-4,-8,-16,80,59,40,1024,1020,1017,24,24,24,16,6,,0.00,4,,296<br />
2010-1-9,8,0,-7,-3,-6,-10,80,56,40,1019,1016,1013,24,24,24,42,16,58,0.00,5,,251<br />
2010-1-10,9,4,0,-3,-4,-5,70,53,40,1021,1020,1017,24,24,24,19,13,27,0.00,5,,224<br />
2010-1-11,10,5,0,-1,-3,-5,70,59,43,1016,1011,1008,32,25,24,39,14,45,0.00,6,,208<br />
2010-1-12,10,6,1,0,-2,-3,75,59,43,1008,1004,1001,32,25,24,27,11,34,0.00,4,,225<br />
2010-1-13,9,3,-3,-2,-4,-7,75,65,43,1014,1011,1007,24,24,24,14,6,,0.00,3,,198<br />
2010-1-14,9,2,-4,-4,-6,-7,80,53,37,1016,1014,1012,24,24,24,26,11,34,0.00,5,,231<br />
2010-1-15,9,2,-4,-3,-6,-8,74,58,37,1011,1004,996,32,25,24,52,13,61,0.00,4,,235<br />
2010-1-16,6,1,-4,-4,-7,-9,74,63,36,1015,1010,1000,24,24,24,60,23,72,0.00,2,,150<br />
2010-1-17,4,-3,-10,-6,-9,-14,86,67,45,1013,1006,1002,24,24,24,16,8,,0.00,4,,201<br />
2010-1-18,9,1,-6,-4,-7,-10,80,60,37,1002,999,997,24,24,24,14,6,,0.00,4,,203<br />
2010-1-19,2,-3,-8,-6,-9,-14,74,62,48,1001,999,996,24,22,13,11,6,,0.00,4,,204<br />
2010-1-20,3,-1,-5,-5,-7,-8,100,74,45,999,998,997,24,13,0,13,3,,0.00,5,Fog,79<br />
2010-1-21,-5,-7,-8,-5,-7,-9,100,96,93,1002,1000,999,1,1,0,11,3,,0.00,8,Fog-Snow,81<br />
2010-1-22,-7,-8,-9,-9,-9,-11,93,89,86,1009,1004,1002,8,4,1,13,6,,0.00,8,Fog-Snow,19<br />
2010-1-23,-7,-8,-9,-9,-11,-12,93,77,68,1022,1015,1009,24,8,4,39,23,47,0.00,8,Snow,343<br />
2010-1-24,-8,-10,-11,-12,-13,-14,79,73,68,1029,1026,1023,24,15,4,27,19,,0.00,8,Snow,348<br />
2010-1-25,-12,-13,-14,-15,-16,-17,85,79,73,1028,1026,1024,10,7,2,13,8,,0.00,8,Snow,77<br />
2010-1-26,-11,-14,-17,-16,-17,-20,85,74,67,1029,1027,1026,24,11,8,11,6,,0.00,5,Snow,14<br />
2010-1-27,-6,-13,-20,-11,-17,-23,85,77,68,1033,1031,1028,24,15,13,13,6,,0.00,0,,191<br />
2010-1-28,0,-8,-16,-8,-13,-18,85,70,55,1029,1024,1022,24,23,16,10,6,,0.00,5,,212<br />
2010-1-29,-1,-7,-12,-8,-11,-16,80,70,51,1026,1024,1023,32,22,13,11,6,,0.00,7,,67<br />
2010-1-30,-7,-9,-10,-10,-12,-15,80,73,62,1029,1027,1026,24,12,6,16,8,,0.00,8,Snow,84<br />
2010-1-31,-10,-11,-12,-13,-14,-16,79,77,73,1025,1021,1017,11,6,4,23,18,,0.00,8,Snow,147<br />
2010-2-1,0,-5,-10,-6,-9,-13,80,75,64,1018,1015,1013,32,14,5,13,8,,0.00,6,Snow,187<br />
2010-2-2,-4,-7,-9,-8,-10,-12,86,79,74,1016,1014,1013,24,12,5,13,8,,0.00,6,,29<br />
2010-2-3,-7,-8,-9,-8,-9,-11,100,91,79,1016,1015,1014,5,2,0,11,6,,0.00,8,Fog-Snow,105<br />
2010-2-4,-3,-8,-12,-5,-11,-15,93,84,73,1017,1015,1014,32,5,1,13,8,,0.00,3,Fog-Snow,171<br />
2010-2-5,-2,-9,-15,-9,-14,-17,85,76,59,1020,1018,1017,24,12,8,19,5,,0.00,1,,178<br />
2010-2-6,-10,-13,-17,-11,-14,-19,93,84,78,1025,1023,1020,10,4,0,16,10,,0.00,5,Fog-Snow,166<br />
2010-2-7,-7,-10,-12,-9,-11,-14,93,90,85,1026,1025,1024,3,1,0,14,11,,0.00,8,Fog-Snow,170<br />
2010-2-8,-8,-10,-13,-9,-11,-15,93,87,85,1025,1023,1020,11,3,1,14,11,,0.00,7,Fog-Snow,180<br />
2010-2-9,2,-7,-14,-7,-11,-16,86,73,48,1020,1018,1015,32,25,24,19,2,,0.00,2,,315<br />
2010-2-10,0,-4,-10,-8,-11,-14,73,58,44,1014,1012,1011,24,24,24,19,8,,0.00,5,,5<br />
2010-2-11,4,-4,-13,-7,-11,-17,79,67,44,1015,1013,1011,24,24,24,14,5,,0.00,2,,182<br />
2010-2-12,6,-3,-11,-4,-9,-15,80,66,46,1015,1011,1010,24,23,8,13,3,,0.00,5,,128<br />
2010-2-13,-7,-10,-12,-8,-11,-14,93,85,74,1031,1025,1015,8,3,1,21,10,,0.00,7,Fog-Snow,154<br />
2010-2-14,0,-4,-8,-2,-6,-9,93,89,80,1029,1024,1021,24,8,1,23,14,,0.00,7,Fog-Snow,180<br />
2010-2-15,3,1,-2,-2,-4,-6,86,72,56,1027,1025,1022,32,24,10,29,16,37,0.00,6,Rain-Snow,344<br />
2010-2-16,0,-2,-3,-3,-4,-5,93,85,80,1024,1021,1019,24,4,0,16,10,,0.00,8,Fog-Snow,154<br />
2010-2-17,1,0,-1,-3,-3,-6,86,78,64,1029,1026,1022,24,10,2,34,16,40,0.00,8,Snow,349<br />
2010-2-18,1,-2,-5,-5,-8,-11,69,59,48,1028,1027,1024,24,17,8,32,23,37,0.00,5,Snow,329<br />
2010-2-19,-3,-6,-8,-9,-11,-13,74,65,59,1027,1026,1025,24,24,24,24,16,,0.00,4,,338<br />
2010-2-20,-5,-10,-15,-9,-13,-18,79,73,63,1027,1026,1025,24,16,0,13,8,,0.00,3,Fog-Snow,44<br />
2010-2-21,6,-4,-13,-6,-11,-16,85,63,41,1025,1020,1016,24,18,8,24,11,,0.00,2,,228<br />
2010-2-22,-1,-6,-11,-7,-11,-15,93,71,55,1023,1022,1021,32,20,1,23,10,,0.00,2,,104<br />
2010-2-23,4,-3,-11,-5,-9,-13,93,75,45,1022,1016,1008,16,6,0,13,10,,0.00,4,Fog-Snow,184<br />
2010-2-24,5,2,-2,-5,-8,-10,69,48,33,1010,1006,1003,24,24,24,27,13,,0.00,6,,300<br />
2010-2-25,8,3,-2,-7,-9,-10,69,43,29,1016,1014,1010,24,24,24,32,13,35,0.00,2,,260<br />
2010-2-26,4,0,-4,-5,-8,-11,74,55,39,1019,1016,1011,24,24,24,24,6,,0.00,3,,175<br />
2010-2-27,6,0,-5,-1,-4,-8,81,70,53,1010,1009,1008,24,24,24,13,5,,0.00,5,,159<br />
2010-2-28,7,1,-4,-3,-5,-8,75,63,46,1021,1016,1010,24,24,24,13,5,,0.00,2,,76<br />
2010-3-1,8,2,-3,-1,-5,-9,87,65,37,1022,1020,1017,24,19,8,16,10,,0.00,4,,178<br />
2010-3-2,6,0,-5,-2,-5,-7,87,76,46,1017,1012,1008,24,8,0,19,8,,0.00,6,Fog-Snow,177<br />
