
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2010-1-1,11,9,8,10,8,7,100,90,80,1021,1014,1011,16,15,6,32,19,42,6.10,8,Rain,175<br />
2010-1-2,11,8,4,7,6,4,100,86,71,1026,1025,1022,16,15,3,23,11,32,T,6,Rain,178<br />
2010-1-3,8,6,4,6,4,4,100,91,82,1026,1023,1020,16,11,2,13,2,35,T,6,,291<br />
2010-1-4,9,7,4,9,7,4,100,95,89,1019,1016,1015,16,7,3,11,3,,10.41,8,Rain,256<br />
2010-1-5,13,11,8,12,9,8,100,97,93,1020,1018,1016,16,5,1,11,2,,11.94,8,Fog-Rain,118<br />
2010-1-6,11,8,5,10,2,-3,100,78,55,1026,1024,1020,16,13,4,37,16,52,7.62,8,Rain,87<br />
2010-1-7,8,6,3,-1,-2,-4,65,59,53,1025,1022,1021,16,16,16,37,16,52,0.25,4,Rain,92<br />
2010-1-8,6,4,3,3,2,0,100,85,70,1021,1020,1017,16,8,2,24,5,29,18.03,8,Rain,228<br />
2010-1-9,8,6,3,6,4,2,100,88,76,1024,1023,1021,16,10,3,14,1,29,T,7,Rain,302<br />
2010-1-10,8,4,1,4,3,1,100,88,76,1023,1020,1015,16,15,8,14,4,19,T,3,Rain,284<br />
2010-1-11,7,6,4,6,5,4,100,95,89,1015,1009,1005,16,12,5,16,3,23,3.81,4,Rain,311<br />
2010-1-12,11,8,6,9,7,5,100,95,89,1009,1007,1005,16,9,4,32,6,39,13.72,8,Rain,184<br />
2010-1-13,11,7,3,8,7,3,100,87,74,1024,1011,1004,16,12,1,52,15,66,2.03,5,Fog-Rain,164<br />
2010-1-14,11,7,2,6,4,2,100,84,68,1026,1023,1016,16,12,1,19,6,24,T,2,Fog,130<br />
2010-1-15,11,8,4,9,7,4,100,88,76,1015,1011,1010,16,11,3,26,6,37,14.73,7,Rain,167<br />
2010-1-16,11,9,7,9,8,7,100,93,86,1012,1009,1005,16,11,3,21,8,40,2.03,8,Rain,120<br />
2010-1-17,11,10,8,8,7,4,100,86,71,1005,999,992,16,15,6,60,14,76,10.16,8,Rain,127<br />
2010-1-18,13,9,4,7,4,3,93,76,59,997,990,982,16,16,16,60,18,76,1.52,5,Rain,101<br />
2010-1-19,14,10,6,6,3,1,83,62,40,988,986,984,16,16,16,50,16,72,0.51,6,Rain,132<br />
2010-1-20,11,7,2,6,3,1,100,75,50,989,984,980,16,14,1,29,9,40,2.29,7,Rain,52<br />
2010-1-21,13,8,2,4,3,2,100,76,51,985,983,980,16,16,11,26,7,34,T,4,Rain,175<br />
2010-1-22,8,6,3,7,5,2,100,88,76,1003,994,983,16,9,1,13,2,35,3.81,6,Fog-Rain,171<br />
2010-1-23,11,6,1,6,4,1,100,83,66,1016,1009,1003,16,8,1,10,1,32,T,6,Fog-Rain,81<br />
2010-1-24,7,4,1,6,3,1,100,95,89,1016,1012,1009,16,8,1,23,6,29,16.76,6,Fog-Rain,107<br />
2010-1-25,11,8,4,8,6,4,100,89,77,1013,1011,1010,16,13,1,19,6,23,2.29,6,Rain,115<br />
2010-1-26,11,7,3,7,4,3,100,86,71,1020,1014,1010,16,7,0,24,1,27,1.02,7,Fog-Rain,310<br />
2010-1-27,12,7,2,4,3,1,100,80,59,1022,1021,1019,16,9,0,24,6,29,0.00,4,Fog,32<br />
2010-1-28,12,8,5,4,3,2,89,70,50,1020,1017,1015,16,16,16,16,6,23,0.00,1,,85<br />
2010-1-29,11,8,4,4,3,3,86,73,59,1016,1015,1014,16,16,16,24,9,32,T,5,,71<br />
2010-1-30,9,8,6,7,5,4,100,88,76,1016,1015,1015,16,15,10,13,0,14,1.27,8,Rain,111<br />
2010-1-31,11,7,2,7,6,2,100,87,74,1017,1015,1014,16,8,1,11,1,13,0.25,5,Fog-Rain,285<br />
2010-2-1,8,4,1,7,4,1,100,95,89,1014,1012,1010,16,8,0,13,3,45,6.86,8,Fog-Rain-Snow,106<br />
2010-2-2,13,9,5,7,6,4,100,81,61,1012,1010,1007,16,14,3,14,3,97,1.27,6,Rain,44<br />
2010-2-3,11,8,5,8,7,5,100,90,80,1007,1006,1005,16,13,2,27,6,52,14.73,8,Rain,152<br />
2010-2-4,11,9,7,7,5,4,93,78,63,1007,1003,998,16,16,16,32,13,39,3.81,8,Rain,101<br />
2010-2-5,16,11,5,7,6,3,100,72,44,1008,1006,1003,16,16,10,23,7,29,0.76,4,Rain,100<br />
2010-2-6,12,8,4,7,5,3,100,82,63,1016,1012,1007,16,16,13,16,2,24,0.76,7,Rain,85<br />
2010-2-7,12,8,4,7,6,4,100,84,68,1020,1018,1016,16,15,8,11,1,14,0.00,7,,261<br />
2010-2-8,11,6,1,4,4,1,100,83,66,1020,1017,1014,16,9,0,13,2,16,0.00,4,Fog,64<br />
2010-2-9,13,6,-2,4,2,-2,100,75,50,1019,1016,1015,16,13,3,11,3,16,0.00,0,,239<br />
2010-2-10,8,4,1,6,4,0,100,93,86,1016,1014,1011,16,8,0,23,9,29,4.06,8,Fog-Rain,160<br />
2010-2-11,12,11,8,9,8,6,93,87,80,1013,1010,1005,16,15,5,35,13,47,7.62,8,Rain,165<br />
2010-2-12,12,8,4,8,7,4,100,87,74,1019,1013,1010,16,13,4,45,10,61,6.10,7,Rain,160<br />
2010-2-13,11,8,6,8,7,5,100,92,83,1020,1018,1016,16,13,3,11,1,14,2.03,6,Rain,281<br />
2010-2-14,13,9,4,9,8,4,100,81,61,1024,1020,1017,16,12,2,24,4,40,4.57,7,Rain,134<br />
2010-2-15,12,8,3,9,6,3,100,87,74,1024,1022,1019,16,8,0,14,4,61,8.64,7,Fog-Rain,157<br />
2010-2-16,15,10,4,10,8,4,100,81,62,1024,1022,1019,16,12,2,19,6,37,1.02,5,Rain,336<br />
2010-2-17,14,7,-1,6,2,-1,100,75,50,1024,1021,1019,16,15,2,24,4,32,0.00,0,,52<br />
2010-2-18,15,9,3,2,1,-1,82,61,40,1019,1017,1015,16,16,16,34,16,45,0.00,0,,67<br />
2010-2-19,14,8,1,2,0,-1,82,60,38,1016,1015,1014,16,16,16,34,13,42,0.00,0,,60<br />
2010-2-20,14,7,-1,0,-2,-5,92,60,27,1016,1015,1014,16,16,16,29,10,40,0.00,0,,52<br />
2010-2-21,13,5,-4,-1,-6,-11,92,56,20,1020,1017,1016,16,16,16,24,6,32,0.00,0,,48<br />
2010-2-22,13,4,-4,1,-4,-6,88,59,29,1023,1021,1020,16,16,16,13,2,14,0.00,0,,277<br />
