
MSK,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,-6,-8,-9,-7,-9,-10,93,90,80,1010,1005,999,10,6,1,21,13,40,0.00,8,Snow,164<br />
2011-1-2,-1,-3,-6,-2,-4,-7,100,93,86,998,995,993,10,4,1,26,16,40,0.00,6,Snow,174<br />
2011-1-3,-2,-6,-10,-4,-9,-12,93,85,79,1018,1009,998,10,8,3,29,23,,0.00,7,Snow,237<br />
2011-1-4,-8,-11,-14,-10,-12,-16,93,87,79,1022,1020,1018,10,8,5,14,8,,0.00,6,Snow,171<br />
2011-1-5,-8,-11,-14,-10,-12,-16,93,88,85,1023,1019,1017,10,9,3,18,11,32,0.00,7,Snow,282<br />
2011-1-6,-6,-8,-10,-8,-9,-12,93,87,79,1029,1027,1023,10,9,5,26,16,,0.00,6,Snow,201<br />
2011-1-7,-7,-9,-11,-13,-14,-15,85,69,54,1031,1029,1026,10,10,10,29,19,47,0.00,6,,176<br />
2011-1-8,-5,-7,-9,-6,-9,-13,93,87,73,1027,1026,1025,10,9,3,21,16,40,0.00,8,Snow,172<br />
2011-1-9,0,-2,-4,-1,-4,-6,93,89,86,1026,1025,1023,10,7,2,26,14,35,0.00,8,Rain-Snow,167<br />
2011-1-10,1,0,0,0,-1,-1,100,94,87,1024,1022,1020,10,8,3,26,21,40,0.00,8,Rain-Snow,195<br />
2011-1-11,0,-2,-4,0,-2,-5,100,93,80,1024,1022,1019,10,8,1,26,16,35,0.00,7,Snow,238<br />
2011-1-12,0,-2,-4,-1,-3,-5,93,90,80,1025,1021,1014,10,8,5,21,16,,0.00,8,Snow,186<br />
2011-1-13,0,-2,-5,-2,-5,-7,93,84,69,1014,1007,1004,10,8,2,26,19,40,0.00,7,Snow,181<br />
2011-1-14,-1,-3,-4,-2,-3,-6,93,87,80,1008,1006,1004,10,10,5,21,18,35,0.00,6,Snow,222<br />
2011-1-15,-4,-7,-8,-5,-7,-9,93,89,80,1016,1012,1009,10,10,3,18,13,,0.00,7,Snow,245<br />
2011-1-16,-7,-12,-16,-9,-14,-18,93,86,73,1025,1022,1016,10,9,5,18,10,,0.00,6,Snow,314<br />
2011-1-17,-12,-17,-22,-16,-19,-25,92,81,67,1025,1024,1022,10,8,0,11,6,,0.00,3,Fog-Snow,300<br />
2011-1-18,-11,-14,-17,-13,-16,-19,92,85,79,1026,1024,1022,10,7,5,18,10,,0.00,6,Snow,105<br />
2011-1-19,-10,-14,-19,-14,-17,-21,92,83,73,1026,1024,1022,10,5,3,18,10,,0.00,6,,116<br />
2011-1-20,-10,-12,-14,-11,-13,-16,93,87,79,1027,1024,1022,10,4,1,14,13,,0.00,7,Snow,113<br />
2011-1-21,-11,-12,-13,-13,-14,-15,92,84,79,1028,1027,1025,10,8,5,18,14,,0.00,8,Snow,86<br />
2011-1-22,-8,-10,-12,-10,-12,-14,93,89,85,1025,1018,1014,10,3,1,18,16,32,0.00,8,Snow,107<br />
