
NOVT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,-28,-30,-33,-31,-33,-37,76,74,69,1056,1053,1048,6,3,1,6,2,,0.00,3,,138<br />
2011-1-2,-27,-30,-34,-30,-34,-38,76,74,68,1056,1054,1052,5,2,1,6,2,,0.00,4,,137<br />
2011-1-3,-28,-30,-33,-31,-34,-36,76,74,69,1054,1053,1052,5,3,1,11,5,,0.00,4,,83<br />
2011-1-4,-29,-31,-34,-33,-36,-38,76,72,68,1057,1055,1054,3,2,1,11,3,,0.00,2,,105<br />
2011-1-5,-29,-32,-35,-32,-36,-39,76,72,68,1057,1055,1053,3,2,0,6,2,,0.00,5,,88<br />
2011-1-6,-26,-29,-32,-29,-33,-36,77,73,69,1053,1051,1050,3,2,1,6,2,,0.00,6,,166<br />
2011-1-7,-29,-31,-33,-32,-34,-37,76,72,69,1051,1050,1050,4,3,2,11,5,,0.00,2,,169<br />
2011-1-8,-28,-30,-32,-31,-34,-36,76,72,69,1050,1047,1045,5,3,1,11,3,,0.00,2,,179<br />
2011-1-9,-23,-27,-32,-26,-31,-35,77,74,69,1045,1042,1038,4,2,1,6,2,,0.00,1,,205<br />
2011-1-10,-17,-24,-32,-19,-29,-35,85,76,69,1038,1031,1023,8,4,1,11,5,,0.00,4,Snow,214<br />
2011-1-11,-9,-16,-22,-10,-16,-25,93,88,77,1026,1022,1019,8,3,0,14,8,,0.00,7,Fog-Snow,308<br />
2011-1-12,-7,-12,-18,-8,-12,-20,100,91,85,1027,1025,1024,8,4,1,18,5,21,0.00,8,Snow,191<br />
2011-1-13,-8,-13,-18,-10,-17,-20,93,83,72,1029,1026,1024,8,6,2,14,10,,0.00,4,,227<br />
2011-1-14,-17,-21,-24,-18,-22,-26,92,85,77,1037,1034,1029,8,4,1,11,5,,0.00,2,,223<br />
2011-1-15,-18,-20,-23,-20,-23,-25,92,83,77,1040,1038,1037,3,1,0,6,2,,0.00,4,Fog,235<br />
2011-1-16,-10,-13,-17,-11,-15,-19,93,89,85,1040,1038,1036,5,3,1,18,5,,0.00,7,Snow,65<br />
2011-1-17,-17,-19,-22,-18,-21,-24,92,85,84,1036,1033,1032,6,4,2,14,10,,0.00,6,,56<br />
2011-1-18,-16,-19,-23,-18,-23,-26,85,83,77,1040,1037,1034,8,5,2,14,6,,0.00,4,,53<br />
2011-1-19,-16,-19,-23,-18,-21,-25,92,85,77,1043,1042,1040,8,5,1,14,11,,0.00,4,Snow,85<br />
2011-1-20,-15,-19,-24,-17,-20,-27,92,85,77,1044,1043,1042,8,5,1,21,11,21,0.00,7,Snow,100<br />
2011-1-21,-18,-22,-26,-20,-25,-29,85,81,77,1043,1043,1042,6,4,2,18,11,,0.00,5,,75<br />
2011-1-22,-22,-23,-26,-25,-27,-28,84,80,77,1042,1041,1039,6,5,3,21,14,26,0.00,2,,87<br />
2011-1-23,-23,-26,-28,-26,-29,-31,84,78,76,1039,1038,1037,6,5,3,21,14,,0.00,3,,72<br />
2011-1-24,-22,-26,-30,-24,-28,-34,84,78,69,1042,1038,1037,6,4,2,14,8,,0.00,4,,51<br />
2011-1-25,-24,-27,-31,-27,-31,-35,84,75,69,1043,1042,1040,4,2,1,14,3,,0.00,5,,170<br />
2011-1-26,-10,-17,-24,-13,-20,-27,85,77,67,1040,1036,1033,8,5,1,21,13,29,0.00,7,Snow,179<br />
2011-1-27,-10,-12,-15,-14,-18,-19,79,69,57,1033,1032,1028,8,6,5,18,13,26,0.00,7,,184<br />
2011-1-28,-11,-14,-18,-16,-20,-22,79,67,56,1027,1018,1012,8,5,4,18,13,29,0.00,6,,164<br />
2011-1-29,-11,-13,-16,-13,-15,-18,92,83,79,1012,1009,1001,6,5,1,14,8,,0.00,6,,184<br />
2011-1-30,-11,-13,-15,-13,-16,-17,92,83,79,1011,1004,1001,8,6,3,29,14,32,0.00,7,Snow,243<br />
2011-1-31,-6,-11,-16,-9,-13,-18,86,82,74,1013,1011,1010,10,6,4,35,21,55,0.00,7,Snow,223<br />
2011-2-1,-5,-7,-9,-7,-9,-11,93,86,79,1016,1012,1011,10,6,2,32,23,43,0.00,8,Snow,259<br />
2011-2-2,-10,-13,-16,-12,-15,-17,92,87,79,1021,1018,1013,6,4,2,14,8,,0.00,7,Snow,156<br />
2011-2-3,-10,-12,-14,-12,-14,-16,92,86,73,1012,1006,1003,6,4,1,26,13,,0.00,8,Snow,347<br />
2011-2-4,-12,-15,-18,-14,-17,-20,92,82,73,1018,1016,1011,8,5,1,18,13,,0.00,4,Snow,229<br />
2011-2-5,-13,-17,-20,-15,-19,-22,92,85,78,1015,1011,1009,5,3,1,14,6,21,0.00,4,,211<br />
2011-2-6,-12,-18,-23,-14,-20,-26,92,84,77,1017,1014,1010,6,3,1,11,5,,0.00,4,Snow,197<br />
2011-2-7,-13,-17,-20,-16,-19,-23,92,82,78,1017,1015,1009,8,4,2,26,11,35,0.00,6,Snow,146<br />
2011-2-8,-5,-9,-13,-5,-11,-16,100,87,73,1009,1004,1001,8,3,0,40,29,40,0.00,8,Snow,150<br />
2011-2-9,-7,-10,-14,-9,-12,-17,86,83,79,1012,1007,1002,10,6,1,32,21,40,0.00,7,Snow,192<br />
2011-2-10,-6,-12,-17,-8,-13,-19,86,81,74,1018,1017,1012,10,5,2,35,21,47,0.00,7,Snow,194<br />
2011-2-11,-4,-8,-12,-6,-11,-15,93,81,73,1018,1008,1000,10,7,2,35,24,50,0.00,7,Snow,170<br />
2011-2-12,-4,-7,-8,-5,-8,-10,93,85,74,1013,1010,1003,10,6,2,40,27,50,0.00,6,Snow,227<br />
2011-2-13,-9,-15,-23,-10,-19,-25,93,85,72,1022,1017,1013,8,5,2,14,11,,0.00,4,Snow,262<br />
2011-2-14,-15,-20,-25,-18,-23,-28,85,82,77,1024,1023,1020,5,3,1,14,5,,0.00,4,,145<br />
2011-2-15,-6,-13,-20,-6,-14,-22,100,84,73,1020,1014,1009,10,4,1,29,18,43,0.00,7,Snow,149<br />
2011-2-16,-11,-16,-21,-14,-18,-24,85,80,67,1021,1018,1014,8,4,1,21,10,,0.00,6,Snow,177<br />
2011-2-17,1,-7,-13,0,-11,-15,100,89,79,1014,1000,986,4,2,0,50,26,64,0.00,8,Snow,125<br />
2011-2-18,-13,-18,-23,-15,-20,-26,85,78,71,1015,1006,993,6,4,1,43,32,58,0.00,6,Snow,245<br />
2011-2-19,-24,-27,-29,-27,-29,-32,77,73,64,1020,1018,1015,6,4,3,14,11,,0.00,4,,222<br />
2011-2-20,-23,-28,-33,-27,-32,-37,83,73,64,1027,1023,1020,5,3,1,14,3,,0.00,3,Snow,246<br />
2011-2-21,-23,-26,-28,-27,-30,-31,76,72,64,1030,1029,1027,8,4,2,11,8,,0.00,6,Snow,262<br />
2011-2-22,-22,-27,-32,-25,-29,-35,84,76,69,1034,1032,1030,8,3,2,11,5,,0.00,6,Snow,273<br />
2011-2-23,-14,-21,-28,-18,-24,-31,85,78,67,1039,1036,1034,8,4,0,18,5,,0.00,6,Fog-Snow,324<br />
2011-2-24,-13,-19,-24,-16,-20,-26,92,81,73,1047,1044,1039,8,6,4,14,8,,0.00,6,Snow,285<br />
2011-2-25,-8,-12,-17,-12,-16,-18,92,80,73,1048,1046,1044,8,5,3,11,6,,0.00,6,,251<br />
2011-2-26,-12,-17,-21,-17,-19,-23,92,80,67,1045,1045,1044,6,5,2,14,10,,0.00,3,,275<br />
2011-2-27,-13,-19,-24,-18,-22,-27,85,77,66,1046,1046,1045,8,4,0,14,6,,0.00,3,,276<br />
2011-2-28,-8,-15,-22,-14,-19,-24,85,74,58,1045,1043,1040,8,5,4,14,8,,0.00,4,,282<br />
2011-3-1,-7,-14,-21,-13,-18,-24,92,77,62,1040,1035,1029,8,5,1,11,6,,0.00,5,,274<br />
2011-3-2,-10,-14,-18,-15,-18,-20,85,78,67,1029,1023,1020,6,3,1,11,3,,0.00,6,,208<br />
2011-3-3,-12,-17,-22,-17,-21,-25,85,76,62,1026,1023,1020,8,5,1,14,6,,0.00,3,,264<br />
2011-3-4,-14,-19,-23,-17,-21,-25,85,79,72,1025,1024,1022,8,4,2,18,6,,0.00,5,Snow,206<br />
2011-3-5,-13,-19,-25,-16,-22,-28,85,79,71,1022,1019,1015,8,6,4,18,8,21,0.00,5,,169<br />
2011-3-6,-10,-16,-21,-13,-19,-24,85,74,61,1021,1018,1015,8,6,6,32,16,43,0.00,2,,190<br />
2011-3-7,1,-4,-10,-2,-5,-13,100,84,73,1020,1015,1012,10,6,0,35,31,50,0.00,7,Snow,225<br />
2011-3-8,1,-4,-10,-2,-4,-11,100,87,80,1027,1024,1019,8,5,0,26,18,35,0.00,6,Fog-Snow,201<br />
2011-3-9,0,-4,-8,-1,-7,-9,100,85,74,1018,1006,1002,8,3,0,55,31,72,0.00,6,Snow,225<br />
2011-3-10,-6,-8,-10,-9,-13,-16,93,67,50,1023,1014,1007,8,5,0,40,31,47,0.00,4,Snow,307<br />
2011-3-11,-6,-11,-15,-13,-17,-19,73,61,49,1037,1031,1023,3,2,1,21,14,,0.00,3,,303<br />
