
AFT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,13,4,-4,-15,-23,-26,37,14,6,1019,1017,1015,10,5,1,19,10,,0.00,6,,291<br />
2011-1-2,13,4,-5,-13,-19,-24,50,23,7,1018,1016,1014,6,3,0,11,6,,0.00,,,300<br />
2011-1-3,12,3,-6,-13,-18,-22,54,27,9,1020,1018,1017,6,3,1,10,5,,0.00,4,,295<br />
2011-1-4,11,3,-5,-13,-18,-21,50,26,10,1020,1018,1016,5,4,1,13,6,,0.00,,,290<br />
2011-1-5,11,2,-7,-13,-18,-21,54,28,9,1020,1018,1016,8,4,2,10,5,,0.00,5,,257<br />
2011-1-6,10,2,-6,-14,-17,-22,54,30,9,1022,1019,1018,5,3,1,10,5,,0.00,3,,263<br />
2011-1-7,11,3,-4,-2,-11,-17,75,42,4,1019,1017,1015,8,3,1,47,6,,0.00,6,,288<br />
2011-1-8,10,2,-5,-3,-10,-17,93,48,14,1018,1016,1015,7,5,3,11,6,,0.00,,,288<br />
2011-1-9,10,2,-6,-12,-17,-20,54,28,11,1020,1018,1017,7,4,2,13,8,,0.00,,,300<br />
2011-1-10,9,1,-6,-3,-14,-19,61,33,14,1020,1018,1015,7,4,1,14,5,,0.00,7,,281<br />
2011-1-11,10,5,-1,0,-5,-17,93,59,15,1018,1016,1014,7,5,3,24,10,,0.00,5,Snow,286<br />
2011-1-12,11,3,-4,-10,-12,-14,59,40,16,1017,1015,1013,8,5,1,13,6,,0.00,1,,337<br />
2011-1-13,5,1,-2,1,-3,-11,100,75,44,1016,1014,1013,7,3,0,74,8,,0.00,6,Fog-Snow,92<br />
