
ICT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,19,17,15,16,14,11,94,82,68,1018,1015,1013,6,3,1,16,10,,0.00,6,Rain,62<br />
2011-1-2,20,18,16,18,16,15,100,90,83,1017,1015,1013,5,3,1,19,6,,0.00,6,Rain,71<br />
2011-1-3,18,14,11,16,11,9,100,84,72,1020,1018,1016,9,6,1,27,18,,0.00,6,Rain,41<br />
2011-1-4,13,12,11,11,9,8,100,86,77,1022,1019,1018,10,9,3,21,16,,0.00,7,Rain,28<br />
2011-1-5,13,11,10,12,11,10,100,96,88,1020,1018,1015,6,3,1,13,10,,0.00,7,Rain,19<br />
2011-1-6,16,13,12,12,9,7,100,75,59,1025,1023,1020,10,9,3,24,14,,0.00,7,,13<br />
2011-1-7,13,12,11,7,6,5,72,67,62,1027,1024,1022,10,9,7,21,14,37,0.00,6,,20<br />
2011-1-8,13,11,10,9,7,6,82,75,71,1023,1020,1018,8,6,4,13,8,,0.00,6,,16<br />
2011-1-9,14,12,11,10,8,6,82,75,59,1025,1022,1019,10,8,5,19,11,,0.00,6,Rain,359<br />
2011-1-10,13,12,11,7,5,3,72,63,54,1023,1021,1018,10,7,6,21,11,,0.00,6,,28<br />
2011-1-11,11,9,7,6,6,4,93,76,62,1024,1021,1019,10,8,4,19,14,,0.00,6,Rain,5<br />
2011-1-12,14,11,9,8,4,1,87,62,44,1023,1019,1016,9,7,5,21,10,,0.00,6,,7<br />
2011-1-13,14,12,10,9,7,5,82,70,55,1021,1018,1016,9,6,5,10,5,,0.00,6,,31<br />
2011-1-14,14,13,12,12,10,8,94,82,72,1021,1018,1015,8,5,1,19,5,,0.00,6,Rain,309<br />
2011-1-15,19,14,10,11,7,4,94,65,40,1027,1023,1021,10,7,4,34,16,,0.00,6,,342<br />
2011-1-16,16,12,8,7,2,-3,81,51,29,1026,1023,1019,9,7,4,23,8,,0.00,,,41<br />
2011-1-17,14,11,8,8,6,3,93,68,48,1024,1021,1019,6,4,1,19,8,,0.00,6,,58<br />
2011-1-18,12,10,9,10,8,6,94,82,67,1023,1020,1018,5,3,1,16,10,,0.00,6,Rain,346<br />
2011-1-19,11,10,10,10,9,8,100,91,82,1020,1018,1016,6,3,1,14,8,,0.00,6,Fog,353<br />
2011-1-20,12,10,9,10,8,6,100,86,76,1021,1019,1017,10,8,2,24,14,,0.00,6,,8<br />
2011-1-21,16,13,10,9,6,4,82,65,45,1024,1021,1018,10,9,6,23,14,,0.00,6,,344<br />
2011-1-22,15,13,12,9,6,4,72,62,51,1023,1020,1017,8,6,5,13,8,,0.00,6,,34<br />
2011-1-23,14,12,10,10,8,8,100,79,67,1025,1023,1020,10,7,2,19,14,,0.00,6,,10<br />
