
ART,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,27,24,22,22,19,18,83,72,61,1015,1013,1011,10,10,10,47,23,66,0.00,2,,117<br />
2011-1-2,28,24,22,22,19,18,83,73,58,1014,1012,1009,10,10,10,52,29,69,0.00,3,,108<br />
2011-1-3,27,24,23,21,19,18,78,70,58,1012,1011,1009,10,10,10,47,27,63,0.00,5,,107<br />
2011-1-4,27,24,23,22,19,18,83,73,61,1011,1009,1007,10,10,8,37,21,53,0.00,5,Rain,102<br />
2011-1-5,28,26,23,22,19,14,89,73,45,1009,1008,1006,10,9,4,23,14,,0.00,5,Rain-Thunderstorm,24<br />
2011-1-6,30,24,19,15,14,13,78,52,35,1009,1008,1006,10,10,10,34,19,50,0.00,1,,310<br />
2011-1-7,34,27,21,20,16,12,73,51,26,1011,1009,1008,10,10,10,19,13,,0.00,4,,299<br />
2011-1-8,28,24,21,22,19,15,88,72,48,1013,1011,1009,10,8,5,27,13,,0.00,6,Rain-Thunderstorm,14<br />
2011-1-9,28,24,21,22,16,10,89,58,32,1013,1011,1010,10,10,10,35,14,55,0.00,2,,228<br />
2011-1-10,28,23,19,20,18,16,88,71,57,1013,1011,1008,10,10,8,39,24,50,0.00,3,Rain,131<br />
2011-1-11,26,23,21,22,19,18,88,78,69,1008,1006,1004,10,9,6,37,19,71,0.00,7,Rain-Thunderstorm,82<br />
2011-1-12,26,23,21,20,19,18,88,74,61,1007,1006,1005,10,10,10,26,16,,0.00,3,,100<br />
2011-1-13,30,26,22,21,19,16,83,68,45,1007,1005,1002,10,10,10,19,13,,0.00,1,,47<br />
2011-1-14,30,27,22,21,18,7,74,61,38,1013,1009,1005,10,10,10,45,13,66,0.00,2,,99<br />
2011-1-15,28,24,22,24,19,8,89,72,38,1013,1009,1003,10,10,10,40,27,,0.00,4,,109<br />
2011-1-16,31,26,21,25,20,18,94,70,54,1007,1002,1000,10,6,1,55,26,87,0.00,4,Rain-Thunderstorm,290<br />
2011-1-17,26,22,18,16,11,6,83,49,28,1014,1011,1008,10,10,10,21,10,,0.00,,,104<br />
2011-1-18,28,24,21,22,16,11,83,58,37,1015,1012,1007,,,,32,16,,0.00,,,67<br />
2011-1-19,26,23,20,21,19,18,94,80,61,1011,1007,1005,10,7,1,52,24,64,0.00,5,Rain-Thunderstorm,339<br />
2011-1-20,25,22,20,19,12,9,94,53,36,1015,1013,1009,,,,27,16,,0.00,,,115<br />
2011-1-21,27,23,20,18,12,3,73,51,21,1017,1015,1012,,,,29,19,,0.00,,,65<br />
2011-1-22,29,26,22,21,19,17,88,70,48,1015,1014,1013,10,10,10,24,18,,0.00,1,,77<br />
2011-1-23,31,27,23,22,20,16,83,71,40,1017,1015,1013,10,10,10,29,14,,0.00,1,,103<br />
2011-1-24,30,28,25,24,21,18,79,69,61,1015,1012,1009,10,10,10,24,16,,0.00,1,,73<br />
2011-1-25,32,28,25,26,23,20,84,75,62,1011,1009,1007,10,9,5,52,13,71,0.00,4,Rain-Thunderstorm,57<br />
2011-1-26,31,27,23,23,21,16,94,72,40,1007,1006,1004,10,9,3,34,11,,0.00,5,Rain,287<br />
2011-1-27,28,26,23,22,20,19,83,73,62,1009,1007,1006,10,10,8,24,13,,0.00,5,,194<br />
2011-1-28,33,28,23,22,21,17,83,66,46,1015,1010,1007,10,9,8,35,11,47,0.00,4,,279<br />
2011-1-29,27,24,22,18,17,14,73,62,45,1018,1016,1010,10,10,10,34,24,48,0.00,1,,122<br />
2011-1-30,30,26,22,24,21,15,89,73,57,1017,1013,1008,10,10,10,29,16,47,0.00,1,,78<br />
2011-1-31,30,27,23,24,21,16,94,69,48,1012,1006,1004,10,9,3,45,23,69,0.00,6,Rain-Thunderstorm,307<br />
2011-2-1,24,20,17,17,12,8,78,57,36,1018,1016,1013,10,10,10,34,26,63,0.00,,,143<br />
2011-2-2,28,23,18,21,16,12,83,64,42,1018,1015,1011,,,,27,18,,0.00,,,46<br />
2011-2-3,31,27,23,20,18,16,73,60,46,1011,1009,1006,10,8,4,42,16,61,0.00,1,,29<br />
2011-2-4,27,23,20,17,13,10,65,55,36,1011,1010,1007,,,,37,21,55,0.00,,,138<br />
2011-2-5,33,27,21,20,16,7,83,54,34,1015,1009,1006,10,10,10,42,13,45,0.00,1,,209<br />
2011-2-6,23,20,17,15,8,-1,64,47,22,1018,1016,1014,,,,37,26,53,0.00,,,123<br />
2011-2-7,24,22,21,18,15,1,78,67,25,1017,1015,1014,10,8,6,45,24,72,0.00,8,Rain,115<br />
2011-2-8,25,22,20,19,17,14,94,74,57,1016,1015,1013,10,9,4,48,32,61,0.00,7,Rain,126<br />
2011-2-9,25,22,20,21,17,14,88,72,60,1015,1014,1013,10,10,9,40,24,64,0.00,5,,149<br />
2011-2-10,25,21,18,18,16,15,88,71,57,1015,1014,1013,10,9,6,32,23,,0.00,2,,131<br />
2011-2-11,25,22,20,19,17,15,88,74,54,1015,1014,1012,10,10,10,29,16,,0.00,2,,104<br />
2011-2-12,26,23,20,20,18,15,78,74,65,1013,1012,1009,10,10,10,26,16,,0.00,3,,99<br />
