
AZT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,9,4,0,6,3,-1,100,86,71,1018,1016,1015,10,7,0,13,6,,0.00,6,Fog,13<br />
2012-1-2,8,6,3,4,3,2,93,82,71,1021,1015,1012,10,9,6,48,13,66,0.00,8,Rain,318<br />
2012-1-3,5,2,0,2,-1,-3,87,69,57,1026,1023,1021,10,10,10,45,26,63,0.00,7,Rain,339<br />
2012-1-4,6,3,0,1,-1,-3,93,78,65,1028,1026,1024,10,10,10,21,8,,0.00,6,Rain,290<br />
2012-1-5,9,4,0,5,2,-1,93,81,66,1028,1025,1022,10,9,3,34,11,,0.00,6,,162<br />
2012-1-6,8,7,5,6,4,2,87,80,71,1021,1017,1013,10,10,10,35,27,,0.00,7,Rain,176<br />
2012-1-7,9,4,1,4,2,-1,93,81,70,1019,1016,1012,10,8,0,37,16,55,0.00,4,Fog,174<br />
2012-1-8,11,6,1,8,6,0,100,89,76,1020,1017,1013,10,7,0,37,13,,0.00,6,Fog,157<br />
2012-1-9,11,7,4,8,5,3,100,86,62,1013,1012,1011,10,8,3,24,13,,0.00,6,,125<br />
2012-1-10,8,4,2,4,3,1,100,85,76,1023,1016,1010,10,8,1,37,21,,0.00,5,Fog,313<br />
2012-1-11,8,7,5,5,4,3,87,82,76,1023,1021,1017,10,10,10,16,10,,0.00,8,,129<br />
2012-1-12,7,6,5,5,4,3,100,87,76,1019,1017,1015,10,10,5,24,11,,0.00,7,,333<br />
2012-1-13,7,6,4,5,4,2,93,86,81,1021,1019,1016,10,10,5,13,6,,0.00,8,,295<br />
2012-1-14,9,7,6,7,5,4,100,85,71,1017,1014,1012,10,9,6,34,13,,0.00,6,Rain,181<br />
2012-1-15,14,10,6,5,3,-1,93,67,36,1014,1012,1009,10,10,10,40,31,55,0.00,6,,201<br />
2012-1-16,12,7,2,9,5,1,93,88,77,1015,1013,1010,10,9,7,34,16,,0.00,4,Fog,180<br />
2012-1-17,8,7,6,7,4,2,100,87,76,1019,1015,1011,10,10,6,29,18,,0.00,8,,348<br />
2012-1-18,6,6,5,5,3,2,93,86,76,1024,1022,1018,10,10,10,32,16,,0.00,8,,342<br />
2012-1-19,6,4,4,3,2,1,87,82,76,1023,1021,1019,10,10,10,32,27,,0.00,8,,336<br />
2012-1-20,4,2,1,3,2,0,100,92,87,1022,1019,1018,10,7,3,52,37,71,0.00,8,Rain-Snow,340<br />
2012-1-21,2,1,0,1,-1,-3,100,89,75,1026,1024,1022,10,6,1,48,32,60,0.00,8,Rain-Snow,353<br />
2012-1-22,4,2,0,0,-2,-4,81,74,65,1024,1021,1020,10,10,10,16,8,,0.00,8,,110<br />
