
PHT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,30,27,23,24,23,22,100,80,62,1015,1013,1011,10,5,0,19,6,,0.00,3,,133<br />
2012-1-2,29,27,24,24,23,22,94,82,66,1014,1012,1010,10,10,10,13,6,,0.00,4,,169<br />
2012-1-3,29,27,24,25,24,23,100,88,70,1013,1012,1010,10,9,8,14,6,,0.00,6,Rain,216<br />
2012-1-4,30,27,24,25,23,21,100,86,58,1015,1013,1011,10,10,8,19,5,,0.00,6,Rain,105<br />
2012-1-5,31,27,24,24,22,19,94,73,51,1015,1013,1011,10,10,10,23,8,,0.00,3,,90<br />
2012-1-6,32,28,24,23,22,21,89,76,55,1015,1014,1012,10,10,9,23,5,,0.00,4,,108<br />
2012-1-7,30,28,25,25,24,23,89,83,66,1016,1014,1012,10,10,10,13,6,,0.00,6,Rain,87<br />
2012-1-8,26,24,23,24,23,22,100,93,78,1017,1015,1013,10,9,3,13,6,,0.00,6,Rain,59<br />
2012-1-9,32,27,23,24,22,19,100,76,46,1015,1013,1011,10,9,5,26,8,,0.00,5,,95<br />
2012-1-10,32,28,25,29,23,22,100,80,59,1015,1013,1011,10,10,10,21,6,,0.00,6,,89<br />
2012-1-11,31,28,25,23,21,18,89,69,49,1015,1013,1011,10,10,10,24,8,,0.00,6,,95<br />
2012-1-12,32,28,25,21,20,18,78,64,46,1014,1013,1011,10,10,9,23,11,,0.00,2,,98<br />
2012-1-13,31,27,24,23,21,20,89,70,52,1014,1013,1011,10,10,10,21,8,,0.00,2,,107<br />
2012-1-14,31,27,24,23,22,21,83,71,55,1012,1011,1009,10,10,9,21,11,,0.00,3,,100<br />
2012-1-15,31,28,25,24,23,22,94,77,58,1011,1009,1007,10,10,10,14,8,,0.00,4,,124<br />
2012-1-16,31,28,25,25,24,22,94,79,58,1010,1008,1003,10,10,9,11,6,,0.00,5,Rain,139<br />
2012-1-17,32,28,25,24,23,21,94,79,52,1011,1009,1007,10,10,9,14,6,,0.00,4,Rain,104<br />
2012-1-18,31,28,25,25,24,23,94,81,66,1011,1009,1007,10,9,7,14,6,,0.00,4,,145<br />
2012-1-19,31,28,25,25,24,23,94,80,62,1011,1009,1007,10,10,9,14,6,,0.00,5,,188<br />
2012-1-20,31,28,25,25,24,21,94,80,62,1011,1009,1007,10,10,8,14,5,,0.00,1,,240<br />
2012-1-21,31,28,25,23,22,20,89,73,52,1011,1009,1007,10,10,9,16,8,,0.00,3,,107<br />
2012-1-22,31,27,24,24,22,19,89,74,58,1011,1010,1008,10,10,8,16,6,,0.00,3,,121<br />
2012-1-23,32,28,24,22,21,18,89,68,46,1012,1010,1008,10,10,6,19,6,,0.00,1,,105<br />
2012-1-24,32,27,23,21,21,19,83,66,46,1012,1010,1008,10,10,9,26,10,,0.00,1,,108<br />
2012-1-25,30,27,23,24,21,19,84,73,55,1012,1011,1009,10,10,8,19,6,,0.00,3,,213<br />
2012-1-26,31,27,24,21,21,19,83,69,49,1014,1012,1010,10,10,10,24,11,42,0.00,2,,105<br />
2012-1-27,32,27,23,22,21,19,83,68,49,1013,1012,1010,10,10,8,21,11,35,0.00,1,,104<br />
