
FET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,2,1,1,1,-1,-2,93,88,81,1011,1010,1009,10,7,5,14,11,,0.00,6,,202<br />
2013-1-2,0,-2,-4,-3,-5,-6,86,80,75,1014,1012,1009,10,10,10,11,8,,0.00,8,,204<br />
2013-1-3,2,1,1,0,0,-1,93,89,81,1014,1012,1009,10,7,4,18,16,,0.00,8,Rain-Snow,240<br />
2013-1-4,1,0,0,0,-1,-2,100,91,81,1007,1005,1003,10,6,2,18,8,,0.00,8,Rain-Snow,324<br />
2013-1-5,1,0,0,0,0,-1,93,92,87,1012,1008,1005,10,6,2,14,10,,0.00,8,Rain-Snow,1<br />
2013-1-6,-3,-4,-6,-5,-7,-9,86,80,74,1013,1012,1011,10,9,3,21,18,35,0.00,7,Snow,340<br />
2013-1-7,-6,-7,-8,-9,-10,-11,86,81,74,1025,1022,1019,10,10,10,21,16,32,0.00,7,Snow,7<br />
2013-1-8,-6,-7,-8,-10,-11,-13,80,71,58,1026,1024,1023,10,10,6,43,6,,0.00,6,Snow,303<br />
2013-1-9,-7,-8,-8,-10,-11,-11,86,80,74,1021,1020,1017,10,9,4,18,6,,0.00,7,Snow,213<br />
2013-1-10,-7,-8,-9,-9,-10,-12,93,87,79,1008,1002,997,10,4,1,21,19,32,0.00,8,Snow,155<br />
2013-1-11,-6,-8,-9,-8,-9,-11,93,88,86,1004,1000,995,5,3,1,18,13,29,0.00,8,Snow,122<br />
2013-1-12,-3,-4,-6,-5,-7,-8,93,89,86,1017,1013,1009,5,4,2,14,10,,0.00,8,Snow,79<br />
2013-1-13,-8,-10,-11,-9,-11,-12,93,91,86,1023,1022,1020,10,5,4,11,6,,0.00,8,Snow,351<br />
2013-1-14,-12,-13,-14,-13,-14,-15,100,92,85,1028,1027,1026,5,3,1,11,5,,0.00,7,Snow,208<br />
2013-1-15,-4,-8,-12,-5,-8,-13,100,92,86,1019,1015,1013,5,2,1,18,14,,0.00,8,Fog-Snow,129<br />
2013-1-16,-2,-3,-3,-3,-4,-4,100,95,93,1011,1010,1008,3,2,1,18,10,29,0.00,8,Snow,61<br />
2013-1-17,-5,-6,-6,-6,-7,-9,93,90,80,1007,1005,1004,2,1,0,21,18,32,0.00,8,Snow,20<br />
2013-1-18,-9,-10,-11,-11,-13,-14,86,83,73,1012,1011,1010,10,5,1,14,10,,0.00,7,Snow,345<br />
2013-1-19,-12,-14,-16,-14,-17,-18,85,84,79,1009,1007,1004,10,7,4,14,10,,0.00,7,Snow,68<br />
2013-1-20,-10,-11,-12,-12,-13,-14,86,84,79,1000,1000,999,6,4,1,6,5,,0.00,8,Snow,230<br />
2013-1-21,-12,-14,-16,-15,-17,-19,85,81,73,1009,1007,1004,6,5,2,14,10,,0.00,6,,1<br />
2013-1-22,-12,-14,-17,-15,-17,-19,92,83,79,1012,1011,1010,6,5,4,14,10,,0.00,5,,51<br />
2013-1-23,-7,-12,-17,-11,-15,-19,93,81,63,1011,1011,1010,6,3,1,11,5,,0.00,5,,330<br />
2013-1-24,-5,-6,-7,-7,-8,-8,100,89,80,1012,1010,1009,10,9,6,18,10,,0.00,8,,325<br />
2013-1-25,-8,-9,-10,-11,-12,-14,86,77,73,1021,1019,1015,10,9,6,11,6,,0.00,7,Snow,344<br />
2013-1-26,-11,-13,-15,-13,-14,-16,100,88,79,1024,1024,1022,10,9,5,11,6,,0.00,7,Snow,163<br />
2013-1-27,-12,-16,-20,-16,-18,-21,92,84,67,1022,1018,1015,,,,11,8,,0.00,,,121<br />
2013-1-28,-9,-11,-12,-11,-12,-13,93,87,79,1017,1015,1014,10,9,3,14,10,,0.00,7,Snow,168<br />
2013-1-29,-7,-8,-9,-8,-10,-11,93,87,79,1015,1013,1011,10,6,2,14,10,,0.00,8,Snow,148<br />
2013-1-30,-1,-3,-5,-2,-4,-6,100,96,86,1011,1008,1003,4,2,1,21,11,32,0.00,8,Fog-Snow,149<br />
2013-1-31,3,2,1,2,1,0,100,92,87,996,995,993,10,7,1,18,13,29,0.00,7,Rain-Snow,238<br />
2013-2-1,2,1,0,0,-1,-2,87,83,81,997,995,992,10,8,2,18,14,35,0.00,7,Rain-Snow,263<br />
2013-2-2,0,-4,-8,0,-3,-8,100,98,93,998,998,997,4,1,0,21,11,32,0.00,8,Fog-Snow,124<br />
2013-2-3,0,-1,-1,0,-1,-2,100,96,87,1002,998,993,10,7,0,18,10,29,0.00,8,Fog,295<br />
2013-2-4,-1,-3,-4,-3,-4,-6,93,84,75,1005,1004,1003,10,9,5,18,10,,0.00,8,Snow,243<br />
2013-2-5,2,0,-1,0,-1,-2,100,85,81,1000,998,996,10,8,1,21,18,32,0.00,7,Snow,233<br />
2013-2-6,2,1,0,1,0,-1,100,93,81,1003,1001,999,10,5,1,14,10,,0.00,8,Snow,175<br />
2013-2-7,1,0,0,0,-1,-1,100,94,93,1006,1005,1003,5,3,1,18,13,,0.00,8,Fog-Rain-Snow,136<br />
2013-2-8,1,0,0,1,1,0,100,99,93,1007,1006,1005,10,3,0,14,11,,0.00,8,Fog-Rain-Snow,127<br />
2013-2-9,1,0,0,0,-1,-1,100,94,93,1011,1009,1004,10,5,1,18,10,,0.00,8,Rain-Snow,323<br />
2013-2-10,-1,-2,-2,-2,-2,-3,100,91,86,1015,1011,1006,10,7,1,18,14,,0.00,8,Snow,256<br />
2013-2-11,-2,-3,-3,-3,-5,-6,93,81,74,1019,1018,1016,10,9,5,18,11,29,0.00,8,Snow,88<br />
2013-2-12,1,0,0,0,-1,-1,100,91,87,1021,1018,1015,10,7,1,11,8,,0.00,8,Snow,135<br />
2013-2-13,1,0,0,0,-1,-1,100,94,87,1028,1027,1025,10,5,1,18,14,,0.00,8,Fog-Snow,108<br />
2013-2-14,0,-1,-2,-1,-2,-5,93,89,80,1030,1029,1027,10,6,3,14,11,,0.00,8,Snow,102<br />
2013-2-15,-3,-4,-4,-5,-7,-8,93,81,69,1024,1024,1023,10,8,5,11,10,,0.00,8,Snow,70<br />
2013-2-16,-2,-3,-5,-7,-7,-8,86,77,69,1024,1024,1023,10,8,5,11,8,,0.00,8,Snow,3<br />
2013-2-17,-5,-7,-8,-8,-9,-11,86,79,68,1024,1023,1022,10,8,4,14,10,,0.00,8,Snow,334<br />
2013-2-18,-3,-4,-6,-6,-8,-9,86,79,74,1020,1017,1015,10,8,3,11,6,,0.00,8,Snow,261<br />
2013-2-19,-4,-6,-6,-6,-7,-8,93,87,80,1011,1010,1010,5,3,1,18,13,,0.00,8,Snow,152<br />
2013-2-20,-4,-6,-6,-6,-7,-8,93,85,80,1017,1015,1012,10,5,3,18,14,,0.00,8,Snow,80<br />
2013-2-21,-2,-4,-6,-4,-6,-7,93,87,80,1021,1020,1019,6,5,3,14,11,,0.00,8,Snow,77<br />
2013-2-22,-2,-3,-5,-4,-5,-6,93,88,80,1022,1022,1021,5,4,1,14,10,,0.00,8,Snow,79<br />
2013-2-23,0,-2,-5,-4,-6,-6,93,78,69,1027,1026,1024,6,5,5,18,16,29,0.00,8,,105<br />
2013-2-24,-1,-3,-6,-7,-8,-9,93,71,59,1031,1030,1029,,,,21,18,32,0.00,,,116<br />
2013-2-25,2,-3,-7,-4,-8,-12,80,67,60,1033,1033,1032,10,10,10,18,16,29,0.00,6,,116<br />
2013-2-26,2,-4,-9,-1,-5,-11,93,81,70,1033,1031,1029,6,5,3,11,5,,0.00,3,,126<br />
2013-2-27,4,1,-2,-2,-3,-4,86,72,56,1026,1025,1024,6,4,3,18,10,,0.00,,,295<br />
2013-2-28,6,2,-2,-1,-3,-5,93,77,52,1020,1015,1009,10,5,3,18,13,29,0.00,7,,262<br />
2013-3-1,3,1,0,-1,-2,-5,87,78,56,1002,1001,1000,10,8,2,32,24,50,0.00,7,Snow,285<br />
2013-3-2,0,-2,-4,-2,-7,-12,93,71,51,1010,1009,1006,10,9,1,29,18,40,0.00,6,Snow,323<br />
