
SAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,26,21,17,12,10,7,60,49,33,1016,1013,1010,31,13,10,52,42,64,0.00,1,,157<br />
2013-1-2,28,21,14,16,13,11,77,56,27,1011,1010,1008,31,16,10,35,13,23,0.00,1,,230<br />
2013-1-3,23,20,17,13,11,9,60,49,34,1018,1013,1010,31,12,6,40,24,,1.02,3,Rain,276<br />
2013-1-4,23,19,15,12,11,9,72,55,33,1020,1018,1017,31,12,10,40,18,,0.00,3,,181<br />
2013-1-5,27,22,18,17,13,8,83,58,39,1016,1012,1009,31,19,10,40,27,,0.00,1,,195<br />
2013-1-6,25,21,16,16,15,13,88,67,41,1017,1015,1012,31,14,10,39,21,,0.00,1,,183<br />
2013-1-7,26,21,17,17,14,13,78,64,43,1017,1015,1013,31,14,10,48,24,,0.00,2,,190<br />
2013-1-8,26,22,18,15,12,10,78,57,30,1017,1016,1014,31,13,10,35,27,,0.00,2,,185<br />
2013-1-9,22,18,15,15,13,11,88,70,44,1016,1013,1010,26,12,3,34,13,,1.02,5,Rain,323<br />
2013-1-10,21,17,13,10,8,5,72,53,29,1019,1017,1014,26,13,10,27,13,,0.00,4,Rain,237<br />
2013-1-11,22,18,14,10,9,8,72,52,34,1019,1017,1016,31,14,10,52,24,69,0.00,3,Rain,157<br />
2013-1-12,28,19,10,17,11,5,77,55,29,1017,1014,1011,19,19,19,29,16,,0.00,,,195<br />
2013-1-13,26,21,15,17,16,13,83,67,49,1012,1009,1007,19,12,10,34,18,,0.00,2,,189<br />
2013-1-14,23,21,19,16,14,13,78,65,49,1016,1014,1012,31,13,10,50,29,63,0.00,3,,173<br />
2013-1-15,31,23,16,18,15,13,73,54,29,1015,1012,1010,31,14,10,37,24,,0.00,1,,168<br />
2013-1-16,33,26,18,18,16,14,78,60,32,1011,1009,1008,26,24,19,26,14,,0.00,,,194<br />
2013-1-17,27,22,18,20,18,15,88,73,58,1013,1011,1009,19,12,6,47,19,66,0.00,1,Rain-Thunderstorm,194<br />
2013-1-18,26,23,20,17,16,14,73,63,50,1014,1013,1011,31,12,10,53,37,71,0.00,1,,177<br />
2013-1-19,31,25,19,17,15,13,73,57,30,1013,1011,1009,31,14,10,40,29,60,0.00,1,,181<br />
2013-1-20,25,21,17,18,16,14,88,72,52,1016,1012,1009,31,13,10,45,27,,0.00,1,,195<br />
2013-1-21,25,22,19,17,16,13,83,68,45,1018,1016,1015,31,14,10,42,29,,0.00,2,,183<br />
2013-1-22,25,22,18,17,16,15,83,72,50,1017,1015,1013,31,13,10,39,31,,0.00,2,,190<br />
2013-1-23,25,22,18,16,16,15,83,67,44,1015,1014,1012,26,13,10,35,27,,0.00,1,,192<br />
2013-1-24,27,22,16,17,15,13,88,65,33,1017,1014,1013,31,14,9,24,14,,0.76,3,Rain,230<br />
2013-1-25,24,20,16,18,13,11,88,61,41,1019,1018,1017,31,15,9,42,23,58,0.00,2,Rain,178<br />
2013-1-26,24,21,18,14,13,12,73,58,41,1018,1017,1016,26,12,10,48,31,63,0.00,1,,184<br />
2013-1-27,26,21,17,15,13,11,68,57,38,1018,1017,1016,31,11,10,53,34,76,0.00,1,,173<br />
2013-1-28,34,27,19,16,13,9,64,45,16,1017,1014,1012,26,13,10,55,35,74,0.00,1,,154<br />
2013-1-29,32,26,19,17,15,13,73,56,29,1012,1010,1009,31,22,11,32,16,,0.00,,,207<br />
2013-1-30,26,20,14,19,16,12,94,73,59,1017,1015,1012,26,10,1,40,19,,0.00,3,Fog,252<br />
2013-1-31,32,26,19,17,15,13,68,54,27,1016,1014,1012,31,13,10,34,27,,0.00,1,,187<br />
2013-2-1,34,26,17,19,17,14,83,65,26,1013,1012,1011,31,16,8,39,16,,0.00,1,,199<br />
2013-2-2,27,22,17,20,18,16,83,74,51,1012,1010,1009,19,12,10,58,31,66,0.00,2,,195<br />
2013-2-3,24,21,18,17,14,11,83,63,43,1016,1013,1010,26,12,8,48,34,63,0.00,4,,174<br />
2013-2-4,25,21,17,13,11,9,64,52,35,1019,1017,1016,10,10,10,52,32,71,0.00,1,,159<br />
