
UYST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,20,18,15,19,12,8,88,69,43,1019,1013,1008,10,10,10,50,31,69,0.00,6,,212<br />
2013-1-2,19,16,12,15,13,10,88,75,61,1022,1020,1019,19,10,10,24,16,,0.00,3,,192<br />
2013-1-3,25,18,10,17,13,9,88,71,44,1021,1019,1016,19,11,10,26,11,,0.00,2,,45<br />
2013-1-4,29,22,16,24,18,4,94,72,37,1017,1015,1011,10,10,10,23,8,,0.00,5,,66<br />
2013-1-5,32,24,17,23,21,19,94,77,51,1015,1009,1004,10,10,8,39,18,60,0.00,7,Rain-Thunderstorm,350<br />
2013-1-6,29,24,20,22,21,18,100,77,54,1007,1005,1004,10,10,10,23,10,,0.00,5,,260<br />
2013-1-7,31,24,19,24,21,17,94,77,52,1005,1003,1002,10,10,10,27,10,,0.00,5,Fog,352<br />
2013-1-8,27,24,22,22,20,17,94,79,64,1012,1009,1006,10,10,10,23,13,,0.00,7,,139<br />
2013-1-9,27,22,17,20,16,11,88,63,33,1019,1016,1013,19,11,10,26,11,,0.00,2,,111<br />
2013-1-10,28,21,14,20,16,12,88,65,30,1020,1019,1018,10,10,10,21,11,,0.00,,,79<br />
2013-1-11,30,22,15,21,17,13,94,70,37,1019,1016,1013,10,10,10,27,14,,0.00,1,,41<br />
2013-1-12,29,23,17,22,18,15,89,74,51,1015,1014,1013,10,10,10,24,13,,0.00,4,,46<br />
2013-1-13,28,23,18,19,17,13,83,62,34,1016,1016,1014,10,10,10,24,10,,0.00,1,,80<br />
2013-1-14,27,22,17,19,17,15,88,72,58,1018,1016,1014,10,10,10,27,13,,0.00,,,70<br />
2013-1-15,27,22,18,22,19,14,94,78,66,1015,1013,1010,10,10,10,29,10,,0.00,1,,96<br />
2013-1-16,29,21,12,20,18,5,94,72,49,1011,1009,1008,19,12,10,23,14,,0.00,6,,61<br />
2013-1-17,26,23,20,22,21,19,100,83,74,1014,1011,1009,10,10,10,27,11,,0.00,3,,122<br />
2013-1-18,27,23,18,22,20,19,100,83,61,1016,1015,1014,19,10,1,24,6,,0.00,2,Fog,120<br />
2013-1-19,24,22,19,19,16,13,88,70,48,1020,1017,1015,10,10,10,34,21,,0.00,6,,116<br />
2013-1-20,24,19,15,17,15,14,83,66,52,1023,1022,1020,19,10,10,29,19,,0.00,2,,111<br />
2013-1-21,25,20,15,19,17,14,94,76,65,1023,1022,1020,10,10,10,29,13,,0.00,4,,94<br />
2013-1-22,27,22,17,21,18,13,88,72,42,1022,1019,1015,10,10,10,34,13,,0.00,3,,87<br />
2013-1-23,30,24,19,22,19,18,94,74,55,1015,1012,1007,19,10,1,34,13,58,23.88,2,Rain-Thunderstorm,23<br />
2013-1-24,32,25,18,26,22,18,100,83,66,1007,1001,997,10,8,1,42,13,84,9.91,4,Rain-Thunderstorm,3<br />
2013-1-25,21,19,17,19,13,9,100,66,42,1014,1008,999,19,10,10,45,26,58,0.00,6,,199<br />
2013-1-26,26,18,11,13,10,8,88,53,31,1015,1014,1013,19,11,10,24,16,,0.00,1,,267<br />
