
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,12,9,7,12,10,8,100,96,87,1015,1009,1004,10,6,2,53,24,95,38.10,6,Rain,228<br />
2014-1-2,13,11,9,13,11,6,100,95,76,1010,1008,1006,11,6,1,26,16,50,6.10,6,Rain,230<br />
2014-1-3,13,11,9,12,9,6,100,90,76,1017,1014,1009,14,10,6,34,18,60,0.51,5,Rain,227<br />
2014-1-4,9,7,5,9,4,1,100,82,58,1017,1010,1002,31,11,6,40,23,72,2.03,4,Rain-Thunderstorm,255<br />
2014-1-5,13,9,6,12,11,4,100,97,81,1017,1014,1010,11,6,2,39,26,71,9.91,7,Rain,219<br />
2014-1-6,12,11,10,13,11,8,100,95,84,1012,1010,1007,14,7,3,39,29,66,19.05,6,Rain,226<br />
2014-1-7,12,10,8,11,9,8,100,94,80,1015,1013,1012,31,9,2,29,19,55,8.89,6,Rain,206<br />
2014-1-8,12,11,9,12,11,9,100,94,82,1016,1014,1012,19,8,3,32,19,50,4.06,6,Rain,194<br />
2014-1-9,11,9,7,11,8,7,100,99,91,1019,1017,1015,14,7,1,16,5,32,0.25,6,Fog-Rain,336<br />
2014-1-10,12,9,7,10,8,7,100,97,79,1017,1016,1015,31,8,1,11,3,,0.00,5,Fog,13<br />
2014-1-11,15,8,0,10,7,0,100,95,58,1020,1017,1016,31,5,0,14,3,,0.00,5,Fog,166<br />
2014-1-12,11,8,4,10,8,6,100,96,75,1022,1017,1015,31,8,0,27,13,47,14.99,5,Fog-Rain,217<br />
2014-1-13,8,6,3,8,6,4,100,95,87,1022,1019,1014,14,8,3,24,10,42,18.03,3,Rain,231<br />
2014-1-14,12,9,7,12,11,8,100,99,91,1020,1016,1012,14,6,1,24,13,42,1.02,6,Rain,277<br />
2014-1-15,11,9,8,10,9,6,100,98,87,1019,1011,1005,10,7,2,35,16,64,23.11,6,Rain,230<br />
2014-1-16,9,8,6,7,6,4,100,93,78,1008,1005,1001,18,10,4,24,14,42,10.92,3,Rain,232<br />
2014-1-17,9,7,5,6,6,4,100,89,69,1000,995,993,31,11,7,34,19,45,0.00,5,Rain,192<br />
2014-1-18,10,7,4,6,5,4,100,94,67,998,994,992,26,10,3,16,8,27,5.08,5,Rain,239<br />
2014-1-19,10,6,2,7,4,1,100,92,76,1013,1004,993,31,11,5,23,8,40,3.05,4,Fog-Rain,308<br />
2014-1-20,12,7,3,7,5,3,100,93,60,1020,1017,1013,19,10,3,13,6,,0.00,5,Fog-Rain,232<br />
2014-1-21,10,8,6,10,8,6,100,99,93,1018,1014,1010,19,8,1,21,13,40,5.08,6,Fog-Rain,216<br />
2014-1-22,9,7,5,9,7,4,100,94,83,1026,1019,1013,14,9,3,21,10,45,2.03,4,Rain,324<br />
2014-1-23,13,8,3,10,7,3,100,93,70,1033,1029,1026,11,8,1,14,3,,0.51,6,Fog-Rain,339<br />
2014-1-24,9,8,6,9,8,6,100,98,87,1033,1032,1030,10,5,0,14,5,,0.25,7,Fog-Rain,248<br />
2014-1-25,13,11,9,13,11,9,100,99,90,1032,1031,1030,31,8,0,11,6,,0.25,7,Fog,279<br />
2014-1-26,11,10,8,11,11,8,100,99,93,1031,1026,1021,10,4,0,23,10,42,5.08,6,Fog-Rain,248<br />
2014-1-27,9,7,4,7,5,4,100,93,71,1022,1018,1015,19,10,6,21,13,42,3.05,5,Rain,278<br />
2014-1-28,10,7,3,9,6,2,100,93,77,1015,1004,997,14,9,1,35,18,61,14.99,5,Rain,266<br />
2014-1-29,9,6,2,7,4,2,100,94,76,1010,1003,996,31,10,2,29,10,52,5.08,4,Fog-Rain,310<br />
2014-1-30,9,6,2,9,6,2,100,99,92,1015,1013,1010,19,8,1,19,6,,2.03,5,Fog-Rain,273<br />
2014-1-31,12,9,7,12,10,8,100,100,89,1013,1011,1006,10,5,1,27,11,52,2.03,6,Fog-Rain,234<br />
2014-2-1,9,6,3,11,4,0,100,86,51,1019,1014,1007,31,10,4,27,18,58,3.05,5,Rain,286<br />
2014-2-2,9,6,1,7,4,2,100,93,75,1021,1016,1006,31,10,3,45,11,60,1.02,5,Fog-Rain,197<br />
2014-2-3,9,6,3,7,4,2,100,89,55,1010,1005,997,31,10,4,42,26,72,4.06,5,Fog-Rain,233<br />
2014-2-4,10,6,2,11,6,3,100,97,79,1010,1001,991,10,7,1,45,19,71,34.04,6,Fog-Rain,211<br />
2014-2-5,11,8,4,9,5,2,100,84,56,1009,1005,997,19,10,4,32,23,61,2.03,5,Rain,243<br />
2014-2-6,12,9,6,13,10,5,100,98,88,1007,998,992,19,6,1,50,34,90,29.97,6,Rain,233<br />
2014-2-7,10,7,4,10,7,4,100,96,87,1014,1010,1003,19,9,4,42,18,72,6.10,5,Rain,232<br />
2014-2-8,9,7,5,11,6,2,100,89,68,1011,1006,999,31,10,3,42,24,72,5.08,5,Rain,260<br />
2014-2-9,11,7,3,11,6,3,100,98,81,1011,996,981,26,9,5,39,18,77,20.07,6,Rain,214<br />
2014-2-10,10,5,0,5,3,1,100,90,62,1020,1012,994,19,11,5,45,21,76,1.02,4,Rain-Snow,285<br />
2014-2-11,12,8,3,11,7,3,100,92,57,1016,1012,1005,19,9,3,35,21,66,8.89,6,Rain,249<br />
2014-2-12,13,8,2,12,8,3,100,99,87,1016,1013,1011,14,8,2,34,14,53,7.11,6,Rain,209<br />
2014-2-13,13,11,10,12,11,8,100,96,76,1016,1013,1008,14,9,4,39,27,64,0.00,6,Rain,239<br />
2014-2-14,13,9,6,13,9,5,100,96,77,1008,1003,999,26,8,1,50,35,89,42.93,6,Rain,236<br />
2014-2-15,10,7,3,8,5,3,100,99,76,1017,1011,1004,27,10,1,23,8,47,6.10,3,Fog-Rain,249<br />
2014-2-16,11,5,-1,6,3,-1,100,91,66,1021,1016,1011,31,7,0,26,8,48,0.00,5,Fog,180<br />
2014-2-17,9,7,5,9,6,3,100,94,76,1012,1008,1005,19,10,7,37,23,58,13.97,6,Rain,193<br />
2014-2-18,11,7,2,10,7,3,100,99,81,1022,1017,1012,14,8,0,10,3,,0.25,5,Fog-Rain,251<br />
2014-2-19,13,10,7,11,9,7,100,99,80,1025,1022,1021,19,6,0,16,6,,0.00,6,Fog-Rain,211<br />
2014-2-20,13,9,5,11,8,5,100,95,59,1021,1019,1016,19,7,1,32,18,52,8.89,6,Fog-Rain,254<br />
2014-2-21,10,6,2,7,5,2,100,96,77,1024,1021,1020,31,11,7,24,10,39,5.08,4,Rain,237<br />
2014-2-22,13,10,7,10,8,6,100,91,57,1023,1021,1018,31,9,4,24,14,40,0.00,6,Rain,230<br />
2014-2-23,16,12,8,7,5,3,87,70,47,1019,1012,1006,31,12,10,34,23,55,0.00,6,,195<br />
2014-2-24,13,10,7,9,7,2,100,89,43,1016,1012,1006,31,11,3,27,13,50,0.25,5,Rain,245<br />
2014-2-25,11,8,5,10,7,3,100,92,66,1021,1016,1013,31,9,2,32,21,66,12.95,5,Rain,262<br />
2014-2-26,12,7,1,8,6,2,100,93,59,1029,1026,1021,31,11,5,23,11,40,0.00,4,Rain,249<br />
2014-2-27,16,12,8,11,8,6,100,86,54,1029,1027,1025,14,8,2,26,16,48,0.25,5,Rain,262<br />
2014-2-28,10,8,7,10,8,4,100,94,64,1028,1024,1020,14,8,4,27,16,48,0.51,6,Rain,277<br />
2014-3-1,12,9,7,12,10,7,100,100,96,1020,1009,1005,8,5,1,21,14,45,9.91,7,Rain,265<br />
2014-3-2,12,9,5,12,9,-1,100,97,57,1009,1008,1007,11,5,0,32,13,69,7.11,7,Fog-Rain,267<br />
2014-3-3,11,7,3,6,4,3,93,86,63,1019,1012,1008,14,9,5,29,18,63,5.08,5,Rain,295<br />
2014-3-4,11,8,5,11,7,4,100,94,87,1020,1017,1015,11,6,2,26,10,42,7.11,7,Fog-Rain,257<br />
2014-3-5,14,10,6,8,7,5,95,85,65,1025,1022,1018,31,10,3,14,6,,0.00,6,,350<br />
2014-3-6,22,13,5,11,7,5,100,79,30,1025,1023,1020,31,10,4,14,6,,0.00,5,,48<br />
2014-3-7,21,13,6,11,8,6,100,78,34,1024,1022,1020,31,4,0,14,6,26,0.00,4,Fog,34<br />
2014-3-8,24,17,10,10,7,5,82,58,22,1021,1019,1015,31,31,31,11,6,,0.00,,,157<br />
2014-3-9,23,17,10,10,4,1,82,49,18,1023,1019,1015,31,31,31,24,11,,0.00,8,,148<br />
2014-3-10,24,16,8,7,2,-3,62,41,18,1024,1022,1020,31,31,31,26,8,45,0.00,,,63<br />
2014-3-11,22,14,7,8,4,-2,76,55,29,1023,1022,1019,31,27,14,21,11,,0.00,,,44<br />
2014-3-12,24,14,4,8,3,1,87,55,16,1024,1022,1021,26,24,19,13,5,,0.00,,,114<br />
2014-3-13,24,13,3,9,4,-1,93,60,12,1026,1024,1022,31,21,5,21,3,,0.00,,,360<br />
2014-3-14,19,10,1,10,6,1,100,87,47,1030,1027,1025,10,4,0,11,3,,0.00,3,Fog,319<br />
2014-3-15,21,12,4,8,4,-2,100,67,16,1032,1031,1029,31,8,0,21,5,,0.00,3,Fog,57<br />
2014-3-16,26,15,4,7,4,2,93,58,21,1030,1027,1023,31,10,6,14,6,,0.00,,,70<br />
2014-3-17,21,13,6,10,7,4,94,66,34,1025,1023,1021,31,11,2,14,6,,0.00,5,,222<br />
2014-3-18,14,11,8,8,6,4,93,75,57,1028,1026,1025,31,11,5,23,11,37,0.00,7,,36<br />
2014-3-19,24,14,4,9,6,3,89,64,24,1027,1022,1018,31,17,10,21,11,29,0.00,3,,81<br />
2014-3-20,18,12,6,11,7,4,94,78,57,1020,1019,1018,11,9,2,23,8,39,0.00,5,Fog,209<br />
2014-3-21,16,11,7,11,7,4,100,85,49,1020,1018,1017,31,7,1,19,11,32,6.10,6,Fog-Rain,239<br />
2014-3-22,13,8,4,6,3,-2,93,76,30,1021,1019,1016,31,11,6,29,10,42,1.02,4,Rain,280<br />
2014-3-23,14,8,1,5,2,0,100,78,40,1025,1022,1021,31,10,0,16,5,34,0.00,4,Fog-Rain,233<br />
2014-3-24,14,10,6,8,6,2,100,78,51,1026,1020,1015,19,9,3,29,18,50,7.11,6,Rain,256<br />
2014-3-25,10,8,5,8,5,2,93,84,71,1027,1024,1023,26,9,5,35,16,61,4.06,6,Fog-Rain,292<br />
2014-3-26,12,7,3,8,4,1,98,86,62,1026,1023,1021,26,10,6,32,11,55,7.11,5,Rain,349<br />
2014-3-27,13,6,-1,4,2,-1,100,81,49,1020,1011,1006,31,9,0,14,5,,0.00,3,Fog,139<br />
2014-3-28,15,8,1,7,4,0,93,76,43,1007,1006,1004,31,12,10,21,6,,0.00,3,Rain,27<br />
2014-3-29,16,11,5,8,6,3,100,80,36,1006,1004,1003,31,8,1,16,5,35,0.00,5,Fog,227<br />
2014-3-30,12,8,4,8,6,3,100,85,75,1007,1006,1005,31,11,5,29,14,45,8.89,5,Fog-Rain,175<br />
2014-3-31,14,10,6,10,7,5,100,84,68,1009,1007,1002,31,12,6,24,16,39,0.76,5,Rain,163<br />
2014-4-1,11,9,8,9,8,7,100,88,82,1002,999,997,14,9,6,27,19,42,8.89,6,Rain,164<br />
2014-4-2,17,12,7,8,6,5,93,80,53,999,998,997,31,11,10,24,13,,0.00,3,,199<br />
2014-4-3,14,10,6,10,7,5,100,86,71,1013,1005,999,31,11,9,19,6,,6.10,4,Fog-Rain,240<br />
2014-4-4,13,9,6,12,9,6,100,94,86,1016,1014,1012,19,6,1,26,14,42,5.08,7,Fog-Rain,201<br />
2014-4-5,14,13,12,13,12,12,100,97,94,1021,1019,1016,4,1,0,21,13,35,3.05,6,Fog-Rain,221<br />
2014-4-6,18,15,12,13,12,10,100,91,67,1021,1019,1017,31,7,0,24,14,42,0.00,6,Fog,212<br />
2014-4-7,15,11,8,12,10,7,100,92,82,1024,1019,1016,10,7,2,26,16,42,5.08,6,Rain,225<br />
2014-4-8,18,12,6,10,7,5,97,77,43,1026,1024,1022,31,11,10,23,8,,0.00,3,,54<br />
2014-4-9,29,19,8,13,9,7,93,62,19,1023,1019,1015,31,15,10,14,8,,0.00,1,,128<br />
