
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,18,12,6,1,-3,-6,37,24,14,1024,1022,1019,3,3,3,55,26,,0.00,,,-1<br />
2014-1-2,18,12,6,3,1,-2,61,35,19,1024,1021,1018,3,3,3,40,21,,0.00,,,-1<br />
2014-1-3,20,13,7,2,-2,-5,57,27,9,1021,1018,1015,3,3,3,19,11,,0.00,,,-1<br />
2014-1-4,22,14,6,6,4,1,79,45,19,1017,1015,1014,3,3,3,11,3,,0.00,,,-1<br />
2014-1-5,22,14,7,6,3,0,65,40,13,1017,1015,1013,3,3,3,8,2,,0.00,,,-1<br />
2014-1-6,21,14,7,7,2,-2,74,37,11,1019,1016,1014,3,3,3,19,5,,0.00,,,-1<br />
2014-1-7,22,16,10,6,1,-3,51,28,9,1018,1016,1015,3,3,3,26,13,,0.00,,,-1<br />
2014-1-8,18,14,10,7,4,-1,58,42,18,1018,1016,1014,3,3,3,26,19,,0.00,,,-1<br />
2014-1-9,19,13,8,7,3,1,83,42,20,1021,1018,1016,3,3,3,19,13,,0.00,,,-1<br />
2014-1-10,19,12,6,5,3,1,66,39,20,1020,1018,1016,3,3,3,26,8,,0.00,,,-1<br />
2014-1-11,20,14,9,4,2,-1,52,35,15,1023,1020,1019,3,3,3,29,13,,0.00,,,-1<br />
2014-1-12,20,13,7,5,2,-1,59,35,15,1023,1021,1019,3,3,3,23,11,,0.00,,,-1<br />
2014-1-13,22,16,9,6,3,-1,67,35,15,1021,1019,1016,3,3,3,19,5,,0.00,,,-1<br />
2014-1-14,19,11,10,7,5,1,67,48,20,1019,1017,1016,3,3,3,14,5,,0.00,,,-1<br />
2014-1-15,23,16,9,6,4,2,59,34,15,1021,1019,1018,3,3,3,8,3,,0.00,,,-1<br />
2014-1-16,19,12,9,4,3,2,46,36,21,1021,1019,1019,3,3,3,8,5,,0.00,,,-1<br />
2014-1-17,23,17,11,5,1,-2,59,24,11,1017,1015,1014,3,3,3,14,2,,0.00,,,-1<br />
2014-1-18,24,17,9,4,3,1,51,25,14,1020,1018,1016,3,3,3,8,2,,0.00,,,-1<br />
2014-1-19,21,16,10,11,7,3,60,43,27,1025,1021,1019,3,2,2,52,19,,0.00,,,-1<br />
2014-1-20,20,14,9,11,9,6,82,60,37,1021,1019,1016,3,3,2,26,23,,0.00,,,-1<br />
2014-1-21,21,16,11,12,9,8,71,53,34,1020,1018,1016,3,3,3,26,10,,0.00,,,-1<br />
2014-1-22,22,18,13,10,9,8,64,47,28,1021,1018,1016,3,3,2,19,16,,0.00,,,-1<br />
2014-1-23,23,17,10,9,7,4,74,47,19,1022,1019,1017,3,3,3,23,6,,0.00,,,-1<br />
2014-1-24,21,17,13,11,9,8,71,53,33,1022,1019,1017,3,3,2,19,14,,0.00,,,-1<br />
2014-1-25,23,18,12,10,9,7,79,49,27,1021,1018,1016,3,3,3,14,6,,0.00,,,-1<br />
2014-1-26,24,18,13,11,8,6,72,45,20,1021,1018,1016,3,3,3,19,10,,0.00,,,-1<br />
2014-1-27,25,19,13,11,8,4,71,41,18,1021,1019,1017,3,3,3,26,10,,0.00,,,-1<br />
2014-1-28,28,22,16,11,8,6,60,30,15,1020,1016,1014,3,3,3,19,5,,0.00,,,-1<br />
2014-1-29,29,21,14,8,6,3,53,32,11,1017,1015,1013,3,3,3,3,0,,0.00,,,-1<br />
2014-1-30,28,21,14,11,9,8,59,39,19,1018,1016,1015,3,3,3,11,2,,0.00,,,-1<br />
2014-1-31,28,21,13,13,10,8,72,40,18,1019,1016,1014,3,3,3,8,2,,0.00,,,-1<br />
2014-2-1,27,22,16,13,12,10,61,47,24,1015,1014,1012,3,3,3,8,2,,0.00,,,-1<br />
2014-2-2,26,21,16,12,11,9,66,46,25,1017,1014,1012,3,3,3,14,8,,0.00,,,-1<br />
2014-2-3,29,21,13,16,12,9,79,50,21,1015,1013,1010,3,3,3,14,8,,0.00,,,-1<br />
2014-2-4,27,21,15,13,11,7,72,41,24,1014,1011,1009,3,3,3,19,8,,0.00,,,-1<br />
2014-2-5,28,21,14,17,13,9,76,52,30,1013,1010,1008,3,3,3,19,6,,0.00,,,-1<br />
2014-2-6,28,22,16,16,15,14,82,59,35,1011,1008,1006,3,3,3,34,10,,0.00,,,-1<br />
2014-2-7,23,19,16,13,9,7,72,43,25,1013,1011,1009,3,3,3,19,14,,0.00,,,-1<br />
2014-2-8,22,16,10,8,6,4,58,40,20,1014,1011,1007,3,3,3,14,10,,0.00,,,-1<br />
2014-2-9,24,17,10,11,6,0,75,41,12,1014,1012,1011,3,3,3,8,3,,0.00,,,-1<br />
2014-2-10,24,17,10,9,4,-4,60,36,7,1011,1010,1008,3,3,3,19,5,,0.00,,,-1<br />
2014-2-11,23,17,9,4,0,-5,47,25,9,1014,1012,1010,3,3,3,11,5,,0.00,,,-1<br />
2014-2-12,24,17,10,6,3,1,53,28,14,1014,1011,1009,3,3,3,29,14,,0.00,,,-1<br />
2014-2-13,22,18,14,8,4,1,58,30,18,1012,1010,1009,3,3,3,29,24,,0.00,8,,-1<br />
2014-2-14,26,19,13,14,6,-1,78,37,10,1014,1011,1009,3,3,3,19,11,,0.00,,,-1<br />
2014-2-15,24,19,14,6,2,-2,46,24,9,1012,1010,1009,3,3,3,26,10,,0.00,,,-1<br />
2014-2-16,24,17,10,2,-2,-6,44,19,6,1017,1014,1010,3,3,3,14,5,,0.00,,,-1<br />
2014-2-17,26,19,13,6,1,-7,32,19,9,1021,1018,1016,3,3,3,11,8,,0.00,,,-1<br />
2014-2-18,28,19,10,7,1,-4,52,24,6,1019,1017,1013,3,3,3,100,19,,0.00,,,-1<br />
2014-2-19,28,20,13,16,7,1,70,34,10,1015,1013,1010,3,3,3,23,10,,0.00,,,-1<br />
2014-2-20,27,20,13,16,11,7,85,49,18,1013,1012,1010,3,3,3,19,10,,0.00,,,-1<br />
2014-2-21,26,20,13,12,10,8,79,42,22,1014,1013,1011,3,3,3,34,10,,0.00,,,-1<br />
2014-2-22,25,20,14,11,9,7,54,40,24,1018,1015,1013,3,3,3,19,11,,0.00,,,-1<br />
2014-2-23,26,20,14,11,7,4,72,36,16,1021,1018,1016,3,3,3,23,16,,0.00,,,-1<br />
2014-2-24,26,20,14,9,7,2,45,33,12,1020,1017,1015,3,3,3,23,18,,0.00,,,-1<br />
2014-2-25,27,21,15,8,6,3,44,30,13,1018,1015,1013,3,3,3,19,13,,0.00,,,-1<br />
2014-2-26,28,21,14,9,5,-1,59,30,8,1016,1013,1011,3,3,3,8,2,,0.00,,,-1<br />
2014-2-27,28,21,15,9,8,5,54,33,14,1012,1011,1009,3,3,3,23,10,,0.00,,,-1<br />
2014-2-28,26,20,15,12,8,5,60,37,16,1015,1013,1011,3,3,3,19,11,,0.00,,,-1<br />
2014-3-1,28,20,12,9,5,-4,59,31,5,1016,1013,1012,3,3,3,19,8,,0.00,,,-1<br />
2014-3-2,28,21,14,17,14,12,76,49,27,1016,1014,1012,3,3,3,19,16,,0.00,,,-1<br />
2014-3-3,23,19,15,17,14,13,89,66,42,1017,1014,1012,3,3,3,29,8,,0.00,8,,-1<br />
2014-3-4,25,20,14,16,14,12,79,60,37,1018,1015,1014,3,3,3,23,10,,0.00,,,-1<br />
2014-3-5,27,21,15,15,13,12,72,51,31,1018,1016,1013,3,3,3,23,14,,0.00,,,-1<br />
2014-3-6,28,23,17,16,13,10,78,51,22,1017,1015,1013,3,3,3,19,8,,0.00,,,-1<br />
2014-3-7,31,24,18,14,13,9,65,43,16,1017,1015,1013,3,3,3,11,5,,0.00,,,-1<br />
2014-3-8,31,24,18,15,12,7,65,36,14,1018,1015,1013,3,3,3,11,3,,0.00,,,-1<br />
2014-3-9,32,26,20,16,12,7,60,34,12,1016,1013,1010,3,3,3,11,6,,0.00,,,-1<br />
2014-3-10,34,27,19,13,7,1,55,24,6,1012,1010,1008,3,3,3,29,11,,0.00,,,-1<br />
2014-3-11,28,23,19,13,5,-9,55,33,4,1013,1011,1009,3,3,3,19,10,,0.00,,,-1<br />
2014-3-12,28,22,16,7,2,-2,27,19,7,1018,1015,1013,3,3,3,26,13,,0.00,,,-1<br />
2014-3-13,28,22,17,9,7,2,50,27,12,1020,1017,1014,3,3,3,26,23,,0.00,,,-1<br />
2014-3-14,32,24,17,11,9,7,54,31,13,1017,1014,1011,3,3,3,11,5,,0.00,,,-1<br />
2014-3-15,35,26,17,11,9,8,53,27,12,1015,1013,1012,3,3,2,97,14,,0.00,,,-1<br />
2014-3-16,36,28,20,14,9,5,38,23,8,1016,1013,1011,3,3,3,19,6,,0.00,,,-1<br />
2014-3-17,32,26,20,20,14,11,74,38,18,1014,1012,1010,3,3,3,45,19,,0.00,,,-1<br />
2014-3-18,33,26,19,11,7,-1,52,21,5,1016,1014,1012,3,3,3,14,10,,0.00,,,-1<br />
2014-3-19,34,27,19,11,7,3,45,22,8,1016,1013,1011,3,3,3,0,0,,0.00,,,-1<br />
2014-3-20,35,27,19,12,6,-3,47,21,4,1011,1010,1008,3,3,3,26,10,,0.00,,,-1<br />
2014-3-21,34,27,19,21,15,12,79,47,17,1009,1007,1004,3,3,3,26,14,,0.00,,,-1<br />
2014-3-22,33,26,18,19,17,16,88,57,30,1008,1006,1004,3,3,3,23,18,,0.00,,,-1<br />
2014-3-23,35,27,19,19,17,14,82,46,19,1009,1007,1006,3,3,3,19,10,,0.00,,,-1<br />
2014-3-24,29,23,18,18,16,15,66,50,31,1013,1009,999,3,3,3,34,18,,0.00,,,-1<br />
2014-3-25,30,24,19,16,14,13,76,40,26,1012,1010,1009,3,3,3,19,10,,0.00,,,-1<br />
2014-3-26,32,27,21,13,11,9,47,27,17,1013,1011,1009,3,3,3,19,13,,0.00,,,-1<br />
2014-3-27,33,27,21,14,13,11,50,31,17,1013,1011,1009,3,3,3,14,8,,0.00,,,-1<br />
2014-3-28,30,25,20,16,14,12,51,39,23,1013,1011,1010,3,3,3,19,8,,0.00,,,-1<br />
2014-3-29,32,26,19,16,14,12,70,42,19,1013,1011,1009,3,3,3,19,8,,0.00,,,-1<br />
2014-3-30,34,27,19,16,13,11,65,40,16,1013,1011,1008,3,3,3,14,8,,0.00,,,-1<br />
2014-3-31,37,29,21,17,13,9,61,33,11,1010,1008,1005,3,3,3,23,6,,0.00,,,-1<br />
2014-4-1,37,29,21,14,12,7,47,28,8,1009,1007,1004,3,3,3,29,18,,0.00,,,-1<br />
2014-4-2,36,29,22,21,16,11,74,42,13,1008,1006,1005,3,3,3,34,19,,0.00,,,-1<br />
2014-4-3,38,29,21,22,18,9,90,51,10,1010,1009,1007,3,3,3,11,10,,0.00,,,-1<br />
2014-4-4,39,31,22,21,15,9,87,36,9,1010,1009,1007,3,3,3,19,8,,0.00,,,-1<br />
2014-4-5,36,29,21,17,11,7,60,27,9,1009,1008,1006,3,3,3,52,16,,0.00,,,-1<br />
2014-4-6,38,30,22,17,14,12,44,29,13,1010,1008,1006,3,3,3,34,19,,0.00,,,-1<br />
2014-4-7,34,28,22,17,4,-7,46,19,4,1014,1012,1010,3,3,3,29,11,,0.00,,,-1<br />
2014-4-8,37,29,20,7,2,-7,25,11,4,1013,1011,1008,3,3,3,11,8,,0.00,,,-1<br />
2014-4-9,37,28,19,11,6,-3,38,22,4,1011,1010,1008,3,3,3,14,8,,0.00,,,-1<br />
2014-4-10,38,29,21,18,9,2,49,25,5,1012,1010,1008,3,3,3,14,6,,0.00,,,-1<br />
2014-4-11,39,30,20,21,16,9,70,42,9,1011,1009,1006,3,3,3,34,13,,0.00,,,-1<br />
2014-4-12,38,30,22,21,18,16,74,49,19,1008,1007,1004,3,3,3,45,16,,0.00,,,-1<br />
2014-4-13,38,30,22,21,18,16,76,47,19,1008,1006,1004,3,3,3,29,21,,0.00,,,-1<br />
2014-4-14,36,29,22,21,19,18,79,49,29,1011,1009,1007,3,3,3,19,13,,0.00,,,-1<br />
2014-4-15,40,32,23,24,18,11,74,49,11,1011,1009,1007,3,3,3,14,11,,0.00,,,-1<br />
2014-4-16,42,32,22,24,21,13,79,51,11,1009,1007,1004,3,3,3,45,18,,0.00,,,-1<br />
2014-4-17,38,30,23,22,21,19,74,51,26,1006,1004,1001,3,3,3,34,16,,0.00,,,-1<br />
2014-4-18,33,28,24,24,23,21,95,63,41,1010,1008,1005,3,3,3,23,11,,0.00,8,,-1<br />
2014-4-19,35,30,24,23,18,13,74,46,21,1011,1009,1008,3,3,3,14,5,,0.00,,,-1<br />
2014-4-20,38,31,24,18,14,11,38,25,13,1010,1008,1006,3,3,3,14,8,,0.00,,,-1<br />
2014-4-21,37,30,22,21,17,14,91,41,16,1010,1009,1007,3,3,3,52,8,,7.11,8,,-1<br />
2014-4-22,34,28,21,21,18,15,87,50,26,1015,1012,1010,3,3,3,23,11,,0.00,,,-1<br />
2014-4-23,38,31,23,20,17,12,61,34,13,1013,1010,1007,3,3,3,23,5,,0.00,,,-1<br />
2014-4-24,39,31,23,19,16,11,53,35,12,1009,1007,1004,3,3,3,26,13,,0.00,,,-1<br />
2014-4-25,37,31,24,24,23,21,74,54,37,1008,1006,1003,3,3,3,52,24,,0.00,,,-1<br />
2014-4-26,38,31,25,22,20,17,70,50,23,1010,1008,1007,3,3,3,8,5,,0.00,,,-1<br />
2014-4-27,41,33,25,23,19,14,65,37,13,1009,1008,1006,3,3,3,100,11,,0.00,,,-1<br />
2014-4-28,44,36,27,22,14,7,57,26,6,1008,1007,1003,3,3,3,23,6,,0.00,,,-1<br />
