
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,18,13,8,13,9,3,100,70,39,1021,1019,1017,16,6,0,16,6,26,0.00,3,Fog,226<br />
2014-1-2,26,18,10,11,4,-4,86,50,14,1019,1017,1016,16,16,16,19,8,23,0.00,2,Fog,225<br />
2014-1-3,18,13,8,11,9,7,100,76,52,1017,1015,1013,16,9,2,21,6,27,0.00,5,Fog,199<br />
2014-1-4,18,14,10,12,11,8,100,78,56,1017,1015,1014,11,5,0,16,6,23,0.00,5,Fog,98<br />
2014-1-5,24,17,8,11,2,-8,93,52,11,1021,1019,1017,16,13,4,23,6,26,0.00,1,,30<br />
2014-1-6,26,18,10,5,-8,-13,46,27,7,1023,1021,1019,16,16,16,23,6,,0.00,1,,315<br />
2014-1-7,21,16,11,11,2,-11,80,47,14,1021,1019,1017,16,16,16,21,6,24,0.00,5,,158<br />
2014-1-8,19,14,9,12,11,7,93,73,52,1021,1018,1017,16,8,0,21,6,26,0.00,5,Fog,107<br />
2014-1-9,16,13,10,11,10,9,93,83,72,1020,1018,1015,16,7,3,29,9,34,0.00,4,Fog,106<br />
2014-1-10,18,14,9,12,10,7,93,75,56,1021,1019,1017,16,9,5,19,5,23,0.00,3,,233<br />
2014-1-11,19,14,8,13,10,6,100,72,44,1022,1020,1018,16,8,0,23,7,24,0.00,3,Fog,244<br />
2014-1-12,21,16,11,13,11,6,100,74,48,1021,1019,1017,16,6,0,16,7,23,0.00,3,Fog,98<br />
2014-1-13,28,18,8,5,-3,-11,64,36,7,1027,1024,1022,16,16,16,19,5,32,0.00,0,,33<br />
2014-1-14,26,18,10,-2,-6,-10,41,25,8,1026,1024,1023,16,16,16,16,6,23,0.00,0,,210<br />
2014-1-15,28,20,11,-1,-5,-10,38,23,8,1024,1021,1020,16,16,16,19,6,29,0.00,0,,224<br />
2014-1-16,29,21,12,5,-4,-11,34,21,7,1021,1019,1017,16,16,11,21,4,26,0.00,1,,252<br />
2014-1-17,31,21,12,6,-4,-14,42,24,5,1020,1018,1017,16,16,16,34,8,39,0.00,2,,61<br />
2014-1-18,28,19,11,9,-1,-13,60,33,6,1020,1017,1016,16,16,14,21,8,24,0.00,3,,126<br />
2014-1-19,24,17,9,8,2,-8,68,40,11,1020,1019,1017,16,15,11,21,5,26,0.00,4,,60<br />
2014-1-20,26,18,9,11,6,-3,77,48,19,1022,1020,1019,16,16,14,24,7,27,0.00,2,Fog,240<br />
2014-1-21,24,18,11,12,6,-8,83,47,11,1021,1019,1017,16,16,16,19,7,24,0.00,6,Fog,246<br />
2014-1-22,23,17,12,13,11,3,93,65,37,1017,1014,1012,16,11,0,21,8,27,0.00,5,Fog,198<br />
2014-1-23,20,16,11,12,9,5,96,68,40,1019,1015,1013,16,8,2,16,7,24,0.00,6,,103<br />
2014-1-24,23,18,13,13,8,-3,86,52,17,1023,1022,1019,16,16,14,21,7,29,0.00,7,,354<br />
2014-1-25,24,19,14,14,11,2,90,57,23,1023,1021,1020,16,15,11,23,8,32,0.00,4,Fog,254<br />
2014-1-26,19,16,12,13,11,6,89,73,56,1021,1019,1017,16,14,11,23,9,27,T,5,,243<br />
2014-1-27,18,16,12,12,11,10,86,75,63,1019,1018,1017,16,15,10,27,8,32,0.00,3,Fog,254<br />
2014-1-28,18,14,10,13,11,9,89,78,67,1021,1019,1017,16,14,10,19,7,24,0.00,4,Fog,230<br />
2014-1-29,17,14,11,14,12,11,100,90,80,1019,1016,1014,14,3,0,21,6,27,0.00,6,Fog,245<br />
2014-1-30,17,16,14,12,11,10,86,77,67,1015,1013,1012,16,12,5,24,11,32,T,7,Fog-Rain,211<br />
2014-1-31,17,16,13,12,5,-7,86,54,21,1015,1013,1012,16,16,16,34,19,47,T,5,,295<br />
2014-2-1,20,16,12,4,-4,-13,47,29,10,1018,1016,1015,16,16,16,39,17,47,0.00,1,,337<br />
2014-2-2,17,12,8,8,2,-7,74,50,26,1019,1017,1015,16,16,11,27,12,37,2.29,5,Rain,113<br />
2014-2-3,16,12,8,9,6,1,86,65,43,1015,1014,1012,16,16,16,37,14,42,T,3,,326<br />
2014-2-4,17,13,9,8,6,3,74,63,51,1019,1017,1015,16,16,16,23,9,27,0.00,5,,23<br />
2014-2-5,17,14,10,9,7,3,80,61,42,1021,1018,1016,16,16,16,27,10,37,0.00,4,,261<br />
2014-2-6,16,14,12,11,9,7,93,77,60,1019,1017,1015,16,12,4,26,9,34,3.56,7,Rain,104<br />
2014-2-7,16,13,11,11,9,9,93,79,64,1024,1021,1017,16,14,10,23,9,29,T,6,Fog-Rain,279<br />
2014-2-8,17,14,12,12,10,8,86,73,60,1025,1024,1023,16,16,16,32,13,39,0.00,6,,286<br />
2014-2-9,19,16,13,13,11,9,86,73,60,1024,1022,1020,16,14,10,26,8,29,0.00,6,,48<br />
2014-2-10,19,16,12,13,12,11,93,80,67,1021,1019,1016,16,14,10,34,11,37,0.00,4,Fog,82<br />
2014-2-11,20,16,12,13,12,11,100,82,63,1019,1018,1017,16,5,0,24,7,27,0.00,5,Fog,234<br />
2014-2-12,23,17,11,13,8,2,96,62,27,1021,1019,1017,16,16,16,23,8,27,0.00,3,,266<br />
2014-2-13,22,17,12,13,11,6,89,63,37,1019,1017,1015,16,16,16,19,7,23,0.00,2,,236<br />
2014-2-14,22,17,11,12,10,6,86,63,39,1018,1016,1015,16,16,13,21,5,24,0.00,2,Fog,266<br />
2014-2-15,23,17,11,13,11,6,93,68,42,1017,1015,1014,16,14,10,23,7,27,0.00,5,,266<br />
2014-2-16,22,17,13,14,12,11,93,76,59,1018,1016,1015,16,14,6,21,7,26,0.00,2,,243<br />
2014-2-17,17,14,11,14,12,9,100,86,72,1019,1017,1016,16,10,0,29,8,34,0.00,4,Fog,252<br />
