
ECT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,24,8,6,12,9,7,79,78,76,,,,19,14,10,19,8,,0.00,,,-1<br />
2014-1-2,22,12,7,7,7,6,94,51,27,,,,31,27,19,19,6,,0.00,,,-1<br />
2014-1-3,23,22,15,12,11,10,80,54,40,,,,19,17,11,23,16,,0.00,,,-1<br />
2014-1-4,25,18,11,12,11,11,96,68,40,,,,19,11,2,23,10,,0.00,,Fog,-1<br />
2014-1-5,22,17,11,13,12,11,98,73,47,,,,19,14,10,21,8,,0.51,,Fog-Rain,-1<br />
2014-1-6,21,18,14,14,13,13,93,92,91,,,,3,2,2,8,8,,7.87,8,Rain,-1<br />
2014-1-7,18,13,12,12,12,12,96,83,60,,,,14,6,0,16,8,,0.25,8,Fog-Rain,-1<br />
2014-1-8,20,18,12,12,12,12,97,72,52,,,,14,10,3,23,10,,14.99,8,Rain-Thunderstorm,-1<br />
2014-1-9,16,11,11,12,11,11,93,80,67,,,,10,5,0,10,6,,0.00,8,Fog,-1<br />
2014-1-10,22,17,11,13,12,9,97,75,38,,,,10,8,2,16,6,,2.03,8,Fog-Rain,-1<br />
2014-1-11,21,20,14,13,13,13,90,72,55,,,,10,7,5,24,21,,2.03,8,Thunderstorm,-1<br />
2014-1-12,23,12,12,12,10,9,92,60,29,,,,19,14,8,6,5,,0.00,,Fog,-1<br />
2014-1-13,23,16,8,13,11,8,95,69,29,,,,31,17,8,32,11,,0.00,8,Fog,-1<br />
2014-1-14,22,17,12,13,12,10,96,68,39,,,,19,12,3,13,6,,0.00,,,-1<br />
2014-1-15,27,17,8,13,10,6,92,61,18,,,,31,19,10,26,10,,0.00,,,-1<br />
2014-1-16,26,22,15,13,12,9,81,63,45,,,,19,14,10,13,10,,0.00,,Fog,-1<br />
2014-1-17,24,14,11,12,10,7,95,57,22,,,,19,14,3,10,6,,0.00,,,-1<br />
2014-1-18,23,22,21,11,10,9,37,36,36,,,,31,25,19,16,11,,0.00,,,-1<br />
2014-1-19,22,17,11,13,12,11,90,67,40,,,,19,12,2,19,10,,0.00,8,Fog,-1<br />
2014-1-20,23,17,11,13,12,11,97,64,43,,,,19,14,2,34,13,,0.00,,Fog,-1<br />
2014-1-21,24,,21,12,12,12,50,50,50,,,,19,19,19,29,29,,0.00,,,-1<br />
2014-1-22,23,18,13,22,14,12,95,74,47,1013,1013,1013,19,10,1,13,10,,0.00,8,Fog-Rain,-1<br />
2014-1-23,26,,21,13,13,13,51,51,51,,,,19,19,19,29,29,,0.00,,,-1<br />
2014-1-24,22,13,8,8,8,7,86,50,28,,,,19,18,14,21,10,,0.00,,,-1<br />
2014-1-25,23,16,8,12,11,9,89,60,34,,,,19,15,10,32,10,,0.00,8,Fog,-1<br />
2014-1-26,23,21,15,12,12,11,79,66,52,,,,19,15,11,24,21,,0.00,,,-1<br />
2014-1-27,22,15,11,12,12,11,91,68,36,,,,19,15,10,13,5,,0.00,8,Fog,-1<br />
2014-1-28,24,13,12,13,10,7,94,58,23,,,,19,13,6,24,10,,0.00,8,Fog,-1<br />
2014-1-29,19,17,17,12,11,11,60,54,48,,,,19,19,19,13,8,,0.00,,,-1<br />
2014-1-30,22,17,13,13,12,11,94,72,45,,,,19,13,3,24,11,,0.00,8,Fog,-1<br />
2014-1-31,24,22,14,12,12,12,83,66,48,,,,19,15,11,29,24,,0.00,,,-1<br />
