
WIB,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,29,26,23,25,24,23,98,83,70,1013,1011,1009,8,6,3,16,10,,2.03,8,Rain-Thunderstorm,298<br />
2014-1-2,31,27,23,25,24,22,99,75,58,1012,1010,1007,13,8,3,23,11,,0.00,3,,297<br />
2014-1-3,31,27,23,25,24,23,95,79,56,1011,1009,1006,10,7,3,19,8,,2.03,3,Rain-Thunderstorm,278<br />
2014-1-4,31,28,24,25,24,22,94,80,62,1011,1009,1006,10,8,6,37,13,,0.00,4,Thunderstorm,270<br />
2014-1-5,31,28,24,24,23,22,89,80,60,1010,1009,1006,10,8,6,29,19,50,0.25,3,Rain,251<br />
2014-1-6,30,27,23,25,23,22,94,83,66,1010,1008,1007,10,6,3,35,14,40,8.89,5,Rain-Thunderstorm,248<br />
2014-1-7,31,27,23,25,24,22,94,79,64,1011,1008,1006,11,7,2,23,11,,11.94,4,Rain-Thunderstorm,299<br />
2014-1-8,28,26,23,24,23,22,99,91,83,1012,1010,1008,9,5,1,14,6,,52.07,6,Rain-Thunderstorm,233<br />
2014-1-9,32,28,23,24,23,22,97,74,48,1012,1009,1006,10,7,2,37,14,,0.00,3,,248<br />
2014-1-10,33,28,24,25,23,22,89,75,54,1011,1009,1006,10,8,5,32,18,45,0.00,4,Rain-Thunderstorm,237<br />
2014-1-11,33,28,24,25,24,23,94,76,51,1012,1009,1006,10,7,3,21,8,,34.04,3,Rain-Thunderstorm,293<br />
2014-1-12,28,26,23,26,24,22,96,88,74,1013,1010,1008,10,6,2,27,8,,13.97,6,Rain-Thunderstorm,240<br />
2014-1-13,29,25,21,25,23,22,96,86,70,1013,1011,1008,10,6,3,19,8,,2.03,6,Rain-Thunderstorm,261<br />
2014-1-14,31,27,23,25,23,23,96,82,62,1013,1011,1008,10,6,1,27,13,,28.96,5,Rain-Thunderstorm,282<br />
2014-1-15,28,26,23,24,23,22,96,87,72,1013,1012,1010,8,5,2,23,11,,4.06,6,Rain-Thunderstorm,255<br />
2014-1-16,28,26,22,24,23,22,100,84,70,1013,1011,1009,8,5,1,26,11,32,55.88,7,Rain-Thunderstorm,301<br />
2014-1-17,28,26,22,24,23,2,95,85,19,1013,1011,1009,10,6,1,24,11,40,60.96,7,Rain-Thunderstorm,300<br />
2014-1-18,28,26,23,24,23,2,95,82,24,1013,1012,1010,10,5,1,34,18,45,3.05,7,Rain-Thunderstorm,316<br />
2014-1-19,29,26,23,24,23,22,94,81,69,1014,1012,1010,10,8,3,24,14,,3.05,6,Rain-Thunderstorm,313<br />
2014-1-20,28,26,24,25,23,22,94,83,71,1013,1011,1009,10,6,1,27,13,,12.95,7,Rain-Thunderstorm,309<br />
2014-1-21,31,27,23,24,23,22,96,89,75,1013,1011,1009,8,4,2,24,16,37,16.00,7,Rain-Thunderstorm,286<br />
2014-1-22,29,26,22,24,23,22,95,83,63,1014,1011,1009,13,7,0,24,11,,45.97,5,Rain-Thunderstorm,313<br />
2014-1-23,27,25,23,24,23,21,94,82,64,1013,1011,1010,8,6,1,23,14,35,7.87,7,Rain,304<br />
2014-1-24,29,26,23,24,23,22,96,82,68,1012,1010,1008,9,6,3,32,11,,19.05,6,Rain-Thunderstorm,318<br />
2014-1-25,29,27,23,24,23,22,95,79,60,1012,1011,1008,10,7,3,23,10,,10.92,4,Rain,331<br />
2014-1-26,30,27,23,24,23,22,94,80,61,1013,1010,1007,10,6,3,24,8,32,1.02,4,Rain-Thunderstorm,309<br />
2014-1-27,27,26,23,24,24,23,100,87,74,1012,1010,1008,8,5,2,21,8,32,5.08,6,Rain-Thunderstorm,316<br />
2014-1-28,29,26,23,24,23,23,94,82,64,1012,1010,1008,10,7,1,19,13,39,25.91,6,Rain-Thunderstorm,339<br />
2014-1-29,29,26,23,24,23,22,96,81,66,1012,1010,1008,9,6,1,27,13,35,0.00,6,Rain-Thunderstorm,327<br />
2014-1-30,30,28,25,24,23,22,94,77,57,1013,1011,1008,10,8,5,19,8,,0.51,5,,321<br />
2014-1-31,28,26,24,24,23,22,89,82,68,1013,1011,1009,8,6,3,21,13,,4.06,8,Rain,-1<br />
2014-2-1,29,27,24,24,23,23,93,81,69,1011,1010,1007,8,5,3,21,11,,23.11,,,-1<br />
2014-2-2,28,26,23,24,23,22,99,85,70,1010,1008,1006,10,6,5,24,13,,48.01,8,Rain-Thunderstorm,-1<br />
2014-2-3,28,25,22,24,23,22,100,84,70,1012,1008,1005,8,5,1,26,13,32,64.01,7,Rain-Thunderstorm,327<br />
2014-2-4,29,27,23,24,24,23,100,83,65,1008,1007,1005,10,6,2,27,10,34,8.89,7,Rain-Thunderstorm,340<br />
2014-2-5,29,26,23,25,24,23,96,86,70,1009,1006,1004,10,5,1,23,6,32,23.88,6,Rain-Thunderstorm,359<br />
2014-2-6,29,26,23,25,24,23,96,86,66,1009,1007,1004,10,6,5,19,5,,1.02,4,Rain-Thunderstorm,320<br />
2014-2-7,29,27,24,26,24,22,94,85,74,1009,1007,1004,8,6,2,23,8,,8.89,5,Rain-Thunderstorm,284<br />
2014-2-8,29,27,24,25,24,23,94,86,70,1008,1006,1004,8,6,1,21,10,,0.51,5,Rain-Thunderstorm,283<br />
2014-2-9,30,27,24,25,24,23,100,85,65,1009,1007,1004,8,6,1,24,10,32,32.00,7,Rain-Thunderstorm,305<br />
2014-2-10,31,26,21,25,24,22,94,85,64,1010,1008,1005,10,6,3,26,6,45,32.00,6,Rain-Thunderstorm,250<br />
2014-2-11,32,27,22,26,24,22,100,82,56,1009,1007,1005,7,4,0,14,6,,0.00,4,Fog,308<br />
2014-2-12,31,27,24,25,24,23,92,79,62,1010,1008,1005,10,7,3,23,8,,0.00,2,Rain,4<br />
2014-2-13,31,27,24,26,24,23,94,79,62,1012,1009,1007,8,5,2,21,8,32,0.00,5,,26<br />
2014-2-14,31,27,22,25,24,21,94,81,56,1012,1010,1007,10,7,3,23,8,35,0.00,2,Rain-Thunderstorm,340<br />
2014-2-15,27,24,22,25,23,21,94,86,69,1013,1010,1008,10,5,2,34,8,52,2.03,5,Rain-Thunderstorm,296<br />
2014-2-16,30,27,23,25,24,23,96,82,66,1013,1011,1008,8,6,2,21,8,,0.00,5,Thunderstorm,304<br />
2014-2-17,31,27,23,26,24,22,95,82,66,1013,1011,1008,10,5,2,21,6,,0.00,4,Thunderstorm,23<br />
2014-2-18,28,26,23,26,24,2,100,87,25,1014,1011,1008,8,5,2,21,8,,4.06,6,Rain-Thunderstorm,285<br />
2014-2-19,31,27,23,26,24,23,100,84,66,1012,1010,1007,10,5,2,14,6,,1.02,3,Rain,306<br />
2014-2-20,32,28,24,25,24,23,95,81,56,1012,1010,1008,10,5,1,19,6,,0.00,2,Fog,311<br />
