
BDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,29,21,17,18,16,15,82,63,42,1016,1015,1014,2,2,2,0,0,,0.00,,,-1<br />
2015-1-2,29,24,20,19,17,15,74,58,35,1017,1015,1013,3,3,2,3,0,,0.00,,,-1<br />
2015-1-3,29,25,21,20,19,17,84,65,40,1017,1014,1013,3,3,2,3,0,,0.00,,,-1<br />
2015-1-4,26,23,20,20,19,18,87,71,54,1014,1013,1011,3,3,3,6,2,,0.00,8,Rain,-1<br />
2015-1-5,23,20,18,17,15,14,81,67,50,1014,1013,1012,3,3,3,6,5,,0.00,,,-1<br />
2015-1-6,24,18,13,12,11,9,55,41,28,1016,1014,1012,3,3,3,6,3,,0.00,,,-1<br />
2015-1-7,22,18,13,13,12,9,89,64,36,1016,1014,1012,3,2,2,3,0,,0.00,,Fog,-1<br />
2015-1-8,23,18,12,12,11,9,98,56,35,1016,1014,1012,3,2,2,3,2,,0.00,,,-1<br />
2015-1-9,23,19,14,15,13,12,87,66,44,1015,1014,1013,3,2,2,3,2,,0.00,,Fog,-1<br />
2015-1-10,23,18,13,13,12,12,84,59,24,1017,1015,1014,3,2,0,3,2,,0.00,,,-1<br />
2015-1-11,21,16,11,13,12,10,86,67,40,1019,1017,1015,3,2,2,3,3,,0.00,,,-1<br />
2015-1-12,24,18,12,12,11,10,84,56,35,1018,1016,1014,2,2,2,3,3,,0.00,,Fog,-1<br />
2015-1-13,26,19,12,14,13,13,84,62,48,1017,1015,1013,3,2,2,3,0,,0.00,,Fog,-1<br />
2015-1-14,24,20,15,15,13,13,84,62,38,1016,1015,1014,3,2,2,0,0,,0.00,,,-1<br />
2015-1-15,28,21,14,15,12,10,88,57,28,1017,1015,1013,3,2,2,0,0,,0.00,,,-1<br />
2015-1-16,28,21,14,14,12,9,80,52,21,1017,1015,1013,3,3,2,3,0,,0.00,,,-1<br />
2015-1-17,24,20,16,16,15,14,79,69,55,1016,1014,1013,3,3,2,6,2,,0.00,,Rain-Thunderstorm,-1<br />
2015-1-18,16,14,12,12,12,11,93,82,70,1017,1015,1014,2,1,0,6,3,,0.00,,Fog,-1<br />
2015-1-19,16,14,12,13,12,11,88,83,76,1018,1017,1016,2,1,0,6,5,,0.00,,Fog,-1<br />
2015-1-20,18,16,13,13,13,12,89,80,73,1020,1019,1017,2,2,2,37,16,,0.00,,Fog,-1<br />
2015-1-21,22,16,12,13,13,12,98,66,46,1022,1021,1018,3,2,0,0,0,,0.00,,Fog,-1<br />
2015-1-22,27,20,12,16,14,12,96,70,32,1019,1018,1016,3,3,2,2,0,,0.00,,,-1<br />
2015-1-23,27,20,13,14,13,10,84,52,24,1017,1015,1013,3,3,2,3,0,,0.00,,,-1<br />
2015-1-24,24,19,13,14,12,11,79,56,32,1018,1017,1015,3,3,2,0,0,,0.00,,,-1<br />
2015-1-25,26,20,15,14,12,11,79,51,29,1020,1018,1016,3,3,3,3,2,,0.00,,,-1<br />
2015-1-26,26,19,13,12,11,9,48,38,25,1019,1017,1015,3,3,2,3,2,,0.00,,,-1<br />
2015-1-27,27,21,15,13,12,11,60,44,27,1017,1015,1013,3,3,2,6,2,,0.00,,,-1<br />
2015-1-28,27,21,14,15,14,12,83,60,46,1016,1014,1013,3,3,3,0,0,,0.00,,,-1<br />
2015-1-29,27,22,17,16,13,9,82,50,24,1017,1015,1014,3,3,3,8,3,,0.00,,,-1<br />
2015-1-30,23,21,18,15,14,13,69,61,52,1018,1016,1014,3,3,2,8,5,,0.00,,,-1<br />
2015-1-31,23,19,17,13,10,7,73,48,32,1019,1017,1016,3,3,2,3,2,,0.00,,,-1<br />
2015-2-1,23,18,13,10,8,7,64,42,24,1019,1017,1015,3,3,3,14,5,,0.00,,,-1<br />
2015-2-2,27,19,14,11,9,3,58,38,13,1019,1018,1016,3,3,2,6,3,,0.00,,,-1<br />
2015-2-3,29,21,14,13,10,6,70,40,14,1023,1020,1018,3,3,3,0,0,,0.00,,,-1<br />
2015-2-4,21,16,14,12,12,12,70,58,46,1020,1019,1018,3,3,3,0,0,,0.00,,,-1<br />
2015-2-5,28,22,16,13,12,11,48,35,25,1019,1017,1015,3,3,3,3,2,,0.00,,,-1<br />
2015-2-6,26,21,17,11,10,9,50,38,25,1018,1016,1015,3,3,2,8,2,,0.00,,,-1<br />
2015-2-7,25,19,14,14,12,8,70,50,28,1017,1016,1013,3,3,2,3,3,,0.00,,,-1<br />
2015-2-8,26,20,14,15,13,11,87,54,28,1017,1015,1014,3,3,3,3,0,,0.00,,,-1<br />
2015-2-9,27,21,15,15,13,12,63,50,37,1018,1016,1015,3,3,3,0,0,,0.00,,,-1<br />
2015-2-10,26,21,17,15,14,12,68,47,31,1020,1018,1015,3,3,2,8,3,,0.00,,,-1<br />
2015-2-11,26,21,16,12,10,7,44,32,25,1017,1015,1014,3,3,3,6,2,,0.00,,,-1<br />
2015-2-12,26,19,13,13,7,3,70,35,14,1016,1014,1011,3,3,2,6,3,,0.00,,,-1<br />
