
NPT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,16,9,3,9,6,3,97,76,48,1024,1022,1019,6,4,2,10,0,,0.76,6,Rain,154<br />
2015-1-2,19,12,5,10,8,4,94,79,40,1026,1023,1021,8,4,1,14,3,,0.00,7,Rain,15<br />
2015-1-3,17,13,8,12,10,8,100,86,60,1024,1021,1019,6,4,2,13,3,,1.02,6,Rain,38<br />
2015-1-4,20,14,8,12,10,6,100,86,45,1050,1021,1016,8,4,0,11,2,,0.00,5,Fog-Rain,240<br />
2015-1-5,20,13,6,9,7,4,100,81,40,1016,1014,1012,10,6,3,16,3,,0.00,2,,158<br />
2015-1-6,19,13,7,9,7,6,93,76,42,1019,1016,1015,8,6,3,16,3,,0.00,4,,141<br />
2015-1-7,19,13,8,8,6,5,93,76,39,1019,1017,1015,8,5,1,16,3,,0.00,4,Rain-Thunderstorm,216<br />
2015-1-8,18,11,4,7,5,3,100,74,35,1022,1019,1017,8,6,3,11,2,,0.00,3,Rain,204<br />
2015-1-9,20,12,3,7,4,2,100,72,31,1023,1020,1018,10,6,3,14,3,,0.00,1,,100<br />
2015-1-10,21,11,1,4,2,-3,93,67,21,1021,1016,952,10,7,3,13,2,,0.00,1,,334<br />
2015-1-11,21,11,2,5,3,1,93,66,22,1022,1020,1017,7,6,3,11,2,,0.00,3,,177<br />
2015-1-12,20,11,2,6,4,0,97,70,27,1023,1021,1018,10,5,1,13,2,,0.00,2,,193<br />
2015-1-13,21,12,3,7,4,2,97,71,25,1023,1021,1018,8,5,2,14,2,,6.10,1,,242<br />
2015-1-14,20,11,3,6,4,0,100,69,24,1024,1021,1019,8,5,2,13,3,,0.00,1,,128<br />
2015-1-15,20,11,3,6,4,0,93,70,21,1024,1022,1019,10,6,1,14,2,,0.00,1,,208<br />
2015-1-16,22,12,3,8,5,2,100,73,38,1024,1021,1019,8,6,2,11,3,,0.00,1,,167<br />
2015-1-17,19,12,4,7,5,3,100,73,33,1022,1020,1018,10,6,2,14,3,,0.00,1,,207<br />
2015-1-18,19,11,3,7,4,-1,100,71,23,1022,1020,1017,10,7,3,14,2,,0.00,1,,248<br />
2015-1-19,21,12,3,12,3,-1,97,68,21,1022,1020,1018,10,7,2,13,2,,0.00,1,,159<br />
2015-1-20,21,12,2,5,3,-1,93,65,23,1025,1022,1021,10,7,2,13,3,,0.00,2,,158<br />
2015-1-21,22,12,3,9,4,2,99,70,32,1028,1025,1023,10,6,2,11,2,,0.00,1,,148<br />
2015-1-22,21,12,3,7,5,2,93,65,30,1025,1023,1020,8,6,3,13,3,,0.00,5,,214<br />
2015-1-23,21,14,8,8,7,4,87,69,30,1023,1020,1017,10,7,2,13,5,,0.00,5,Rain,192<br />
2015-1-24,20,11,3,7,4,1,100,68,23,1023,1020,1018,10,6,2,16,3,,0.00,2,,297<br />
2015-1-25,21,12,3,9,4,1,93,65,28,1024,1022,1019,10,7,2,14,3,,0.00,4,,267<br />
2015-1-26,18,10,2,9,7,3,93,75,45,1024,1022,1020,7,5,1,13,3,,0.00,6,,19<br />
2015-1-27,20,13,6,9,6,3,100,70,26,1023,1020,1018,10,6,1,16,5,,0.00,3,,210<br />
2015-1-28,21,12,2,3,2,-5,93,62,17,1020,1018,1016,10,7,2,14,3,,0.00,1,,280<br />
2015-1-29,21,12,4,7,3,-11,87,65,5,1021,1019,1017,10,6,1,14,2,,0.00,3,,200<br />
2015-1-30,19,11,3,6,3,2,93,72,31,1020,1018,1015,8,6,2,19,5,,0.00,2,,187<br />
2015-1-31,19,10,1,6,3,-1,93,69,21,1021,1019,1016,8,6,3,26,6,,0.00,1,,174<br />
2015-2-1,19,11,3,7,4,2,100,71,36,1050,1022,1018,8,5,1,16,3,,0.00,1,,195<br />
2015-2-2,21,12,3,7,4,2,96,69,24,1026,1024,1022,8,5,1,14,3,,0.00,1,,130<br />
2015-2-3,24,14,4,9,5,0,98,66,21,1029,1026,1024,10,6,1,29,6,48,0.00,2,Rain,246<br />
2015-2-4,21,13,6,8,6,-2,100,67,24,1028,1023,1019,11,7,2,19,5,,0.00,2,Rain,173<br />
2015-2-5,22,13,4,9,6,3,94,73,24,1023,1020,1018,10,7,2,19,2,,0.00,1,,177<br />
