
WAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,32,28,25,25,24,23,100,86,62,1013,1011,1009,10,8,2,11,2,,0.00,2,Thunderstorm,223<br />
2015-1-2,33,28,24,26,24,24,100,84,59,1013,1011,1010,10,8,6,11,3,,0.00,1,Thunderstorm,249<br />
2015-1-3,32,28,24,26,24,22,100,84,55,1015,1013,1010,10,6,2,19,5,,0.00,2,Rain-Thunderstorm,217<br />
2015-1-4,32,28,24,26,24,23,100,83,62,1015,1012,1010,10,6,1,14,5,,0.00,2,,205<br />
2015-1-5,33,28,24,26,23,21,94,78,49,1014,1012,1009,2,2,1,11,2,,0.00,4,,220<br />
2015-1-6,33,28,23,24,23,22,100,80,52,1014,1011,1009,2,2,1,11,3,,0.00,2,,217<br />
2015-1-7,33,27,22,26,23,22,100,81,52,1013,1011,1009,2,1,1,14,5,,0.00,1,,178<br />
2015-1-8,32,29,25,25,24,22,95,82,55,1015,1012,1010,2,1,1,11,3,,0.00,3,,218<br />
2015-1-9,34,29,23,25,24,21,100,81,46,1016,1013,1010,3,2,1,14,3,,0.00,3,Fog,171<br />
2015-1-10,34,28,22,25,19,10,100,69,23,1016,1013,1010,5,3,1,14,3,,0.00,1,,165<br />
2015-1-11,33,27,20,23,20,18,94,75,37,1015,1013,1010,4,3,2,11,2,,0.00,2,,220<br />
2015-1-12,33,26,19,23,21,18,96,76,38,1015,1012,1008,5,3,2,14,2,,0.00,1,,211<br />
2015-1-13,33,27,21,23,21,15,100,72,31,1014,1011,1009,4,3,2,14,2,,0.00,2,,201<br />
2015-1-14,32,27,21,24,22,21,100,81,42,1014,1012,1009,4,3,2,14,2,,0.00,3,,196<br />
2015-1-15,33,28,23,25,23,21,100,82,49,1014,1012,1010,4,3,1,11,2,,0.00,2,,231<br />
2015-1-16,33,28,23,26,24,23,100,84,59,1014,1012,1009,4,3,2,13,3,,0.00,3,,263<br />
2015-1-17,33,28,23,25,24,22,100,80,46,1014,1011,1009,4,3,2,11,2,,0.00,6,,218<br />
2015-1-18,32,28,24,25,24,21,100,81,46,1015,1012,1010,4,3,2,11,2,,0.00,4,,247<br />
2015-1-19,33,28,24,26,24,23,100,81,50,1014,1011,1009,10,3,2,11,2,,0.00,3,,236<br />
2015-1-20,34,29,25,26,25,23,100,81,51,1012,1010,1008,8,5,3,14,5,,0.00,3,,230<br />
2015-1-21,34,29,24,26,25,24,100,82,54,1013,1011,1008,10,7,2,14,3,,0.00,2,,234<br />
2015-1-22,33,29,25,26,26,25,100,83,57,1014,1011,1009,8,7,3,19,3,,0.00,2,,214<br />
2015-1-23,33,29,26,26,26,25,94,83,58,1013,1011,1008,10,7,2,19,6,,0.00,1,Thunderstorm,216<br />
2015-1-24,32,28,23,26,25,23,95,83,63,1012,1010,1007,10,9,6,111,8,,0.00,2,Rain-Thunderstorm,217<br />
2015-1-25,32,28,24,26,25,24,94,81,56,1011,1009,1008,10,9,3,19,5,,0.00,3,Thunderstorm,240<br />
2015-1-26,32,28,24,26,25,24,100,82,54,1013,1010,1008,10,9,3,19,3,,0.00,1,Thunderstorm,254<br />
2015-1-27,33,28,24,26,25,24,94,83,58,1012,1010,1008,10,9,4,14,3,,0.00,2,Thunderstorm,221<br />
2015-1-28,32,28,24,26,25,23,95,82,59,1012,1010,1008,10,9,3,19,5,,0.00,1,Thunderstorm,223<br />
2015-1-29,33,28,24,26,25,24,95,79,51,1012,1010,1008,10,9,2,14,5,,0.00,1,Thunderstorm,215<br />
2015-1-30,33,29,24,26,25,24,100,83,51,1013,1011,1008,10,9,6,23,5,,0.00,2,Thunderstorm,222<br />
2015-1-31,33,28,24,26,25,24,100,83,57,1013,1011,1008,10,8,2,14,3,,0.00,1,,217<br />
2015-2-1,33,28,24,26,25,24,100,84,59,1012,1010,1007,10,8,1,14,3,,0.00,1,Fog,242<br />
2015-2-2,33,29,24,26,26,24,100,83,54,1012,1010,1008,10,7,2,19,3,,0.00,2,,230<br />
2015-2-3,33,29,25,26,26,25,100,84,58,1013,1010,1008,10,8,2,23,5,,0.00,1,,208<br />
2015-2-4,33,29,24,26,26,24,100,82,53,1013,1010,1008,10,7,0,14,5,,0.00,2,Fog-Rain,197<br />
2015-2-5,33,29,24,26,26,24,96,84,56,1012,1010,1007,10,8,1,14,3,,0.00,1,,219<br />
2015-2-6,33,29,26,26,26,24,100,82,53,1012,1009,1007,10,9,2,19,6,,0.00,1,,234<br />
2015-2-7,33,29,25,27,26,25,94,83,57,1012,1010,1007,10,9,3,23,6,,0.00,2,Thunderstorm,208<br />
2015-2-8,32,28,24,26,26,24,100,84,63,1011,1009,1008,10,8,0,11,5,,0.00,2,Fog-Rain-Thunderstorm,207<br />
2015-2-9,33,29,24,27,26,25,100,85,61,1011,1009,1007,10,9,3,14,5,,0.00,3,Rain,215<br />
2015-2-10,36,30,25,27,26,23,94,79,50,1011,1009,1006,10,9,7,14,6,,0.00,2,Rain-Thunderstorm,238<br />
2015-2-11,32,29,26,27,26,25,94,83,62,1011,1009,1007,10,9,6,19,10,,0.00,1,Thunderstorm,206<br />
2015-2-12,32,29,26,26,25,21,94,80,53,1013,1010,1008,10,8,2,23,6,,0.00,1,Thunderstorm,234<br />
2015-2-13,32,29,25,25,23,22,89,78,59,1014,1012,1010,10,10,7,19,8,,0.00,1,Thunderstorm,165<br />
2015-2-14,33,29,25,26,25,24,97,80,53,1014,1012,1009,10,9,3,19,5,,0.00,2,Thunderstorm,211<br />
2015-2-15,33,29,25,26,25,24,100,79,53,1013,1011,1008,10,9,2,16,5,,0.00,2,Rain,226<br />
2015-2-16,34,29,25,26,25,23,94,80,56,1013,1011,1008,10,10,8,19,5,,0.00,2,Rain-Thunderstorm,224<br />
2015-2-17,34,29,25,26,26,24,100,82,57,1011,1009,1006,10,8,2,19,3,,0.00,1,Rain-Thunderstorm,227<br />
2015-2-18,32,27,23,27,24,22,95,87,57,1012,1010,1007,10,8,1,14,2,,36.07,3,Rain-Thunderstorm,196<br />
2015-2-19,32,26,21,25,23,21,100,84,58,1012,1009,1001,10,9,2,19,3,,0.00,2,Thunderstorm,195<br />
2015-2-20,33,28,23,26,24,23,100,82,54,1010,1008,1006,10,9,3,23,5,,0.00,2,,228<br />
2015-2-21,33,28,24,26,25,24,100,80,53,1010,1008,1006,10,9,6,14,5,,0.00,1,Rain-Thunderstorm,230<br />
2015-2-22,32,29,26,26,25,23,94,80,54,1012,1010,1007,10,10,8,19,5,,4.06,2,Rain-Thunderstorm,226<br />
2015-2-23,33,28,24,26,25,24,100,81,56,1013,1011,1008,10,9,2,14,6,,7.11,2,Thunderstorm,201<br />
2015-2-24,32,28,24,27,26,24,100,83,62,1013,1010,1007,10,9,1,19,10,,0.00,3,Rain-Thunderstorm,202<br />
2015-2-25,33,29,25,27,26,25,94,84,59,1011,1008,1006,10,9,2,19,3,,0.00,2,Rain-Thunderstorm,220<br />
2015-2-26,30,27,24,26,25,23,100,86,68,1012,1009,1007,10,9,3,14,5,,1.02,4,Rain-Thunderstorm,215<br />
2015-2-27,32,27,22,26,23,22,97,81,61,1013,1010,1008,10,9,4,19,8,,0.00,5,Rain-Thunderstorm,217<br />
2015-2-28,31,27,24,26,24,24,100,83,66,1012,1010,1007,10,8,3,11,3,,0.00,4,,227<br />
2015-3-1,33,29,24,26,26,25,100,85,63,1012,1010,1007,10,9,3,19,3,,0.00,3,,231<br />
2015-3-2,33,29,24,26,25,23,100,82,59,1011,1009,1007,10,9,6,19,3,,0.00,3,Thunderstorm,239<br />
2015-3-3,33,27,22,26,24,22,100,80,55,1012,1010,1007,10,9,3,23,5,,0.00,2,Rain-Thunderstorm,232<br />
2015-3-4,33,29,26,26,25,24,100,82,53,1012,1010,1007,10,8,3,19,6,,0.00,3,Thunderstorm,203<br />
