
BRT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,28,26,24,24,23,22,100,81,66,1015,1014,1012,19,11,3,21,13,,7.11,6,Rain,148<br />
2015-1-2,29,27,23,24,23,22,100,78,60,1015,1013,1012,19,12,6,24,13,,0.00,5,Rain,123<br />
2015-1-3,29,26,23,22,21,20,94,70,55,1014,1013,1011,19,13,10,23,10,,0.00,3,,124<br />
2015-1-4,29,26,23,22,21,20,88,68,50,1016,1014,1013,19,12,10,23,11,,0.00,2,,48<br />
2015-1-5,30,28,26,23,22,22,79,70,52,1017,1015,1014,19,13,10,19,13,,0.00,3,,49<br />
2015-1-6,29,28,26,23,23,22,79,73,61,1016,1015,1014,19,12,10,23,16,,0.00,3,,113<br />
2015-1-7,29,28,26,22,22,21,78,70,58,1015,1014,1013,19,12,10,21,16,,1.02,3,,101<br />
2015-1-8,30,28,26,22,22,21,78,69,55,1016,1014,1013,19,12,10,23,18,,0.00,2,,112<br />
2015-1-9,29,27,24,23,22,21,89,71,52,1016,1014,1012,19,12,10,23,14,,0.00,2,,115<br />
2015-1-10,29,27,24,24,23,21,94,78,65,1016,1015,1013,19,11,6,23,16,,0.25,3,Rain,124<br />
2015-1-11,30,27,24,24,23,22,94,79,63,1016,1015,1013,19,11,3,23,14,,2.03,4,Rain,123<br />
2015-1-12,30,28,25,24,23,22,94,75,58,1017,1015,1013,19,11,6,26,18,,0.00,4,Rain,121<br />
2015-1-13,29,28,26,23,22,21,78,70,58,1016,1014,1013,19,12,10,24,19,,0.00,3,,125<br />
2015-1-14,30,28,26,23,22,21,78,68,53,1015,1014,1012,19,12,10,27,18,,0.00,2,,135<br />
2015-1-15,30,27,24,22,22,21,89,69,52,1016,1014,1012,19,12,10,23,16,,0.00,3,,133<br />
2015-1-16,29,27,25,23,22,21,83,71,57,1016,1014,1013,19,12,10,19,11,,0.00,3,,113<br />
2015-1-17,30,28,26,24,23,22,79,73,58,1016,1014,1013,19,12,10,26,18,,0.00,3,,124<br />
2015-1-18,29,28,26,23,22,20,79,70,57,1016,1014,1013,19,12,10,23,16,,0.00,3,,120<br />
2015-1-19,30,28,25,24,23,22,83,74,58,1015,1014,1012,19,12,10,19,13,,0.25,2,,106<br />
2015-1-20,30,28,25,23,23,22,89,72,56,1014,1012,1011,19,12,10,21,13,,0.00,3,,114<br />
2015-1-21,31,28,25,24,23,22,89,73,58,1014,1012,1011,19,12,10,21,14,,0.00,2,,93<br />
2015-1-22,31,28,26,23,22,21,78,69,57,1015,1013,1012,19,12,10,19,11,,0.00,3,,96<br />
2015-1-23,31,28,26,24,22,21,84,69,45,1015,1014,1012,19,12,10,24,13,,0.00,3,,122<br />
2015-1-24,30,28,25,24,23,22,94,77,61,1015,1013,1012,19,12,8,16,11,,0.00,3,,70<br />
2015-1-25,30,28,26,23,23,22,83,72,57,1015,1013,1012,19,12,10,19,14,,0.00,2,,112<br />
2015-1-26,31,28,26,22,22,21,78,67,49,1016,1014,1012,19,13,10,21,14,,0.00,2,,114<br />
2015-1-27,30,28,26,22,21,20,74,66,50,1015,1014,1013,19,12,10,23,16,,0.00,2,,121<br />
2015-1-28,30,28,26,23,21,20,79,67,49,1014,1013,1011,19,12,10,19,13,,0.00,3,,123<br />
2015-1-29,29,27,23,24,23,22,100,83,56,1014,1012,1010,19,10,3,16,10,,2.03,4,Rain,118<br />
2015-1-30,30,27,24,23,23,22,83,73,56,1015,1013,1012,19,12,10,19,11,,0.00,3,,88<br />
2015-1-31,31,28,26,27,23,23,100,76,58,1015,1013,1011,19,12,10,21,13,,0.00,4,,111<br />
2015-2-1,30,28,26,23,22,22,79,70,58,1015,1013,1012,19,12,10,24,18,,0.00,3,,129<br />
2015-2-2,31,28,26,23,22,21,79,70,55,1014,1013,1011,19,12,10,23,16,,0.00,4,,126<br />
2015-2-3,31,28,26,24,23,22,84,71,54,1015,1013,1011,19,12,10,19,13,,0.00,2,,97<br />
2015-2-4,31,29,27,24,23,23,84,73,61,1014,1012,1010,19,12,10,27,14,,0.00,3,,92<br />
2015-2-5,31,29,27,23,23,22,79,73,60,1014,1012,1011,19,12,10,16,11,,0.00,4,,65<br />
2015-2-6,30,28,26,23,23,22,79,71,54,1013,1012,1010,19,12,10,19,11,,0.00,3,,79<br />
2015-2-7,30,28,26,23,23,20,79,70,55,1013,1012,1010,19,12,10,19,11,,0.00,2,,99<br />
2015-2-8,31,28,25,24,23,21,94,71,51,1014,1013,1012,19,12,10,26,14,,1.02,2,Rain,119<br />
2015-2-9,31,28,25,24,23,22,89,73,58,1014,1012,1011,19,12,10,26,19,,2.03,3,,137<br />
2015-2-10,31,28,25,24,23,23,89,74,58,1015,1012,1011,19,12,4,26,19,,0.00,4,Rain,131<br />
2015-2-11,31,29,27,24,23,23,79,73,60,1016,1014,1013,19,12,10,19,16,,0.00,3,,107<br />
2015-2-12,31,29,27,24,23,22,84,74,59,1017,1015,1014,19,12,10,26,16,,0.00,4,,119<br />
2015-2-13,31,29,27,23,22,22,79,69,55,1017,1015,1013,19,12,10,23,16,,0.00,3,,120<br />
2015-2-14,32,29,26,23,23,22,83,70,49,1016,1014,1012,19,12,10,19,11,,0.00,3,,98<br />
2015-2-15,31,29,27,24,23,22,84,72,58,1015,1014,1012,19,12,10,19,11,,0.00,4,,61<br />
2015-2-16,30,28,26,24,23,22,89,72,57,1015,1014,1012,19,12,6,24,13,,2.03,3,Rain,83<br />
2015-2-17,31,28,25,25,23,22,94,79,60,1015,1013,1011,19,11,3,29,14,40,13.97,5,Rain,120<br />
2015-2-18,29,27,25,25,24,24,89,80,70,1013,1011,1010,19,12,9,16,13,,2.03,6,,100<br />
2015-2-19,30,28,27,24,23,22,84,73,60,1012,1011,1010,19,12,10,21,16,,0.00,5,,130<br />
2015-2-20,30,27,24,24,23,22,94,74,54,1013,1011,1010,19,12,7,19,10,,0.51,5,Rain,122<br />
2015-2-21,31,27,24,24,23,22,94,79,58,1014,1012,1011,19,12,9,21,10,,2.03,5,Rain,169<br />
2015-2-22,30,27,23,24,23,22,96,79,58,1013,1011,1009,19,12,5,23,13,,0.00,4,Rain,125<br />
2015-2-23,30,27,24,24,23,22,94,80,57,1014,1012,1011,19,12,5,23,10,,0.51,4,Rain,100<br />
2015-2-24,30,27,23,24,23,23,94,76,59,1015,1014,1012,19,12,10,19,11,,0.00,4,,111<br />
2015-2-25,30,28,27,24,23,20,79,70,55,1016,1014,1012,19,12,10,21,16,,0.00,4,,108<br />
2015-2-26,30,28,27,24,23,22,79,71,57,1014,1012,1010,19,12,10,21,14,,0.00,3,,129<br />
2015-2-27,31,28,26,23,22,22,79,69,53,1013,1011,1009,19,12,10,19,13,,0.00,2,,102<br />
2015-2-28,31,27,24,24,23,22,89,72,52,1013,1011,1010,19,12,10,19,10,,0.00,2,,62<br />
2015-3-1,31,28,25,25,24,23,94,78,65,1014,1012,1010,19,12,10,19,10,,0.00,3,,85<br />
2015-3-2,31,29,27,24,24,22,84,73,60,1014,1012,1010,19,12,10,19,14,,0.00,3,,100<br />
2015-3-3,31,28,26,24,23,22,83,71,55,1013,1012,1010,19,11,10,24,16,,0.00,3,,119<br />
2015-3-4,28,26,24,25,23,23,94,81,71,1014,1012,1010,19,11,3,27,14,,3.05,4,Rain,147<br />
2015-3-5,30,27,24,25,24,23,100,80,66,1013,1011,1010,19,12,5,19,11,,3.05,3,Rain,116<br />
2015-3-6,29,27,23,24,23,21,100,79,61,1013,1011,1010,19,11,3,21,11,,0.00,4,Rain-Thunderstorm,117<br />
2015-3-7,30,28,26,24,23,21,84,71,55,1014,1012,1010,19,12,10,16,13,,0.00,4,,113<br />
2015-3-8,27,24,23,25,23,2,100,90,21,1014,1013,1011,19,9,2,19,11,,32.00,6,Rain-Thunderstorm,189<br />
2015-3-9,29,26,23,25,24,23,100,86,69,1014,1012,1010,19,10,3,19,8,,0.25,6,Rain,152<br />
2015-3-10,30,28,27,25,24,23,84,77,65,1014,1012,1010,19,12,10,16,11,,0.00,2,,93<br />
2015-3-11,30,28,26,24,23,22,84,73,55,1014,1012,1010,19,12,10,19,13,,0.00,3,,91<br />
2015-3-12,29,27,24,24,23,23,94,79,63,1014,1012,1010,19,11,5,14,8,,0.51,4,Rain,115<br />
2015-3-13,30,28,27,23,22,22,79,69,56,1013,1011,1009,19,12,10,21,14,,0.00,2,,118<br />
2015-3-14,31,28,26,23,22,21,74,69,58,1012,1011,1009,19,12,10,23,11,,0.00,2,,119<br />
2015-3-15,30,27,24,24,23,22,89,75,63,1013,1011,1009,19,12,10,23,13,,0.00,2,,140<br />
2015-3-16,30,28,27,24,24,23,84,74,60,1014,1012,1010,19,12,10,21,13,,0.00,3,,96<br />
2015-3-17,30,28,27,24,23,22,79,72,57,1014,1012,1010,19,12,10,23,14,,0.00,3,,111<br />
2015-3-18,30,28,27,24,23,22,79,72,60,1014,1012,1011,19,12,10,21,14,,0.00,3,,113<br />
2015-3-19,29,28,26,23,23,22,83,74,58,1013,1011,1009,19,12,10,23,16,,3.05,3,,143<br />
2015-3-20,30,27,24,25,24,23,100,84,67,1012,1010,1008,19,11,3,23,11,,0.76,4,Rain-Thunderstorm,148<br />
2015-3-21,30,27,24,25,24,23,94,82,65,1013,1011,1009,19,11,6,21,8,,0.00,4,Rain-Thunderstorm,82<br />
2015-3-22,30,27,24,25,23,23,100,82,66,1015,1012,1011,19,11,5,23,8,,0.25,4,Rain,92<br />
2015-3-23,30,27,24,25,24,23,94,82,68,1016,1014,1012,19,12,4,24,8,,801.88,4,Rain,156<br />
2015-3-24,29,27,24,26,24,23,95,85,68,1016,1014,1012,19,10,3,21,8,,0.00,6,Rain,143<br />
2015-3-25,31,29,26,24,23,22,84,74,62,1015,1013,1011,19,12,10,19,14,,0.00,3,,116<br />
2015-3-26,29,27,24,23,22,22,94,74,57,1014,1013,1011,19,12,10,21,11,,0.00,2,,140<br />
2015-3-27,30,28,26,23,22,21,74,68,57,1016,1014,1012,19,12,10,19,13,,0.00,2,,114<br />
2015-3-28,29,27,23,24,23,22,89,75,57,1017,1015,1013,19,12,10,21,10,,0.00,2,,158<br />
2015-3-29,31,28,25,25,24,23,94,79,59,1015,1013,1012,19,12,4,24,14,,10.92,4,Rain,140<br />
2015-3-30,29,27,24,25,23,22,100,82,65,1015,1013,1011,19,11,4,27,11,,0.00,4,Rain,149<br />
2015-3-31,30,27,24,23,22,21,89,72,54,1015,1012,1011,19,12,10,19,13,,0.00,2,,151<br />
2015-4-1,29,26,23,22,22,21,89,71,53,1014,1013,1011,19,12,10,19,11,,0.00,2,,142<br />
2015-4-2,30,28,26,22,22,21,74,67,52,1015,1012,1010,19,12,10,19,13,,0.00,4,,124<br />
2015-4-3,29,26,23,23,22,21,94,72,55,1013,1011,1009,19,12,10,21,10,,0.00,2,,151<br />
2015-4-4,30,27,23,24,22,21,89,72,49,1012,1010,1009,19,12,10,19,11,,0.00,2,,137<br />
2015-4-5,31,27,24,24,22,21,94,72,48,1013,1011,1009,19,13,10,14,10,,0.00,2,,34<br />
2015-4-6,31,27,24,25,24,23,94,77,61,1012,1010,1008,19,12,10,21,10,,0.00,2,,13<br />
2015-4-7,31,28,25,24,24,23,94,79,61,1013,1010,1008,19,12,10,27,11,,0.00,3,,347<br />
2015-4-8,31,28,25,25,24,24,94,78,63,1014,1012,1010,19,12,10,16,10,,3.05,3,,33<br />
2015-4-9,30,28,27,25,23,22,89,74,62,1014,1012,1011,19,12,10,19,11,,0.00,3,Rain,115<br />
2015-4-10,30,27,24,25,24,23,94,80,68,1014,1013,1011,19,12,8,23,11,,0.00,2,,148<br />
2015-4-11,31,28,25,25,24,24,94,78,62,1014,1013,1011,19,12,10,19,13,,0.00,3,,155<br />
2015-4-12,30,28,25,26,24,24,94,80,67,1014,1012,1011,19,12,10,19,10,,0.00,3,,142<br />
2015-4-13,31,29,27,25,24,23,84,74,63,1016,1014,1012,19,12,10,16,11,,0.00,3,,120<br />
2015-4-14,31,29,27,26,24,23,89,76,64,1015,1013,1012,19,12,10,23,14,,0.00,3,,129<br />
2015-4-15,31,28,26,24,23,22,84,73,57,1015,1013,1011,19,12,10,23,14,,0.00,3,,127<br />
2015-4-16,30,27,24,24,23,22,94,73,55,1014,1012,1010,19,12,10,29,13,,0.00,2,,126<br />
2015-4-17,30,28,27,23,22,21,74,67,49,1015,1012,1011,19,12,10,19,14,,0.00,2,,117<br />
2015-4-18,31,27,23,23,22,21,89,72,52,1014,1012,1010,19,13,10,19,13,,0.00,3,,139<br />
2015-4-19,30,27,23,24,23,21,89,73,54,1013,1012,1010,19,12,10,19,10,,0.00,2,,140<br />
2015-4-20,31,28,25,24,23,22,89,72,53,1013,1012,1010,19,12,10,19,10,,0.00,2,,87<br />
2015-4-21,31,27,23,24,23,21,94,72,50,1014,1012,1011,19,12,10,16,8,,3.05,3,,74<br />
2015-4-22,31,27,24,25,24,23,100,88,60,1014,1012,1011,19,10,5,143,29,48,6.10,5,Rain,352<br />
2015-4-23,30,27,23,26,24,23,97,86,66,1015,1013,1012,19,12,3,27,8,,1.02,4,Rain,5<br />
2015-4-24,31,28,25,25,24,23,79,74,62,1015,1014,1012,19,12,10,19,13,,0.00,3,,104<br />
2015-4-25,31,29,27,24,24,23,79,73,62,1015,1014,1012,19,12,10,14,13,,0.00,2,,90<br />
2015-4-26,31,27,24,24,23,22,94,75,56,1015,1013,1012,19,13,10,14,8,,0.00,2,,56<br />
2015-4-27,31,29,27,24,23,21,79,69,55,1014,1013,1011,19,12,10,14,10,,0.00,2,,71<br />
2015-4-28,31,29,27,24,23,22,79,70,58,1014,1012,1010,19,12,10,14,11,,0.00,2,,103<br />
2015-4-29,30,28,27,24,23,22,79,70,55,1014,1012,1011,19,12,10,19,11,,0.00,2,,97<br />
2015-4-30,30,28,25,23,22,22,83,70,52,1014,1012,1010,19,12,10,16,11,,0.00,2,,93<br />
2015-5-1,31,29,27,24,23,22,79,70,60,1014,1012,1010,19,12,10,19,11,,0.00,3,,102<br />
2015-5-2,31,28,26,24,23,23,89,76,62,1014,1012,1010,19,13,10,16,10,,0.00,4,,125<br />
2015-5-3,30,27,24,24,23,23,94,77,59,1015,1012,1010,19,12,3,19,14,,5.08,5,Rain,108<br />
2015-5-4,30,27,23,24,23,21,97,78,59,1015,1013,1012,19,12,10,19,10,,0.00,3,,143<br />
2015-5-5,29,26,23,24,23,21,94,78,66,1015,1013,1011,19,12,10,14,8,,2.03,2,Rain,122<br />
2015-5-6,30,27,24,24,23,22,94,76,62,1015,1013,1011,19,12,10,24,11,,0.00,2,,140<br />
2015-5-7,29,27,24,25,23,22,94,78,65,1014,1013,1011,19,12,10,16,10,,0.00,2,Rain,116<br />
2015-5-8,31,27,23,25,23,22,94,76,63,1015,1014,1012,19,12,10,14,6,,0.00,2,,76<br />
2015-5-9,30,28,27,24,23,23,79,72,58,1016,1014,1013,19,12,10,19,11,,0.00,2,,106<br />
2015-5-10,30,28,27,24,23,22,79,70,56,1015,1013,1012,19,12,10,21,13,,0.00,3,,103<br />
2015-5-11,31,27,24,23,22,22,94,70,53,1014,1013,1011,19,12,10,14,8,,0.00,2,,38<br />
2015-5-12,30,26,22,23,22,21,94,73,53,1015,1013,1011,19,12,10,14,8,,0.00,1,,94<br />
2015-5-13,30,27,24,25,23,22,94,76,54,1015,1013,1012,19,12,3,24,13,32,7.11,4,Rain,146<br />
2015-5-14,30,28,25,24,23,22,79,75,66,1015,1013,1012,19,12,10,23,16,,0.00,4,,119<br />
2015-5-15,30,28,26,23,23,22,83,71,57,1015,1013,1012,19,12,10,21,14,,0.00,3,,121<br />
2015-5-16,28,27,24,24,23,21,94,83,67,1016,1014,1013,19,11,5,32,16,,5.08,4,Rain,166<br />
2015-5-17,30,27,23,24,23,22,94,77,57,1016,1015,1013,19,12,10,21,13,,0.25,3,,149<br />
2015-5-18,29,27,24,24,23,22,94,79,59,1015,1014,1012,19,12,10,23,10,,4.06,4,,162<br />
2015-5-19,29,27,24,25,23,23,100,82,63,1015,1014,1012,19,12,5,19,10,,1.02,5,Rain,148<br />
2015-5-20,29,27,23,24,23,22,94,80,62,1016,1014,1012,19,12,10,21,10,,0.00,3,,152<br />
2015-5-21,30,27,24,25,23,21,89,77,61,1017,1015,1014,19,12,3,27,13,,0.00,4,Rain,135<br />
2015-5-22,29,27,24,24,23,22,94,75,60,1017,1015,1014,19,12,10,24,13,,0.00,3,,138<br />
2015-5-23,30,27,24,24,23,22,94,80,60,1016,1015,1013,19,12,10,42,13,,0.00,3,,125<br />
