
UYT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,26,21,17,21,16,6,100,75,29,1006,1004,1002,19,7,2,37,8,55,0.00,6,,251<br />
2015-1-2,22,19,17,12,11,9,68,54,34,1015,1012,1007,19,11,10,27,23,47,0.00,4,,236<br />
2015-1-3,29,22,14,17,12,8,88,56,19,1016,1013,1010,19,14,10,24,10,42,0.00,5,,315<br />
2015-1-4,21,19,18,17,13,10,83,64,44,1018,1016,1012,10,10,10,27,18,,0.00,5,,140<br />
2015-1-5,32,23,14,20,14,10,82,57,25,1016,1013,1009,19,11,10,24,11,,0.00,,,33<br />
2015-1-6,25,22,20,21,19,2,94,78,28,1012,1009,1007,19,10,1,27,16,66,7.11,7,Rain-Thunderstorm,3<br />
2015-1-7,26,22,20,21,19,18,95,82,67,1011,1010,1008,10,9,3,27,10,,0.00,7,,136<br />
2015-1-8,28,24,19,23,22,17,100,84,70,1013,1011,1008,10,9,3,24,13,,0.00,4,,64<br />
2015-1-9,29,24,21,23,22,20,100,80,54,1009,1006,1004,10,7,0,27,14,37,17.02,6,Rain-Hail-Thunderstorm,306<br />
2015-1-10,27,24,22,22,21,19,84,79,69,1011,1010,1008,19,10,10,19,11,,0.00,5,Thunderstorm,139<br />
2015-1-11,31,26,22,23,21,18,94,80,37,1010,1009,1008,10,7,3,24,5,,0.00,8,,4<br />
2015-1-12,32,27,21,24,19,13,92,66,31,1011,1009,1007,10,10,10,34,11,40,0.00,3,,279<br />
2015-1-13,23,22,20,22,20,18,100,85,72,1012,1008,1003,10,8,2,39,21,,18.03,7,Rain-Thunderstorm,95<br />
2015-1-14,25,22,20,21,19,18,100,79,66,1017,1009,1005,10,9,2,23,11,,0.00,5,,176<br />
2015-1-15,25,23,21,19,18,17,83,71,52,1021,1019,1017,10,10,10,23,18,,0.00,5,,124<br />
2015-1-16,30,24,18,23,19,16,94,75,45,1017,1013,1008,10,10,10,27,14,,0.00,4,,20<br />
2015-1-17,23,21,19,22,18,15,94,78,55,1014,1013,1009,10,9,3,27,14,47,0.00,6,Rain,166<br />
2015-1-18,29,22,16,20,16,14,88,68,31,1016,1013,1008,10,10,8,19,8,,0.00,5,Rain,32<br />
2015-1-19,26,22,18,21,19,16,94,80,69,1016,1011,1009,10,9,3,47,10,,0.25,7,Rain-Thunderstorm,274<br />
