
HST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,24,21,17,15,14,11,78,66,53,1013,1011,1010,16,16,14,29,11,35,0.00,5,,299<br />
2015-1-2,25,22,18,22,18,14,93,79,64,1009,1004,1000,16,12,2,61,18,76,18.03,6,Rain-Thunderstorm,242<br />
2015-1-3,24,21,17,16,14,12,100,75,49,1007,1004,1000,16,16,16,60,19,77,0.51,4,,341<br />
2015-1-4,26,20,14,13,13,12,87,65,43,1013,1009,1007,16,16,16,34,10,42,0.00,4,,348<br />
2015-1-5,24,19,14,16,14,13,90,72,54,1014,1013,1012,16,16,14,19,7,24,0.00,2,,284<br />
2015-1-6,26,22,18,18,14,12,84,63,42,1016,1014,1013,16,16,16,27,12,32,T,2,,360<br />
2015-1-7,26,22,18,14,13,12,73,60,46,1016,1014,1013,16,16,14,29,13,39,0.00,3,,14<br />
2015-1-8,27,22,16,16,14,13,84,66,48,1017,1015,1014,16,16,16,21,9,26,0.00,4,,13<br />
2015-1-9,27,23,19,18,16,13,81,62,42,1017,1016,1014,16,16,16,16,7,23,0.00,4,,344<br />
2015-1-10,27,23,20,18,17,15,84,68,52,1016,1015,1013,16,16,16,23,8,32,0.00,3,,36<br />
2015-1-11,26,22,17,19,18,16,93,76,58,1015,1013,1012,16,16,16,16,7,23,0.00,2,,276<br />
2015-1-12,26,22,18,18,17,16,93,75,56,1015,1014,1013,16,16,16,21,7,24,0.00,2,,275<br />
2015-1-13,26,22,17,17,17,16,93,74,54,1016,1014,1013,16,16,14,14,4,21,0.00,2,,230<br />
2015-1-14,27,23,19,20,18,17,87,75,62,1017,1016,1014,16,15,13,14,5,21,0.00,4,,151<br />
