
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,0,-3,-7,-10,-13,-15,57,49,40,1041,1021,1012,16,16,16,37,27,48,0.00,3,,244<br />
2015-1-2,2,0,-3,-6,-8,-10,78,57,44,1029,1025,1019,16,16,14,21,13,29,0.00,4,,242<br />
2015-1-3,3,0,-3,1,-1,-6,93,86,75,1026,1014,1007,14,5,2,23,11,34,9.65,7,Rain-Snow,89<br />
2015-1-4,3,-2,-6,1,-2,-12,93,83,60,1023,1008,1002,16,7,1,32,10,53,1.78,8,Rain-Snow,297<br />
2015-1-5,-7,-10,-13,-12,-18,-19,70,59,51,1034,1028,957,16,15,10,34,21,60,0.00,6,,272<br />
2015-1-6,-7,-10,-13,-12,-15,-18,76,67,57,1031,1023,1017,16,10,2,32,13,48,0.00,7,Snow,256<br />
2015-1-7,-8,-11,-14,-13,-18,-23,77,58,39,1036,1026,1017,16,12,1,27,19,52,0.25,4,Snow,302<br />
2015-1-8,-9,-13,-17,-13,-18,-22,79,68,53,1033,1020,1007,16,10,1,40,24,60,0.00,6,Snow,227<br />
2015-1-9,-7,-11,-14,-11,-15,-19,77,67,50,1027,1017,1006,16,7,1,35,24,48,0.00,7,Snow,266<br />
2015-1-10,-8,-13,-17,-16,-19,-21,72,64,54,1032,1030,1027,16,15,8,29,21,39,0.00,5,,232<br />
2015-1-11,0,-3,-7,-3,-8,-15,89,67,50,1054,1028,1026,16,10,1,26,16,45,0.76,8,Snow,218<br />
2015-1-12,0,-4,-9,-3,-6,-15,86,77,55,1037,1027,1024,16,8,1,26,11,35,1.02,7,Snow,292<br />
2015-1-13,-11,-13,-16,-16,-18,-22,77,66,48,1043,1037,966,16,14,3,19,11,,0.00,3,Snow,48<br />
2015-1-14,-7,-11,-15,-14,-16,-19,84,73,52,1033,1028,1024,16,11,3,13,5,,0.00,5,Snow,262<br />
2015-1-15,-2,-7,-12,-7,-12,-17,77,67,58,1037,1020,1013,16,12,8,29,14,42,0.00,4,,228<br />
2015-1-16,-1,-4,-7,-6,-10,-14,81,62,48,1026,1021,1013,16,14,10,16,13,,0.00,5,,339<br />
2015-1-17,7,-1,-7,-1,-6,-13,75,67,58,1025,1014,1003,16,15,10,35,18,48,0.00,3,,171<br />
2015-1-18,7,4,2,1,-1,-3,86,74,60,1013,1006,1002,16,14,3,35,23,47,0.25,8,Rain,257<br />
2015-1-19,2,0,-2,-2,-4,-7,76,69,59,1017,1015,1014,16,16,16,21,10,,0.00,8,,358<br />
2015-1-20,-1,-2,-4,-4,-6,-7,81,77,74,1019,1016,1013,16,12,1,14,10,,0.25,8,Snow,87<br />
2015-1-21,-3,-3,-4,-6,-7,-8,84,78,71,1024,1019,1017,16,8,0,16,10,,1.78,8,Snow,60<br />
2015-1-22,-1,-4,-7,-7,-8,-9,85,70,63,1031,1028,1022,16,16,11,14,8,,0.00,7,,295<br />
2015-1-23,1,-3,-6,-6,-7,-10,78,70,64,1030,1020,1010,16,14,11,23,14,,0.00,4,,228<br />
2015-1-24,3,0,-3,-1,-4,-7,79,75,70,1009,1004,1001,16,11,6,23,13,26,0.00,7,,247<br />
2015-1-25,2,-3,-8,-1,-9,-16,82,65,50,1017,1012,1005,16,15,10,26,14,35,0.00,6,,41<br />
2015-1-26,-2,-7,-12,-12,-14,-17,71,61,45,1040,1019,1013,16,16,16,19,14,,0.00,1,,34<br />
2015-1-27,-2,-6,-10,-11,-13,-14,74,65,47,1048,1022,1015,16,16,14,23,11,32,0.00,1,,359<br />
2015-1-28,-2,-6,-10,-9,-12,-13,77,64,47,1053,1029,1021,16,16,16,19,8,,0.00,0,,209<br />
2015-1-29,3,0,-3,-2,-4,-10,85,72,56,1021,1011,1006,16,10,0,29,14,50,1.27,8,Fog-Snow,292<br />
2015-1-30,-2,-7,-11,-8,-14,-17,64,56,42,1032,1027,1019,16,16,14,35,21,50,0.00,4,Snow,327<br />
2015-1-31,2,-4,-9,-4,-9,-16,74,65,52,1030,1026,1022,16,16,14,19,10,,0.00,6,,214<br />
2015-2-1,1,-3,-8,-4,-7,-12,85,79,70,1023,1016,1004,14,3,0,32,16,47,6.60,8,Fog-Snow,43<br />
2015-2-2,-7,-10,-12,-11,-14,-20,81,66,46,1032,1016,1004,16,9,1,34,24,48,0.76,4,Snow,345<br />
2015-2-3,-2,-8,-13,-5,-12,-18,85,71,57,1024,1021,1018,16,13,2,24,16,,0.00,6,Snow,224<br />
2015-2-4,1,-3,-8,-3,-6,-16,86,76,54,1023,1017,1014,16,7,1,21,14,37,0.51,8,Snow,280<br />
2015-2-5,-8,-11,-15,-16,-18,-21,70,57,44,1031,1028,1024,16,16,16,23,13,34,0.00,0,,277<br />
2015-2-6,-1,-6,-11,-8,-12,-18,67,60,54,1046,1023,1019,16,16,14,29,21,47,0.00,5,,244<br />
2015-2-7,4,1,-3,-2,-4,-8,79,67,61,1019,1013,1007,16,13,11,13,10,,0.00,2,,200<br />
2015-2-8,6,1,-5,1,-3,-8,85,80,71,1014,1008,1004,16,9,3,26,11,27,0.51,7,Rain-Snow,32<br />
2015-2-9,-4,-6,-7,-9,-11,-11,78,71,63,1049,1023,1014,16,16,10,24,19,34,0.00,8,,19<br />
2015-2-10,-4,-6,-8,-11,-11,-12,77,72,59,1052,1028,1022,16,13,4,14,10,,0.00,5,Snow,38<br />
2015-2-11,1,-3,-7,-2,-6,-11,86,79,69,1022,1015,1011,16,9,1,21,14,29,0.00,8,Fog-Snow,230<br />
2015-2-12,-2,-8,-13,-6,-16,-22,75,56,42,1050,1023,1012,16,15,3,27,18,47,0.25,4,Snow,324<br />
2015-2-13,-5,-11,-16,-8,-14,-21,82,66,53,1029,1020,1011,16,11,2,32,16,42,0.00,5,Snow,239<br />
2015-2-14,-4,-11,-17,-7,-13,-24,81,68,45,1032,1010,1003,16,5,0,35,23,55,0.25,7,Snow,312<br />
2015-2-15,-14,-18,-22,-24,-26,-28,59,52,44,1035,1032,1026,16,16,16,24,16,40,0.00,0,,329<br />
2015-2-16,-14,-18,-22,-19,-22,-26,72,66,55,1034,1025,1016,16,16,13,13,3,,0.00,4,,118<br />
2015-2-17,-6,-12,-17,-10,-14,-21,78,69,54,1017,1012,1010,16,10,1,24,11,32,0.00,8,Snow,244<br />
2015-2-18,-7,-11,-15,-13,-16,-20,80,68,45,1017,1009,1006,16,9,1,24,11,39,0.00,6,Snow,265<br />
2015-2-19,-14,-17,-19,-19,-25,-28,67,51,36,1028,1023,1016,16,16,16,26,14,42,0.00,3,,319<br />
2015-2-20,-10,-17,-23,-17,-23,-29,65,54,45,1031,1027,1020,16,16,13,29,11,39,0.00,2,Snow,226<br />
2015-2-21,-4,-7,-9,-8,-11,-17,88,73,53,1044,1017,1013,16,8,2,21,10,,0.00,7,Snow,219<br />
2015-2-22,-1,-6,-13,-7,-11,-21,81,67,48,1049,1023,960,16,10,1,26,11,45,0.00,7,Snow,282<br />
2015-2-23,-10,-14,-19,-21,-23,-27,61,50,37,1040,1035,1028,16,16,16,23,14,29,0.00,0,,286<br />
2015-2-24,-4,-10,-16,-9,-15,-21,74,62,47,1027,1010,1004,16,13,2,40,24,63,0.00,5,Snow,227<br />
2015-2-25,-4,-8,-12,-8,-15,-20,78,58,42,1042,1015,1004,16,15,5,24,14,35,0.00,2,Snow,355<br />
2015-2-26,-8,-11,-13,-14,-17,-20,70,62,54,1029,1022,1019,16,10,2,19,11,,0.00,7,Snow,24<br />
2015-2-27,-7,-13,-19,-17,-19,-23,83,58,35,1040,1035,1029,16,15,10,13,5,29,0.00,1,,259<br />
2015-2-28,-6,-12,-17,-15,-17,-20,80,57,47,1043,1040,1035,16,16,10,19,10,,0.00,1,,196<br />
2015-3-1,-3,-6,-9,-7,-10,-15,81,74,59,1054,1029,1023,16,9,1,14,6,,0.00,7,Snow,225<br />
2015-3-2,1,-2,-5,-8,-11,-13,72,55,35,1032,1029,1023,16,15,4,19,13,27,0.00,2,Snow,285<br />
2015-3-3,3,-1,-5,0,-5,-10,86,77,63,1028,1012,1001,16,7,0,27,14,45,4.06,8,Fog-Rain-Snow,182<br />
2015-3-4,2,-2,-7,-3,-9,-19,67,53,38,1025,1015,1009,16,15,11,29,14,48,0.00,4,,291<br />
2015-3-5,-7,-10,-13,-18,-19,-20,61,49,38,1034,1030,1026,16,16,13,19,13,32,0.00,0,,344<br />
2015-3-6,-4,-10,-15,-12,-16,-19,73,56,40,1034,1029,1023,16,16,14,32,14,45,0.00,2,,226<br />
2015-3-7,6,0,-6,-2,-7,-12,67,60,51,1022,1018,1013,16,16,14,27,18,42,0.00,5,,240<br />
2015-3-8,7,3,0,-4,-5,-7,69,57,42,1022,1020,1019,16,16,16,24,11,,0.00,2,,250<br />
2015-3-9,9,3,-3,-2,-3,-6,82,64,37,1023,1022,1020,16,14,8,19,10,,0.00,0,,234<br />
2015-3-10,9,4,-1,4,1,-4,82,76,69,1022,1018,1014,13,7,4,19,6,,0.00,5,,223<br />
2015-3-11,13,7,2,3,-2,-8,86,62,26,1030,1022,1015,16,10,4,21,11,,0.00,0,,290<br />
2015-3-12,7,2,-1,-4,-7,-9,59,50,42,1038,1035,1031,16,16,16,21,10,,0.00,0,,86<br />
2015-3-13,12,5,-2,6,-2,-11,89,61,37,1033,1024,1017,16,14,2,19,10,,0.00,2,,170<br />
2015-3-14,11,8,5,6,3,-3,93,78,54,1016,1013,1011,16,7,0,29,14,47,0.00,7,Fog,276<br />
2015-3-15,12,7,3,2,-2,-3,68,59,40,1024,1021,1017,16,16,16,26,16,40,0.00,4,,293<br />
2015-3-16,17,12,7,7,4,2,73,59,41,1017,1011,1006,16,16,16,21,11,,0.00,0,,235<br />
2015-3-17,14,7,1,7,-7,-17,76,45,22,1025,1017,1006,16,16,16,37,23,55,0.00,2,,337<br />
2015-3-18,9,3,-2,-6,-10,-14,61,39,27,1026,1024,1023,16,16,16,26,11,45,0.00,0,,291<br />
2015-3-19,4,0,-3,-7,-8,-10,71,53,41,1029,1026,1023,16,16,16,19,8,,0.00,2,,90<br />
2015-3-20,12,6,0,1,-4,-9,71,51,32,1023,1019,1016,16,16,14,23,10,,0.00,6,,215<br />
2015-3-21,11,6,0,3,0,-12,81,67,32,1024,1017,1014,16,12,6,26,19,37,0.00,5,Rain,300<br />
2015-3-22,2,-2,-6,-8,-12,-15,66,45,35,1028,1026,1025,16,16,16,21,13,,0.00,1,,59<br />
2015-3-23,1,-3,-6,-7,-11,-14,72,56,41,1029,1028,1026,16,16,11,21,10,29,0.00,4,,59<br />
2015-3-24,4,-2,-7,-7,-10,-13,71,56,30,1030,1028,1024,16,16,16,19,11,,0.00,1,,78<br />
2015-3-25,12,6,-1,7,2,-7,93,74,59,1023,1014,1010,16,11,2,35,18,48,4.32,5,Rain,195<br />
2015-3-26,8,5,3,2,-1,-6,83,64,45,1016,1013,1010,16,13,5,23,11,34,0.76,8,Rain,284<br />
2015-3-27,2,-2,-8,-6,-11,-15,69,59,46,1022,1017,1014,16,12,1,26,18,39,0.00,7,Snow,343<br />
2015-3-28,4,-2,-8,-9,-12,-14,68,51,30,1027,1025,1022,16,15,4,19,11,29,0.00,4,Snow,346<br />
2015-3-29,7,1,-4,-1,-7,-11,71,52,35,1027,1019,1007,16,16,16,40,16,55,0.00,3,Rain,208<br />
2015-3-30,15,8,3,0,-3,-7,66,47,23,1015,1011,1006,16,16,13,35,24,64,0.00,4,,292<br />
2015-3-31,9,4,1,1,-1,-4,89,76,44,1016,1012,1007,16,11,1,24,14,34,5.84,6,Rain-Snow,99<br />
2015-4-1,13,8,3,4,1,-1,83,67,52,1021,1018,1015,14,11,6,19,10,27,0.00,2,,165<br />
2015-4-2,16,12,8,14,7,-2,87,70,40,1015,1009,1003,16,14,2,29,16,40,4.83,5,Rain-Thunderstorm,231<br />
2015-4-3,16,9,3,8,5,-1,93,81,33,1014,1011,1009,16,9,0,16,8,,1.78,6,Fog-Rain,299<br />
2015-4-4,11,4,-3,1,-6,-11,93,52,26,1024,1020,1014,16,16,16,29,14,52,0.00,3,Rain,293<br />
2015-4-5,13,7,1,2,-1,-6,86,65,43,1022,1020,1018,16,16,14,16,8,,0.00,4,,81<br />
2015-4-6,14,7,0,6,2,-2,92,71,50,1021,1019,1017,16,14,6,14,8,,0.00,5,,167<br />
2015-4-7,11,7,3,4,2,1,86,76,61,1024,1022,1020,16,14,10,23,14,29,2.03,8,Rain,64<br />
2015-4-8,7,4,3,4,3,1,100,91,81,1022,1017,1015,16,8,1,27,14,37,0.00,8,Rain,69<br />
2015-4-9,19,10,3,17,8,2,100,94,86,1019,1011,1003,16,7,0,34,13,52,17.27,8,Fog-Rain-Thunderstorm,135<br />
2015-4-10,19,13,7,16,6,-1,84,64,37,1016,1005,997,16,16,14,48,27,63,2.29,5,Rain,264<br />
2015-4-11,16,9,2,2,-1,-3,79,55,27,1024,1022,1017,16,16,16,21,13,34,0.00,2,,283<br />
2015-4-12,17,10,2,3,1,-2,76,52,34,1025,1023,1020,16,16,16,24,8,35,0.00,1,,193<br />
2015-4-13,22,14,8,14,5,0,78,55,34,1020,1016,1011,16,16,6,37,13,63,1.78,3,Rain,226<br />
2015-4-14,16,11,5,2,0,-3,71,47,28,1025,1024,1021,16,16,16,16,8,,0.00,0,,198<br />
2015-4-15,17,11,5,1,-2,-7,70,45,24,1029,1027,1025,16,16,16,23,10,,0.00,0,,73<br />
2015-4-16,17,11,6,11,4,-1,97,66,41,1027,1022,1017,16,14,5,26,11,34,0.76,5,Rain,124<br />
2015-4-17,22,16,9,12,9,6,100,76,38,1019,1017,1015,16,10,1,23,6,,0.00,3,Fog,243<br />
