
GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,1,-2,-4,-1,-4,-7,93,82,69,985,981,977,10,7,0,40,23,,0.00,6,Rain-Snow,165<br />
2000-1-2,1,-1,-3,-2,-4,-5,87,83,75,988,986,982,10,8,1,32,21,,0.00,5,Snow-Hail,196<br />
2000-1-3,-1,-3,-4,-3,-5,-8,93,82,74,991,988,986,10,8,0,26,16,,0.00,5,Snow,152<br />
2000-1-4,-3,-4,-5,-7,-10,-13,86,66,54,990,986,984,10,10,10,29,16,,0.00,1,,128<br />
2000-1-5,-2,-4,-7,-9,-10,-12,74,65,54,993,991,987,10,10,10,47,18,,0.00,1,,36<br />
2000-1-6,-1,-4,-7,-4,-9,-12,80,70,59,993,980,956,10,7,1,64,24,84,0.00,7,Snow,121<br />
2000-1-7,0,-1,-1,-2,-3,-7,93,83,64,965,956,953,10,7,1,64,40,84,0.00,6,Snow,112<br />
2000-1-8,0,-2,-4,-1,-6,-9,93,75,55,991,979,966,10,9,1,52,14,74,0.00,5,Snow,219<br />
2000-1-9,4,-1,-4,1,-3,-9,93,78,69,997,986,966,10,7,0,63,29,82,0.00,6,Rain-Snow,196<br />
2000-1-10,4,2,-1,2,-1,-7,93,79,64,985,970,960,10,7,1,71,50,97,0.00,7,Rain,238<br />
2000-1-11,-1,-3,-3,-4,-7,-10,93,73,51,996,989,987,10,9,2,42,27,71,0.00,4,Snow,93<br />
2000-1-12,-1,-2,-4,-5,-7,-8,80,74,69,1028,1017,999,10,9,1,61,29,74,0.00,4,,61<br />
2000-1-13,3,0,-2,3,-1,-3,100,92,87,1030,1029,1027,10,8,2,23,11,,0.00,6,Rain,198<br />
