
IDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,22,16,10,12,4,1,77,49,28,1019,1018,1017,,9,8,11,0,,0.00,3,,273<br />
2000-1-2,20,14,9,11,6,1,88,58,30,1018,1016,1013,,9,9,11,0,,0.00,6,,63<br />
2000-1-3,17,13,11,11,8,3,94,74,51,1014,1011,1009,,7,1,19,10,,0.00,4,,267<br />
2000-1-4,10,8,6,9,8,4,94,90,87,1011,1010,1009,,6,2,32,18,,0.00,5,Rain,255<br />
2000-1-5,12,6,1,4,2,0,93,83,47,1011,1009,1007,,7,3,47,37,55,0.00,3,Rain,244<br />
2000-1-6,10,7,3,6,4,2,100,88,71,1017,1014,1010,,7,2,27,21,,0.00,5,Rain,248<br />
2000-1-7,10,8,6,6,5,4,93,85,76,1019,1018,1017,,9,8,11,2,,0.00,6,Rain,255<br />
2000-1-8,13,8,3,6,3,0,93,74,44,1019,1017,1015,,10,6,11,3,,0.00,2,,106<br />
2000-1-9,10,8,4,5,4,3,93,85,62,1020,1018,1017,,9,4,23,6,,0.00,6,Rain,277<br />
2000-1-10,10,7,4,6,4,3,93,86,71,1022,1021,1021,,9,4,19,6,,0.00,4,Rain,255<br />
2000-1-11,11,7,4,5,2,-1,87,69,50,1023,1021,1020,,11,11,14,3,,0.00,2,,320<br />
2000-1-12,9,4,1,2,0,-2,87,73,57,1021,1020,1020,,11,11,11,2,,0.00,6,,32<br />
2000-1-13,11,6,0,2,1,-2,93,67,44,1023,1022,1021,,11,11,10,2,,0.00,2,,87<br />
2000-1-14,11,8,5,1,-2,-3,62,52,41,1022,1020,1016,,,,14,5,,0.00,,,83<br />
2000-1-15,12,8,2,4,2,0,87,67,47,1017,1015,1014,,11,11,19,6,,0.00,5,,247<br />
2000-1-16,9,6,2,0,-1,-2,87,68,50,1017,1016,1015,,11,9,11,2,,0.00,2,,73<br />
2000-1-17,10,6,1,0,-3,-5,81,59,43,1017,1014,1010,,11,11,8,0,,0.00,1,,101<br />
2000-1-18,13,9,6,7,2,-2,87,66,46,1009,1007,1005,,7,2,37,18,55,0.00,4,Rain,243<br />
2000-1-19,10,8,6,6,4,1,93,80,62,1015,1012,1006,,8,3,37,31,64,0.00,6,Rain,243<br />
2000-1-20,10,8,6,7,3,-1,93,77,47,1013,1012,1011,,7,3,42,37,55,0.00,2,Rain,256<br />
2000-1-21,7,6,4,5,3,1,93,85,66,1018,1015,1012,,8,3,34,29,52,0.00,5,Rain,269<br />
2000-1-22,8,6,3,4,3,2,93,80,71,1019,1018,1017,,9,5,24,14,,0.00,6,Rain,239<br />
2000-1-23,10,7,3,5,3,1,93,81,71,1022,1020,1018,,10,6,21,13,,0.00,6,Rain,251<br />
2000-1-24,15,8,1,4,1,-1,93,64,44,1021,1019,1014,,11,11,10,5,,0.00,6,,91<br />
2000-1-25,15,11,8,10,6,1,93,77,42,1018,1016,1014,,8,3,27,19,,0.00,4,,251<br />
2000-1-26,8,7,5,7,7,4,100,91,87,1019,1017,1016,,5,1,27,18,,0.00,5,Rain,259<br />
2000-1-27,7,3,0,4,3,0,100,90,81,1015,1010,1007,,4,0,27,16,47,0.00,4,Fog-Rain-Snow-Hail,247<br />
2000-1-28,2,1,0,1,-1,-1,100,93,87,1019,1013,1007,,2,0,19,14,,0.00,5,Fog-Snow,246<br />
2000-1-29,6,2,-1,3,1,-2,93,85,76,1027,1024,1019,,10,0,14,6,,0.00,4,Fog,248<br />
2000-1-30,9,4,-1,2,0,-2,93,74,57,1028,1027,1025,,11,11,14,3,,0.00,1,,88<br />
2000-1-31,12,7,2,5,0,-2,87,66,47,1025,1024,1022,,,,14,5,,0.00,,,290<br />
2000-2-1,12,8,4,8,4,1,93,84,62,1024,1023,1022,,8,3,19,3,,0.00,4,Rain,276<br />
2000-2-2,12,9,4,7,6,3,93,82,67,1024,1023,1021,,10,6,21,8,,0.00,2,,285<br />
2000-2-3,14,8,3,4,2,0,93,66,51,1023,1022,1020,,,,14,2,,0.00,,,95<br />
2000-2-4,16,10,5,7,2,-1,82,60,39,1022,1021,1019,,,,10,0,,0.00,,,48<br />
2000-2-5,14,9,5,8,5,3,100,83,63,1020,1018,1014,,7,1,26,6,,0.00,4,Fog-Rain,262<br />
2000-2-6,10,8,5,5,4,3,93,80,62,1019,1015,1013,,9,3,34,26,,0.00,5,Rain,270<br />
2000-2-7,10,6,2,2,1,0,87,75,50,1020,1019,1018,,11,11,14,6,,0.00,2,,295<br />
