
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,26,22,19,21,20,18,94,83,69,1024,1022,1020,9,9,1,23,8,,0.00,1,Fog,73<br />
2000-1-2,28,24,20,21,19,18,100,78,58,1024,1022,1020,9,9,8,27,10,,0.00,3,,65<br />
2000-1-3,27,22,18,22,19,17,94,84,65,1022,1021,1019,9,9,8,21,8,,0.00,1,,76<br />
2000-1-4,29,24,19,21,19,18,94,85,51,1022,1020,1019,9,9,6,14,6,,0.00,2,Rain,53<br />
2000-1-5,26,22,19,21,19,18,94,82,65,1022,1021,1020,9,9,9,21,5,,0.00,1,,51<br />
2000-1-6,28,24,20,20,19,18,100,77,54,1024,1023,1021,9,9,9,26,8,,0.00,2,,68<br />
2000-1-7,26,22,18,21,19,17,94,82,69,1025,1023,1022,9,9,7,23,8,,0.00,1,,70<br />
2000-1-8,27,23,19,20,19,17,94,81,61,1025,1022,1020,10,9,9,19,8,,0.00,1,,64<br />
2000-1-9,29,23,18,22,19,15,100,82,42,1022,1021,1019,10,9,8,16,8,,0.00,1,,57<br />
2000-1-10,29,23,17,22,18,16,100,77,57,1022,1020,1019,9,8,0,13,3,,0.00,1,Fog,13<br />
2000-1-11,28,21,14,23,18,14,100,80,51,1024,1022,1020,9,7,0,14,6,,0.00,1,Fog,64<br />
2000-1-12,27,22,18,19,18,14,94,76,45,1025,1023,1020,9,9,9,23,11,,0.00,1,,70<br />
2000-1-13,26,21,17,20,16,14,100,75,50,1025,1024,1022,9,9,9,14,5,,0.00,1,,61<br />
2000-1-14,25,20,16,20,17,14,94,78,69,1030,1026,1023,10,9,9,37,13,,0.00,2,,38<br />
2000-1-15,22,19,16,13,11,8,72,58,46,1032,1030,1028,10,10,9,37,27,60,0.00,2,,61<br />
2000-1-16,22,19,17,15,12,11,83,64,53,1030,1028,1026,9,9,8,29,16,47,0.00,4,Rain,72<br />
2000-1-17,25,20,16,15,13,11,82,66,44,1027,1025,1024,10,9,9,21,8,,0.00,3,,81<br />
2000-1-18,28,21,14,16,14,12,94,66,42,1025,1023,1021,9,9,9,13,5,,0.00,1,,7<br />
2000-1-19,24,17,11,16,12,10,94,73,41,1022,1020,1018,9,8,7,13,5,,0.00,0,,353<br />
2000-1-20,26,18,10,16,12,8,94,71,36,1020,1017,1016,10,9,7,24,8,,0.00,1,,260<br />
2000-1-21,22,16,10,17,12,8,88,69,53,1021,1019,1016,10,9,8,19,10,,0.00,2,,347<br />
2000-1-22,25,16,7,15,12,6,93,77,47,1022,1020,1019,9,9,8,14,6,,0.00,0,,99<br />
2000-1-23,26,19,13,20,16,12,94,84,47,1021,1018,1016,9,8,6,16,5,,0.00,3,Rain,123<br />
2000-1-24,23,21,19,20,17,9,94,78,46,1023,1013,1010,9,7,0,26,11,80,0.00,5,Rain-Thunderstorm,271<br />
2000-1-25,21,18,14,12,11,9,82,66,46,1016,1014,1012,9,9,9,23,14,,0.00,3,,296<br />
2000-1-26,22,18,13,13,12,10,94,66,49,1022,1019,1017,9,9,9,24,13,,0.00,4,,330<br />
2000-1-27,19,16,13,13,12,10,94,81,64,1025,1022,1021,9,8,8,19,6,,0.00,3,,60<br />
2000-1-28,24,17,9,16,13,8,94,79,53,1025,1022,1021,9,9,8,19,8,,0.00,1,,91<br />
2000-1-29,26,22,18,18,17,15,88,75,57,1023,1022,1020,9,9,9,19,11,,0.00,3,,95<br />
2000-1-30,26,21,17,18,17,15,94,78,54,1024,1022,1020,9,9,7,19,8,,0.00,1,,88<br />
2000-1-31,27,22,16,19,17,14,94,73,47,1022,1020,1018,10,9,0,16,6,,0.00,1,Fog,11<br />
2000-2-1,27,21,15,21,18,14,94,81,54,1022,1020,1018,9,6,0,13,5,,0.00,2,Fog,79<br />
2000-2-2,26,22,19,20,19,17,94,86,65,1023,1022,1020,9,7,2,10,3,,0.00,3,Fog,132<br />
2000-2-3,28,23,18,19,17,14,94,76,42,1021,1019,1017,9,8,7,13,6,,0.00,3,,160<br />
2000-2-4,25,21,18,20,18,16,94,81,61,1022,1019,1017,9,7,0,19,8,,0.00,2,Fog,330<br />
2000-2-5,23,19,14,17,13,8,94,68,57,1027,1023,1020,9,9,9,23,8,,0.00,4,,356<br />
2000-2-6,23,16,9,15,11,7,94,75,53,1028,1026,1025,9,9,9,21,6,,0.00,2,,56<br />
2000-2-7,25,18,10,18,15,9,100,80,54,1026,1025,1023,9,9,7,19,6,,0.00,2,,63<br />
2000-2-8,24,20,17,18,16,13,94,79,65,1025,1024,1023,9,9,5,21,8,,0.00,3,,335<br />
